id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv3pt5-2,Ivysaur,https://images.pokemontcg.io/sv3pt5/2_hires.png,Uncommon,0.100000,0.130000,Pokémon
sv3pt5-1,Bulbasaur,https://images.pokemontcg.io/sv3pt5/1_hires.png,Common,37.580000,0.120000,Pokémon
sv3pt5-3,Venusaur ex,https://images.pokemontcg.io/sv3pt5/3_hires.png,Double Rare,1.570000,1.040000,Pokémon
sv3pt5-7,Squirtle,https://images.pokemontcg.io/sv3pt5/7_hires.png,Common,0.110000,0.180000,Pokémon
sv3pt5-19,Rattata,https://images.pokemontcg.io/sv3pt5/19_hires.png,Common,0.040000,0.070000,Pokémon
sv3pt5-8,Wartortle,https://images.pokemontcg.io/sv3pt5/8_hires.png,Uncommon,0.090000,0.210000,Pokémon
sv3pt5-23,Ekans,https://images.pokemontcg.io/sv3pt5/23_hires.png,Common,0.030000,0.060000,Pokémon
sv3pt5-9,Blastoise ex,https://images.pokemontcg.io/sv3pt5/9_hires.png,Double Rare,1.720000,1.050000,Pokémon
sv3pt5-24,Arbok ex,https://images.pokemontcg.io/sv3pt5/24_hires.png,Double Rare,1.640000,0.920000,Pokémon
sv3pt5-12,Butterfree,https://images.pokemontcg.io/sv3pt5/12_hires.png,Uncommon,0.050000,0.070000,Pokémon
sv3pt5-25,Pikachu,https://images.pokemontcg.io/sv3pt5/25_hires.png,Common,0.080000,0.130000,Pokémon
sv3pt5-16,Pidgey,https://images.pokemontcg.io/sv3pt5/16_hires.png,Common,0.080000,0.110000,Pokémon
sv3pt5-29,Nidoran ♀,https://images.pokemontcg.io/sv3pt5/29_hires.png,Common,0.130000,0.150000,Pokémon
sv3pt5-21,Spearow,https://images.pokemontcg.io/sv3pt5/21_hires.png,Common,0.040000,0.060000,Pokémon
sv3pt5-33,Nidorino,https://images.pokemontcg.io/sv3pt5/33_hires.png,Uncommon,0.060000,0.100000,Pokémon
sv3pt5-30,Nidorina,https://images.pokemontcg.io/sv3pt5/30_hires.png,Uncommon,0.070000,0.080000,Pokémon
sv3pt5-34,Nidoking,https://images.pokemontcg.io/sv3pt5/34_hires.png,Rare,0.150000,0.180000,Pokémon
sv3pt5-32,Nidoran ♂,https://images.pokemontcg.io/sv3pt5/32_hires.png,Common,0.120000,0.130000,Pokémon
sv3pt5-35,Clefairy,https://images.pokemontcg.io/sv3pt5/35_hires.png,Common,0.040000,0.070000,Pokémon
sv3pt5-36,Clefable,https://images.pokemontcg.io/sv3pt5/36_hires.png,Uncommon,0.050000,0.080000,Pokémon
sv3pt5-44,Gloom,https://images.pokemontcg.io/sv3pt5/44_hires.png,Uncommon,0.050000,0.100000,Pokémon
sv3pt5-45,Vileplume,https://images.pokemontcg.io/sv3pt5/45_hires.png,Rare,0.130000,0.200000,Pokémon
