id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy7-1,Oddish,https://images.pokemontcg.io/xy7/1_hires.png,Common,0.160000,0.140000,Pokémon
xy7-2,Gloom,https://images.pokemontcg.io/xy7/2_hires.png,Uncommon,0.130000,0.150000,Pokémon
xy7-3,Vileplume,https://images.pokemontcg.io/xy7/3_hires.png,Rare,0.560000,0.540000,Pokémon
xy7-4,Bellossom,https://images.pokemontcg.io/xy7/4_hires.png,Uncommon,0.300000,0.240000,Pokémon
xy7-5,Spinarak,https://images.pokemontcg.io/xy7/5_hires.png,Common,0.020000,0.100000,Pokémon
xy7-6,Ariados,https://images.pokemontcg.io/xy7/6_hires.png,Uncommon,0.100000,0.160000,Pokémon
xy7-7,Sceptile-EX,https://images.pokemontcg.io/xy7/7_hires.png,Rare Holo EX,5.850000,6.750000,Pokémon
xy7-8,M Sceptile-EX,https://images.pokemontcg.io/xy7/8_hires.png,Rare Holo EX,22.330000,28.930000,Pokémon
xy7-9,Combee,https://images.pokemontcg.io/xy7/9_hires.png,Common,0.020000,0.100000,Pokémon
xy7-10,Vespiquen,https://images.pokemontcg.io/xy7/10_hires.png,Uncommon,0.230000,0.140000,Pokémon
xy7-11,Vespiquen,https://images.pokemontcg.io/xy7/11_hires.png,Rare,0.750000,0.360000,Pokémon
xy7-12,Virizion,https://images.pokemontcg.io/xy7/12_hires.png,Rare Holo,1.030000,0.430000,Pokémon
xy7-13,Flareon,https://images.pokemontcg.io/xy7/13_hires.png,Uncommon,1.320000,0.630000,Pokémon
xy7-14,Entei,https://images.pokemontcg.io/xy7/14_hires.png,Rare,1.640000,0.350000,Pokémon
xy7-15,Entei,https://images.pokemontcg.io/xy7/15_hires.png,Rare Holo,4.990000,4.300000,Pokémon
xy7-16,Larvesta,https://images.pokemontcg.io/xy7/16_hires.png,Common,0.110000,0.150000,Pokémon
xy7-17,Volcarona,https://images.pokemontcg.io/xy7/17_hires.png,Rare Holo,0.640000,0.610000,Pokémon
xy7-18,Volcarona,https://images.pokemontcg.io/xy7/18_hires.png,Rare,0.980000,0.450000,Pokémon
xy7-19,Magikarp,https://images.pokemontcg.io/xy7/19_hires.png,Common,0.120000,0.230000,Pokémon
xy7-20,Gyarados,https://images.pokemontcg.io/xy7/20_hires.png,Rare,0.820000,0.760000,Pokémon
xy7-21,Gyarados,https://images.pokemontcg.io/xy7/21_hires.png,Rare Holo,16.460000,28.980000,Pokémon
xy7-22,Vaporeon,https://images.pokemontcg.io/xy7/22_hires.png,Uncommon,0.960000,0.720000,Pokémon
xy7-23,Relicanth,https://images.pokemontcg.io/xy7/23_hires.png,Common,0.120000,0.140000,Pokémon
xy7-24,Regice,https://images.pokemontcg.io/xy7/24_hires.png,Rare,0.360000,0.290000,Pokémon
xy7-25,Kyurem-EX,https://images.pokemontcg.io/xy7/25_hires.png,Rare Holo EX,6.030000,4.010000,Pokémon
