id,name,image,rarity,card_market_price,tcg_market_price,supertype
pl4-1,Charizard,https://images.pokemontcg.io/pl4/1_hires.png,Rare Holo,20.790000,38.430000,Pokémon
pl4-2,Froslass,https://images.pokemontcg.io/pl4/2_hires.png,Rare Holo,1.920000,3.420000,Pokémon
pl4-3,Heatran,https://images.pokemontcg.io/pl4/3_hires.png,Rare Holo,1.110000,2.270000,Pokémon
pl4-4,Kabutops,https://images.pokemontcg.io/pl4/4_hires.png,Rare Holo,3.770000,8.070000,Pokémon
pl4-5,Luxray,https://images.pokemontcg.io/pl4/5_hires.png,Rare Holo,1.560000,4.460000,Pokémon
pl4-6,Mothim,https://images.pokemontcg.io/pl4/6_hires.png,Rare Holo,1.400000,1.810000,Pokémon
pl4-7,Probopass,https://images.pokemontcg.io/pl4/7_hires.png,Rare Holo,0.870000,1.600000,Pokémon
pl4-8,Salamence,https://images.pokemontcg.io/pl4/8_hires.png,Rare Holo,3.110000,6.230000,Pokémon
pl4-9,Swalot,https://images.pokemontcg.io/pl4/9_hires.png,Rare Holo,1.460000,2.310000,Pokémon
pl4-10,Tangrowth,https://images.pokemontcg.io/pl4/10_hires.png,Rare Holo,1.060000,1.830000,Pokémon
pl4-11,Toxicroak,https://images.pokemontcg.io/pl4/11_hires.png,Rare Holo,1.270000,2.710000,Pokémon
pl4-12,Zapdos G,https://images.pokemontcg.io/pl4/12_hires.png,Rare Holo,5.390000,8.440000,Pokémon
pl4-13,Aerodactyl,https://images.pokemontcg.io/pl4/13_hires.png,Rare,1.150000,1.410000,Pokémon
pl4-14,Bronzong,https://images.pokemontcg.io/pl4/14_hires.png,Rare,0.660000,0.410000,Pokémon
pl4-15,Cherrim,https://images.pokemontcg.io/pl4/15_hires.png,Rare,0.740000,2.690000,Pokémon
pl4-16,Gengar,https://images.pokemontcg.io/pl4/16_hires.png,Rare,5.180000,25.620000,Pokémon
pl4-17,Gengar,https://images.pokemontcg.io/pl4/17_hires.png,Rare,5.750000,23.930000,Pokémon
pl4-18,Glalie,https://images.pokemontcg.io/pl4/18_hires.png,Rare,0.560000,0.760000,Pokémon
pl4-19,Golem,https://images.pokemontcg.io/pl4/19_hires.png,Rare,1.240000,1.540000,Pokémon
pl4-20,Hariyama,https://images.pokemontcg.io/pl4/20_hires.png,Rare,0.460000,0.730000,Pokémon
pl4-21,Lopunny,https://images.pokemontcg.io/pl4/21_hires.png,Rare,0.640000,1.570000,Pokémon
pl4-22,Manectric,https://images.pokemontcg.io/pl4/22_hires.png,Rare,0.530000,0.520000,Pokémon
pl4-23,Omastar,https://images.pokemontcg.io/pl4/23_hires.png,Rare,0.770000,1.410000,Pokémon
pl4-24,Pelipper,https://images.pokemontcg.io/pl4/24_hires.png,Rare,0.410000,0.810000,Pokémon
pl4-25,Pichu,https://images.pokemontcg.io/pl4/25_hires.png,Rare,3.660000,6.970000,Pokémon
pl4-26,Porygon-Z G,https://images.pokemontcg.io/pl4/26_hires.png,Rare,0.540000,1.500000,Pokémon
pl4-27,Raichu,https://images.pokemontcg.io/pl4/27_hires.png,Rare,6.930000,3.450000,Pokémon
pl4-28,Rapidash,https://images.pokemontcg.io/pl4/28_hires.png,Rare,0.870000,1.550000,Pokémon
pl4-29,Raticate,https://images.pokemontcg.io/pl4/29_hires.png,Rare,0.430000,0.800000,Pokémon
pl4-30,Sceptile,https://images.pokemontcg.io/pl4/30_hires.png,Rare,0.780000,2.040000,Pokémon
pl4-31,Sceptile,https://images.pokemontcg.io/pl4/31_hires.png,Rare,1.280000,1.470000,Pokémon
pl4-32,Spiritomb,https://images.pokemontcg.io/pl4/32_hires.png,Rare,1.330000,4.590000,Pokémon
pl4-33,Bronzong,https://images.pokemontcg.io/pl4/33_hires.png,Uncommon,0.140000,0.430000,Pokémon
pl4-34,Bronzor,https://images.pokemontcg.io/pl4/34_hires.png,Uncommon,0.110000,0.390000,Pokémon
pl4-35,Charmeleon,https://images.pokemontcg.io/pl4/35_hires.png,Uncommon,0.560000,1,Pokémon
pl4-36,Gastly,https://images.pokemontcg.io/pl4/36_hires.png,Uncommon,0.460000,1.190000,Pokémon
pl4-37,Graveler,https://images.pokemontcg.io/pl4/37_hires.png,Uncommon,0.220000,0.840000,Pokémon
pl4-38,Grovyle,https://images.pokemontcg.io/pl4/38_hires.png,Uncommon,0.340000,0.550000,Pokémon
pl4-39,Grovyle,https://images.pokemontcg.io/pl4/39_hires.png,Uncommon,0.250000,0.610000,Pokémon
pl4-40,Gulpin,https://images.pokemontcg.io/pl4/40_hires.png,Uncommon,0.180000,0.550000,Pokémon
pl4-41,Haunter,https://images.pokemontcg.io/pl4/41_hires.png,Uncommon,1.970000,3.030000,Pokémon
pl4-42,Haunter,https://images.pokemontcg.io/pl4/42_hires.png,Uncommon,0.300000,1.030000,Pokémon
pl4-43,Luxio,https://images.pokemontcg.io/pl4/43_hires.png,Uncommon,0.160000,0.310000,Pokémon
pl4-44,Manectric,https://images.pokemontcg.io/pl4/44_hires.png,Uncommon,0.150000,0.310000,Pokémon
pl4-45,Pelipper,https://images.pokemontcg.io/pl4/45_hires.png,Uncommon,0.150000,0.350000,Pokémon
pl4-46,Ponyta,https://images.pokemontcg.io/pl4/46_hires.png,Uncommon,0.340000,0.590000,Pokémon
pl4-47,Rapidash,https://images.pokemontcg.io/pl4/47_hires.png,Uncommon,0.130000,0.810000,Pokémon
pl4-48,Shelgon,https://images.pokemontcg.io/pl4/48_hires.png,Uncommon,0.150000,0.290000,Pokémon
pl4-49,Wormadam Plant Cloak,https://images.pokemontcg.io/pl4/49_hires.png,Uncommon,0.160000,0.260000,Pokémon
pl4-50,Wormadam Sandy Cloak,https://images.pokemontcg.io/pl4/50_hires.png,Uncommon,0.180000,0.250000,Pokémon
pl4-51,Wormadam Trash Cloak,https://images.pokemontcg.io/pl4/51_hires.png,Uncommon,0.150000,0.340000,Pokémon
pl4-52,Bagon,https://images.pokemontcg.io/pl4/52_hires.png,Common,0.120000,0.280000,Pokémon
pl4-53,Beedrill G,https://images.pokemontcg.io/pl4/53_hires.png,Common,0.200000,0.430000,Pokémon
pl4-54,Bronzor,https://images.pokemontcg.io/pl4/54_hires.png,Common,0.150000,0.250000,Pokémon
pl4-55,Buneary,https://images.pokemontcg.io/pl4/55_hires.png,Common,0.140000,0.290000,Pokémon
pl4-56,Burmy Plant Cloak,https://images.pokemontcg.io/pl4/56_hires.png,Common,0.190000,0.260000,Pokémon
pl4-57,Burmy Sandy Cloak,https://images.pokemontcg.io/pl4/57_hires.png,Common,0.240000,0.450000,Pokémon
pl4-58,Burmy Trash Cloak,https://images.pokemontcg.io/pl4/58_hires.png,Common,0.130000,0.340000,Pokémon
pl4-59,Charmander,https://images.pokemontcg.io/pl4/59_hires.png,Common,0.810000,1.350000,Pokémon
pl4-60,Cherubi,https://images.pokemontcg.io/pl4/60_hires.png,Common,0.170000,0.500000,Pokémon
pl4-61,Croagunk,https://images.pokemontcg.io/pl4/61_hires.png,Common,0.290000,0.340000,Pokémon
pl4-62,Electrike,https://images.pokemontcg.io/pl4/62_hires.png,Common,0.080000,0.290000,Pokémon
pl4-63,Electrike,https://images.pokemontcg.io/pl4/63_hires.png,Common,0.090000,0.260000,Pokémon
pl4-64,Gastly,https://images.pokemontcg.io/pl4/64_hires.png,Common,0.150000,0.400000,Pokémon
pl4-65,Geodude,https://images.pokemontcg.io/pl4/65_hires.png,Common,0.110000,0.260000,Pokémon
pl4-66,Gulpin,https://images.pokemontcg.io/pl4/66_hires.png,Common,0.070000,0.210000,Pokémon
