id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh10-1,Beedrill V,https://images.pokemontcg.io/swsh10/1_hires.png,Rare Holo V,1.020000,0.650000,Pokémon
swsh10-2,Hisuian Voltorb,https://images.pokemontcg.io/swsh10/2_hires.png,Common,0.170000,0.050000,Pokémon
swsh10-3,Hisuian Electrode,https://images.pokemontcg.io/swsh10/3_hires.png,Uncommon,0.040000,0.080000,Pokémon
swsh10-4,Scyther,https://images.pokemontcg.io/swsh10/4_hires.png,Common,0.030000,0.080000,Pokémon
swsh10-5,Scyther,https://images.pokemontcg.io/swsh10/5_hires.png,Common,0.030000,0.080000,Pokémon
swsh10-6,Yanma,https://images.pokemontcg.io/swsh10/6_hires.png,Common,0.030000,0.100000,Pokémon
swsh10-7,Yanmega,https://images.pokemontcg.io/swsh10/7_hires.png,Uncommon,0.030000,0.070000,Pokémon
swsh10-8,Heracross,https://images.pokemontcg.io/swsh10/8_hires.png,Common,0.030000,0.040000,Pokémon
swsh10-9,Kricketot,https://images.pokemontcg.io/swsh10/9_hires.png,Common,0.020000,0.040000,Pokémon
swsh10-10,Kricketune,https://images.pokemontcg.io/swsh10/10_hires.png,Uncommon,0.040000,0.090000,Pokémon
swsh10-11,Combee,https://images.pokemontcg.io/swsh10/11_hires.png,Common,0.030000,0.090000,Pokémon
swsh10-12,Vespiquen,https://images.pokemontcg.io/swsh10/12_hires.png,Rare,0.050000,0.120000,Pokémon
swsh10-13,Leafeon,https://images.pokemontcg.io/swsh10/13_hires.png,Rare,0.160000,0.220000,Pokémon
swsh10-14,Shaymin,https://images.pokemontcg.io/swsh10/14_hires.png,Rare,0.090000,0.190000,Pokémon
swsh10-15,Petilil,https://images.pokemontcg.io/swsh10/15_hires.png,Common,0.020000,0.060000,Pokémon
swsh10-16,Hisuian Lilligant,https://images.pokemontcg.io/swsh10/16_hires.png,Rare Holo,0.190000,0.170000,Pokémon
swsh10-17,Hisuian Lilligant V,https://images.pokemontcg.io/swsh10/17_hires.png,Rare Holo V,0.770000,0.610000,Pokémon
swsh10-18,Hisuian Lilligant VSTAR,https://images.pokemontcg.io/swsh10/18_hires.png,Rare Holo VSTAR,1.640000,1.130000,Pokémon
swsh10-19,Rowlet,https://images.pokemontcg.io/swsh10/19_hires.png,Common,0.030000,0.080000,Pokémon
swsh10-20,Dartrix,https://images.pokemontcg.io/swsh10/20_hires.png,Uncommon,0.040000,0.050000,Pokémon
swsh10-21,Ponyta,https://images.pokemontcg.io/swsh10/21_hires.png,Common,0.030000,0.090000,Pokémon
swsh10-22,Rapidash,https://images.pokemontcg.io/swsh10/22_hires.png,Rare,0.100000,0.180000,Pokémon
swsh10-23,Cyndaquil,https://images.pokemontcg.io/swsh10/23_hires.png,Common,0.040000,0.100000,Pokémon
swsh10-24,Quilava,https://images.pokemontcg.io/swsh10/24_hires.png,Uncommon,0.060000,0.130000,Pokémon
swsh10-25,Heatran V,https://images.pokemontcg.io/swsh10/25_hires.png,Rare Holo V,0.940000,0.640000,Pokémon
swsh10-26,Heatran VMAX,https://images.pokemontcg.io/swsh10/26_hires.png,Rare Holo VMAX,1.500000,1.600000,Pokémon
swsh10-27,Radiant Heatran,https://images.pokemontcg.io/swsh10/27_hires.png,Radiant Rare,0.410000,0.360000,Pokémon
swsh10-28,Psyduck,https://images.pokemontcg.io/swsh10/28_hires.png,Common,0.070000,0.120000,Pokémon
swsh10-29,Golduck,https://images.pokemontcg.io/swsh10/29_hires.png,Uncommon,0.040000,0.070000,Pokémon
swsh10-30,Starmie V,https://images.pokemontcg.io/swsh10/30_hires.png,Rare Holo V,0.860000,0.730000,Pokémon
swsh10-31,Swinub,https://images.pokemontcg.io/swsh10/31_hires.png,Common,0.030000,0.080000,Pokémon
swsh10-32,Piloswine,https://images.pokemontcg.io/swsh10/32_hires.png,Uncommon,0.050000,0.080000,Pokémon
swsh10-33,Mamoswine,https://images.pokemontcg.io/swsh10/33_hires.png,Rare,0.080000,0.190000,Pokémon
swsh10-34,Mantine,https://images.pokemontcg.io/swsh10/34_hires.png,Common,0.040000,0.090000,Pokémon
swsh10-35,Barboach,https://images.pokemontcg.io/swsh10/35_hires.png,Common,0.030000,0.040000,Pokémon
swsh10-36,Whiscash,https://images.pokemontcg.io/swsh10/36_hires.png,Uncommon,0.060000,0.100000,Pokémon
swsh10-37,Regice,https://images.pokemontcg.io/swsh10/37_hires.png,Rare,0.110000,0.130000,Pokémon
swsh10-38,Glaceon,https://images.pokemontcg.io/swsh10/38_hires.png,Rare,0.390000,0.340000,Pokémon
swsh10-39,Origin Forme Palkia V,https://images.pokemontcg.io/swsh10/39_hires.png,Rare Holo V,0.740000,0.900000,Pokémon
swsh10-40,Origin Forme Palkia VSTAR,https://images.pokemontcg.io/swsh10/40_hires.png,Rare Holo VSTAR,1.220000,1.110000,Pokémon
swsh10-41,Oshawott,https://images.pokemontcg.io/swsh10/41_hires.png,Common,0.030000,0.090000,Pokémon
swsh10-42,Dewott,https://images.pokemontcg.io/swsh10/42_hires.png,Uncommon,0.040000,0.070000,Pokémon
swsh10-43,Hisuian Basculin,https://images.pokemontcg.io/swsh10/43_hires.png,Common,0.030000,0.050000,Pokémon
swsh10-44,Hisuian Basculegion,https://images.pokemontcg.io/swsh10/44_hires.png,Rare,0.100000,0.120000,Pokémon
swsh10-45,Keldeo,https://images.pokemontcg.io/swsh10/45_hires.png,Rare Holo,0.330000,0.190000,Pokémon
swsh10-46,Radiant Greninja,https://images.pokemontcg.io/swsh10/46_hires.png,Radiant Rare,1.080000,1.540000,Pokémon
swsh10-47,Bergmite,https://images.pokemontcg.io/swsh10/47_hires.png,Common,0.030000,0.050000,Pokémon
swsh10-48,Hisuian Avalugg,https://images.pokemontcg.io/swsh10/48_hires.png,Rare,0.080000,0.130000,Pokémon
swsh10-49,Galarian Mr. Rime V,https://images.pokemontcg.io/swsh10/49_hires.png,Rare Holo V,0.730000,0.670000,Pokémon
swsh10-50,Luxray V,https://images.pokemontcg.io/swsh10/50_hires.png,Rare Holo V,1.480000,1.160000,Pokémon
swsh10-51,Regieleki,https://images.pokemontcg.io/swsh10/51_hires.png,Rare,0.110000,0.170000,Pokémon
swsh10-52,Hisuian Typhlosion,https://images.pokemontcg.io/swsh10/52_hires.png,Rare Holo,2.070000,0.380000,Pokémon
swsh10-53,Hisuian Typhlosion V,https://images.pokemontcg.io/swsh10/53_hires.png,Rare Holo V,1.020000,0.940000,Pokémon
swsh10-54,Hisuian Typhlosion VSTAR,https://images.pokemontcg.io/swsh10/54_hires.png,Rare Holo VSTAR,1.550000,1.440000,Pokémon
