id,name,image,rarity,card_market_price,tcg_market_price,supertype
base4-1,Alakazam,https://images.pokemontcg.io/base4/1_hires.png,Rare Holo,31.270000,34.530000,Pokémon
base4-2,Blastoise,https://images.pokemontcg.io/base4/2_hires.png,Rare Holo,74.780000,116.400000,Pokémon
base4-3,Chansey,https://images.pokemontcg.io/base4/3_hires.png,Rare Holo,11.970000,13.390000,Pokémon
base4-4,Charizard,https://images.pokemontcg.io/base4/4_hires.png,Rare Holo,199.830000,269.440000,Pokémon
base4-5,Clefable,https://images.pokemontcg.io/base4/5_hires.png,Rare Holo,14.120000,14.210000,Pokémon
base4-6,Clefairy,https://images.pokemontcg.io/base4/6_hires.png,Rare Holo,9.380000,10.310000,Pokémon
base4-7,Gyarados,https://images.pokemontcg.io/base4/7_hires.png,Rare Holo,37.970000,27.230000,Pokémon
base4-8,Hitmonchan,https://images.pokemontcg.io/base4/8_hires.png,Rare Holo,14.960000,21.570000,Pokémon
base4-9,Magneton,https://images.pokemontcg.io/base4/9_hires.png,Rare Holo,13,11.280000,Pokémon
base4-10,Mewtwo,https://images.pokemontcg.io/base4/10_hires.png,Rare Holo,14.220000,41.480000,Pokémon
base4-11,Nidoking,https://images.pokemontcg.io/base4/11_hires.png,Rare Holo,16.140000,21.480000,Pokémon
base4-12,Nidoqueen,https://images.pokemontcg.io/base4/12_hires.png,Rare Holo,15.510000,23.830000,Pokémon
base4-13,Ninetales,https://images.pokemontcg.io/base4/13_hires.png,Rare Holo,22.780000,21.990000,Pokémon
base4-14,Pidgeot,https://images.pokemontcg.io/base4/14_hires.png,Rare Holo,18.770000,27.480000,Pokémon
base4-15,Poliwrath,https://images.pokemontcg.io/base4/15_hires.png,Rare Holo,7.610000,10.950000,Pokémon
base4-16,Raichu,https://images.pokemontcg.io/base4/16_hires.png,Rare Holo,19.230000,31.810000,Pokémon
base4-17,Scyther,https://images.pokemontcg.io/base4/17_hires.png,Rare Holo,15.430000,24.020000,Pokémon
base4-18,Venusaur,https://images.pokemontcg.io/base4/18_hires.png,Rare Holo,52.680000,73.040000,Pokémon
base4-19,Wigglytuff,https://images.pokemontcg.io/base4/19_hires.png,Rare Holo,8.210000,11.620000,Pokémon
base4-20,Zapdos,https://images.pokemontcg.io/base4/20_hires.png,Rare Holo,15.690000,23.550000,Pokémon
base4-21,Beedrill,https://images.pokemontcg.io/base4/21_hires.png,Rare,3.530000,1.840000,Pokémon
base4-22,Dragonair,https://images.pokemontcg.io/base4/22_hires.png,Rare,4.550000,8.370000,Pokémon
base4-23,Dugtrio,https://images.pokemontcg.io/base4/23_hires.png,Rare,2.650000,3.200000,Pokémon
base4-24,Electabuzz,https://images.pokemontcg.io/base4/24_hires.png,Rare,3.050000,3.330000,Pokémon
base4-25,Electrode,https://images.pokemontcg.io/base4/25_hires.png,Rare,2.560000,3.670000,Pokémon
base4-26,Kangaskhan,https://images.pokemontcg.io/base4/26_hires.png,Rare,2.650000,3.450000,Pokémon
base4-27,Mr. Mime,https://images.pokemontcg.io/base4/27_hires.png,Rare,3.600000,6.080000,Pokémon
base4-28,Pidgeotto,https://images.pokemontcg.io/base4/28_hires.png,Rare,3.510000,4.850000,Pokémon
base4-29,Pinsir,https://images.pokemontcg.io/base4/29_hires.png,Rare,3.380000,3.220000,Pokémon
base4-30,Snorlax,https://images.pokemontcg.io/base4/30_hires.png,Rare,6.620000,8.640000,Pokémon
base4-31,Venomoth,https://images.pokemontcg.io/base4/31_hires.png,Rare,2.040000,3.360000,Pokémon
base4-32,Victreebel,https://images.pokemontcg.io/base4/32_hires.png,Rare,2.500000,3.150000,Pokémon
base4-33,Arcanine,https://images.pokemontcg.io/base4/33_hires.png,Uncommon,2.830000,2,Pokémon
base4-34,Butterfree,https://images.pokemontcg.io/base4/34_hires.png,Uncommon,1.790000,1.590000,Pokémon
base4-35,Charmeleon,https://images.pokemontcg.io/base4/35_hires.png,Uncommon,2.230000,1.670000,Pokémon
base4-36,Dewgong,https://images.pokemontcg.io/base4/36_hires.png,Uncommon,1.520000,1.200000,Pokémon
base4-37,Dodrio,https://images.pokemontcg.io/base4/37_hires.png,Uncommon,1.370000,1.730000,Pokémon
base4-38,Dratini,https://images.pokemontcg.io/base4/38_hires.png,Uncommon,1.060000,1.170000,Pokémon
base4-39,Exeggutor,https://images.pokemontcg.io/base4/39_hires.png,Uncommon,1.560000,1.250000,Pokémon
base4-40,Farfetch'd,https://images.pokemontcg.io/base4/40_hires.png,Uncommon,0.400000,0.640000,Pokémon
