id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh5-1,Bellsprout,https://images.pokemontcg.io/swsh5/1_hires.png,Common,0.050000,0.070000,Pokémon
swsh5-2,Weepinbell,https://images.pokemontcg.io/swsh5/2_hires.png,Uncommon,0.070000,0.070000,Pokémon
swsh5-3,Victreebel,https://images.pokemontcg.io/swsh5/3_hires.png,Rare,0.110000,0.190000,Pokémon
swsh5-4,Cacnea,https://images.pokemontcg.io/swsh5/4_hires.png,Common,0.060000,0.060000,Pokémon
swsh5-5,Cacturne,https://images.pokemontcg.io/swsh5/5_hires.png,Uncommon,0.070000,0.110000,Pokémon
swsh5-6,Kricketune V,https://images.pokemontcg.io/swsh5/6_hires.png,Rare Holo V,0.900000,0.590000,Pokémon
swsh5-7,Cherubi,https://images.pokemontcg.io/swsh5/7_hires.png,Common,0.040000,0.070000,Pokémon
swsh5-8,Cherrim,https://images.pokemontcg.io/swsh5/8_hires.png,Rare Holo,0.650000,0.580000,Pokémon
swsh5-9,Carnivine,https://images.pokemontcg.io/swsh5/9_hires.png,Uncommon,0.050000,0.060000,Pokémon
swsh5-10,Durant,https://images.pokemontcg.io/swsh5/10_hires.png,Uncommon,0.040000,0.060000,Pokémon
swsh5-11,Scatterbug,https://images.pokemontcg.io/swsh5/11_hires.png,Common,0.030000,0.060000,Pokémon
swsh5-12,Spewpa,https://images.pokemontcg.io/swsh5/12_hires.png,Uncommon,0.040000,0.060000,Pokémon
swsh5-13,Vivillon,https://images.pokemontcg.io/swsh5/13_hires.png,Rare,0.110000,0.140000,Pokémon
swsh5-14,Fomantis,https://images.pokemontcg.io/swsh5/14_hires.png,Common,0.040000,0.080000,Pokémon
swsh5-15,Lurantis,https://images.pokemontcg.io/swsh5/15_hires.png,Rare,0.150000,0.200000,Pokémon
swsh5-16,Tapu Bulu,https://images.pokemontcg.io/swsh5/16_hires.png,Rare Holo,0.360000,0.210000,Pokémon
swsh5-17,Blipbug,https://images.pokemontcg.io/swsh5/17_hires.png,Common,0.030000,0.040000,Pokémon
swsh5-18,Flapple V,https://images.pokemontcg.io/swsh5/18_hires.png,Rare Holo V,1.040000,0.650000,Pokémon
swsh5-19,Flapple VMAX,https://images.pokemontcg.io/swsh5/19_hires.png,Rare Holo VMAX,1.570000,1.800000,Pokémon
swsh5-20,Entei,https://images.pokemontcg.io/swsh5/20_hires.png,Rare Holo,0.380000,0.290000,Pokémon
swsh5-21,Victini V,https://images.pokemontcg.io/swsh5/21_hires.png,Rare Holo V,1.170000,0.910000,Pokémon
swsh5-22,Victini VMAX,https://images.pokemontcg.io/swsh5/22_hires.png,Rare Holo VMAX,2.060000,1.850000,Pokémon
swsh5-23,Tepig,https://images.pokemontcg.io/swsh5/23_hires.png,Common,0.040000,0.090000,Pokémon
swsh5-24,Pignite,https://images.pokemontcg.io/swsh5/24_hires.png,Uncommon,0.080000,0.090000,Pokémon
swsh5-25,Emboar,https://images.pokemontcg.io/swsh5/25_hires.png,Rare Holo,0.320000,0.230000,Pokémon
swsh5-26,Heatmor,https://images.pokemontcg.io/swsh5/26_hires.png,Uncommon,0.060000,0.070000,Pokémon
swsh5-27,Salandit,https://images.pokemontcg.io/swsh5/27_hires.png,Common,0.040000,0.120000,Pokémon
swsh5-28,Salazzle,https://images.pokemontcg.io/swsh5/28_hires.png,Rare,0.080000,0.130000,Pokémon
swsh5-29,Sizzlipede,https://images.pokemontcg.io/swsh5/29_hires.png,Common,0.050000,0.130000,Pokémon
swsh5-30,Centiskorch,https://images.pokemontcg.io/swsh5/30_hires.png,Rare,0.070000,0.120000,Pokémon
swsh5-31,Horsea,https://images.pokemontcg.io/swsh5/31_hires.png,Common,0.040000,0.100000,Pokémon
swsh5-32,Seadra,https://images.pokemontcg.io/swsh5/32_hires.png,Uncommon,0.060000,0.080000,Pokémon
swsh5-33,Kingdra,https://images.pokemontcg.io/swsh5/33_hires.png,Rare Holo,0.420000,0.260000,Pokémon
swsh5-34,Galarian Mr. Mime,https://images.pokemontcg.io/swsh5/34_hires.png,Common,0.050000,0.070000,Pokémon
swsh5-35,Galarian Mr. Rime,https://images.pokemontcg.io/swsh5/35_hires.png,Rare,0.130000,0.180000,Pokémon
swsh5-36,Remoraid,https://images.pokemontcg.io/swsh5/36_hires.png,Common,0.070000,0.060000,Pokémon
swsh5-37,Octillery,https://images.pokemontcg.io/swsh5/37_hires.png,Rare Holo,0.900000,0.180000,Pokémon
swsh5-38,Corphish,https://images.pokemontcg.io/swsh5/38_hires.png,Common,0.040000,0.070000,Pokémon
swsh5-39,Crawdaunt,https://images.pokemontcg.io/swsh5/39_hires.png,Uncommon,0.040000,0.060000,Pokémon
swsh5-40,Empoleon V,https://images.pokemontcg.io/swsh5/40_hires.png,Rare Holo V,1.210000,0.760000,Pokémon
swsh5-41,Frillish,https://images.pokemontcg.io/swsh5/41_hires.png,Common,0.050000,0.070000,Pokémon
swsh5-42,Jellicent,https://images.pokemontcg.io/swsh5/42_hires.png,Rare,0.220000,0.210000,Pokémon
swsh5-43,Bruxish,https://images.pokemontcg.io/swsh5/43_hires.png,Uncommon,0.050000,0.050000,Pokémon
swsh5-44,Electabuzz,https://images.pokemontcg.io/swsh5/44_hires.png,Common,0.040000,0.070000,Pokémon
swsh5-45,Electivire,https://images.pokemontcg.io/swsh5/45_hires.png,Rare,0.120000,0.130000,Pokémon
swsh5-46,Shinx,https://images.pokemontcg.io/swsh5/46_hires.png,Common,0.050000,0.100000,Pokémon
swsh5-47,Luxio,https://images.pokemontcg.io/swsh5/47_hires.png,Uncommon,0.040000,0.060000,Pokémon
swsh5-48,Luxray,https://images.pokemontcg.io/swsh5/48_hires.png,Rare Holo,0.240000,0.240000,Pokémon
swsh5-49,Pachirisu,https://images.pokemontcg.io/swsh5/49_hires.png,Common,0.040000,0.080000,Pokémon
swsh5-50,Tapu Koko V,https://images.pokemontcg.io/swsh5/50_hires.png,Rare Holo V,1.040000,0.680000,Pokémon
swsh5-51,Tapu Koko VMAX,https://images.pokemontcg.io/swsh5/51_hires.png,Rare Holo VMAX,1.460000,1.590000,Pokémon
swsh5-52,Yamper,https://images.pokemontcg.io/swsh5/52_hires.png,Common,0.050000,0.150000,Pokémon
swsh5-53,Boltund,https://images.pokemontcg.io/swsh5/53_hires.png,Rare,0.080000,0.180000,Pokémon
swsh5-54,Galarian Slowpoke,https://images.pokemontcg.io/swsh5/54_hires.png,Common,0.050000,0.120000,Pokémon
swsh5-55,Spoink,https://images.pokemontcg.io/swsh5/55_hires.png,Common,0.050000,0.080000,Pokémon
swsh5-56,Grumpig,https://images.pokemontcg.io/swsh5/56_hires.png,Uncommon,0.080000,0.070000,Pokémon
swsh5-57,Baltoy,https://images.pokemontcg.io/swsh5/57_hires.png,Common,0.040000,0.040000,Pokémon
swsh5-58,Claydol,https://images.pokemontcg.io/swsh5/58_hires.png,Rare,0.130000,0.120000,Pokémon
swsh5-59,Chimecho,https://images.pokemontcg.io/swsh5/59_hires.png,Common,0.030000,0.060000,Pokémon
swsh5-60,Espurr,https://images.pokemontcg.io/swsh5/60_hires.png,Common,0.040000,0.090000,Pokémon
swsh5-61,Meowstic,https://images.pokemontcg.io/swsh5/61_hires.png,Rare Holo,0.420000,0.240000,Pokémon
swsh5-62,Mimikyu V,https://images.pokemontcg.io/swsh5/62_hires.png,Rare Holo V,1.210000,0.910000,Pokémon
swsh5-63,Necrozma V,https://images.pokemontcg.io/swsh5/63_hires.png,Rare Holo V,1.200000,1.010000,Pokémon
swsh5-64,Dottler,https://images.pokemontcg.io/swsh5/64_hires.png,Uncommon,0.050000,0.080000,Pokémon
swsh5-65,Orbeetle,https://images.pokemontcg.io/swsh5/65_hires.png,Rare Holo,0.280000,0.170000,Pokémon
swsh5-66,Mankey,https://images.pokemontcg.io/swsh5/66_hires.png,Common,0.040000,0.050000,Pokémon
swsh5-67,Primeape,https://images.pokemontcg.io/swsh5/67_hires.png,Rare,0.100000,0.180000,Pokémon
swsh5-68,Onix,https://images.pokemontcg.io/swsh5/68_hires.png,Common,0.050000,0.060000,Pokémon
swsh5-69,Cubone,https://images.pokemontcg.io/swsh5/69_hires.png,Common,0.080000,0.120000,Pokémon
