id,name,image,rarity,card_market_price,tcg_market_price,supertype
zsv10pt5-172,Zekrom ex,https://images.pokemontcg.io/zsv10pt5/172_hires.png,Black White Rare,357.480000,462.740000,Pokémon
zsv10pt5-1,Snivy,https://images.pokemontcg.io/zsv10pt5/1_hires.png,Common,0.060000,0.100000,Pokémon
zsv10pt5-2,Servine,https://images.pokemontcg.io/zsv10pt5/2_hires.png,Common,0.060000,0.120000,Pokémon
zsv10pt5-3,Serperior ex,https://images.pokemontcg.io/zsv10pt5/3_hires.png,Double Rare,0.630000,0.420000,Pokémon
zsv10pt5-4,Pansage,https://images.pokemontcg.io/zsv10pt5/4_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-5,Simisage,https://images.pokemontcg.io/zsv10pt5/5_hires.png,Uncommon,0.030000,0.060000,Pokémon
zsv10pt5-6,Petilil,https://images.pokemontcg.io/zsv10pt5/6_hires.png,Common,0.050000,0.080000,Pokémon
zsv10pt5-7,Lilligant,https://images.pokemontcg.io/zsv10pt5/7_hires.png,Uncommon,0.040000,0.080000,Pokémon
zsv10pt5-8,Maractus,https://images.pokemontcg.io/zsv10pt5/8_hires.png,Common,0.040000,0.080000,Pokémon
zsv10pt5-9,Karrablast,https://images.pokemontcg.io/zsv10pt5/9_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-10,Foongus,https://images.pokemontcg.io/zsv10pt5/10_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-11,Amoonguss,https://images.pokemontcg.io/zsv10pt5/11_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-12,Victini,https://images.pokemontcg.io/zsv10pt5/12_hires.png,Rare,0.130000,0.090000,Pokémon
zsv10pt5-13,Darumaka,https://images.pokemontcg.io/zsv10pt5/13_hires.png,Common,0.030000,0.060000,Pokémon
zsv10pt5-14,Darmanitan,https://images.pokemontcg.io/zsv10pt5/14_hires.png,Uncommon,0.040000,0.080000,Pokémon
zsv10pt5-15,Larvesta,https://images.pokemontcg.io/zsv10pt5/15_hires.png,Common,0.040000,0.060000,Pokémon
zsv10pt5-16,Volcarona,https://images.pokemontcg.io/zsv10pt5/16_hires.png,Rare,0.100000,0.090000,Pokémon
zsv10pt5-17,Panpour,https://images.pokemontcg.io/zsv10pt5/17_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-18,Simipour,https://images.pokemontcg.io/zsv10pt5/18_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-19,Tympole,https://images.pokemontcg.io/zsv10pt5/19_hires.png,Common,0.040000,0.060000,Pokémon
zsv10pt5-20,Palpitoad,https://images.pokemontcg.io/zsv10pt5/20_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-21,Seismitoad,https://images.pokemontcg.io/zsv10pt5/21_hires.png,Uncommon,0.050000,0.100000,Pokémon
zsv10pt5-22,Tirtouga,https://images.pokemontcg.io/zsv10pt5/22_hires.png,Uncommon,0.070000,0.120000,Pokémon
zsv10pt5-23,Carracosta,https://images.pokemontcg.io/zsv10pt5/23_hires.png,Rare,0.120000,0.090000,Pokémon
zsv10pt5-24,Alomomola,https://images.pokemontcg.io/zsv10pt5/24_hires.png,Uncommon,0.060000,0.110000,Pokémon
zsv10pt5-25,Cubchoo,https://images.pokemontcg.io/zsv10pt5/25_hires.png,Common,0.060000,0.100000,Pokémon
zsv10pt5-26,Beartic,https://images.pokemontcg.io/zsv10pt5/26_hires.png,Rare,0.090000,0.080000,Pokémon
zsv10pt5-27,Cryogonal,https://images.pokemontcg.io/zsv10pt5/27_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-28,Kyurem ex,https://images.pokemontcg.io/zsv10pt5/28_hires.png,Double Rare,0.600000,3.670000,Pokémon
zsv10pt5-29,Emolga,https://images.pokemontcg.io/zsv10pt5/29_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-30,Tynamo,https://images.pokemontcg.io/zsv10pt5/30_hires.png,Common,0.150000,0.260000,Pokémon
zsv10pt5-31,Eelektrik,https://images.pokemontcg.io/zsv10pt5/31_hires.png,Uncommon,0.270000,0.440000,Pokémon
zsv10pt5-32,Eelektross,https://images.pokemontcg.io/zsv10pt5/32_hires.png,Uncommon,0.050000,0.090000,Pokémon
zsv10pt5-33,Thundurus,https://images.pokemontcg.io/zsv10pt5/33_hires.png,Rare,0.110000,0.080000,Pokémon
zsv10pt5-34,Zekrom ex,https://images.pokemontcg.io/zsv10pt5/34_hires.png,Double Rare,1.600000,1.650000,Pokémon
zsv10pt5-35,Munna,https://images.pokemontcg.io/zsv10pt5/35_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-36,Musharna,https://images.pokemontcg.io/zsv10pt5/36_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-37,Solosis,https://images.pokemontcg.io/zsv10pt5/37_hires.png,Common,0.030000,0.080000,Pokémon
zsv10pt5-38,Duosion,https://images.pokemontcg.io/zsv10pt5/38_hires.png,Common,0.040000,0.080000,Pokémon
zsv10pt5-39,Reuniclus,https://images.pokemontcg.io/zsv10pt5/39_hires.png,Uncommon,0.050000,0.100000,Pokémon
zsv10pt5-40,Elgyem,https://images.pokemontcg.io/zsv10pt5/40_hires.png,Common,0.080000,0.090000,Pokémon
zsv10pt5-41,Beheeyem,https://images.pokemontcg.io/zsv10pt5/41_hires.png,Uncommon,0.040000,0.050000,Pokémon
zsv10pt5-42,Golett,https://images.pokemontcg.io/zsv10pt5/42_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-43,Golurk,https://images.pokemontcg.io/zsv10pt5/43_hires.png,Uncommon,0.040000,0.060000,Pokémon
zsv10pt5-44,Meloetta ex,https://images.pokemontcg.io/zsv10pt5/44_hires.png,Double Rare,0.870000,0.360000,Pokémon
zsv10pt5-45,Drilbur,https://images.pokemontcg.io/zsv10pt5/45_hires.png,Common,0.040000,0.050000,Pokémon
zsv10pt5-46,Excadrill ex,https://images.pokemontcg.io/zsv10pt5/46_hires.png,Double Rare,0.460000,0.460000,Pokémon
zsv10pt5-47,Timburr,https://images.pokemontcg.io/zsv10pt5/47_hires.png,Common,0.060000,0.080000,Pokémon
zsv10pt5-48,Gurdurr,https://images.pokemontcg.io/zsv10pt5/48_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-49,Conkeldurr,https://images.pokemontcg.io/zsv10pt5/49_hires.png,Rare,0.110000,0.080000,Pokémon
zsv10pt5-50,Throh,https://images.pokemontcg.io/zsv10pt5/50_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-51,Dwebble,https://images.pokemontcg.io/zsv10pt5/51_hires.png,Common,0.050000,0.070000,Pokémon
zsv10pt5-52,Crustle,https://images.pokemontcg.io/zsv10pt5/52_hires.png,Uncommon,0.040000,0.060000,Pokémon
zsv10pt5-53,Landorus,https://images.pokemontcg.io/zsv10pt5/53_hires.png,Rare,0.110000,0.070000,Pokémon
zsv10pt5-54,Venipede,https://images.pokemontcg.io/zsv10pt5/54_hires.png,Common,0.040000,0.050000,Pokémon
zsv10pt5-55,Whirlipede,https://images.pokemontcg.io/zsv10pt5/55_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-56,Scolipede,https://images.pokemontcg.io/zsv10pt5/56_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-57,Sandile,https://images.pokemontcg.io/zsv10pt5/57_hires.png,Common,0.040000,0.070000,Pokémon
zsv10pt5-58,Krokorok,https://images.pokemontcg.io/zsv10pt5/58_hires.png,Common,0.040000,0.090000,Pokémon
zsv10pt5-59,Krookodile,https://images.pokemontcg.io/zsv10pt5/59_hires.png,Uncommon,0.040000,0.090000,Pokémon
zsv10pt5-60,Escavalier,https://images.pokemontcg.io/zsv10pt5/60_hires.png,Uncommon,0.040000,0.070000,Pokémon
zsv10pt5-61,Klink,https://images.pokemontcg.io/zsv10pt5/61_hires.png,Common,0.040000,0.060000,Pokémon
zsv10pt5-62,Klang,https://images.pokemontcg.io/zsv10pt5/62_hires.png,Common,0.040000,0.050000,Pokémon
