id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw7-1,Oddish,https://images.pokemontcg.io/bw7/1_hires.png,Common,0.180000,0.330000,Pokémon
bw7-2,Gloom,https://images.pokemontcg.io/bw7/2_hires.png,Uncommon,0.150000,0.280000,Pokémon
bw7-3,Vileplume,https://images.pokemontcg.io/bw7/3_hires.png,Rare Holo,1.650000,2.010000,Pokémon
bw7-4,Bellossom,https://images.pokemontcg.io/bw7/4_hires.png,Rare,0.680000,0.760000,Pokémon
bw7-5,Tangela,https://images.pokemontcg.io/bw7/5_hires.png,Common,0.180000,0.250000,Pokémon
bw7-6,Tangrowth,https://images.pokemontcg.io/bw7/6_hires.png,Rare Holo,1.550000,1.800000,Pokémon
bw7-7,Scyther,https://images.pokemontcg.io/bw7/7_hires.png,Common,0.370000,1.100000,Pokémon
bw7-8,Heracross,https://images.pokemontcg.io/bw7/8_hires.png,Uncommon,0.730000,1.010000,Pokémon
bw7-9,Celebi-EX,https://images.pokemontcg.io/bw7/9_hires.png,Rare Holo EX,12.440000,27.630000,Pokémon
bw7-10,Shaymin,https://images.pokemontcg.io/bw7/10_hires.png,Rare,0.830000,1.170000,Pokémon
bw7-11,Snivy,https://images.pokemontcg.io/bw7/11_hires.png,Common,0.210000,0.300000,Pokémon
bw7-12,Servine,https://images.pokemontcg.io/bw7/12_hires.png,Uncommon,0.370000,0.850000,Pokémon
bw7-13,Serperior,https://images.pokemontcg.io/bw7/13_hires.png,Rare Holo,2.410000,4.020000,Pokémon
bw7-14,Cottonee,https://images.pokemontcg.io/bw7/14_hires.png,Common,0.210000,0.240000,Pokémon
bw7-15,Whimsicott,https://images.pokemontcg.io/bw7/15_hires.png,Rare,0.530000,0.370000,Pokémon
bw7-16,Petilil,https://images.pokemontcg.io/bw7/16_hires.png,Uncommon,0.150000,0.350000,Pokémon
bw7-17,Lilligant,https://images.pokemontcg.io/bw7/17_hires.png,Rare,0.560000,0.510000,Pokémon
bw7-18,Charmander,https://images.pokemontcg.io/bw7/18_hires.png,Common,2.820000,1.960000,Pokémon
bw7-19,Charmeleon,https://images.pokemontcg.io/bw7/19_hires.png,Uncommon,1.980000,1.460000,Pokémon
bw7-20,Charizard,https://images.pokemontcg.io/bw7/20_hires.png,Rare Holo,16.740000,32.490000,Pokémon
bw7-21,Numel,https://images.pokemontcg.io/bw7/21_hires.png,Common,0.190000,0.200000,Pokémon
bw7-22,Camerupt,https://images.pokemontcg.io/bw7/22_hires.png,Rare,0.340000,0.220000,Pokémon
bw7-23,Victini,https://images.pokemontcg.io/bw7/23_hires.png,Rare,0.990000,0.630000,Pokémon
bw7-24,Tepig,https://images.pokemontcg.io/bw7/24_hires.png,Common,0.130000,0.410000,Pokémon
bw7-25,Pignite,https://images.pokemontcg.io/bw7/25_hires.png,Uncommon,0.570000,1.070000,Pokémon
bw7-26,Emboar,https://images.pokemontcg.io/bw7/26_hires.png,Rare Holo,0.990000,2.960000,Pokémon
bw7-27,Darumaka,https://images.pokemontcg.io/bw7/27_hires.png,Common,0.160000,0.200000,Pokémon
bw7-28,Darmanitan,https://images.pokemontcg.io/bw7/28_hires.png,Uncommon,0.200000,0.550000,Pokémon
bw7-29,Squirtle,https://images.pokemontcg.io/bw7/29_hires.png,Common,1.390000,1.720000,Pokémon
bw7-30,Wartortle,https://images.pokemontcg.io/bw7/30_hires.png,Uncommon,0.500000,0.400000,Pokémon
bw7-31,Blastoise,https://images.pokemontcg.io/bw7/31_hires.png,Rare Holo,5.320000,5.570000,Pokémon
bw7-32,Psyduck,https://images.pokemontcg.io/bw7/32_hires.png,Common,2.600000,1.510000,Pokémon
bw7-33,Psyduck,https://images.pokemontcg.io/bw7/33_hires.png,Common,0.720000,0.450000,Pokémon
bw7-34,Golduck,https://images.pokemontcg.io/bw7/34_hires.png,Uncommon,0.270000,0.270000,Pokémon
bw7-35,Golduck,https://images.pokemontcg.io/bw7/35_hires.png,Rare,0.810000,0.570000,Pokémon
bw7-36,Marill,https://images.pokemontcg.io/bw7/36_hires.png,Common,0.210000,0.410000,Pokémon
bw7-37,Azumarill,https://images.pokemontcg.io/bw7/37_hires.png,Uncommon,0.290000,0.430000,Pokémon
bw7-38,Delibird,https://images.pokemontcg.io/bw7/38_hires.png,Uncommon,13.990000,0.270000,Pokémon
bw7-39,Oshawott,https://images.pokemontcg.io/bw7/39_hires.png,Common,0.160000,0.280000,Pokémon
bw7-40,Dewott,https://images.pokemontcg.io/bw7/40_hires.png,Uncommon,0.190000,0.420000,Pokémon
bw7-41,Samurott,https://images.pokemontcg.io/bw7/41_hires.png,Rare Holo,1.060000,1.760000,Pokémon
bw7-42,Ducklett,https://images.pokemontcg.io/bw7/42_hires.png,Common,0.280000,0.300000,Pokémon
bw7-43,Swanna,https://images.pokemontcg.io/bw7/43_hires.png,Uncommon,0.160000,0.240000,Pokémon
bw7-44,Frillish,https://images.pokemontcg.io/bw7/44_hires.png,Common,0.120000,0.250000,Pokémon
bw7-45,Jellicent,https://images.pokemontcg.io/bw7/45_hires.png,Rare,0.490000,0.630000,Pokémon
