id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy9-1,Chikorita,https://images.pokemontcg.io/xy9/1_hires.png,Common,0.140000,0.270000,Pokémon
xy9-2,Bayleef,https://images.pokemontcg.io/xy9/2_hires.png,Uncommon,0.310000,0.790000,Pokémon
xy9-3,Meganium,https://images.pokemontcg.io/xy9/3_hires.png,Rare Holo,1.470000,1.600000,Pokémon
xy9-4,Seedot,https://images.pokemontcg.io/xy9/4_hires.png,Common,0.100000,0.100000,Pokémon
xy9-5,Kricketot,https://images.pokemontcg.io/xy9/5_hires.png,Common,0.070000,0.170000,Pokémon
xy9-6,Kricketune,https://images.pokemontcg.io/xy9/6_hires.png,Uncommon,0.120000,0.140000,Pokémon
xy9-7,Petilil,https://images.pokemontcg.io/xy9/7_hires.png,Common,0.050000,0.120000,Pokémon
xy9-8,Lilligant,https://images.pokemontcg.io/xy9/8_hires.png,Rare,0.160000,0.380000,Pokémon
xy9-9,Durant,https://images.pokemontcg.io/xy9/9_hires.png,Uncommon,0.120000,0.130000,Pokémon
xy9-10,Growlithe,https://images.pokemontcg.io/xy9/10_hires.png,Common,0.130000,0.180000,Pokémon
xy9-11,Arcanine,https://images.pokemontcg.io/xy9/11_hires.png,Uncommon,0.410000,0.410000,Pokémon
xy9-12,Numel,https://images.pokemontcg.io/xy9/12_hires.png,Common,0.060000,0.090000,Pokémon
xy9-13,Camerupt,https://images.pokemontcg.io/xy9/13_hires.png,Rare,0.160000,0.180000,Pokémon
xy9-14,Emboar-EX,https://images.pokemontcg.io/xy9/14_hires.png,Rare Holo EX,3.190000,2.400000,Pokémon
xy9-15,Heatmor,https://images.pokemontcg.io/xy9/15_hires.png,Uncommon,0.120000,0.080000,Pokémon
xy9-16,Psyduck,https://images.pokemontcg.io/xy9/16_hires.png,Common,0.190000,0.290000,Pokémon
xy9-17,Golduck,https://images.pokemontcg.io/xy9/17_hires.png,Rare,0.230000,0.250000,Pokémon
xy9-18,Golduck BREAK,https://images.pokemontcg.io/xy9/18_hires.png,Rare BREAK,4.250000,3.050000,Pokémon
xy9-19,Slowpoke,https://images.pokemontcg.io/xy9/19_hires.png,Common,0.120000,0.240000,Pokémon
xy9-20,Slowbro,https://images.pokemontcg.io/xy9/20_hires.png,Uncommon,0.140000,0.370000,Pokémon
xy9-21,Slowking,https://images.pokemontcg.io/xy9/21_hires.png,Rare Holo,0.750000,0.730000,Pokémon
xy9-22,Shellder,https://images.pokemontcg.io/xy9/22_hires.png,Common,0.050000,0.160000,Pokémon
xy9-23,Shellder,https://images.pokemontcg.io/xy9/23_hires.png,Common,0.050000,0.090000,Pokémon
xy9-24,Cloyster,https://images.pokemontcg.io/xy9/24_hires.png,Uncommon,0.160000,0.180000,Pokémon
xy9-25,Staryu,https://images.pokemontcg.io/xy9/25_hires.png,Common,0.070000,0.140000,Pokémon
xy9-26,Gyarados-EX,https://images.pokemontcg.io/xy9/26_hires.png,Rare Holo EX,9.960000,10.350000,Pokémon
xy9-27,M Gyarados-EX,https://images.pokemontcg.io/xy9/27_hires.png,Rare Holo EX,29.480000,35.320000,Pokémon
xy9-28,Lapras,https://images.pokemontcg.io/xy9/28_hires.png,Uncommon,0.550000,0.330000,Pokémon
xy9-29,Corsola,https://images.pokemontcg.io/xy9/29_hires.png,Common,0.080000,0.220000,Pokémon
xy9-30,Suicune,https://images.pokemontcg.io/xy9/30_hires.png,Rare Holo,5.550000,2.360000,Pokémon
xy9-31,Palkia-EX,https://images.pokemontcg.io/xy9/31_hires.png,Rare Holo EX,8.390000,4.550000,Pokémon
xy9-32,Manaphy-EX,https://images.pokemontcg.io/xy9/32_hires.png,Rare Holo EX,3.690000,2.160000,Pokémon
xy9-33,Tympole,https://images.pokemontcg.io/xy9/33_hires.png,Common,0.080000,0.130000,Pokémon
xy9-34,Palpitoad,https://images.pokemontcg.io/xy9/34_hires.png,Uncommon,0.130000,0.120000,Pokémon
xy9-35,Seismitoad,https://images.pokemontcg.io/xy9/35_hires.png,Rare,0.230000,0.210000,Pokémon
xy9-36,Ducklett,https://images.pokemontcg.io/xy9/36_hires.png,Common,0.070000,0.130000,Pokémon
xy9-37,Swanna,https://images.pokemontcg.io/xy9/37_hires.png,Uncommon,0.170000,0.140000,Pokémon
xy9-38,Froakie,https://images.pokemontcg.io/xy9/38_hires.png,Common,0.100000,0.190000,Pokémon
xy9-39,Frogadier,https://images.pokemontcg.io/xy9/39_hires.png,Uncommon,0.170000,0.190000,Pokémon
xy9-40,Greninja,https://images.pokemontcg.io/xy9/40_hires.png,Rare,10,1.480000,Pokémon
xy9-41,Greninja BREAK,https://images.pokemontcg.io/xy9/41_hires.png,Rare BREAK,6.640000,9.920000,Pokémon
xy9-42,Electabuzz,https://images.pokemontcg.io/xy9/42_hires.png,Common,0.050000,0.120000,Pokémon
xy9-43,Electivire,https://images.pokemontcg.io/xy9/43_hires.png,Uncommon,0.100000,0.140000,Pokémon
xy9-44,Shinx,https://images.pokemontcg.io/xy9/44_hires.png,Common,0.150000,0.240000,Pokémon
xy9-45,Luxio,https://images.pokemontcg.io/xy9/45_hires.png,Uncommon,0.150000,0.130000,Pokémon
xy9-46,Luxray,https://images.pokemontcg.io/xy9/46_hires.png,Rare,0.530000,0.250000,Pokémon
xy9-47,Luxray BREAK,https://images.pokemontcg.io/xy9/47_hires.png,Rare BREAK,3.820000,4.250000,Pokémon
xy9-48,Blitzle,https://images.pokemontcg.io/xy9/48_hires.png,Common,0.080000,0.110000,Pokémon
xy9-49,Zebstrika,https://images.pokemontcg.io/xy9/49_hires.png,Rare,0.220000,0.200000,Pokémon
xy9-50,Drowzee,https://images.pokemontcg.io/xy9/50_hires.png,Common,0.050000,0.130000,Pokémon
xy9-51,Hypno,https://images.pokemontcg.io/xy9/51_hires.png,Rare,0.500000,0.580000,Pokémon
xy9-52,Espeon-EX,https://images.pokemontcg.io/xy9/52_hires.png,Rare Holo EX,0,13.890000,Pokémon
xy9-53,Skorupi,https://images.pokemontcg.io/xy9/53_hires.png,Common,0.070000,0.120000,Pokémon
xy9-54,Drapion,https://images.pokemontcg.io/xy9/54_hires.png,Rare,0.350000,0.240000,Pokémon
xy9-55,Sigilyph,https://images.pokemontcg.io/xy9/55_hires.png,Uncommon,0.060000,0.140000,Pokémon
xy9-56,Trubbish,https://images.pokemontcg.io/xy9/56_hires.png,Common,0.150000,0.270000,Pokémon
