id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy8-1,Paras,https://images.pokemontcg.io/xy8/1_hires.png,Common,0.100000,0.150000,Pokémon
xy8-2,Parasect,https://images.pokemontcg.io/xy8/2_hires.png,Rare,0.320000,0.300000,Pokémon
xy8-3,Pinsir,https://images.pokemontcg.io/xy8/3_hires.png,Uncommon,0.100000,0.250000,Pokémon
xy8-4,Cacnea,https://images.pokemontcg.io/xy8/4_hires.png,Common,0.150000,0.300000,Pokémon
xy8-5,Pansage,https://images.pokemontcg.io/xy8/5_hires.png,Common,0.060000,0.110000,Pokémon
xy8-6,Simisage,https://images.pokemontcg.io/xy8/6_hires.png,Rare,0.390000,0.240000,Pokémon
xy8-7,Chespin,https://images.pokemontcg.io/xy8/7_hires.png,Common,0.270000,0.320000,Pokémon
xy8-8,Chespin,https://images.pokemontcg.io/xy8/8_hires.png,Common,0.170000,0.180000,Pokémon
xy8-9,Chespin,https://images.pokemontcg.io/xy8/9_hires.png,Common,0.210000,0.310000,Pokémon
xy8-10,Quilladin,https://images.pokemontcg.io/xy8/10_hires.png,Uncommon,0.730000,0.480000,Pokémon
xy8-11,Chesnaught,https://images.pokemontcg.io/xy8/11_hires.png,Rare Holo,2.270000,1.240000,Pokémon
xy8-12,Chesnaught BREAK,https://images.pokemontcg.io/xy8/12_hires.png,Rare BREAK,3.190000,2.670000,Pokémon
xy8-13,Scatterbug,https://images.pokemontcg.io/xy8/13_hires.png,Common,0.130000,0.110000,Pokémon
xy8-14,Spewpa,https://images.pokemontcg.io/xy8/14_hires.png,Uncommon,0.160000,0.220000,Pokémon
xy8-15,Vivillon,https://images.pokemontcg.io/xy8/15_hires.png,Rare Holo,0.560000,0.450000,Pokémon
xy8-16,Skiddo,https://images.pokemontcg.io/xy8/16_hires.png,Common,0.160000,0.140000,Pokémon
xy8-17,Gogoat,https://images.pokemontcg.io/xy8/17_hires.png,Uncommon,0.100000,0.140000,Pokémon
xy8-18,Cyndaquil,https://images.pokemontcg.io/xy8/18_hires.png,Common,0.260000,0.690000,Pokémon
xy8-19,Quilava,https://images.pokemontcg.io/xy8/19_hires.png,Uncommon,0.160000,0.320000,Pokémon
xy8-20,Typhlosion,https://images.pokemontcg.io/xy8/20_hires.png,Rare Holo,3.930000,4.030000,Pokémon
xy8-21,Houndoom-EX,https://images.pokemontcg.io/xy8/21_hires.png,Rare Holo EX,5.930000,5.420000,Pokémon
xy8-22,M Houndoom-EX,https://images.pokemontcg.io/xy8/22_hires.png,Rare Holo EX,15.150000,21.410000,Pokémon
xy8-23,Pansear,https://images.pokemontcg.io/xy8/23_hires.png,Common,0.050000,0.100000,Pokémon
xy8-24,Simisear,https://images.pokemontcg.io/xy8/24_hires.png,Rare,0.290000,0.210000,Pokémon
xy8-25,Fennekin,https://images.pokemontcg.io/xy8/25_hires.png,Common,0.090000,0.170000,Pokémon
xy8-26,Braixen,https://images.pokemontcg.io/xy8/26_hires.png,Uncommon,0.150000,0.210000,Pokémon
xy8-27,Goldeen,https://images.pokemontcg.io/xy8/27_hires.png,Common,0.050000,0.140000,Pokémon
xy8-28,Seaking,https://images.pokemontcg.io/xy8/28_hires.png,Uncommon,0.250000,0.150000,Pokémon
