id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh9-1,Exeggcute,https://images.pokemontcg.io/swsh9/1_hires.png,Common,0.030000,0.030000,Pokémon
swsh9-2,Exeggutor,https://images.pokemontcg.io/swsh9/2_hires.png,Uncommon,0.030000,0.040000,Pokémon
swsh9-3,Shroomish,https://images.pokemontcg.io/swsh9/3_hires.png,Common,0.030000,0.040000,Pokémon
swsh9-4,Breloom,https://images.pokemontcg.io/swsh9/4_hires.png,Rare,0.060000,0.130000,Pokémon
swsh9-5,Tropius,https://images.pokemontcg.io/swsh9/5_hires.png,Uncommon,0.030000,0.060000,Pokémon
swsh9-6,Turtwig,https://images.pokemontcg.io/swsh9/6_hires.png,Common,0.030000,0.070000,Pokémon
swsh9-7,Grotle,https://images.pokemontcg.io/swsh9/7_hires.png,Uncommon,0.060000,0.090000,Pokémon
swsh9-8,Torterra,https://images.pokemontcg.io/swsh9/8_hires.png,Rare Holo,0.280000,0.210000,Pokémon
swsh9-9,Burmy,https://images.pokemontcg.io/swsh9/9_hires.png,Common,0.030000,0.080000,Pokémon
swsh9-10,Wormadam,https://images.pokemontcg.io/swsh9/10_hires.png,Rare,0.070000,0.150000,Pokémon
swsh9-11,Mothim,https://images.pokemontcg.io/swsh9/11_hires.png,Rare,0.070000,0.140000,Pokémon
swsh9-12,Cherubi,https://images.pokemontcg.io/swsh9/12_hires.png,Common,0.030000,0.060000,Pokémon
swsh9-13,Shaymin V,https://images.pokemontcg.io/swsh9/13_hires.png,Rare Holo V,0.810000,0.570000,Pokémon
swsh9-14,Shaymin VSTAR,https://images.pokemontcg.io/swsh9/14_hires.png,Rare Holo VSTAR,1.180000,0.800000,Pokémon
swsh9-15,Karrablast,https://images.pokemontcg.io/swsh9/15_hires.png,Common,0.030000,0.040000,Pokémon
swsh9-16,Zarude V,https://images.pokemontcg.io/swsh9/16_hires.png,Rare Holo V,0.680000,0.620000,Pokémon
swsh9-17,Charizard V,https://images.pokemontcg.io/swsh9/17_hires.png,Rare Holo V,3.820000,2.820000,Pokémon
swsh9-18,Charizard VSTAR,https://images.pokemontcg.io/swsh9/18_hires.png,Rare Holo VSTAR,8.480000,5.930000,Pokémon
