id,name,image,rarity,card_market_price,tcg_market_price,supertype
bwp-BW01,Snivy,https://images.pokemontcg.io/bwp/BW01_hires.png,Promo,0.960000,1.190000,Pokémon
bwp-BW02,Tepig,https://images.pokemontcg.io/bwp/BW02_hires.png,Promo,0.690000,1.530000,Pokémon
bwp-BW03,Oshawott,https://images.pokemontcg.io/bwp/BW03_hires.png,Promo,2.410000,2.840000,Pokémon
bwp-BW004,Reshiram,https://images.pokemontcg.io/bwp/BW004_hires.png,Promo,0,2.740000,Pokémon
bwp-BW005,Zekrom,https://images.pokemontcg.io/bwp/BW005_hires.png,Promo,0,1.610000,Pokémon
bwp-BW06,Snivy,https://images.pokemontcg.io/bwp/BW06_hires.png,Promo,5,1.260000,Pokémon
bwp-BW07,Tepig,https://images.pokemontcg.io/bwp/BW07_hires.png,Promo,3.500000,1.080000,Pokémon
bwp-BW08,Oshawott,https://images.pokemontcg.io/bwp/BW08_hires.png,Promo,2.250000,2,Pokémon
bwp-BW09,Zoroark,https://images.pokemontcg.io/bwp/BW09_hires.png,Promo,1.490000,2.840000,Pokémon
bwp-BW10,Axew,https://images.pokemontcg.io/bwp/BW10_hires.png,Promo,5.610000,1.750000,Pokémon
bwp-BW11,Pansage,https://images.pokemontcg.io/bwp/BW11_hires.png,Promo,3,1.610000,Pokémon
bwp-BW12,Zorua,https://images.pokemontcg.io/bwp/BW12_hires.png,Promo,19.490000,10.090000,Pokémon
bwp-BW13,Minccino,https://images.pokemontcg.io/bwp/BW13_hires.png,Promo,17.450000,6.530000,Pokémon
bwp-BW14,Pansage,https://images.pokemontcg.io/bwp/BW14_hires.png,Promo,41.700000,33.430000,Pokémon
bwp-BW15,Pidove,https://images.pokemontcg.io/bwp/BW15_hires.png,Promo,110,40,Pokémon
bwp-BW16,Axew,https://images.pokemontcg.io/bwp/BW16_hires.png,Promo,76.510000,0,Pokémon
bwp-BW17,Ducklett,https://images.pokemontcg.io/bwp/BW17_hires.png,Promo,3.970000,1.020000,Pokémon
bwp-BW18,Darumaka,https://images.pokemontcg.io/bwp/BW18_hires.png,Promo,5.990000,5.090000,Pokémon
bwp-BW19,Zoroark,https://images.pokemontcg.io/bwp/BW19_hires.png,Promo,3.470000,2.220000,Pokémon
bwp-BW20,Serperior,https://images.pokemontcg.io/bwp/BW20_hires.png,Promo,1.880000,7.050000,Pokémon
bwp-BW21,Emboar,https://images.pokemontcg.io/bwp/BW21_hires.png,Promo,2.030000,2.690000,Pokémon
bwp-BW22,Samurott,https://images.pokemontcg.io/bwp/BW22_hires.png,Promo,1.600000,2.560000,Pokémon
bwp-BW23,Reshiram,https://images.pokemontcg.io/bwp/BW23_hires.png,Promo,4.400000,5.870000,Pokémon
bwp-BW24,Zekrom,https://images.pokemontcg.io/bwp/BW24_hires.png,Promo,7,4.020000,Pokémon
bwp-BW25,Scraggy,https://images.pokemontcg.io/bwp/BW25_hires.png,Promo,13.980000,2.420000,Pokémon
bwp-BW26,Axew,https://images.pokemontcg.io/bwp/BW26_hires.png,Promo,7,3.480000,Pokémon
bwp-BW27,Litwick,https://images.pokemontcg.io/bwp/BW27_hires.png,Promo,0,19.980000,Pokémon
bwp-BW28,Tropical Beach,https://images.pokemontcg.io/bwp/BW28_hires.png,Promo,0,99.990000,Trainer
bwp-BW29,Victory Cup,https://images.pokemontcg.io/bwp/BW29_hires.png,Promo,40,77.450000,Trainer
bwp-BW30,Victory Cup,https://images.pokemontcg.io/bwp/BW30_hires.png,Promo,51.990000,0,Trainer
bwp-BW31,Victory Cup,https://images.pokemontcg.io/bwp/BW31_hires.png,Promo,99.500000,115.710000,Trainer
bwp-BW32,Victini,https://images.pokemontcg.io/bwp/BW32_hires.png,Promo,1.790000,3.300000,Pokémon
