id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm7-1,Bellsprout,https://images.pokemontcg.io/sm7/1_hires.png,Common,0.090000,0.160000,Pokémon
sm7-2,Weepinbell,https://images.pokemontcg.io/sm7/2_hires.png,Uncommon,0.250000,0.250000,Pokémon
sm7-3,Victreebel,https://images.pokemontcg.io/sm7/3_hires.png,Rare Holo,0.920000,0.770000,Pokémon
sm7-4,Scyther,https://images.pokemontcg.io/sm7/4_hires.png,Uncommon,0.350000,0.430000,Pokémon
sm7-5,Spinarak,https://images.pokemontcg.io/sm7/5_hires.png,Common,0.080000,0.250000,Pokémon
sm7-6,Ariados,https://images.pokemontcg.io/sm7/6_hires.png,Rare Holo,0.620000,0.690000,Pokémon
sm7-7,Treecko,https://images.pokemontcg.io/sm7/7_hires.png,Common,0.090000,0.240000,Pokémon
sm7-8,Treecko,https://images.pokemontcg.io/sm7/8_hires.png,Common,0.420000,0.210000,Pokémon
sm7-9,Grovyle,https://images.pokemontcg.io/sm7/9_hires.png,Uncommon,0.230000,0.420000,Pokémon
sm7-10,Sceptile,https://images.pokemontcg.io/sm7/10_hires.png,Rare,0.980000,1.630000,Pokémon
sm7-10a,Sceptile,https://images.pokemontcg.io/sm7/10a_hires.png,Rare Holo,1.830000,0,Pokémon
sm7-11,Seedot,https://images.pokemontcg.io/sm7/11_hires.png,Common,0.090000,0.150000,Pokémon
sm7-12,Seedot,https://images.pokemontcg.io/sm7/12_hires.png,Common,0.060000,0.120000,Pokémon
sm7-13,Nuzleaf,https://images.pokemontcg.io/sm7/13_hires.png,Uncommon,0.110000,0.210000,Pokémon
sm7-14,Shiftry-GX,https://images.pokemontcg.io/sm7/14_hires.png,Rare Holo GX,2.430000,2.180000,Pokémon
sm7-15,Surskit,https://images.pokemontcg.io/sm7/15_hires.png,Common,0.080000,0.170000,Pokémon
sm7-16,Masquerain,https://images.pokemontcg.io/sm7/16_hires.png,Uncommon,0.150000,0.210000,Pokémon
sm7-17,Volbeat,https://images.pokemontcg.io/sm7/17_hires.png,Uncommon,0.200000,0.280000,Pokémon
sm7-18,Illumise,https://images.pokemontcg.io/sm7/18_hires.png,Uncommon,0.210000,0.300000,Pokémon
sm7-19,Cacnea,https://images.pokemontcg.io/sm7/19_hires.png,Common,0.060000,0.090000,Pokémon
sm7-20,Cacturne,https://images.pokemontcg.io/sm7/20_hires.png,Uncommon,0.180000,0.220000,Pokémon
sm7-21,Tropius,https://images.pokemontcg.io/sm7/21_hires.png,Uncommon,0.170000,0.270000,Pokémon
sm7-22,Dhelmise,https://images.pokemontcg.io/sm7/22_hires.png,Rare,0.250000,0.250000,Pokémon
sm7-23,Slugma,https://images.pokemontcg.io/sm7/23_hires.png,Common,0.060000,0.180000,Pokémon
sm7-24,Magcargo,https://images.pokemontcg.io/sm7/24_hires.png,Rare,6.620000,1.060000,Pokémon
sm7-25,Torchic,https://images.pokemontcg.io/sm7/25_hires.png,Common,0.080000,0.220000,Pokémon
sm7-26,Torchic,https://images.pokemontcg.io/sm7/26_hires.png,Common,0.070000,0.210000,Pokémon
sm7-27,Combusken,https://images.pokemontcg.io/sm7/27_hires.png,Uncommon,0.120000,0.300000,Pokémon
sm7-28,Blaziken-GX,https://images.pokemontcg.io/sm7/28_hires.png,Rare Holo GX,4.990000,6.940000,Pokémon
sm7-29,Torkoal,https://images.pokemontcg.io/sm7/29_hires.png,Uncommon,0.170000,0.190000,Pokémon
sm7-30,Oricorio,https://images.pokemontcg.io/sm7/30_hires.png,Uncommon,0.250000,0.410000,Pokémon
sm7-31,Articuno-GX,https://images.pokemontcg.io/sm7/31_hires.png,Rare Holo GX,6.650000,6.630000,Pokémon
sm7-32,Mudkip,https://images.pokemontcg.io/sm7/32_hires.png,Common,0.090000,0.380000,Pokémon
sm7-33,Mudkip,https://images.pokemontcg.io/sm7/33_hires.png,Common,0.060000,0.290000,Pokémon
sm7-34,Marshtomp,https://images.pokemontcg.io/sm7/34_hires.png,Uncommon,0.270000,0.430000,Pokémon
sm7-35,Swampert,https://images.pokemontcg.io/sm7/35_hires.png,Rare,1.280000,1.010000,Pokémon
sm7-36,Lotad,https://images.pokemontcg.io/sm7/36_hires.png,Common,0.080000,0.180000,Pokémon
sm7-37,Lombre,https://images.pokemontcg.io/sm7/37_hires.png,Uncommon,0.130000,0.210000,Pokémon
sm7-38,Ludicolo,https://images.pokemontcg.io/sm7/38_hires.png,Rare Holo,0.680000,0.770000,Pokémon
sm7-39,Wailmer,https://images.pokemontcg.io/sm7/39_hires.png,Common,0.060000,0.180000,Pokémon
sm7-40,Wailord,https://images.pokemontcg.io/sm7/40_hires.png,Rare,1.040000,0.320000,Pokémon
sm7-41,Clamperl,https://images.pokemontcg.io/sm7/41_hires.png,Common,0.110000,0.210000,Pokémon
sm7-42,Huntail,https://images.pokemontcg.io/sm7/42_hires.png,Uncommon,0.180000,0.290000,Pokémon
