id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh35-1,Venusaur V,https://images.pokemontcg.io/swsh35/1_hires.png,Rare Holo V,2.450000,1.980000,Pokémon
swsh35-2,Weedle,https://images.pokemontcg.io/swsh35/2_hires.png,Common,0.070000,0.130000,Pokémon
swsh35-3,Kakuna,https://images.pokemontcg.io/swsh35/3_hires.png,Common,0.050000,0.060000,Pokémon
swsh35-4,Beedrill,https://images.pokemontcg.io/swsh35/4_hires.png,Uncommon,0.080000,0.090000,Pokémon
swsh35-5,Eldegoss V,https://images.pokemontcg.io/swsh35/5_hires.png,Rare Holo V,1.200000,0.590000,Pokémon
swsh35-6,Vulpix,https://images.pokemontcg.io/swsh35/6_hires.png,Common,0.080000,0.140000,Pokémon
swsh35-7,Victini,https://images.pokemontcg.io/swsh35/7_hires.png,Uncommon,0.060000,0.120000,Pokémon
swsh35-8,Incineroar V,https://images.pokemontcg.io/swsh35/8_hires.png,Rare Holo V,1.640000,1.320000,Pokémon
swsh35-9,Sizzlipede,https://images.pokemontcg.io/swsh35/9_hires.png,Common,0.080000,0.080000,Pokémon
swsh35-10,Centiskorch,https://images.pokemontcg.io/swsh35/10_hires.png,Rare Holo,0.170000,0.160000,Pokémon
swsh35-11,Carvanha,https://images.pokemontcg.io/swsh35/11_hires.png,Common,0.040000,0.070000,Pokémon
swsh35-12,Sharpedo,https://images.pokemontcg.io/swsh35/12_hires.png,Uncommon,0.080000,0.100000,Pokémon
swsh35-13,Wailord V,https://images.pokemontcg.io/swsh35/13_hires.png,Rare Holo V,2.180000,1,Pokémon
swsh35-14,Drednaw V,https://images.pokemontcg.io/swsh35/14_hires.png,Rare Holo V,0.960000,0.580000,Pokémon
swsh35-15,Drednaw VMAX,https://images.pokemontcg.io/swsh35/15_hires.png,Rare Holo VMAX,2.190000,1.840000,Pokémon
swsh35-16,Gardevoir V,https://images.pokemontcg.io/swsh35/16_hires.png,Rare Holo V,1.460000,0.970000,Pokémon
swsh35-17,Gardevoir VMAX,https://images.pokemontcg.io/swsh35/17_hires.png,Rare Holo VMAX,2.610000,2.360000,Pokémon
swsh35-18,Hatenna,https://images.pokemontcg.io/swsh35/18_hires.png,Common,0.050000,0.080000,Pokémon
swsh35-19,Hattrem,https://images.pokemontcg.io/swsh35/19_hires.png,Uncommon,0.060000,0.100000,Pokémon
swsh35-20,Hatterene,https://images.pokemontcg.io/swsh35/20_hires.png,Rare Holo,0.190000,0.150000,Pokémon
swsh35-21,Galarian Cursola V,https://images.pokemontcg.io/swsh35/21_hires.png,Rare Holo V,1.130000,0.870000,Pokémon
swsh35-22,Alcremie V,https://images.pokemontcg.io/swsh35/22_hires.png,Rare Holo V,1.490000,0.970000,Pokémon
swsh35-23,Alcremie VMAX,https://images.pokemontcg.io/swsh35/23_hires.png,Rare Holo VMAX,3.350000,4.350000,Pokémon
swsh35-24,Machop,https://images.pokemontcg.io/swsh35/24_hires.png,Common,0.060000,0.080000,Pokémon
swsh35-25,Machoke,https://images.pokemontcg.io/swsh35/25_hires.png,Uncommon,0.080000,0.100000,Pokémon
swsh35-26,Machamp,https://images.pokemontcg.io/swsh35/26_hires.png,Rare Holo,0.240000,0.170000,Pokémon
swsh35-27,Lucario V,https://images.pokemontcg.io/swsh35/27_hires.png,Rare Holo V,1.480000,1.720000,Pokémon
swsh35-28,Zygarde,https://images.pokemontcg.io/swsh35/28_hires.png,Rare Holo,0.140000,0.140000,Pokémon
swsh35-29,Rockruff,https://images.pokemontcg.io/swsh35/29_hires.png,Common,0.050000,0.090000,Pokémon
swsh35-30,Lycanroc,https://images.pokemontcg.io/swsh35/30_hires.png,Rare Holo,0.220000,0.160000,Pokémon
swsh35-31,Rolycoly,https://images.pokemontcg.io/swsh35/31_hires.png,Common,0.050000,0.060000,Pokémon
swsh35-32,Grapploct V,https://images.pokemontcg.io/swsh35/32_hires.png,Rare Holo V,1.050000,0.650000,Pokémon
swsh35-33,Ekans,https://images.pokemontcg.io/swsh35/33_hires.png,Common,0.050000,0.060000,Pokémon
swsh35-34,Arbok,https://images.pokemontcg.io/swsh35/34_hires.png,Uncommon,0.080000,0.120000,Pokémon
swsh35-35,Galarian Zigzagoon,https://images.pokemontcg.io/swsh35/35_hires.png,Common,0.080000,0.070000,Pokémon
swsh35-36,Galarian Linoone,https://images.pokemontcg.io/swsh35/36_hires.png,Common,0.040000,0.080000,Pokémon
swsh35-37,Galarian Obstagoon,https://images.pokemontcg.io/swsh35/37_hires.png,Rare Holo,0.170000,0.150000,Pokémon
swsh35-38,Absol,https://images.pokemontcg.io/swsh35/38_hires.png,Uncommon,0.070000,0.140000,Pokémon
swsh35-39,Purrloin,https://images.pokemontcg.io/swsh35/39_hires.png,Common,0.050000,0.110000,Pokémon
swsh35-40,Liepard,https://images.pokemontcg.io/swsh35/40_hires.png,Uncommon,0.090000,0.090000,Pokémon
swsh35-41,Scraggy,https://images.pokemontcg.io/swsh35/41_hires.png,Common,0.040000,0.090000,Pokémon
swsh35-42,Scrafty,https://images.pokemontcg.io/swsh35/42_hires.png,Rare Holo,0.180000,0.210000,Pokémon
swsh35-43,Trubbish,https://images.pokemontcg.io/swsh35/43_hires.png,Common,0.050000,0.100000,Pokémon
swsh35-44,Inkay,https://images.pokemontcg.io/swsh35/44_hires.png,Common,0.040000,0.080000,Pokémon
swsh35-45,Malamar,https://images.pokemontcg.io/swsh35/45_hires.png,Uncommon,0.060000,0.100000,Pokémon
swsh35-46,Nickit,https://images.pokemontcg.io/swsh35/46_hires.png,Common,0.060000,0.080000,Pokémon
swsh35-47,Duraludon V,https://images.pokemontcg.io/swsh35/47_hires.png,Rare Holo V,1.260000,0.770000,Pokémon
swsh35-48,Swablu,https://images.pokemontcg.io/swsh35/48_hires.png,Common,0.060000,0.110000,Pokémon
swsh35-49,Altaria,https://images.pokemontcg.io/swsh35/49_hires.png,Rare Holo,0.180000,0.170000,Pokémon
swsh35-50,Bede,https://images.pokemontcg.io/swsh35/50_hires.png,Uncommon,0.060000,0.100000,Trainer
swsh35-51,Full Heal,https://images.pokemontcg.io/swsh35/51_hires.png,Uncommon,0.040000,0.070000,Trainer
swsh35-52,Great Ball,https://images.pokemontcg.io/swsh35/52_hires.png,Uncommon,0.050000,0.070000,Trainer
swsh35-53,Hop,https://images.pokemontcg.io/swsh35/53_hires.png,Uncommon,0.070000,0.090000,Trainer
swsh35-54,Hyper Potion,https://images.pokemontcg.io/swsh35/54_hires.png,Uncommon,0.070000,0.090000,Trainer
swsh35-55,Kabu,https://images.pokemontcg.io/swsh35/55_hires.png,Uncommon,0.050000,0.080000,Trainer
swsh35-56,Marnie,https://images.pokemontcg.io/swsh35/56_hires.png,Rare Holo,0.320000,0.280000,Trainer
swsh35-57,Milo,https://images.pokemontcg.io/swsh35/57_hires.png,Uncommon,0.030000,0.080000,Trainer
swsh35-58,Piers,https://images.pokemontcg.io/swsh35/58_hires.png,Uncommon,0.070000,0.110000,Trainer
swsh35-59,Poké Ball,https://images.pokemontcg.io/swsh35/59_hires.png,Common,0.040000,0.070000,Trainer
swsh35-60,Pokémon Center Lady,https://images.pokemontcg.io/swsh35/60_hires.png,Uncommon,0.060000,0.110000,Trainer
swsh35-61,Potion,https://images.pokemontcg.io/swsh35/61_hires.png,Common,0.040000,0.070000,Trainer
swsh35-62,Professor's Research (Professor Magnolia),https://images.pokemontcg.io/swsh35/62_hires.png,Rare Holo,0.140000,0.140000,Trainer
swsh35-63,Rotom Bike,https://images.pokemontcg.io/swsh35/63_hires.png,Uncommon,0.070000,0.090000,Trainer
swsh35-64,Rotom Phone,https://images.pokemontcg.io/swsh35/64_hires.png,Uncommon,0.120000,0.080000,Trainer
swsh35-65,Sonia,https://images.pokemontcg.io/swsh35/65_hires.png,Uncommon,0.060000,0.140000,Trainer
swsh35-66,Suspicious Food Tin,https://images.pokemontcg.io/swsh35/66_hires.png,Uncommon,0.080000,0.100000,Trainer
swsh35-67,Team Yell Grunt,https://images.pokemontcg.io/swsh35/67_hires.png,Uncommon,0.090000,0.070000,Trainer
swsh35-68,Turffield Stadium,https://images.pokemontcg.io/swsh35/68_hires.png,Uncommon,0.070000,0.090000,Trainer
swsh35-69,Drednaw V,https://images.pokemontcg.io/swsh35/69_hires.png,Rare Ultra,1.690000,1.140000,Pokémon
swsh35-70,Gardevoir V,https://images.pokemontcg.io/swsh35/70_hires.png,Rare Ultra,4.050000,2.700000,Pokémon
swsh35-71,Galarian Cursola V,https://images.pokemontcg.io/swsh35/71_hires.png,Rare Ultra,1.760000,1.340000,Pokémon
swsh35-72,Grapploct V,https://images.pokemontcg.io/swsh35/72_hires.png,Rare Ultra,1.450000,0.980000,Pokémon
swsh35-73,Hop,https://images.pokemontcg.io/swsh35/73_hires.png,Rare Ultra,1.570000,1.130000,Trainer
swsh35-74,Charizard VMAX,https://images.pokemontcg.io/swsh35/74_hires.png,Rare Rainbow,179.980000,159.630000,Pokémon
swsh35-75,Drednaw VMAX,https://images.pokemontcg.io/swsh35/75_hires.png,Rare Rainbow,7.530000,6.600000,Pokémon
swsh35-76,Gardevoir VMAX,https://images.pokemontcg.io/swsh35/76_hires.png,Rare Rainbow,15.960000,13.520000,Pokémon
swsh35-77,Kabu,https://images.pokemontcg.io/swsh35/77_hires.png,Rare Rainbow,4.390000,3.460000,Trainer
swsh35-78,Piers,https://images.pokemontcg.io/swsh35/78_hires.png,Rare Rainbow,4.780000,3.280000,Trainer
swsh35-79,Charizard V,https://images.pokemontcg.io/swsh35/79_hires.png,Rare Secret,227.900000,216.370000,Pokémon
swsh35-80,Suspicious Food Tin,https://images.pokemontcg.io/swsh35/80_hires.png,Rare Secret,2.460000,1.700000,Trainer
",DefaulT,",,,,0,0,
