id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh6-1,Weedle,https://images.pokemontcg.io/swsh6/1_hires.png,Common,0.030000,0.080000,Pokémon
swsh6-2,Kakuna,https://images.pokemontcg.io/swsh6/2_hires.png,Uncommon,0.050000,0.080000,Pokémon
swsh6-3,Beedrill,https://images.pokemontcg.io/swsh6/3_hires.png,Rare Holo,0.480000,0.210000,Pokémon
swsh6-4,Ledyba,https://images.pokemontcg.io/swsh6/4_hires.png,Common,0.030000,0.060000,Pokémon
swsh6-5,Ledian,https://images.pokemontcg.io/swsh6/5_hires.png,Uncommon,0.040000,0.050000,Pokémon
swsh6-6,Heracross,https://images.pokemontcg.io/swsh6/6_hires.png,Common,0.030000,0.050000,Pokémon
swsh6-7,Celebi V,https://images.pokemontcg.io/swsh6/7_hires.png,Rare Holo V,1.410000,0.950000,Pokémon
swsh6-8,Celebi VMAX,https://images.pokemontcg.io/swsh6/8_hires.png,Rare Holo VMAX,2.580000,2.450000,Pokémon
swsh6-9,Snover,https://images.pokemontcg.io/swsh6/9_hires.png,Common,0.030000,0.030000,Pokémon
swsh6-10,Abomasnow,https://images.pokemontcg.io/swsh6/10_hires.png,Rare,0.060000,0.110000,Pokémon
swsh6-11,Deerling,https://images.pokemontcg.io/swsh6/11_hires.png,Common,0.030000,0.080000,Pokémon
swsh6-12,Sawsbuck,https://images.pokemontcg.io/swsh6/12_hires.png,Rare,0.100000,0.180000,Pokémon
swsh6-13,Bounsweet,https://images.pokemontcg.io/swsh6/13_hires.png,Common,0.030000,0.050000,Pokémon
swsh6-14,Steenee,https://images.pokemontcg.io/swsh6/14_hires.png,Uncommon,0.070000,0.090000,Pokémon
swsh6-15,Tsareena,https://images.pokemontcg.io/swsh6/15_hires.png,Rare,0.080000,0.120000,Pokémon
swsh6-16,Grookey,https://images.pokemontcg.io/swsh6/16_hires.png,Common,0.060000,0.120000,Pokémon
swsh6-17,Thwackey,https://images.pokemontcg.io/swsh6/17_hires.png,Uncommon,0.040000,0.070000,Pokémon
swsh6-18,Rillaboom,https://images.pokemontcg.io/swsh6/18_hires.png,Rare Holo,0.380000,0.190000,Pokémon
swsh6-19,Zarude,https://images.pokemontcg.io/swsh6/19_hires.png,Rare Holo,0.340000,0.230000,Pokémon
swsh6-20,Blaziken V,https://images.pokemontcg.io/swsh6/20_hires.png,Rare Holo V,1.250000,0.840000,Pokémon
swsh6-21,Blaziken VMAX,https://images.pokemontcg.io/swsh6/21_hires.png,Rare Holo VMAX,2.860000,3.100000,Pokémon
swsh6-22,Castform Sunny Form,https://images.pokemontcg.io/swsh6/22_hires.png,Common,0.050000,0.090000,Pokémon
swsh6-23,Larvesta,https://images.pokemontcg.io/swsh6/23_hires.png,Common,0.040000,0.070000,Pokémon
swsh6-24,Volcarona,https://images.pokemontcg.io/swsh6/24_hires.png,Rare,0.070000,0.140000,Pokémon
swsh6-25,Volcanion V,https://images.pokemontcg.io/swsh6/25_hires.png,Rare Holo V,1.070000,0.830000,Pokémon
swsh6-26,Scorbunny,https://images.pokemontcg.io/swsh6/26_hires.png,Common,0.040000,0.070000,Pokémon
swsh6-27,Raboot,https://images.pokemontcg.io/swsh6/27_hires.png,Uncommon,0.030000,0.100000,Pokémon
swsh6-28,Cinderace,https://images.pokemontcg.io/swsh6/28_hires.png,Rare Holo,0.410000,0.200000,Pokémon
swsh6-29,Lapras,https://images.pokemontcg.io/swsh6/29_hires.png,Common,0.040000,0.120000,Pokémon
swsh6-30,Sneasel,https://images.pokemontcg.io/swsh6/30_hires.png,Common,0.030000,0.050000,Pokémon
