id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm12-1,Venusaur & Snivy-GX,https://images.pokemontcg.io/sm12/1_hires.png,Rare Holo GX,14.480000,19.980000,Pokémon
sm12-2,Oddish,https://images.pokemontcg.io/sm12/2_hires.png,Common,0.090000,0.170000,Pokémon
sm12-3,Gloom,https://images.pokemontcg.io/sm12/3_hires.png,Uncommon,0.080000,0.170000,Pokémon
sm12-4,Vileplume-GX,https://images.pokemontcg.io/sm12/4_hires.png,Rare Holo GX,8.100000,11.690000,Pokémon
sm12-5,Tangela,https://images.pokemontcg.io/sm12/5_hires.png,Common,0.040000,0.130000,Pokémon
sm12-6,Tangrowth,https://images.pokemontcg.io/sm12/6_hires.png,Uncommon,0.090000,0.120000,Pokémon
sm12-7,Sunkern,https://images.pokemontcg.io/sm12/7_hires.png,Common,0.090000,0.180000,Pokémon
sm12-8,Sunflora,https://images.pokemontcg.io/sm12/8_hires.png,Rare,0.310000,0.300000,Pokémon
sm12-9,Heracross,https://images.pokemontcg.io/sm12/9_hires.png,Uncommon,0.110000,0.140000,Pokémon
sm12-10,Lileep,https://images.pokemontcg.io/sm12/10_hires.png,Uncommon,0.090000,0.200000,Pokémon
sm12-11,Cradily,https://images.pokemontcg.io/sm12/11_hires.png,Rare,0.600000,0.760000,Pokémon
sm12-12,Tropius,https://images.pokemontcg.io/sm12/12_hires.png,Uncommon,0.100000,0.220000,Pokémon
sm12-13,Kricketot,https://images.pokemontcg.io/sm12/13_hires.png,Common,0.060000,0.110000,Pokémon
sm12-14,Kricketune,https://images.pokemontcg.io/sm12/14_hires.png,Uncommon,0.090000,0.150000,Pokémon
sm12-15,Deerling,https://images.pokemontcg.io/sm12/15_hires.png,Common,0.100000,0.170000,Pokémon
sm12-16,Sawsbuck,https://images.pokemontcg.io/sm12/16_hires.png,Rare Holo,0.660000,1.130000,Pokémon
sm12-17,Rowlet,https://images.pokemontcg.io/sm12/17_hires.png,Common,0.090000,0.280000,Pokémon
sm12-18,Rowlet,https://images.pokemontcg.io/sm12/18_hires.png,Common,0.110000,0.150000,Pokémon
sm12-19,Dartrix,https://images.pokemontcg.io/sm12/19_hires.png,Uncommon,0.090000,0.160000,Pokémon
sm12-20,Decidueye,https://images.pokemontcg.io/sm12/20_hires.png,Rare Holo,0.860000,0.870000,Pokémon
sm12-21,Buzzwole,https://images.pokemontcg.io/sm12/21_hires.png,Rare Holo,1.210000,1.980000,Pokémon
sm12-22,Charizard & Braixen-GX,https://images.pokemontcg.io/sm12/22_hires.png,Rare Holo GX,25.460000,27.310000,Pokémon
sm12-23,Ponyta,https://images.pokemontcg.io/sm12/23_hires.png,Common,0.080000,0.160000,Pokémon
sm12-24,Rapidash,https://images.pokemontcg.io/sm12/24_hires.png,Uncommon,0.090000,0.150000,Pokémon
sm12-25,Flareon,https://images.pokemontcg.io/sm12/25_hires.png,Uncommon,0.400000,0.670000,Pokémon
