id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm4-1,Weedle,https://images.pokemontcg.io/sm4/1_hires.png,Common,0.070000,0.120000,Pokémon
sm4-2,Kakuna,https://images.pokemontcg.io/sm4/2_hires.png,Uncommon,0.070000,0.100000,Pokémon
sm4-3,Beedrill,https://images.pokemontcg.io/sm4/3_hires.png,Rare,0.290000,0.210000,Pokémon
sm4-4,Exeggcute,https://images.pokemontcg.io/sm4/4_hires.png,Common,0.080000,0.080000,Pokémon
sm4-5,Cacnea,https://images.pokemontcg.io/sm4/5_hires.png,Common,0.050000,0.090000,Pokémon
sm4-6,Cacturne,https://images.pokemontcg.io/sm4/6_hires.png,Rare,0.250000,0.220000,Pokémon
sm4-7,Karrablast,https://images.pokemontcg.io/sm4/7_hires.png,Common,0.070000,0.080000,Pokémon
sm4-8,Shelmet,https://images.pokemontcg.io/sm4/8_hires.png,Common,0.080000,0.120000,Pokémon
sm4-9,Accelgor,https://images.pokemontcg.io/sm4/9_hires.png,Uncommon,0.060000,0.080000,Pokémon
sm4-10,Skiddo,https://images.pokemontcg.io/sm4/10_hires.png,Common,0.050000,0.080000,Pokémon
sm4-11,Gogoat,https://images.pokemontcg.io/sm4/11_hires.png,Rare Holo,0.410000,0.300000,Pokémon
sm4-12,Alolan Marowak,https://images.pokemontcg.io/sm4/12_hires.png,Rare Holo,0.530000,0.810000,Pokémon
sm4-13,Numel,https://images.pokemontcg.io/sm4/13_hires.png,Common,0.080000,0.080000,Pokémon
sm4-14,Camerupt,https://images.pokemontcg.io/sm4/14_hires.png,Rare,0.230000,0.190000,Pokémon
sm4-15,Staryu,https://images.pokemontcg.io/sm4/15_hires.png,Common,0.080000,0.100000,Pokémon
sm4-16,Starmie,https://images.pokemontcg.io/sm4/16_hires.png,Rare,0.240000,0.370000,Pokémon
sm4-17,Magikarp,https://images.pokemontcg.io/sm4/17_hires.png,Common,0.110000,0.210000,Pokémon
sm4-18,Gyarados-GX,https://images.pokemontcg.io/sm4/18_hires.png,Rare Holo GX,6.310000,7.440000,Pokémon
sm4-19,Swinub,https://images.pokemontcg.io/sm4/19_hires.png,Common,0.060000,0.120000,Pokémon
sm4-20,Piloswine,https://images.pokemontcg.io/sm4/20_hires.png,Uncommon,0.080000,0.140000,Pokémon
sm4-21,Mamoswine,https://images.pokemontcg.io/sm4/21_hires.png,Rare,0.210000,0.190000,Pokémon
sm4-22,Remoraid,https://images.pokemontcg.io/sm4/22_hires.png,Common,0.090000,0.080000,Pokémon
sm4-23,Octillery,https://images.pokemontcg.io/sm4/23_hires.png,Rare,0.200000,0.250000,Pokémon
sm4-24,Corphish,https://images.pokemontcg.io/sm4/24_hires.png,Common,0.060000,0.070000,Pokémon
sm4-25,Crawdaunt,https://images.pokemontcg.io/sm4/25_hires.png,Rare,0.270000,0.220000,Pokémon
sm4-26,Feebas,https://images.pokemontcg.io/sm4/26_hires.png,Common,0.080000,0.100000,Pokémon
sm4-27,Milotic,https://images.pokemontcg.io/sm4/27_hires.png,Rare Holo,0.700000,0.560000,Pokémon
sm4-28,Regice,https://images.pokemontcg.io/sm4/28_hires.png,Rare Holo,0.260000,0.550000,Pokémon
sm4-29,Shellos,https://images.pokemontcg.io/sm4/29_hires.png,Common,0.070000,0.110000,Pokémon
sm4-30,Pikachu,https://images.pokemontcg.io/sm4/30_hires.png,Common,0.730000,0.730000,Pokémon
sm4-31,Alolan Raichu,https://images.pokemontcg.io/sm4/31_hires.png,Rare Holo,0.750000,0.890000,Pokémon
sm4-32,Alolan Geodude,https://images.pokemontcg.io/sm4/32_hires.png,Common,0.070000,0.090000,Pokémon
sm4-33,Alolan Graveler,https://images.pokemontcg.io/sm4/33_hires.png,Uncommon,0.090000,0.110000,Pokémon
sm4-34,Alolan Golem-GX,https://images.pokemontcg.io/sm4/34_hires.png,Rare Holo GX,1.950000,1.890000,Pokémon
sm4-35,Emolga,https://images.pokemontcg.io/sm4/35_hires.png,Uncommon,0.080000,0.120000,Pokémon
sm4-36,Gastly,https://images.pokemontcg.io/sm4/36_hires.png,Common,0.090000,0.170000,Pokémon
sm4-37,Haunter,https://images.pokemontcg.io/sm4/37_hires.png,Uncommon,0.130000,0.200000,Pokémon
sm4-38,Gengar,https://images.pokemontcg.io/sm4/38_hires.png,Rare Holo,4.840000,4.970000,Pokémon
sm4-39,Misdreavus,https://images.pokemontcg.io/sm4/39_hires.png,Common,0.080000,0.160000,Pokémon
sm4-40,Mismagius,https://images.pokemontcg.io/sm4/40_hires.png,Rare,0.320000,0.290000,Pokémon
