id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh12pt5gg-GG01,Hisuian Voltorb,https://images.pokemontcg.io/swsh12pt5gg/GG01_hires.png,Trainer Gallery Rare Holo,1.590000,1.240000,Pokémon
swsh12pt5gg-GG02,Kricketune,https://images.pokemontcg.io/swsh12pt5gg/GG02_hires.png,Trainer Gallery Rare Holo,3.470000,2.180000,Pokémon
swsh12pt5gg-GG03,Magmortar,https://images.pokemontcg.io/swsh12pt5gg/GG03_hires.png,Trainer Gallery Rare Holo,6.340000,5.270000,Pokémon
swsh12pt5gg-GG04,Oricorio,https://images.pokemontcg.io/swsh12pt5gg/GG04_hires.png,Trainer Gallery Rare Holo,1.790000,1.080000,Pokémon
swsh12pt5gg-GG05,Lapras,https://images.pokemontcg.io/swsh12pt5gg/GG05_hires.png,Trainer Gallery Rare Holo,10.530000,7.960000,Pokémon
swsh12pt5gg-GG06,Manaphy,https://images.pokemontcg.io/swsh12pt5gg/GG06_hires.png,Trainer Gallery Rare Holo,3.790000,2.880000,Pokémon
swsh12pt5gg-GG07,Keldeo,https://images.pokemontcg.io/swsh12pt5gg/GG07_hires.png,Trainer Gallery Rare Holo,6.700000,5.050000,Pokémon
swsh12pt5gg-GG08,Electivire,https://images.pokemontcg.io/swsh12pt5gg/GG08_hires.png,Trainer Gallery Rare Holo,5.380000,4.660000,Pokémon
swsh12pt5gg-GG09,Toxtricity,https://images.pokemontcg.io/swsh12pt5gg/GG09_hires.png,Trainer Gallery Rare Holo,1.560000,1.470000,Pokémon
swsh12pt5gg-GG10,Mew,https://images.pokemontcg.io/swsh12pt5gg/GG10_hires.png,Trainer Gallery Rare Holo,22.180000,20.340000,Pokémon
swsh12pt5gg-GG11,Lunatone,https://images.pokemontcg.io/swsh12pt5gg/GG11_hires.png,Trainer Gallery Rare Holo,4.220000,3.140000,Pokémon
swsh12pt5gg-GG12,Deoxys,https://images.pokemontcg.io/swsh12pt5gg/GG12_hires.png,Trainer Gallery Rare Holo,7.110000,5.170000,Pokémon
swsh12pt5gg-GG13,Diancie,https://images.pokemontcg.io/swsh12pt5gg/GG13_hires.png,Trainer Gallery Rare Holo,2.110000,1.820000,Pokémon
swsh12pt5gg-GG14,Comfey,https://images.pokemontcg.io/swsh12pt5gg/GG14_hires.png,Trainer Gallery Rare Holo,1.460000,1.220000,Pokémon
swsh12pt5gg-GG15,Solrock,https://images.pokemontcg.io/swsh12pt5gg/GG15_hires.png,Trainer Gallery Rare Holo,3.060000,2.120000,Pokémon
swsh12pt5gg-GG16,Absol,https://images.pokemontcg.io/swsh12pt5gg/GG16_hires.png,Trainer Gallery Rare Holo,4.810000,3.250000,Pokémon
swsh12pt5gg-GG17,Thievul,https://images.pokemontcg.io/swsh12pt5gg/GG17_hires.png,Trainer Gallery Rare Holo,1.670000,1.490000,Pokémon
swsh12pt5gg-GG18,Magnezone,https://images.pokemontcg.io/swsh12pt5gg/GG18_hires.png,Trainer Gallery Rare Holo,3.040000,2.150000,Pokémon
swsh12pt5gg-GG19,Altaria,https://images.pokemontcg.io/swsh12pt5gg/GG19_hires.png,Trainer Gallery Rare Holo,3.690000,3.550000,Pokémon
swsh12pt5gg-GG20,Latias,https://images.pokemontcg.io/swsh12pt5gg/GG20_hires.png,Trainer Gallery Rare Holo,11.280000,7.890000,Pokémon
