id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh12pt5-1,Oddish,https://images.pokemontcg.io/swsh12pt5/1_hires.png,Common,0.030000,0.070000,Pokémon
swsh12pt5-2,Gloom,https://images.pokemontcg.io/swsh12pt5/2_hires.png,Uncommon,0.030000,0.090000,Pokémon
swsh12pt5-3,Bellossom,https://images.pokemontcg.io/swsh12pt5/3_hires.png,Rare,0.090000,0.150000,Pokémon
swsh12pt5-4,Tangela,https://images.pokemontcg.io/swsh12pt5/4_hires.png,Common,0.030000,0.070000,Pokémon
swsh12pt5-5,Tangrowth,https://images.pokemontcg.io/swsh12pt5/5_hires.png,Rare,0.080000,0.100000,Pokémon
swsh12pt5-6,Scyther,https://images.pokemontcg.io/swsh12pt5/6_hires.png,Common,0.030000,0.080000,Pokémon
swsh12pt5-7,Sunkern,https://images.pokemontcg.io/swsh12pt5/7_hires.png,Common,0.030000,0.050000,Pokémon
swsh12pt5-8,Yanma,https://images.pokemontcg.io/swsh12pt5/8_hires.png,Common,0.040000,0.050000,Pokémon
swsh12pt5-9,Yanmega,https://images.pokemontcg.io/swsh12pt5/9_hires.png,Rare,0.080000,0.130000,Pokémon
swsh12pt5-10,Kricketot,https://images.pokemontcg.io/swsh12pt5/10_hires.png,Common,0.020000,0.060000,Pokémon
swsh12pt5-11,Cherubi,https://images.pokemontcg.io/swsh12pt5/11_hires.png,Common,0.030000,0.050000,Pokémon
swsh12pt5-12,Carnivine,https://images.pokemontcg.io/swsh12pt5/12_hires.png,Uncommon,0.040000,0.070000,Pokémon
swsh12pt5-13,Leafeon V,https://images.pokemontcg.io/swsh12pt5/13_hires.png,Rare Holo V,1.340000,1.050000,Pokémon
swsh12pt5-14,Leafeon VSTAR,https://images.pokemontcg.io/swsh12pt5/14_hires.png,Rare Holo VSTAR,2.980000,1.870000,Pokémon
swsh12pt5-15,Grubbin,https://images.pokemontcg.io/swsh12pt5/15_hires.png,Common,0.030000,0.060000,Pokémon
swsh12pt5-16,Zarude,https://images.pokemontcg.io/swsh12pt5/16_hires.png,Rare Holo,0.290000,0.230000,Pokémon
swsh12pt5-17,Calyrex,https://images.pokemontcg.io/swsh12pt5/17_hires.png,Rare Holo,0.390000,0.270000,Pokémon
swsh12pt5-18,Charizard V,https://images.pokemontcg.io/swsh12pt5/18_hires.png,Rare Holo V,3.580000,3.110000,Pokémon
swsh12pt5-19,Charizard VSTAR,https://images.pokemontcg.io/swsh12pt5/19_hires.png,Rare Holo VSTAR,6.310000,5.720000,Pokémon
swsh12pt5-20,Radiant Charizard,https://images.pokemontcg.io/swsh12pt5/20_hires.png,Radiant Rare,4.940000,4.730000,Pokémon
swsh12pt5-21,Entei,https://images.pokemontcg.io/swsh12pt5/21_hires.png,Rare Holo,0.430000,0.390000,Pokémon
swsh12pt5-22,Simisear V,https://images.pokemontcg.io/swsh12pt5/22_hires.png,Rare Holo V,0.720000,0.580000,Pokémon
swsh12pt5-23,Simisear VSTAR,https://images.pokemontcg.io/swsh12pt5/23_hires.png,Rare Holo VSTAR,1.110000,1.110000,Pokémon
swsh12pt5-24,Larvesta,https://images.pokemontcg.io/swsh12pt5/24_hires.png,Common,0.030000,0.050000,Pokémon
swsh12pt5-25,Volcarona,https://images.pokemontcg.io/swsh12pt5/25_hires.png,Rare,0.080000,0.120000,Pokémon
swsh12pt5-26,Volcanion,https://images.pokemontcg.io/swsh12pt5/26_hires.png,Rare Holo,0.290000,0.250000,Pokémon
swsh12pt5-27,Salandit,https://images.pokemontcg.io/swsh12pt5/27_hires.png,Common,0.030000,0.060000,Pokémon
swsh12pt5-28,Salazzle,https://images.pokemontcg.io/swsh12pt5/28_hires.png,Uncommon,0.030000,0.070000,Pokémon
swsh12pt5-29,Seel,https://images.pokemontcg.io/swsh12pt5/29_hires.png,Common,0.030000,0.050000,Pokémon
swsh12pt5-30,Galarian Mr. Mime,https://images.pokemontcg.io/swsh12pt5/30_hires.png,Common,0.030000,0.050000,Pokémon
swsh12pt5-31,Wailmer,https://images.pokemontcg.io/swsh12pt5/31_hires.png,Common,0.030000,0.070000,Pokémon
