id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex14-1,Banette,https://images.pokemontcg.io/ex14/1_hires.png,Rare Holo,8.790000,5,Pokémon
ex14-2,Blastoise δ,https://images.pokemontcg.io/ex14/2_hires.png,Rare Holo,52.310000,85.110000,Pokémon
ex14-3,Camerupt,https://images.pokemontcg.io/ex14/3_hires.png,Rare Holo,3.830000,4.200000,Pokémon
ex14-4,Charizard δ,https://images.pokemontcg.io/ex14/4_hires.png,Rare Holo,87.560000,331,Pokémon
ex14-5,Dugtrio,https://images.pokemontcg.io/ex14/5_hires.png,Rare Holo,3.980000,8.770000,Pokémon
ex14-6,Ludicolo δ,https://images.pokemontcg.io/ex14/6_hires.png,Rare Holo,7.300000,17.390000,Pokémon
ex14-7,Luvdisc,https://images.pokemontcg.io/ex14/7_hires.png,Rare Holo,4.940000,7.040000,Pokémon
ex14-8,Manectric,https://images.pokemontcg.io/ex14/8_hires.png,Rare Holo,6.990000,10.670000,Pokémon
ex14-9,Mawile,https://images.pokemontcg.io/ex14/9_hires.png,Rare Holo,6.010000,6.910000,Pokémon
ex14-10,Sableye,https://images.pokemontcg.io/ex14/10_hires.png,Rare Holo,6.570000,17.580000,Pokémon
ex14-11,Swalot,https://images.pokemontcg.io/ex14/11_hires.png,Rare Holo,3.590000,3.580000,Pokémon
ex14-12,Tauros,https://images.pokemontcg.io/ex14/12_hires.png,Rare Holo,7.890000,6.320000,Pokémon
ex14-13,Wigglytuff,https://images.pokemontcg.io/ex14/13_hires.png,Rare Holo,5.850000,6.330000,Pokémon
ex14-14,Blastoise,https://images.pokemontcg.io/ex14/14_hires.png,Rare,4.410000,6.470000,Pokémon
ex14-15,Cacturne δ,https://images.pokemontcg.io/ex14/15_hires.png,Rare,3.390000,1.390000,Pokémon
ex14-16,Combusken,https://images.pokemontcg.io/ex14/16_hires.png,Rare,1.400000,1.060000,Pokémon
ex14-17,Dusclops,https://images.pokemontcg.io/ex14/17_hires.png,Rare,0.910000,0.730000,Pokémon
ex14-18,Fearow δ,https://images.pokemontcg.io/ex14/18_hires.png,Rare,1.400000,1.880000,Pokémon
