id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw5-1,Bulbasaur,https://images.pokemontcg.io/bw5/1_hires.png,Common,0.590000,2.480000,Pokémon
bw5-2,Ivysaur,https://images.pokemontcg.io/bw5/2_hires.png,Uncommon,3.660000,9.310000,Pokémon
bw5-3,Venusaur,https://images.pokemontcg.io/bw5/3_hires.png,Rare Holo,5.280000,5.700000,Pokémon
bw5-4,Scyther,https://images.pokemontcg.io/bw5/4_hires.png,Uncommon,25,3.970000,Pokémon
bw5-5,Carnivine,https://images.pokemontcg.io/bw5/5_hires.png,Rare,0.680000,1.170000,Pokémon
bw5-6,Leafeon,https://images.pokemontcg.io/bw5/6_hires.png,Rare,1.780000,5.690000,Pokémon
bw5-7,Dwebble,https://images.pokemontcg.io/bw5/7_hires.png,Common,0.200000,0.290000,Pokémon
bw5-8,Crustle,https://images.pokemontcg.io/bw5/8_hires.png,Uncommon,0.640000,0.570000,Pokémon
bw5-9,Karrablast,https://images.pokemontcg.io/bw5/9_hires.png,Common,0.140000,0.250000,Pokémon
bw5-10,Shelmet,https://images.pokemontcg.io/bw5/10_hires.png,Common,0.170000,0.250000,Pokémon
bw5-11,Accelgor,https://images.pokemontcg.io/bw5/11_hires.png,Rare,0.800000,1.090000,Pokémon
bw5-12,Flareon,https://images.pokemontcg.io/bw5/12_hires.png,Uncommon,49.970000,3.330000,Pokémon
bw5-13,Entei-EX,https://images.pokemontcg.io/bw5/13_hires.png,Rare Holo EX,3.630000,23.220000,Pokémon
bw5-14,Torchic,https://images.pokemontcg.io/bw5/14_hires.png,Common,0.280000,0.340000,Pokémon
bw5-15,Torchic,https://images.pokemontcg.io/bw5/15_hires.png,Common,0.440000,0.360000,Pokémon
bw5-16,Combusken,https://images.pokemontcg.io/bw5/16_hires.png,Uncommon,0.420000,0.760000,Pokémon
bw5-17,Blaziken,https://images.pokemontcg.io/bw5/17_hires.png,Rare Holo,2.890000,5.600000,Pokémon
bw5-18,Torkoal,https://images.pokemontcg.io/bw5/18_hires.png,Uncommon,0.250000,0.420000,Pokémon
