id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh3-1,Butterfree V,https://images.pokemontcg.io/swsh3/1_hires.png,Rare Holo V,1.520000,1.040000,Pokémon
swsh3-2,Butterfree VMAX,https://images.pokemontcg.io/swsh3/2_hires.png,Rare Holo VMAX,3.620000,2.730000,Pokémon
swsh3-3,Paras,https://images.pokemontcg.io/swsh3/3_hires.png,Common,0.050000,0.050000,Pokémon
swsh3-4,Parasect,https://images.pokemontcg.io/swsh3/4_hires.png,Uncommon,0.060000,0.100000,Pokémon
swsh3-5,Carnivine,https://images.pokemontcg.io/swsh3/5_hires.png,Uncommon,0.090000,0.050000,Pokémon
swsh3-6,Pansage,https://images.pokemontcg.io/swsh3/6_hires.png,Common,0.040000,0.050000,Pokémon
swsh3-7,Simisage,https://images.pokemontcg.io/swsh3/7_hires.png,Uncommon,0.070000,0.060000,Pokémon
swsh3-8,Karrablast,https://images.pokemontcg.io/swsh3/8_hires.png,Common,0.050000,0.060000,Pokémon
swsh3-9,Shelmet,https://images.pokemontcg.io/swsh3/9_hires.png,Common,0.050000,0.040000,Pokémon
swsh3-10,Accelgor,https://images.pokemontcg.io/swsh3/10_hires.png,Rare,0.100000,0.140000,Pokémon
swsh3-11,Rowlet,https://images.pokemontcg.io/swsh3/11_hires.png,Common,0.050000,0.040000,Pokémon
swsh3-12,Dartrix,https://images.pokemontcg.io/swsh3/12_hires.png,Uncommon,0.060000,0.060000,Pokémon
swsh3-13,Decidueye,https://images.pokemontcg.io/swsh3/13_hires.png,Rare Holo,0.550000,0.250000,Pokémon
swsh3-14,Bounsweet,https://images.pokemontcg.io/swsh3/14_hires.png,Common,0.070000,0.110000,Pokémon
swsh3-15,Steenee,https://images.pokemontcg.io/swsh3/15_hires.png,Uncommon,0.050000,0.060000,Pokémon
swsh3-16,Tsareena,https://images.pokemontcg.io/swsh3/16_hires.png,Rare,0.180000,0.140000,Pokémon
swsh3-17,Wimpod,https://images.pokemontcg.io/swsh3/17_hires.png,Common,0.040000,0.060000,Pokémon
swsh3-18,Golisopod,https://images.pokemontcg.io/swsh3/18_hires.png,Rare Holo,0.270000,0.240000,Pokémon
swsh3-19,Charizard V,https://images.pokemontcg.io/swsh3/19_hires.png,Rare Holo V,6.720000,4.400000,Pokémon
swsh3-20,Charizard VMAX,https://images.pokemontcg.io/swsh3/20_hires.png,Rare Holo VMAX,36.850000,31.720000,Pokémon
swsh3-21,Houndoom V,https://images.pokemontcg.io/swsh3/21_hires.png,Rare Holo V,1.900000,1.320000,Pokémon
swsh3-22,Torchic,https://images.pokemontcg.io/swsh3/22_hires.png,Common,0.070000,0.120000,Pokémon
swsh3-23,Combusken,https://images.pokemontcg.io/swsh3/23_hires.png,Uncommon,0.080000,0.120000,Pokémon
swsh3-24,Blaziken,https://images.pokemontcg.io/swsh3/24_hires.png,Rare Holo,0.630000,0.490000,Pokémon
swsh3-25,Heatran,https://images.pokemontcg.io/swsh3/25_hires.png,Rare Holo,0.470000,0.190000,Pokémon
swsh3-26,Pansear,https://images.pokemontcg.io/swsh3/26_hires.png,Common,0.050000,0.050000,Pokémon
swsh3-27,Simisear,https://images.pokemontcg.io/swsh3/27_hires.png,Uncommon,0.060000,0.060000,Pokémon
swsh3-28,Galarian Darmanitan,https://images.pokemontcg.io/swsh3/28_hires.png,Rare,0.160000,0.170000,Pokémon
swsh3-29,Larvesta,https://images.pokemontcg.io/swsh3/29_hires.png,Common,0.070000,0.050000,Pokémon
swsh3-30,Volcarona,https://images.pokemontcg.io/swsh3/30_hires.png,Rare,0.120000,0.180000,Pokémon
swsh3-31,Fletchinder,https://images.pokemontcg.io/swsh3/31_hires.png,Uncommon,0.060000,0.040000,Pokémon
swsh3-32,Talonflame,https://images.pokemontcg.io/swsh3/32_hires.png,Rare,0.140000,0.150000,Pokémon
swsh3-33,Centiskorch V,https://images.pokemontcg.io/swsh3/33_hires.png,Rare Holo V,0.930000,0.780000,Pokémon
swsh3-34,Centiskorch VMAX,https://images.pokemontcg.io/swsh3/34_hires.png,Rare Holo VMAX,2.260000,1.710000,Pokémon
swsh3-35,Galarian Mr. Mime,https://images.pokemontcg.io/swsh3/35_hires.png,Common,0.040000,0.060000,Pokémon
swsh3-36,Galarian Mr. Rime,https://images.pokemontcg.io/swsh3/36_hires.png,Rare,0.390000,0.190000,Pokémon
swsh3-37,Suicune,https://images.pokemontcg.io/swsh3/37_hires.png,Rare Holo,1.220000,0.860000,Pokémon
swsh3-38,Feebas,https://images.pokemontcg.io/swsh3/38_hires.png,Common,0.060000,0.080000,Pokémon
swsh3-39,Milotic,https://images.pokemontcg.io/swsh3/39_hires.png,Rare Holo,0.500000,0.310000,Pokémon
