id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex11-1,Beedrill δ,https://images.pokemontcg.io/ex11/1_hires.png,Rare Holo,11.900000,23.400000,Pokémon
ex11-2,Crobat δ,https://images.pokemontcg.io/ex11/2_hires.png,Rare Holo,9.100000,12.780000,Pokémon
ex11-3,Dragonite δ,https://images.pokemontcg.io/ex11/3_hires.png,Rare Holo,30.330000,130.540000,Pokémon
ex11-4,Espeon δ,https://images.pokemontcg.io/ex11/4_hires.png,Rare Holo,25.660000,117.040000,Pokémon
ex11-5,Flareon δ,https://images.pokemontcg.io/ex11/5_hires.png,Rare Holo,41.870000,76.280000,Pokémon
ex11-6,Gardevoir δ,https://images.pokemontcg.io/ex11/6_hires.png,Rare Holo,20.380000,52.520000,Pokémon
ex11-7,Jolteon δ,https://images.pokemontcg.io/ex11/7_hires.png,Rare Holo,45.800000,64.130000,Pokémon
ex11-8,Latias δ,https://images.pokemontcg.io/ex11/8_hires.png,Rare Holo,23.290000,62.270000,Pokémon
ex11-9,Latios δ,https://images.pokemontcg.io/ex11/9_hires.png,Rare Holo,30.150000,57.500000,Pokémon
ex11-10,Marowak δ,https://images.pokemontcg.io/ex11/10_hires.png,Rare Holo,5.750000,17.820000,Pokémon
ex11-11,Metagross δ,https://images.pokemontcg.io/ex11/11_hires.png,Rare Holo,21.880000,33.430000,Pokémon
ex11-12,Mewtwo δ,https://images.pokemontcg.io/ex11/12_hires.png,Rare Holo,49.380000,120.600000,Pokémon
ex11-13,Rayquaza δ,https://images.pokemontcg.io/ex11/13_hires.png,Rare Holo,146.970000,91.620000,Pokémon
ex11-14,Salamence δ,https://images.pokemontcg.io/ex11/14_hires.png,Rare Holo,5.990000,24.420000,Pokémon
ex11-15,Starmie δ,https://images.pokemontcg.io/ex11/15_hires.png,Rare Holo,8.010000,22.610000,Pokémon
ex11-16,Tyranitar δ,https://images.pokemontcg.io/ex11/16_hires.png,Rare Holo,47,72.010000,Pokémon
ex11-17,Umbreon δ,https://images.pokemontcg.io/ex11/17_hires.png,Rare Holo,103.750000,228.700000,Pokémon
ex11-18,Vaporeon δ,https://images.pokemontcg.io/ex11/18_hires.png,Rare Holo,42.250000,74.480000,Pokémon
ex11-19,Azumarill δ,https://images.pokemontcg.io/ex11/19_hires.png,Rare,2.750000,5.580000,Pokémon
ex11-20,Azurill,https://images.pokemontcg.io/ex11/20_hires.png,Rare,2.210000,4.500000,Pokémon
ex11-21,Holon's Electrode,https://images.pokemontcg.io/ex11/21_hires.png,Rare,1.280000,2.510000,Pokémon
ex11-22,Holon's Magneton,https://images.pokemontcg.io/ex11/22_hires.png,Rare,4,4.310000,Pokémon
ex11-23,Hypno,https://images.pokemontcg.io/ex11/23_hires.png,Rare,2.650000,1.780000,Pokémon
ex11-24,Mightyena δ,https://images.pokemontcg.io/ex11/24_hires.png,Rare,3.460000,3.440000,Pokémon
ex11-25,Porygon2,https://images.pokemontcg.io/ex11/25_hires.png,Rare,0.950000,2.470000,Pokémon
ex11-26,Rain Castform,https://images.pokemontcg.io/ex11/26_hires.png,Rare,1.460000,1.830000,Pokémon
ex11-27,Sandslash δ,https://images.pokemontcg.io/ex11/27_hires.png,Rare,3.260000,3.290000,Pokémon
ex11-28,Slowking,https://images.pokemontcg.io/ex11/28_hires.png,Rare,2.230000,3.550000,Pokémon
ex11-29,Snow-cloud Castform,https://images.pokemontcg.io/ex11/29_hires.png,Rare,0.910000,2.590000,Pokémon
ex11-30,Starmie δ,https://images.pokemontcg.io/ex11/30_hires.png,Rare,4.400000,2.740000,Pokémon
ex11-31,Sunny Castform,https://images.pokemontcg.io/ex11/31_hires.png,Rare,1.700000,3.290000,Pokémon
ex11-32,Swellow,https://images.pokemontcg.io/ex11/32_hires.png,Rare,0.680000,0.790000,Pokémon
ex11-33,Weezing,https://images.pokemontcg.io/ex11/33_hires.png,Rare,0.680000,0.890000,Pokémon
ex11-34,Castform,https://images.pokemontcg.io/ex11/34_hires.png,Uncommon,1.380000,1.610000,Pokémon
ex11-35,Ditto,https://images.pokemontcg.io/ex11/35_hires.png,Uncommon,10.380000,20.090000,Pokémon
ex11-36,Ditto,https://images.pokemontcg.io/ex11/36_hires.png,Uncommon,15.990000,57.110000,Pokémon
ex11-37,Ditto,https://images.pokemontcg.io/ex11/37_hires.png,Uncommon,8.400000,23.960000,Pokémon
ex11-38,Ditto,https://images.pokemontcg.io/ex11/38_hires.png,Uncommon,9.540000,19.060000,Pokémon
ex11-39,Ditto,https://images.pokemontcg.io/ex11/39_hires.png,Uncommon,19.450000,37.580000,Pokémon
ex11-40,Ditto,https://images.pokemontcg.io/ex11/40_hires.png,Uncommon,12.120000,44.380000,Pokémon
ex11-41,Dragonair δ,https://images.pokemontcg.io/ex11/41_hires.png,Uncommon,1.680000,2.850000,Pokémon
ex11-42,Dragonair δ,https://images.pokemontcg.io/ex11/42_hires.png,Uncommon,3.290000,4.480000,Pokémon
ex11-43,Golbat,https://images.pokemontcg.io/ex11/43_hires.png,Uncommon,0.460000,0.770000,Pokémon
ex11-44,Hariyama,https://images.pokemontcg.io/ex11/44_hires.png,Uncommon,0.540000,1.750000,Pokémon
ex11-45,Illumise,https://images.pokemontcg.io/ex11/45_hires.png,Uncommon,1.060000,1.020000,Pokémon
ex11-46,Kakuna,https://images.pokemontcg.io/ex11/46_hires.png,Uncommon,2.140000,2,Pokémon
ex11-47,Kirlia,https://images.pokemontcg.io/ex11/47_hires.png,Uncommon,1.010000,2.010000,Pokémon
ex11-48,Magneton,https://images.pokemontcg.io/ex11/48_hires.png,Uncommon,1.230000,0.820000,Pokémon
ex11-49,Metang δ,https://images.pokemontcg.io/ex11/49_hires.png,Uncommon,2.510000,2.340000,Pokémon
ex11-50,Persian,https://images.pokemontcg.io/ex11/50_hires.png,Uncommon,1.040000,1.050000,Pokémon
ex11-51,Pupitar δ,https://images.pokemontcg.io/ex11/51_hires.png,Uncommon,1.400000,1.270000,Pokémon
ex11-52,Rapidash,https://images.pokemontcg.io/ex11/52_hires.png,Uncommon,0.650000,1.350000,Pokémon
ex11-53,Shelgon δ,https://images.pokemontcg.io/ex11/53_hires.png,Uncommon,0.710000,1.120000,Pokémon
ex11-54,Shelgon δ,https://images.pokemontcg.io/ex11/54_hires.png,Uncommon,0.880000,2.200000,Pokémon
ex11-55,Skarmory,https://images.pokemontcg.io/ex11/55_hires.png,Uncommon,1.780000,2.200000,Pokémon
ex11-56,Volbeat,https://images.pokemontcg.io/ex11/56_hires.png,Uncommon,0.880000,0.740000,Pokémon
ex11-57,Bagon δ,https://images.pokemontcg.io/ex11/57_hires.png,Common,0.610000,0.410000,Pokémon
ex11-58,Bagon δ,https://images.pokemontcg.io/ex11/58_hires.png,Common,0.460000,0.600000,Pokémon
ex11-59,Beldum δ,https://images.pokemontcg.io/ex11/59_hires.png,Common,0.550000,0.610000,Pokémon
ex11-60,Cubone,https://images.pokemontcg.io/ex11/60_hires.png,Common,0.360000,1.020000,Pokémon
ex11-61,Ditto,https://images.pokemontcg.io/ex11/61_hires.png,Common,6.370000,14.900000,Pokémon
ex11-62,Ditto,https://images.pokemontcg.io/ex11/62_hires.png,Common,2.390000,8.330000,Pokémon
ex11-63,Ditto,https://images.pokemontcg.io/ex11/63_hires.png,Common,9,16.320000,Pokémon
ex11-64,Ditto,https://images.pokemontcg.io/ex11/64_hires.png,Common,8.840000,19.760000,Pokémon
ex11-65,Dratini δ,https://images.pokemontcg.io/ex11/65_hires.png,Common,0.490000,0.800000,Pokémon
ex11-66,Dratini δ,https://images.pokemontcg.io/ex11/66_hires.png,Common,1.100000,2.070000,Pokémon
ex11-67,Drowzee,https://images.pokemontcg.io/ex11/67_hires.png,Common,1.650000,0.800000,Pokémon
ex11-68,Eevee δ,https://images.pokemontcg.io/ex11/68_hires.png,Common,3.710000,4.290000,Pokémon
ex11-69,Eevee,https://images.pokemontcg.io/ex11/69_hires.png,Common,3.250000,5.060000,Pokémon
ex11-70,Holon's Magnemite,https://images.pokemontcg.io/ex11/70_hires.png,Common,0.550000,1.460000,Pokémon
ex11-71,Holon's Voltorb,https://images.pokemontcg.io/ex11/71_hires.png,Common,0.220000,0.420000,Pokémon
ex11-72,Koffing,https://images.pokemontcg.io/ex11/72_hires.png,Common,0.190000,0.480000,Pokémon
ex11-73,Larvitar δ,https://images.pokemontcg.io/ex11/73_hires.png,Common,1.180000,1.300000,Pokémon
ex11-74,Magnemite,https://images.pokemontcg.io/ex11/74_hires.png,Common,0.190000,0.320000,Pokémon
ex11-75,Makuhita,https://images.pokemontcg.io/ex11/75_hires.png,Common,0.500000,0.390000,Pokémon
ex11-76,Marill,https://images.pokemontcg.io/ex11/76_hires.png,Common,0.280000,0.520000,Pokémon
ex11-77,Meowth,https://images.pokemontcg.io/ex11/77_hires.png,Common,0.760000,0.590000,Pokémon
ex11-78,Ponyta,https://images.pokemontcg.io/ex11/78_hires.png,Common,0.220000,0.280000,Pokémon
ex11-79,Poochyena,https://images.pokemontcg.io/ex11/79_hires.png,Common,0.490000,0.610000,Pokémon
ex11-80,Porygon,https://images.pokemontcg.io/ex11/80_hires.png,Common,0.190000,0.480000,Pokémon
ex11-81,Ralts,https://images.pokemontcg.io/ex11/81_hires.png,Common,0.270000,0.720000,Pokémon
ex11-82,Sandshrew,https://images.pokemontcg.io/ex11/82_hires.png,Common,1.180000,1.370000,Pokémon
ex11-83,Slowpoke,https://images.pokemontcg.io/ex11/83_hires.png,Common,0.430000,1.580000,Pokémon
ex11-84,Staryu,https://images.pokemontcg.io/ex11/84_hires.png,Common,0.480000,0.490000,Pokémon
ex11-85,Staryu,https://images.pokemontcg.io/ex11/85_hires.png,Common,0.600000,0.550000,Pokémon
ex11-86,Taillow,https://images.pokemontcg.io/ex11/86_hires.png,Common,0.280000,0.290000,Pokémon
ex11-87,Weedle,https://images.pokemontcg.io/ex11/87_hires.png,Common,0.280000,0.470000,Pokémon
ex11-88,Zubat,https://images.pokemontcg.io/ex11/88_hires.png,Common,0.270000,0.540000,Pokémon
ex11-89,Dual Ball,https://images.pokemontcg.io/ex11/89_hires.png,Uncommon,0.250000,0.360000,Trainer
ex11-90,Great Ball,https://images.pokemontcg.io/ex11/90_hires.png,Uncommon,0.260000,0.550000,Trainer
ex11-91,Holon Farmer,https://images.pokemontcg.io/ex11/91_hires.png,Uncommon,1.610000,1.730000,Trainer
ex11-92,Holon Lass,https://images.pokemontcg.io/ex11/92_hires.png,Uncommon,0.420000,0.710000,Trainer
ex11-93,Holon Mentor,https://images.pokemontcg.io/ex11/93_hires.png,Uncommon,3.110000,4.130000,Trainer
ex11-94,Holon Research Tower,https://images.pokemontcg.io/ex11/94_hires.png,Uncommon,0.710000,0.760000,Trainer
ex11-95,Holon Researcher,https://images.pokemontcg.io/ex11/95_hires.png,Uncommon,0.340000,0.590000,Trainer
ex11-96,Holon Ruins,https://images.pokemontcg.io/ex11/96_hires.png,Uncommon,1.800000,1.280000,Trainer
ex11-97,Holon Scientist,https://images.pokemontcg.io/ex11/97_hires.png,Uncommon,2.430000,3.540000,Trainer
ex11-98,Holon Transceiver,https://images.pokemontcg.io/ex11/98_hires.png,Uncommon,10.590000,22.120000,Trainer
ex11-99,Master Ball,https://images.pokemontcg.io/ex11/99_hires.png,Uncommon,0.190000,0.660000,Trainer
ex11-100,Super Scoop Up,https://images.pokemontcg.io/ex11/100_hires.png,Uncommon,1.520000,0.850000,Trainer
ex11-101,Potion,https://images.pokemontcg.io/ex11/101_hires.png,Common,0.090000,0.180000,Trainer
ex11-102,Switch,https://images.pokemontcg.io/ex11/102_hires.png,Common,0.120000,0.240000,Trainer
ex11-103,Darkness Energy,https://images.pokemontcg.io/ex11/103_hires.png,Rare,2.600000,0.980000,Energy
ex11-104,Holon Energy FF,https://images.pokemontcg.io/ex11/104_hires.png,Rare,2.730000,1.250000,Energy
ex11-105,Holon Energy GL,https://images.pokemontcg.io/ex11/105_hires.png,Rare,1.650000,1.270000,Energy
ex11-106,Holon Energy WP,https://images.pokemontcg.io/ex11/106_hires.png,Rare,2.830000,2.190000,Energy
ex11-107,Metal Energy,https://images.pokemontcg.io/ex11/107_hires.png,Rare,0.480000,0.670000,Energy
ex11-108,Flareon ex,https://images.pokemontcg.io/ex11/108_hires.png,Rare Holo EX,48.770000,150.090000,Pokémon
ex11-109,Jolteon ex,https://images.pokemontcg.io/ex11/109_hires.png,Rare Holo EX,27.940000,95,Pokémon
ex11-110,Vaporeon ex,https://images.pokemontcg.io/ex11/110_hires.png,Rare Holo EX,131.500000,219,Pokémon
ex11-111,Groudon ★,https://images.pokemontcg.io/ex11/111_hires.png,Rare Holo Star,424,441.690000,Pokémon
ex11-112,Kyogre ★,https://images.pokemontcg.io/ex11/112_hires.png,Rare Holo Star,692.320000,999.990000,Pokémon
ex11-113,Metagross ★,https://images.pokemontcg.io/ex11/113_hires.png,Rare Holo Star,896.400000,1199.990000,Pokémon
ex11-114,Azumarill,https://images.pokemontcg.io/ex11/114_hires.png,Rare Secret,9.390000,34.670000,Pokémon
",DefaulT,",,,,0,0,
