id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex8-1,Altaria,https://images.pokemontcg.io/ex8/1_hires.png,Rare Holo,11.390000,5.310000,Pokémon
ex8-2,Beautifly,https://images.pokemontcg.io/ex8/2_hires.png,Rare Holo,6.190000,9.180000,Pokémon
ex8-3,Breloom,https://images.pokemontcg.io/ex8/3_hires.png,Rare Holo,10.120000,7.990000,Pokémon
ex8-4,Camerupt,https://images.pokemontcg.io/ex8/4_hires.png,Rare Holo,3.320000,10.760000,Pokémon
ex8-5,Claydol,https://images.pokemontcg.io/ex8/5_hires.png,Rare Holo,5.890000,6.770000,Pokémon
ex8-6,Crawdaunt,https://images.pokemontcg.io/ex8/6_hires.png,Rare Holo,6.830000,9.610000,Pokémon
ex8-7,Dusclops,https://images.pokemontcg.io/ex8/7_hires.png,Rare Holo,5.570000,6,Pokémon
ex8-8,Gyarados,https://images.pokemontcg.io/ex8/8_hires.png,Rare Holo,15.540000,1.250000,Pokémon
ex8-9,Jirachi,https://images.pokemontcg.io/ex8/9_hires.png,Rare Holo,16.360000,50,Pokémon
ex8-10,Ludicolo,https://images.pokemontcg.io/ex8/10_hires.png,Rare Holo,8.340000,12.980000,Pokémon
ex8-11,Metagross,https://images.pokemontcg.io/ex8/11_hires.png,Rare Holo,9.360000,27.510000,Pokémon
ex8-12,Mightyena,https://images.pokemontcg.io/ex8/12_hires.png,Rare Holo,7.980000,14.620000,Pokémon
ex8-13,Ninjask,https://images.pokemontcg.io/ex8/13_hires.png,Rare Holo,4.580000,8.210000,Pokémon
ex8-14,Shedinja,https://images.pokemontcg.io/ex8/14_hires.png,Rare Holo,3.330000,13.570000,Pokémon
ex8-15,Slaking,https://images.pokemontcg.io/ex8/15_hires.png,Rare Holo,8.310000,10.360000,Pokémon
ex8-16,Deoxys,https://images.pokemontcg.io/ex8/16_hires.png,Rare,27.500000,4.670000,Pokémon
ex8-17,Deoxys,https://images.pokemontcg.io/ex8/17_hires.png,Rare,2.990000,4.470000,Pokémon
ex8-18,Deoxys,https://images.pokemontcg.io/ex8/18_hires.png,Rare,2.020000,3.910000,Pokémon
ex8-19,Ludicolo,https://images.pokemontcg.io/ex8/19_hires.png,Rare,1,0.790000,Pokémon
ex8-20,Magcargo,https://images.pokemontcg.io/ex8/20_hires.png,Rare,1.420000,2.160000,Pokémon
ex8-21,Pelipper,https://images.pokemontcg.io/ex8/21_hires.png,Rare,2.180000,2.180000,Pokémon
ex8-22,Rayquaza,https://images.pokemontcg.io/ex8/22_hires.png,Rare,4.350000,11.860000,Pokémon
ex8-23,Sableye,https://images.pokemontcg.io/ex8/23_hires.png,Rare,3.790000,3.580000,Pokémon
ex8-24,Seaking,https://images.pokemontcg.io/ex8/24_hires.png,Rare,0.940000,0.790000,Pokémon
ex8-25,Shiftry,https://images.pokemontcg.io/ex8/25_hires.png,Rare,0.480000,0.730000,Pokémon
ex8-26,Skarmory,https://images.pokemontcg.io/ex8/26_hires.png,Rare,1.010000,1.060000,Pokémon
ex8-27,Tropius,https://images.pokemontcg.io/ex8/27_hires.png,Rare,1.240000,1.030000,Pokémon
ex8-28,Whiscash,https://images.pokemontcg.io/ex8/28_hires.png,Rare,0.910000,1.070000,Pokémon
ex8-29,Xatu,https://images.pokemontcg.io/ex8/29_hires.png,Rare,1.060000,1.840000,Pokémon
ex8-30,Donphan,https://images.pokemontcg.io/ex8/30_hires.png,Uncommon,2.120000,2.310000,Pokémon
ex8-31,Golbat,https://images.pokemontcg.io/ex8/31_hires.png,Uncommon,1.120000,1.530000,Pokémon
ex8-32,Grumpig,https://images.pokemontcg.io/ex8/32_hires.png,Uncommon,0.420000,0.360000,Pokémon
ex8-33,Lombre,https://images.pokemontcg.io/ex8/33_hires.png,Uncommon,1.840000,1.740000,Pokémon
ex8-34,Lombre,https://images.pokemontcg.io/ex8/34_hires.png,Uncommon,0.580000,0.530000,Pokémon
ex8-35,Lotad,https://images.pokemontcg.io/ex8/35_hires.png,Uncommon,0.440000,0.830000,Pokémon
ex8-36,Lunatone,https://images.pokemontcg.io/ex8/36_hires.png,Uncommon,2.780000,1.820000,Pokémon
ex8-37,Magcargo,https://images.pokemontcg.io/ex8/37_hires.png,Uncommon,1.370000,0.860000,Pokémon
ex8-38,Manectric,https://images.pokemontcg.io/ex8/38_hires.png,Uncommon,0.600000,0.940000,Pokémon
ex8-39,Masquerain,https://images.pokemontcg.io/ex8/39_hires.png,Uncommon,1.960000,0.700000,Pokémon
ex8-40,Metang,https://images.pokemontcg.io/ex8/40_hires.png,Uncommon,0.380000,0.520000,Pokémon
ex8-41,Minun,https://images.pokemontcg.io/ex8/41_hires.png,Uncommon,4.330000,3.190000,Pokémon
ex8-42,Nosepass,https://images.pokemontcg.io/ex8/42_hires.png,Uncommon,0.640000,1.580000,Pokémon
ex8-43,Nuzleaf,https://images.pokemontcg.io/ex8/43_hires.png,Uncommon,0.230000,0.460000,Pokémon
ex8-44,Plusle,https://images.pokemontcg.io/ex8/44_hires.png,Uncommon,3.080000,3.380000,Pokémon
ex8-45,Shelgon,https://images.pokemontcg.io/ex8/45_hires.png,Uncommon,2.160000,1.020000,Pokémon
ex8-46,Silcoon,https://images.pokemontcg.io/ex8/46_hires.png,Uncommon,1.010000,1.050000,Pokémon
ex8-47,Solrock,https://images.pokemontcg.io/ex8/47_hires.png,Uncommon,1.390000,0.930000,Pokémon
ex8-48,Starmie,https://images.pokemontcg.io/ex8/48_hires.png,Uncommon,1.120000,1.490000,Pokémon
ex8-49,Swellow,https://images.pokemontcg.io/ex8/49_hires.png,Uncommon,0.630000,0.730000,Pokémon
ex8-50,Vigoroth,https://images.pokemontcg.io/ex8/50_hires.png,Uncommon,0.550000,1.070000,Pokémon
ex8-51,Weezing,https://images.pokemontcg.io/ex8/51_hires.png,Uncommon,0.930000,1.180000,Pokémon
ex8-52,Bagon,https://images.pokemontcg.io/ex8/52_hires.png,Common,0.280000,0.350000,Pokémon
ex8-53,Baltoy,https://images.pokemontcg.io/ex8/53_hires.png,Common,0.430000,0.360000,Pokémon
ex8-54,Barboach,https://images.pokemontcg.io/ex8/54_hires.png,Common,0.330000,0.440000,Pokémon
ex8-55,Beldum,https://images.pokemontcg.io/ex8/55_hires.png,Common,0.160000,0.240000,Pokémon
ex8-56,Carvanha,https://images.pokemontcg.io/ex8/56_hires.png,Common,0.470000,0.870000,Pokémon
ex8-57,Corphish,https://images.pokemontcg.io/ex8/57_hires.png,Common,0.480000,0.350000,Pokémon
ex8-58,Duskull,https://images.pokemontcg.io/ex8/58_hires.png,Common,0.430000,0.450000,Pokémon
ex8-59,Electrike,https://images.pokemontcg.io/ex8/59_hires.png,Common,0.200000,0.540000,Pokémon
ex8-60,Electrike,https://images.pokemontcg.io/ex8/60_hires.png,Common,0.350000,0.240000,Pokémon
ex8-61,Goldeen,https://images.pokemontcg.io/ex8/61_hires.png,Common,0.240000,0.410000,Pokémon
ex8-62,Koffing,https://images.pokemontcg.io/ex8/62_hires.png,Common,0.220000,0.390000,Pokémon
ex8-63,Lotad,https://images.pokemontcg.io/ex8/63_hires.png,Common,0.190000,0.320000,Pokémon
ex8-64,Magikarp,https://images.pokemontcg.io/ex8/64_hires.png,Common,1.290000,2.080000,Pokémon
ex8-65,Makuhita,https://images.pokemontcg.io/ex8/65_hires.png,Common,0.240000,0.290000,Pokémon
ex8-66,Natu,https://images.pokemontcg.io/ex8/66_hires.png,Common,0.290000,0.700000,Pokémon
ex8-67,Nincada,https://images.pokemontcg.io/ex8/67_hires.png,Common,0.180000,0.270000,Pokémon
ex8-68,Numel,https://images.pokemontcg.io/ex8/68_hires.png,Common,0.350000,0.340000,Pokémon
ex8-69,Phanpy,https://images.pokemontcg.io/ex8/69_hires.png,Common,0.640000,2.120000,Pokémon
ex8-70,Poochyena,https://images.pokemontcg.io/ex8/70_hires.png,Common,0.360000,0.980000,Pokémon
ex8-71,Seedot,https://images.pokemontcg.io/ex8/71_hires.png,Common,0.150000,0.230000,Pokémon
ex8-72,Shroomish,https://images.pokemontcg.io/ex8/72_hires.png,Common,0.290000,0.680000,Pokémon
ex8-73,Slakoth,https://images.pokemontcg.io/ex8/73_hires.png,Common,0.660000,0.610000,Pokémon
ex8-74,Slugma,https://images.pokemontcg.io/ex8/74_hires.png,Common,0.500000,1.480000,Pokémon
ex8-75,Slugma,https://images.pokemontcg.io/ex8/75_hires.png,Common,0.210000,0.380000,Pokémon
ex8-76,Spoink,https://images.pokemontcg.io/ex8/76_hires.png,Common,0.120000,0.270000,Pokémon
ex8-77,Staryu,https://images.pokemontcg.io/ex8/77_hires.png,Common,0.510000,0.700000,Pokémon
ex8-78,Surskit,https://images.pokemontcg.io/ex8/78_hires.png,Common,0.300000,0.330000,Pokémon
ex8-79,Swablu,https://images.pokemontcg.io/ex8/79_hires.png,Common,0.560000,0.890000,Pokémon
ex8-80,Taillow,https://images.pokemontcg.io/ex8/80_hires.png,Common,0.120000,0.340000,Pokémon
ex8-81,Wingull,https://images.pokemontcg.io/ex8/81_hires.png,Common,0.530000,0.850000,Pokémon
ex8-82,Wurmple,https://images.pokemontcg.io/ex8/82_hires.png,Common,0.300000,0.780000,Pokémon
ex8-83,Zubat,https://images.pokemontcg.io/ex8/83_hires.png,Common,0.220000,0.600000,Pokémon
ex8-84,Balloon Berry,https://images.pokemontcg.io/ex8/84_hires.png,Uncommon,1.040000,0.650000,Trainer
ex8-85,Crystal Shard,https://images.pokemontcg.io/ex8/85_hires.png,Uncommon,0.470000,0.670000,Trainer
ex8-86,Energy Charge,https://images.pokemontcg.io/ex8/86_hires.png,Uncommon,0.630000,0.630000,Trainer
ex8-87,Lady Outing,https://images.pokemontcg.io/ex8/87_hires.png,Uncommon,0.450000,0.400000,Trainer
ex8-88,Master Ball,https://images.pokemontcg.io/ex8/88_hires.png,Uncommon,0.250000,0.420000,Trainer
ex8-89,Meteor Falls,https://images.pokemontcg.io/ex8/89_hires.png,Uncommon,0.980000,0.580000,Trainer
ex8-90,Professor Cozmo's Discovery,https://images.pokemontcg.io/ex8/90_hires.png,Uncommon,0.350000,0.410000,Trainer
ex8-91,Space Center,https://images.pokemontcg.io/ex8/91_hires.png,Uncommon,2.620000,2.130000,Trainer
ex8-92,Strength Charm,https://images.pokemontcg.io/ex8/92_hires.png,Uncommon,0.220000,0.480000,Trainer
ex8-93,Boost Energy,https://images.pokemontcg.io/ex8/93_hires.png,Uncommon,0.920000,1.090000,Energy
ex8-94,Heal Energy,https://images.pokemontcg.io/ex8/94_hires.png,Uncommon,2.520000,7.160000,Energy
ex8-95,Scramble Energy,https://images.pokemontcg.io/ex8/95_hires.png,Uncommon,1.820000,4.180000,Energy
ex8-96,Crobat ex,https://images.pokemontcg.io/ex8/96_hires.png,Rare Holo EX,22,72.980000,Pokémon
ex8-97,Deoxys ex,https://images.pokemontcg.io/ex8/97_hires.png,Rare Holo EX,60,175.980000,Pokémon
ex8-98,Deoxys ex,https://images.pokemontcg.io/ex8/98_hires.png,Rare Holo EX,72.860000,123.970000,Pokémon
ex8-99,Deoxys ex,https://images.pokemontcg.io/ex8/99_hires.png,Rare Holo EX,74,65.850000,Pokémon
ex8-100,Hariyama ex,https://images.pokemontcg.io/ex8/100_hires.png,Rare Holo EX,20.470000,38.240000,Pokémon
ex8-101,Manectric ex,https://images.pokemontcg.io/ex8/101_hires.png,Rare Holo EX,22.240000,54.580000,Pokémon
ex8-102,Rayquaza ex,https://images.pokemontcg.io/ex8/102_hires.png,Rare Holo EX,149.990000,49.980000,Pokémon
ex8-103,Salamence ex,https://images.pokemontcg.io/ex8/103_hires.png,Rare Holo EX,42.500000,165.970000,Pokémon
ex8-104,Sharpedo ex,https://images.pokemontcg.io/ex8/104_hires.png,Rare Holo EX,30.250000,99.990000,Pokémon
ex8-105,Latias ★,https://images.pokemontcg.io/ex8/105_hires.png,Rare Holo Star,523.330000,900.390000,Pokémon
ex8-106,Latios ★,https://images.pokemontcg.io/ex8/106_hires.png,Rare Holo Star,1153.330000,450,Pokémon
ex8-107,Rayquaza ★,https://images.pokemontcg.io/ex8/107_hires.png,Rare Holo Star,3941.320000,0,Pokémon
ex8-108,Rocket's Raikou ex,https://images.pokemontcg.io/ex8/108_hires.png,Rare Secret,85.030000,212.820000,Pokémon
",DefaulT,",,,,0,0,
