id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv10-1,Ethan's Pinsir,https://images.pokemontcg.io/sv10/1_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv10-2,Yanma,https://images.pokemontcg.io/sv10/2_hires.png,Common,0.030000,0.080000,Pokémon
sv10-3,Yanmega ex,https://images.pokemontcg.io/sv10/3_hires.png,Double Rare,0.760000,0.860000,Pokémon
sv10-4,Pineco,https://images.pokemontcg.io/sv10/4_hires.png,Common,0.030000,0.090000,Pokémon
sv10-5,Shroomish,https://images.pokemontcg.io/sv10/5_hires.png,Common,0.040000,0.050000,Pokémon
sv10-6,Breloom,https://images.pokemontcg.io/sv10/6_hires.png,Common,0.040000,0.100000,Pokémon
sv10-7,Cynthia's Roselia,https://images.pokemontcg.io/sv10/7_hires.png,Common,0.050000,0.110000,Pokémon
sv10-8,Cynthia's Roserade,https://images.pokemontcg.io/sv10/8_hires.png,Rare,0.150000,0.240000,Pokémon
sv10-9,Mow Rotom,https://images.pokemontcg.io/sv10/9_hires.png,Common,0.040000,0.070000,Pokémon
sv10-10,Shaymin,https://images.pokemontcg.io/sv10/10_hires.png,Uncommon,0.200000,0.480000,Pokémon
sv10-11,Dwebble,https://images.pokemontcg.io/sv10/11_hires.png,Common,0.060000,0.150000,Pokémon
sv10-12,Crustle,https://images.pokemontcg.io/sv10/12_hires.png,Rare,0.110000,0.150000,Pokémon
sv10-13,Fomantis,https://images.pokemontcg.io/sv10/13_hires.png,Common,0.030000,0.070000,Pokémon
sv10-14,Lurantis,https://images.pokemontcg.io/sv10/14_hires.png,Uncommon,0.040000,0.100000,Pokémon
sv10-15,Team Rocket's Blipbug,https://images.pokemontcg.io/sv10/15_hires.png,Common,0.030000,0.050000,Pokémon
sv10-16,Applin,https://images.pokemontcg.io/sv10/16_hires.png,Common,0.040000,0.100000,Pokémon
sv10-17,Dipplin,https://images.pokemontcg.io/sv10/17_hires.png,Common,0.040000,0.080000,Pokémon
sv10-18,Hydrapple,https://images.pokemontcg.io/sv10/18_hires.png,Rare,0.070000,0.200000,Pokémon
sv10-19,Team Rocket's Tarountula,https://images.pokemontcg.io/sv10/19_hires.png,Common,0.060000,0.130000,Pokémon
sv10-20,Team Rocket's Spidops,https://images.pokemontcg.io/sv10/20_hires.png,Rare,0.130000,0.250000,Pokémon
sv10-21,Smoliv,https://images.pokemontcg.io/sv10/21_hires.png,Common,0.030000,0.080000,Pokémon
sv10-22,Dolliv,https://images.pokemontcg.io/sv10/22_hires.png,Common,0.040000,0.070000,Pokémon
sv10-23,Arboliva ex,https://images.pokemontcg.io/sv10/23_hires.png,Double Rare,0.560000,0.540000,Pokémon
sv10-24,Rellor,https://images.pokemontcg.io/sv10/24_hires.png,Common,0.030000,0.040000,Pokémon
sv10-25,Rabsca ex,https://images.pokemontcg.io/sv10/25_hires.png,Double Rare,0.520000,0.560000,Pokémon
sv10-26,Teal Mask Ogerpon,https://images.pokemontcg.io/sv10/26_hires.png,Uncommon,0.040000,0.090000,Pokémon
sv10-27,Growlithe,https://images.pokemontcg.io/sv10/27_hires.png,Common,0.040000,0.090000,Pokémon
sv10-28,Arcanine,https://images.pokemontcg.io/sv10/28_hires.png,Uncommon,0.040000,0.100000,Pokémon
sv10-29,Ponyta,https://images.pokemontcg.io/sv10/29_hires.png,Common,0.040000,0.100000,Pokémon
sv10-30,Rapidash,https://images.pokemontcg.io/sv10/30_hires.png,Uncommon,0.030000,0.110000,Pokémon
sv10-31,Team Rocket's Moltres ex,https://images.pokemontcg.io/sv10/31_hires.png,Double Rare,0.770000,0.900000,Pokémon
sv10-32,Ethan's Cyndaquil,https://images.pokemontcg.io/sv10/32_hires.png,Common,0.060000,0.130000,Pokémon
sv10-33,Ethan's Quilava,https://images.pokemontcg.io/sv10/33_hires.png,Common,0.140000,0.310000,Pokémon
sv10-34,Ethan's Typhlosion,https://images.pokemontcg.io/sv10/34_hires.png,Rare,0.240000,0.440000,Pokémon
sv10-35,Ethan's Slugma,https://images.pokemontcg.io/sv10/35_hires.png,Common,0.040000,0.080000,Pokémon
sv10-36,Ethan's Magcargo,https://images.pokemontcg.io/sv10/36_hires.png,Rare,0.090000,0.150000,Pokémon
sv10-37,Team Rocket's Houndour,https://images.pokemontcg.io/sv10/37_hires.png,Common,0.030000,0.040000,Pokémon
sv10-38,Team Rocket's Houndoom,https://images.pokemontcg.io/sv10/38_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv10-39,Ethan's Ho-Oh ex,https://images.pokemontcg.io/sv10/39_hires.png,Double Rare,1.280000,2,Pokémon
sv10-40,Torchic,https://images.pokemontcg.io/sv10/40_hires.png,Common,0.040000,0.130000,Pokémon
sv10-41,Combusken,https://images.pokemontcg.io/sv10/41_hires.png,Common,0.050000,0.150000,Pokémon
sv10-42,Blaziken,https://images.pokemontcg.io/sv10/42_hires.png,Rare,0.080000,0.150000,Pokémon
sv10-43,Heat Rotom,https://images.pokemontcg.io/sv10/43_hires.png,Common,0.040000,0.080000,Pokémon
sv10-44,Hearthflame Mask Ogerpon,https://images.pokemontcg.io/sv10/44_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv10-45,Misty's Psyduck,https://images.pokemontcg.io/sv10/45_hires.png,Uncommon,0.060000,0.140000,Pokémon
sv10-46,Misty's Staryu,https://images.pokemontcg.io/sv10/46_hires.png,Common,0.030000,0.110000,Pokémon
sv10-47,Misty's Starmie,https://images.pokemontcg.io/sv10/47_hires.png,Uncommon,0.040000,0.100000,Pokémon
sv10-48,Misty's Magikarp,https://images.pokemontcg.io/sv10/48_hires.png,Common,0.040000,0.140000,Pokémon
sv10-49,Misty's Gyarados,https://images.pokemontcg.io/sv10/49_hires.png,Rare,0.110000,0.250000,Pokémon
sv10-50,Misty's Lapras,https://images.pokemontcg.io/sv10/50_hires.png,Common,0.050000,0.140000,Pokémon
sv10-51,Team Rocket's Articuno,https://images.pokemontcg.io/sv10/51_hires.png,Rare,0.090000,0.190000,Pokémon
sv10-52,Cynthia's Feebas,https://images.pokemontcg.io/sv10/52_hires.png,Common,0.050000,0.140000,Pokémon
sv10-53,Cynthia's Milotic,https://images.pokemontcg.io/sv10/53_hires.png,Uncommon,0.040000,0.090000,Pokémon
sv10-54,Clamperl,https://images.pokemontcg.io/sv10/54_hires.png,Common,0.040000,0.100000,Pokémon
sv10-55,Huntail,https://images.pokemontcg.io/sv10/55_hires.png,Uncommon,0.040000,0.080000,Pokémon
sv10-56,Gorebyss,https://images.pokemontcg.io/sv10/56_hires.png,Rare,0.070000,0.140000,Pokémon
sv10-57,Buizel,https://images.pokemontcg.io/sv10/57_hires.png,Common,0.040000,0.080000,Pokémon
sv10-58,Floatzel,https://images.pokemontcg.io/sv10/58_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv10-59,Snover,https://images.pokemontcg.io/sv10/59_hires.png,Common,0.040000,0.090000,Pokémon
sv10-60,Abomasnow,https://images.pokemontcg.io/sv10/60_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv10-61,Wash Rotom,https://images.pokemontcg.io/sv10/61_hires.png,Common,0.040000,0.080000,Pokémon
