id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex15-1,Ampharos δ,https://images.pokemontcg.io/ex15/1_hires.png,Rare Holo,5.190000,18.610000,Pokémon
ex15-2,Feraligatr δ,https://images.pokemontcg.io/ex15/2_hires.png,Rare Holo,6.660000,36.150000,Pokémon
ex15-3,Heracross δ,https://images.pokemontcg.io/ex15/3_hires.png,Rare Holo,5.980000,21.970000,Pokémon
ex15-4,Meganium δ,https://images.pokemontcg.io/ex15/4_hires.png,Rare Holo,10.370000,21.650000,Pokémon
ex15-5,Milotic δ,https://images.pokemontcg.io/ex15/5_hires.png,Rare Holo,8.350000,23,Pokémon
ex15-6,Nidoking δ,https://images.pokemontcg.io/ex15/6_hires.png,Rare Holo,7.920000,20.540000,Pokémon
ex15-7,Nidoqueen δ,https://images.pokemontcg.io/ex15/7_hires.png,Rare Holo,9.210000,13.530000,Pokémon
ex15-8,Ninetales δ,https://images.pokemontcg.io/ex15/8_hires.png,Rare Holo,21.200000,68.440000,Pokémon
ex15-9,Pinsir δ,https://images.pokemontcg.io/ex15/9_hires.png,Rare Holo,6.090000,9.810000,Pokémon
ex15-10,Snorlax δ,https://images.pokemontcg.io/ex15/10_hires.png,Rare Holo,25.100000,57.380000,Pokémon
ex15-11,Togetic δ,https://images.pokemontcg.io/ex15/11_hires.png,Rare Holo,7.480000,13.590000,Pokémon
ex15-12,Typhlosion δ,https://images.pokemontcg.io/ex15/12_hires.png,Rare Holo,6.970000,35.830000,Pokémon
ex15-13,Arbok δ,https://images.pokemontcg.io/ex15/13_hires.png,Rare,1.280000,1.310000,Pokémon
ex15-14,Cloyster δ,https://images.pokemontcg.io/ex15/14_hires.png,Rare,0.800000,0.970000,Pokémon
ex15-15,Dewgong δ,https://images.pokemontcg.io/ex15/15_hires.png,Rare,1.910000,1.980000,Pokémon
ex15-16,Gligar δ,https://images.pokemontcg.io/ex15/16_hires.png,Rare,1.170000,1.500000,Pokémon
ex15-17,Jynx δ,https://images.pokemontcg.io/ex15/17_hires.png,Rare,1.160000,1.530000,Pokémon
ex15-18,Ledian δ,https://images.pokemontcg.io/ex15/18_hires.png,Rare,1.630000,1.710000,Pokémon
ex15-19,Lickitung δ,https://images.pokemontcg.io/ex15/19_hires.png,Rare,1.720000,1.420000,Pokémon
ex15-20,Mantine δ,https://images.pokemontcg.io/ex15/20_hires.png,Rare,0.970000,1.400000,Pokémon
ex15-21,Quagsire δ,https://images.pokemontcg.io/ex15/21_hires.png,Rare,2.650000,3.610000,Pokémon
ex15-22,Seadra δ,https://images.pokemontcg.io/ex15/22_hires.png,Rare,0.680000,1,Pokémon
ex15-23,Tropius δ,https://images.pokemontcg.io/ex15/23_hires.png,Rare,0.920000,1.450000,Pokémon
ex15-24,Vibrava δ,https://images.pokemontcg.io/ex15/24_hires.png,Rare,0.660000,0.750000,Pokémon
ex15-25,Xatu δ,https://images.pokemontcg.io/ex15/25_hires.png,Rare,1.120000,1.720000,Pokémon
ex15-26,Bayleef δ,https://images.pokemontcg.io/ex15/26_hires.png,Uncommon,1.190000,1.650000,Pokémon
ex15-27,Croconaw δ,https://images.pokemontcg.io/ex15/27_hires.png,Uncommon,0.850000,1.440000,Pokémon
ex15-28,Dragonair δ,https://images.pokemontcg.io/ex15/28_hires.png,Uncommon,2.190000,3.800000,Pokémon
ex15-29,Electabuzz δ,https://images.pokemontcg.io/ex15/29_hires.png,Uncommon,0.790000,1.850000,Pokémon
ex15-30,Flaaffy δ,https://images.pokemontcg.io/ex15/30_hires.png,Uncommon,0.910000,1.850000,Pokémon
ex15-31,Horsea δ,https://images.pokemontcg.io/ex15/31_hires.png,Uncommon,0.370000,0.600000,Pokémon
ex15-32,Kirlia,https://images.pokemontcg.io/ex15/32_hires.png,Uncommon,0.810000,0.740000,Pokémon
ex15-33,Kirlia δ,https://images.pokemontcg.io/ex15/33_hires.png,Uncommon,0.480000,0.830000,Pokémon
ex15-34,Nidorina δ,https://images.pokemontcg.io/ex15/34_hires.png,Uncommon,1.020000,1.530000,Pokémon
ex15-35,Nidorino δ,https://images.pokemontcg.io/ex15/35_hires.png,Uncommon,0.790000,0.860000,Pokémon
ex15-36,Quilava δ,https://images.pokemontcg.io/ex15/36_hires.png,Uncommon,0.780000,1.220000,Pokémon
ex15-37,Seadra δ,https://images.pokemontcg.io/ex15/37_hires.png,Uncommon,0.520000,1.170000,Pokémon
ex15-38,Shelgon δ,https://images.pokemontcg.io/ex15/38_hires.png,Uncommon,0.450000,1.050000,Pokémon
ex15-39,Smeargle δ,https://images.pokemontcg.io/ex15/39_hires.png,Uncommon,0.700000,0.840000,Pokémon
ex15-40,Swellow δ,https://images.pokemontcg.io/ex15/40_hires.png,Uncommon,1.040000,1.020000,Pokémon
ex15-41,Togepi δ,https://images.pokemontcg.io/ex15/41_hires.png,Uncommon,1.960000,3.060000,Pokémon
