id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex9-1,Blaziken,https://images.pokemontcg.io/ex9/1_hires.png,Rare Holo,3.640000,15.630000,Pokémon
ex9-2,Deoxys,https://images.pokemontcg.io/ex9/2_hires.png,Rare Holo,10.500000,27.460000,Pokémon
ex9-3,Exploud,https://images.pokemontcg.io/ex9/3_hires.png,Rare Holo,31.500000,1.250000,Pokémon
ex9-4,Gardevoir,https://images.pokemontcg.io/ex9/4_hires.png,Rare Holo,38.810000,23.620000,Pokémon
ex9-5,Groudon,https://images.pokemontcg.io/ex9/5_hires.png,Rare Holo,7.190000,22.100000,Pokémon
ex9-6,Kyogre,https://images.pokemontcg.io/ex9/6_hires.png,Rare Holo,17.430000,31.630000,Pokémon
ex9-7,Manectric,https://images.pokemontcg.io/ex9/7_hires.png,Rare Holo,1.520000,5.690000,Pokémon
ex9-8,Milotic,https://images.pokemontcg.io/ex9/8_hires.png,Rare Holo,2.400000,12,Pokémon
ex9-9,Rayquaza,https://images.pokemontcg.io/ex9/9_hires.png,Rare Holo,138.580000,87.220000,Pokémon
ex9-10,Sceptile,https://images.pokemontcg.io/ex9/10_hires.png,Rare Holo,6.070000,19.470000,Pokémon
ex9-11,Swampert,https://images.pokemontcg.io/ex9/11_hires.png,Rare Holo,9.040000,34.980000,Pokémon
ex9-12,Chimecho,https://images.pokemontcg.io/ex9/12_hires.png,Rare,1.320000,0.790000,Pokémon
ex9-13,Glalie,https://images.pokemontcg.io/ex9/13_hires.png,Rare,0.680000,0.820000,Pokémon
ex9-14,Groudon,https://images.pokemontcg.io/ex9/14_hires.png,Rare,1.390000,5.460000,Pokémon
ex9-15,Kyogre,https://images.pokemontcg.io/ex9/15_hires.png,Rare,2.220000,5.020000,Pokémon
ex9-16,Manectric,https://images.pokemontcg.io/ex9/16_hires.png,Rare,0.880000,1.810000,Pokémon
ex9-17,Nosepass,https://images.pokemontcg.io/ex9/17_hires.png,Rare,1.030000,1.280000,Pokémon
ex9-18,Relicanth,https://images.pokemontcg.io/ex9/18_hires.png,Rare,0.510000,1.570000,Pokémon
ex9-19,Rhydon,https://images.pokemontcg.io/ex9/19_hires.png,Rare,0.640000,1.270000,Pokémon
ex9-20,Seviper,https://images.pokemontcg.io/ex9/20_hires.png,Rare,1.100000,1.170000,Pokémon
ex9-21,Zangoose,https://images.pokemontcg.io/ex9/21_hires.png,Rare,1.870000,4,Pokémon
ex9-22,Breloom,https://images.pokemontcg.io/ex9/22_hires.png,Uncommon,0.700000,1.940000,Pokémon
ex9-23,Camerupt,https://images.pokemontcg.io/ex9/23_hires.png,Uncommon,0.420000,0.680000,Pokémon
ex9-24,Claydol,https://images.pokemontcg.io/ex9/24_hires.png,Uncommon,1.200000,4.030000,Pokémon
ex9-25,Combusken,https://images.pokemontcg.io/ex9/25_hires.png,Uncommon,0.440000,0.910000,Pokémon
ex9-26,Dodrio,https://images.pokemontcg.io/ex9/26_hires.png,Uncommon,0.970000,0.850000,Pokémon
ex9-27,Electrode,https://images.pokemontcg.io/ex9/27_hires.png,Uncommon,0.410000,1.410000,Pokémon
ex9-28,Grovyle,https://images.pokemontcg.io/ex9/28_hires.png,Uncommon,0.420000,0.800000,Pokémon
ex9-29,Grumpig,https://images.pokemontcg.io/ex9/29_hires.png,Uncommon,1.250000,0.970000,Pokémon
ex9-30,Grumpig,https://images.pokemontcg.io/ex9/30_hires.png,Uncommon,0.920000,1.160000,Pokémon
ex9-31,Hariyama,https://images.pokemontcg.io/ex9/31_hires.png,Uncommon,0.320000,1.200000,Pokémon
ex9-32,Illumise,https://images.pokemontcg.io/ex9/32_hires.png,Uncommon,1.240000,2.040000,Pokémon
ex9-33,Kirlia,https://images.pokemontcg.io/ex9/33_hires.png,Uncommon,1.370000,2.390000,Pokémon
ex9-34,Linoone,https://images.pokemontcg.io/ex9/34_hires.png,Uncommon,1.330000,4.370000,Pokémon
ex9-35,Loudred,https://images.pokemontcg.io/ex9/35_hires.png,Uncommon,11.900000,1.660000,Pokémon
ex9-36,Marshtomp,https://images.pokemontcg.io/ex9/36_hires.png,Uncommon,0.250000,1.150000,Pokémon
ex9-37,Minun,https://images.pokemontcg.io/ex9/37_hires.png,Uncommon,1.330000,2.330000,Pokémon
ex9-38,Ninetales,https://images.pokemontcg.io/ex9/38_hires.png,Uncommon,4.070000,2.890000,Pokémon
ex9-39,Plusle,https://images.pokemontcg.io/ex9/39_hires.png,Uncommon,0.800000,2.680000,Pokémon
ex9-40,Swalot,https://images.pokemontcg.io/ex9/40_hires.png,Uncommon,0.440000,1.290000,Pokémon
ex9-41,Swellow,https://images.pokemontcg.io/ex9/41_hires.png,Uncommon,0.620000,1.510000,Pokémon
ex9-42,Volbeat,https://images.pokemontcg.io/ex9/42_hires.png,Uncommon,0.660000,1.150000,Pokémon
ex9-43,Baltoy,https://images.pokemontcg.io/ex9/43_hires.png,Common,0.250000,1.030000,Pokémon
ex9-44,Cacnea,https://images.pokemontcg.io/ex9/44_hires.png,Common,0.310000,0.410000,Pokémon
ex9-45,Doduo,https://images.pokemontcg.io/ex9/45_hires.png,Common,0.350000,0.530000,Pokémon
ex9-46,Duskull,https://images.pokemontcg.io/ex9/46_hires.png,Common,0.310000,0.500000,Pokémon
