id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw2-1,Pansage,https://images.pokemontcg.io/bw2/1_hires.png,Common,0.150000,0.240000,Pokémon
bw2-2,Simisage,https://images.pokemontcg.io/bw2/2_hires.png,Rare,0.370000,0.520000,Pokémon
bw2-3,Sewaddle,https://images.pokemontcg.io/bw2/3_hires.png,Common,0.130000,0.280000,Pokémon
bw2-4,Sewaddle,https://images.pokemontcg.io/bw2/4_hires.png,Common,0.180000,0.360000,Pokémon
bw2-5,Swadloon,https://images.pokemontcg.io/bw2/5_hires.png,Uncommon,0.110000,0.380000,Pokémon
bw2-6,Swadloon,https://images.pokemontcg.io/bw2/6_hires.png,Uncommon,0.170000,0.370000,Pokémon
bw2-7,Leavanny,https://images.pokemontcg.io/bw2/7_hires.png,Rare,0.530000,0.810000,Pokémon
bw2-8,Leavanny,https://images.pokemontcg.io/bw2/8_hires.png,Rare,0.610000,0.720000,Pokémon
bw2-9,Cottonee,https://images.pokemontcg.io/bw2/9_hires.png,Common,0.100000,0.250000,Pokémon
bw2-10,Cottonee,https://images.pokemontcg.io/bw2/10_hires.png,Common,0.120000,0.220000,Pokémon
bw2-11,Whimsicott,https://images.pokemontcg.io/bw2/11_hires.png,Uncommon,0.110000,0.370000,Pokémon
bw2-12,Whimsicott,https://images.pokemontcg.io/bw2/12_hires.png,Rare,0.460000,0.880000,Pokémon
bw2-13,Petilil,https://images.pokemontcg.io/bw2/13_hires.png,Common,0.060000,0.250000,Pokémon
bw2-14,Lilligant,https://images.pokemontcg.io/bw2/14_hires.png,Uncommon,0.160000,0.540000,Pokémon
bw2-15,Deerling,https://images.pokemontcg.io/bw2/15_hires.png,Common,0.160000,0.320000,Pokémon
bw2-16,Sawsbuck,https://images.pokemontcg.io/bw2/16_hires.png,Rare,0.920000,1.720000,Pokémon
bw2-17,Virizion,https://images.pokemontcg.io/bw2/17_hires.png,Rare Holo,1.460000,1.080000,Pokémon
bw2-18,Pansear,https://images.pokemontcg.io/bw2/18_hires.png,Common,0.090000,0.110000,Pokémon
bw2-19,Simisear,https://images.pokemontcg.io/bw2/19_hires.png,Rare,0.390000,0.460000,Pokémon
bw2-20,Darumaka,https://images.pokemontcg.io/bw2/20_hires.png,Common,0.090000,0.140000,Pokémon
bw2-21,Darmanitan,https://images.pokemontcg.io/bw2/21_hires.png,Rare,0.330000,0.630000,Pokémon
bw2-22,Panpour,https://images.pokemontcg.io/bw2/22_hires.png,Common,0.140000,0.230000,Pokémon
bw2-23,Simipour,https://images.pokemontcg.io/bw2/23_hires.png,Rare,0.300000,0.380000,Pokémon
bw2-24,Basculin,https://images.pokemontcg.io/bw2/24_hires.png,Common,0.150000,0.240000,Pokémon
bw2-25,Basculin,https://images.pokemontcg.io/bw2/25_hires.png,Uncommon,0.130000,0.270000,Pokémon
bw2-26,Ducklett,https://images.pokemontcg.io/bw2/26_hires.png,Common,0.090000,0.250000,Pokémon
bw2-27,Swanna,https://images.pokemontcg.io/bw2/27_hires.png,Rare,0.160000,0.520000,Pokémon
bw2-28,Cubchoo,https://images.pokemontcg.io/bw2/28_hires.png,Common,0.160000,0.350000,Pokémon
bw2-29,Cubchoo,https://images.pokemontcg.io/bw2/29_hires.png,Common,0.160000,0.350000,Pokémon
bw2-30,Beartic,https://images.pokemontcg.io/bw2/30_hires.png,Rare Holo,0.830000,0.680000,Pokémon
bw2-31,Beartic,https://images.pokemontcg.io/bw2/31_hires.png,Rare,0.150000,0.460000,Pokémon
bw2-32,Emolga,https://images.pokemontcg.io/bw2/32_hires.png,Common,0.190000,0.470000,Pokémon
bw2-33,Joltik,https://images.pokemontcg.io/bw2/33_hires.png,Common,0.190000,0.280000,Pokémon
bw2-34,Galvantula,https://images.pokemontcg.io/bw2/34_hires.png,Uncommon,0.130000,0.340000,Pokémon
bw2-35,Thundurus,https://images.pokemontcg.io/bw2/35_hires.png,Rare Holo,1.230000,1.060000,Pokémon
bw2-36,Woobat,https://images.pokemontcg.io/bw2/36_hires.png,Common,0.090000,0.210000,Pokémon
bw2-37,Swoobat,https://images.pokemontcg.io/bw2/37_hires.png,Rare,0.890000,0.470000,Pokémon
bw2-38,Venipede,https://images.pokemontcg.io/bw2/38_hires.png,Common,0.130000,0.160000,Pokémon
bw2-39,Whirlipede,https://images.pokemontcg.io/bw2/39_hires.png,Uncommon,0.120000,0.260000,Pokémon
bw2-40,Scolipede,https://images.pokemontcg.io/bw2/40_hires.png,Rare,0.670000,0.750000,Pokémon
bw2-41,Sigilyph,https://images.pokemontcg.io/bw2/41_hires.png,Uncommon,0.180000,0.280000,Pokémon
bw2-42,Sigilyph,https://images.pokemontcg.io/bw2/42_hires.png,Uncommon,0.120000,0.210000,Pokémon
bw2-43,Gothita,https://images.pokemontcg.io/bw2/43_hires.png,Common,0.110000,0.200000,Pokémon
bw2-44,Gothita,https://images.pokemontcg.io/bw2/44_hires.png,Common,0.160000,0.260000,Pokémon
bw2-45,Gothorita,https://images.pokemontcg.io/bw2/45_hires.png,Uncommon,0.140000,0.260000,Pokémon
bw2-46,Gothorita,https://images.pokemontcg.io/bw2/46_hires.png,Uncommon,0.180000,0.390000,Pokémon
bw2-47,Gothitelle,https://images.pokemontcg.io/bw2/47_hires.png,Rare Holo,1.640000,1.260000,Pokémon
bw2-48,Gothitelle,https://images.pokemontcg.io/bw2/48_hires.png,Rare,0.340000,0.580000,Pokémon
bw2-49,Roggenrola,https://images.pokemontcg.io/bw2/49_hires.png,Common,0.120000,0.250000,Pokémon
bw2-50,Roggenrola,https://images.pokemontcg.io/bw2/50_hires.png,Common,0.110000,0.200000,Pokémon
bw2-51,Boldore,https://images.pokemontcg.io/bw2/51_hires.png,Uncommon,0.120000,0.300000,Pokémon
bw2-52,Boldore,https://images.pokemontcg.io/bw2/52_hires.png,Uncommon,0.100000,0.280000,Pokémon
bw2-53,Gigalith,https://images.pokemontcg.io/bw2/53_hires.png,Rare,0.590000,0.510000,Pokémon
bw2-54,Drilbur,https://images.pokemontcg.io/bw2/54_hires.png,Uncommon,0.150000,0.300000,Pokémon
bw2-55,Drilbur,https://images.pokemontcg.io/bw2/55_hires.png,Common,0.090000,0.190000,Pokémon
bw2-56,Excadrill,https://images.pokemontcg.io/bw2/56_hires.png,Rare Holo,2.550000,1.510000,Pokémon
