id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy12-1,Venusaur-EX,https://images.pokemontcg.io/xy12/1_hires.png,Rare Holo EX,5.520000,3.350000,Pokémon
xy12-2,M Venusaur-EX,https://images.pokemontcg.io/xy12/2_hires.png,Rare Holo EX,18.110000,14.490000,Pokémon
xy12-3,Caterpie,https://images.pokemontcg.io/xy12/3_hires.png,Common,0.070000,0.140000,Pokémon
xy12-4,Metapod,https://images.pokemontcg.io/xy12/4_hires.png,Uncommon,0.100000,0.150000,Pokémon
xy12-5,Weedle,https://images.pokemontcg.io/xy12/5_hires.png,Common,0.060000,0.130000,Pokémon
xy12-6,Kakuna,https://images.pokemontcg.io/xy12/6_hires.png,Uncommon,0.090000,0.180000,Pokémon
xy12-7,Beedrill,https://images.pokemontcg.io/xy12/7_hires.png,Rare,0.220000,0.330000,Pokémon
xy12-8,Tangela,https://images.pokemontcg.io/xy12/8_hires.png,Common,0.060000,0.110000,Pokémon
xy12-9,Charmander,https://images.pokemontcg.io/xy12/9_hires.png,Common,0.120000,0.300000,Pokémon
xy12-10,Charmeleon,https://images.pokemontcg.io/xy12/10_hires.png,Uncommon,0.240000,0.590000,Pokémon
xy12-11,Charizard,https://images.pokemontcg.io/xy12/11_hires.png,Rare Holo,59.340000,44.570000,Pokémon
xy12-12,Charizard-EX,https://images.pokemontcg.io/xy12/12_hires.png,Rare Holo EX,14.570000,9.950000,Pokémon
xy12-13,M Charizard-EX,https://images.pokemontcg.io/xy12/13_hires.png,Rare Holo EX,46.370000,44.980000,Pokémon
xy12-14,Vulpix,https://images.pokemontcg.io/xy12/14_hires.png,Common,0.080000,0.120000,Pokémon
xy12-15,Ninetales,https://images.pokemontcg.io/xy12/15_hires.png,Rare Holo,7.430000,3.360000,Pokémon
xy12-16,Ninetales BREAK,https://images.pokemontcg.io/xy12/16_hires.png,Rare BREAK,3.580000,3.360000,Pokémon
xy12-17,Growlithe,https://images.pokemontcg.io/xy12/17_hires.png,Common,0.070000,0.140000,Pokémon
xy12-18,Arcanine,https://images.pokemontcg.io/xy12/18_hires.png,Rare,0.430000,0.270000,Pokémon
xy12-19,Ponyta,https://images.pokemontcg.io/xy12/19_hires.png,Common,0.070000,0.100000,Pokémon
xy12-20,Magmar,https://images.pokemontcg.io/xy12/20_hires.png,Uncommon,0.100000,0.130000,Pokémon
xy12-21,Blastoise-EX,https://images.pokemontcg.io/xy12/21_hires.png,Rare Holo EX,7.480000,4.940000,Pokémon
xy12-22,M Blastoise-EX,https://images.pokemontcg.io/xy12/22_hires.png,Rare Holo EX,18.170000,20.570000,Pokémon
xy12-23,Poliwag,https://images.pokemontcg.io/xy12/23_hires.png,Common,0.070000,0.150000,Pokémon
xy12-24,Poliwhirl,https://images.pokemontcg.io/xy12/24_hires.png,Uncommon,0.110000,0.140000,Pokémon
xy12-25,Poliwrath,https://images.pokemontcg.io/xy12/25_hires.png,Rare Holo,3.040000,2.070000,Pokémon
xy12-26,Slowbro-EX,https://images.pokemontcg.io/xy12/26_hires.png,Rare Holo EX,2.540000,2.250000,Pokémon
xy12-27,M Slowbro-EX,https://images.pokemontcg.io/xy12/27_hires.png,Rare Holo EX,7.350000,9.760000,Pokémon
xy12-28,Seel,https://images.pokemontcg.io/xy12/28_hires.png,Common,0.060000,0.110000,Pokémon
xy12-29,Dewgong,https://images.pokemontcg.io/xy12/29_hires.png,Rare,0.220000,0.220000,Pokémon
xy12-30,Staryu,https://images.pokemontcg.io/xy12/30_hires.png,Common,0.060000,0.120000,Pokémon
xy12-31,Starmie,https://images.pokemontcg.io/xy12/31_hires.png,Rare,0.220000,0.250000,Pokémon
xy12-32,Starmie BREAK,https://images.pokemontcg.io/xy12/32_hires.png,Rare BREAK,2.480000,1.970000,Pokémon
xy12-33,Magikarp,https://images.pokemontcg.io/xy12/33_hires.png,Common,0.080000,0.190000,Pokémon
xy12-34,Gyarados,https://images.pokemontcg.io/xy12/34_hires.png,Rare Holo,82.500000,4.480000,Pokémon
xy12-35,Pikachu,https://images.pokemontcg.io/xy12/35_hires.png,Common,0.600000,0.450000,Pokémon
xy12-36,Raichu,https://images.pokemontcg.io/xy12/36_hires.png,Rare Holo,4.230000,4.490000,Pokémon
xy12-37,Magnemite,https://images.pokemontcg.io/xy12/37_hires.png,Common,0.080000,0.130000,Pokémon
xy12-38,Magneton,https://images.pokemontcg.io/xy12/38_hires.png,Rare Holo,1.850000,0.990000,Pokémon
xy12-39,Voltorb,https://images.pokemontcg.io/xy12/39_hires.png,Common,0.060000,0.090000,Pokémon
xy12-40,Electrode,https://images.pokemontcg.io/xy12/40_hires.png,Rare,0.230000,0.180000,Pokémon
xy12-41,Electabuzz,https://images.pokemontcg.io/xy12/41_hires.png,Common,0.330000,0.180000,Pokémon
xy12-42,Zapdos,https://images.pokemontcg.io/xy12/42_hires.png,Rare Holo,5.210000,3.400000,Pokémon
xy12-43,Nidoran ♂,https://images.pokemontcg.io/xy12/43_hires.png,Common,0.080000,0.110000,Pokémon
xy12-44,Nidorino,https://images.pokemontcg.io/xy12/44_hires.png,Uncommon,0.110000,0.130000,Pokémon
xy12-45,Nidoking,https://images.pokemontcg.io/xy12/45_hires.png,Rare Holo,4.880000,2.500000,Pokémon
xy12-46,Nidoking BREAK,https://images.pokemontcg.io/xy12/46_hires.png,Rare BREAK,3.370000,2.610000,Pokémon
xy12-47,Gastly,https://images.pokemontcg.io/xy12/47_hires.png,Common,0.070000,0.130000,Pokémon
xy12-48,Haunter,https://images.pokemontcg.io/xy12/48_hires.png,Uncommon,0.140000,0.210000,Pokémon
xy12-49,Drowzee,https://images.pokemontcg.io/xy12/49_hires.png,Common,0.070000,0.100000,Pokémon
xy12-50,Koffing,https://images.pokemontcg.io/xy12/50_hires.png,Uncommon,0.080000,0.180000,Pokémon
xy12-51,Mewtwo,https://images.pokemontcg.io/xy12/51_hires.png,Rare,2.030000,1.480000,Pokémon
xy12-52,Mewtwo-EX,https://images.pokemontcg.io/xy12/52_hires.png,Rare Holo EX,9.300000,5.560000,Pokémon
xy12-53,Mew,https://images.pokemontcg.io/xy12/53_hires.png,Rare Holo,65,7.260000,Pokémon
xy12-54,Sandshrew,https://images.pokemontcg.io/xy12/54_hires.png,Common,0.070000,0.100000,Pokémon
xy12-55,Diglett,https://images.pokemontcg.io/xy12/55_hires.png,Common,0.060000,0.130000,Pokémon
xy12-56,Dugtrio,https://images.pokemontcg.io/xy12/56_hires.png,Rare,0.210000,0.260000,Pokémon
xy12-57,Machop,https://images.pokemontcg.io/xy12/57_hires.png,Common,0.060000,0.100000,Pokémon
