id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh7-2,Hoppip,https://images.pokemontcg.io/swsh7/2_hires.png,Common,0.030000,0.060000,Pokémon
swsh7-4,Jumpluff,https://images.pokemontcg.io/swsh7/4_hires.png,Rare Holo,0.240000,0.240000,Pokémon
swsh7-6,Tropius,https://images.pokemontcg.io/swsh7/6_hires.png,Rare,0.060000,0.110000,Pokémon
swsh7-1,Pinsir,https://images.pokemontcg.io/swsh7/1_hires.png,Rare,0.060000,0.120000,Pokémon
swsh7-3,Skiploom,https://images.pokemontcg.io/swsh7/3_hires.png,Uncommon,0.040000,0.110000,Pokémon
swsh7-5,Seedot,https://images.pokemontcg.io/swsh7/5_hires.png,Common,0.030000,0.050000,Pokémon
swsh7-8,Leafeon VMAX,https://images.pokemontcg.io/swsh7/8_hires.png,Rare Holo VMAX,5.960000,4.790000,Pokémon
swsh7-10,Lilligant,https://images.pokemontcg.io/swsh7/10_hires.png,Rare,0.050000,0.130000,Pokémon
swsh7-9,Petilil,https://images.pokemontcg.io/swsh7/9_hires.png,Common,0.030000,0.050000,Pokémon
swsh7-12,Crustle,https://images.pokemontcg.io/swsh7/12_hires.png,Uncommon,0.040000,0.090000,Pokémon
swsh7-13,Trevenant V,https://images.pokemontcg.io/swsh7/13_hires.png,Rare Holo V,0.960000,0.720000,Pokémon
swsh7-11,Dwebble,https://images.pokemontcg.io/swsh7/11_hires.png,Common,0.030000,0.070000,Pokémon
swsh7-7,Leafeon V,https://images.pokemontcg.io/swsh7/7_hires.png,Rare Holo V,2.050000,1.630000,Pokémon
swsh7-14,Trevenant VMAX,https://images.pokemontcg.io/swsh7/14_hires.png,Rare Holo VMAX,1.580000,1.540000,Pokémon
swsh7-36,Sharpedo,https://images.pokemontcg.io/swsh7/36_hires.png,Rare,0.070000,0.120000,Pokémon
swsh7-41,Glaceon VMAX,https://images.pokemontcg.io/swsh7/41_hires.png,Rare Holo VMAX,4.140000,4.740000,Pokémon
swsh7-46,Wishiwashi,https://images.pokemontcg.io/swsh7/46_hires.png,Rare,0.050000,0.130000,Pokémon
swsh7-44,Bergmite,https://images.pokemontcg.io/swsh7/44_hires.png,Common,0.030000,0.050000,Pokémon
swsh7-35,Carvanha,https://images.pokemontcg.io/swsh7/35_hires.png,Common,0.020000,0.040000,Pokémon
swsh7-43,Cryogonal,https://images.pokemontcg.io/swsh7/43_hires.png,Common,0.030000,0.050000,Pokémon
swsh7-59,Dracozolt VMAX,https://images.pokemontcg.io/swsh7/59_hires.png,Rare Holo VMAX,2.540000,1.840000,Pokémon
swsh7-58,Dracozolt V,https://images.pokemontcg.io/swsh7/58_hires.png,Rare Holo V,1.180000,0.720000,Pokémon
swsh7-30,Vaporeon VMAX,https://images.pokemontcg.io/swsh7/30_hires.png,Rare Holo VMAX,5.580000,5.530000,Pokémon
swsh7-28,Gyarados V,https://images.pokemontcg.io/swsh7/28_hires.png,Rare Holo V,1.790000,1.190000,Pokémon
swsh7-47,Eiscue,https://images.pokemontcg.io/swsh7/47_hires.png,Uncommon,0.040000,0.090000,Pokémon
swsh7-34,Ludicolo,https://images.pokemontcg.io/swsh7/34_hires.png,Rare Holo,0.310000,0.240000,Pokémon
swsh7-42,Tympole,https://images.pokemontcg.io/swsh7/42_hires.png,Common,0.030000,0.040000,Pokémon
swsh7-25,Golduck,https://images.pokemontcg.io/swsh7/25_hires.png,Uncommon,0.040000,0.080000,Pokémon
swsh7-31,Suicune V,https://images.pokemontcg.io/swsh7/31_hires.png,Rare Holo V,1.830000,1.010000,Pokémon
swsh7-49,Pikachu,https://images.pokemontcg.io/swsh7/49_hires.png,Common,0.080000,0.150000,Pokémon
swsh7-40,Glaceon V,https://images.pokemontcg.io/swsh7/40_hires.png,Rare Holo V,1.510000,1.550000,Pokémon
swsh7-24,Psyduck,https://images.pokemontcg.io/swsh7/24_hires.png,Common,0.050000,0.140000,Pokémon
swsh7-16,Eldegoss,https://images.pokemontcg.io/swsh7/16_hires.png,Rare Holo,0.300000,0.260000,Pokémon
swsh7-26,Tentacool,https://images.pokemontcg.io/swsh7/26_hires.png,Common,0.020000,0.040000,Pokémon
swsh7-27,Tentacruel,https://images.pokemontcg.io/swsh7/27_hires.png,Uncommon,0.050000,0.100000,Pokémon
swsh7-32,Lotad,https://images.pokemontcg.io/swsh7/32_hires.png,Common,0.030000,0.080000,Pokémon
swsh7-50,Raichu,https://images.pokemontcg.io/swsh7/50_hires.png,Rare Holo,0.320000,0.290000,Pokémon
swsh7-53,Lanturn,https://images.pokemontcg.io/swsh7/53_hires.png,Uncommon,0.030000,0.060000,Pokémon
