id,name,image,rarity,card_market_price,tcg_market_price,supertype
ecard1-1,Alakazam,https://images.pokemontcg.io/ecard1/1_hires.png,Rare Holo,26.950000,47.580000,Pokémon
ecard1-2,Ampharos,https://images.pokemontcg.io/ecard1/2_hires.png,Rare Holo,29.120000,110.120000,Pokémon
ecard1-3,Arbok,https://images.pokemontcg.io/ecard1/3_hires.png,Rare Holo,23.460000,12.390000,Pokémon
ecard1-4,Blastoise,https://images.pokemontcg.io/ecard1/4_hires.png,Rare Holo,192.600000,119.980000,Pokémon
ecard1-5,Butterfree,https://images.pokemontcg.io/ecard1/5_hires.png,Rare Holo,12.500000,125,Pokémon
ecard1-6,Charizard,https://images.pokemontcg.io/ecard1/6_hires.png,Rare Holo,107.240000,181.420000,Pokémon
ecard1-7,Clefable,https://images.pokemontcg.io/ecard1/7_hires.png,Rare Holo,28.320000,19.860000,Pokémon
ecard1-8,Cloyster,https://images.pokemontcg.io/ecard1/8_hires.png,Rare Holo,24.860000,24.990000,Pokémon
ecard1-9,Dragonite,https://images.pokemontcg.io/ecard1/9_hires.png,Rare Holo,125.710000,84.990000,Pokémon
ecard1-10,Dugtrio,https://images.pokemontcg.io/ecard1/10_hires.png,Rare Holo,19.720000,18.560000,Pokémon
ecard1-11,Fearow,https://images.pokemontcg.io/ecard1/11_hires.png,Rare Holo,28.590000,23.970000,Pokémon
ecard1-12,Feraligatr,https://images.pokemontcg.io/ecard1/12_hires.png,Rare Holo,70.640000,41.840000,Pokémon
ecard1-13,Gengar,https://images.pokemontcg.io/ecard1/13_hires.png,Rare Holo,99.230000,119.990000,Pokémon
ecard1-14,Golem,https://images.pokemontcg.io/ecard1/14_hires.png,Rare Holo,31.860000,22.930000,Pokémon
ecard1-15,Kingler,https://images.pokemontcg.io/ecard1/15_hires.png,Rare Holo,6.120000,16.680000,Pokémon
ecard1-16,Machamp,https://images.pokemontcg.io/ecard1/16_hires.png,Rare Holo,30,36.630000,Pokémon
ecard1-17,Magby,https://images.pokemontcg.io/ecard1/17_hires.png,Rare Holo,48.210000,22.850000,Pokémon
ecard1-18,Meganium,https://images.pokemontcg.io/ecard1/18_hires.png,Rare Holo,39.330000,28.870000,Pokémon
ecard1-19,Mew,https://images.pokemontcg.io/ecard1/19_hires.png,Rare Holo,181.110000,250,Pokémon
ecard1-20,Mewtwo,https://images.pokemontcg.io/ecard1/20_hires.png,Rare Holo,152.060000,199.990000,Pokémon
ecard1-21,Ninetales,https://images.pokemontcg.io/ecard1/21_hires.png,Rare Holo,31.270000,39.090000,Pokémon
ecard1-22,Pichu,https://images.pokemontcg.io/ecard1/22_hires.png,Rare Holo,43.300000,49.990000,Pokémon
ecard1-23,Pidgeot,https://images.pokemontcg.io/ecard1/23_hires.png,Rare Holo,21.060000,41.700000,Pokémon
ecard1-24,Poliwrath,https://images.pokemontcg.io/ecard1/24_hires.png,Rare Holo,16.230000,30.440000,Pokémon
ecard1-25,Raichu,https://images.pokemontcg.io/ecard1/25_hires.png,Rare Holo,48.310000,41.250000,Pokémon
ecard1-26,Rapidash,https://images.pokemontcg.io/ecard1/26_hires.png,Rare Holo,12.260000,24.980000,Pokémon
ecard1-27,Skarmory,https://images.pokemontcg.io/ecard1/27_hires.png,Rare Holo,12.720000,28.490000,Pokémon
ecard1-28,Typhlosion,https://images.pokemontcg.io/ecard1/28_hires.png,Rare Holo,25.710000,44.970000,Pokémon
ecard1-29,Tyranitar,https://images.pokemontcg.io/ecard1/29_hires.png,Rare Holo,101.540000,139.990000,Pokémon
ecard1-30,Venusaur,https://images.pokemontcg.io/ecard1/30_hires.png,Rare Holo,89.250000,54.560000,Pokémon
ecard1-31,Vileplume,https://images.pokemontcg.io/ecard1/31_hires.png,Rare Holo,6,18.150000,Pokémon
ecard1-32,Weezing,https://images.pokemontcg.io/ecard1/32_hires.png,Rare Holo,31.120000,25.040000,Pokémon
ecard1-33,Alakazam,https://images.pokemontcg.io/ecard1/33_hires.png,Rare,5.610000,8.310000,Pokémon
ecard1-34,Ampharos,https://images.pokemontcg.io/ecard1/34_hires.png,Rare,4.280000,8.870000,Pokémon
ecard1-35,Arbok,https://images.pokemontcg.io/ecard1/35_hires.png,Rare,3.470000,4.870000,Pokémon
ecard1-36,Blastoise,https://images.pokemontcg.io/ecard1/36_hires.png,Rare,8.880000,32.930000,Pokémon
ecard1-37,Blastoise,https://images.pokemontcg.io/ecard1/37_hires.png,Rare,11.940000,30.730000,Pokémon
ecard1-38,Butterfree,https://images.pokemontcg.io/ecard1/38_hires.png,Rare,3.640000,6.950000,Pokémon
ecard1-39,Charizard,https://images.pokemontcg.io/ecard1/39_hires.png,Rare,25.520000,95.980000,Pokémon
ecard1-40,Charizard,https://images.pokemontcg.io/ecard1/40_hires.png,Rare,20.820000,57.480000,Pokémon
ecard1-41,Clefable,https://images.pokemontcg.io/ecard1/41_hires.png,Rare,2.540000,2.820000,Pokémon
ecard1-42,Cloyster,https://images.pokemontcg.io/ecard1/42_hires.png,Rare,2.760000,5.670000,Pokémon
ecard1-43,Dragonite,https://images.pokemontcg.io/ecard1/43_hires.png,Rare,16.010000,45.630000,Pokémon
ecard1-44,Dugtrio,https://images.pokemontcg.io/ecard1/44_hires.png,Rare,4.310000,3.960000,Pokémon
ecard1-45,Fearow,https://images.pokemontcg.io/ecard1/45_hires.png,Rare,2.970000,4.100000,Pokémon
ecard1-46,Feraligatr,https://images.pokemontcg.io/ecard1/46_hires.png,Rare,5.310000,12.110000,Pokémon
ecard1-47,Feraligatr,https://images.pokemontcg.io/ecard1/47_hires.png,Rare,22.950000,18.960000,Pokémon
ecard1-48,Gengar,https://images.pokemontcg.io/ecard1/48_hires.png,Rare,21.840000,64.620000,Pokémon
ecard1-49,Golem,https://images.pokemontcg.io/ecard1/49_hires.png,Rare,3.220000,5.470000,Pokémon
ecard1-50,Kingler,https://images.pokemontcg.io/ecard1/50_hires.png,Rare,3.090000,5.260000,Pokémon
ecard1-51,Machamp,https://images.pokemontcg.io/ecard1/51_hires.png,Rare,4.890000,4.220000,Pokémon
ecard1-52,Magby,https://images.pokemontcg.io/ecard1/52_hires.png,Rare,3.360000,5.220000,Pokémon
ecard1-53,Meganium,https://images.pokemontcg.io/ecard1/53_hires.png,Rare,2.900000,7.310000,Pokémon
ecard1-54,Meganium,https://images.pokemontcg.io/ecard1/54_hires.png,Rare,4.010000,8.340000,Pokémon
ecard1-55,Mew,https://images.pokemontcg.io/ecard1/55_hires.png,Rare,22.800000,46.990000,Pokémon
ecard1-56,Mewtwo,https://images.pokemontcg.io/ecard1/56_hires.png,Rare,7.440000,34.880000,Pokémon
ecard1-57,Ninetales,https://images.pokemontcg.io/ecard1/57_hires.png,Rare,3.790000,9.130000,Pokémon
ecard1-58,Pichu,https://images.pokemontcg.io/ecard1/58_hires.png,Rare,18.270000,12.500000,Pokémon
ecard1-59,Pidgeot,https://images.pokemontcg.io/ecard1/59_hires.png,Rare,5.340000,10.350000,Pokémon
ecard1-60,Poliwrath,https://images.pokemontcg.io/ecard1/60_hires.png,Rare,5.610000,8.690000,Pokémon
ecard1-61,Raichu,https://images.pokemontcg.io/ecard1/61_hires.png,Rare,4.070000,6.550000,Pokémon
ecard1-62,Rapidash,https://images.pokemontcg.io/ecard1/62_hires.png,Rare,4.200000,5.130000,Pokémon
ecard1-63,Skarmory,https://images.pokemontcg.io/ecard1/63_hires.png,Rare,3.070000,5.650000,Pokémon
ecard1-64,Typhlosion,https://images.pokemontcg.io/ecard1/64_hires.png,Rare,7.630000,33.990000,Pokémon
ecard1-65,Typhlosion,https://images.pokemontcg.io/ecard1/65_hires.png,Rare,4.370000,16.080000,Pokémon
ecard1-66,Tyranitar,https://images.pokemontcg.io/ecard1/66_hires.png,Rare,9.590000,21.100000,Pokémon
ecard1-67,Venusaur,https://images.pokemontcg.io/ecard1/67_hires.png,Rare,10.990000,20.850000,Pokémon
ecard1-68,Venusaur,https://images.pokemontcg.io/ecard1/68_hires.png,Rare,49.900000,17.330000,Pokémon
ecard1-69,Vileplume,https://images.pokemontcg.io/ecard1/69_hires.png,Rare,2.130000,2.130000,Pokémon
ecard1-70,Weezing,https://images.pokemontcg.io/ecard1/70_hires.png,Rare,2.330000,2.380000,Pokémon
ecard1-71,Bayleef,https://images.pokemontcg.io/ecard1/71_hires.png,Uncommon,2.520000,4.330000,Pokémon
ecard1-72,Chansey,https://images.pokemontcg.io/ecard1/72_hires.png,Uncommon,1.830000,2.430000,Pokémon
ecard1-73,Charmeleon,https://images.pokemontcg.io/ecard1/73_hires.png,Uncommon,13.670000,15.670000,Pokémon
ecard1-74,Croconaw,https://images.pokemontcg.io/ecard1/74_hires.png,Uncommon,2.650000,3.380000,Pokémon
ecard1-75,Dragonair,https://images.pokemontcg.io/ecard1/75_hires.png,Uncommon,3.510000,7.730000,Pokémon
ecard1-76,Electabuzz,https://images.pokemontcg.io/ecard1/76_hires.png,Uncommon,1.490000,1.680000,Pokémon
ecard1-77,Flaaffy,https://images.pokemontcg.io/ecard1/77_hires.png,Uncommon,1.540000,2.520000,Pokémon
ecard1-78,Gloom,https://images.pokemontcg.io/ecard1/78_hires.png,Uncommon,1.870000,2.100000,Pokémon
