id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex6-1,Beedrill,https://images.pokemontcg.io/ex6/1_hires.png,Rare Holo,3.290000,6.800000,Pokémon
ex6-2,Butterfree,https://images.pokemontcg.io/ex6/2_hires.png,Rare Holo,5.910000,14.020000,Pokémon
ex6-3,Dewgong,https://images.pokemontcg.io/ex6/3_hires.png,Rare Holo,4.720000,12.680000,Pokémon
ex6-4,Ditto,https://images.pokemontcg.io/ex6/4_hires.png,Rare Holo,9.550000,21.190000,Pokémon
ex6-5,Exeggutor,https://images.pokemontcg.io/ex6/5_hires.png,Rare Holo,12.500000,11,Pokémon
ex6-6,Kangaskhan,https://images.pokemontcg.io/ex6/6_hires.png,Rare Holo,4.520000,11.800000,Pokémon
ex6-7,Marowak,https://images.pokemontcg.io/ex6/7_hires.png,Rare Holo,4.500000,16.790000,Pokémon
ex6-8,Nidoking,https://images.pokemontcg.io/ex6/8_hires.png,Rare Holo,7.410000,30.660000,Pokémon
ex6-9,Nidoqueen,https://images.pokemontcg.io/ex6/9_hires.png,Rare Holo,8.670000,12,Pokémon
ex6-10,Pidgeot,https://images.pokemontcg.io/ex6/10_hires.png,Rare Holo,4.450000,10.590000,Pokémon
ex6-11,Poliwrath,https://images.pokemontcg.io/ex6/11_hires.png,Rare Holo,6.090000,16.100000,Pokémon
ex6-12,Raichu,https://images.pokemontcg.io/ex6/12_hires.png,Rare Holo,10.810000,16.510000,Pokémon
ex6-13,Rapidash,https://images.pokemontcg.io/ex6/13_hires.png,Rare Holo,5.460000,23.330000,Pokémon
ex6-14,Slowbro,https://images.pokemontcg.io/ex6/14_hires.png,Rare Holo,4.980000,20.460000,Pokémon
ex6-15,Snorlax,https://images.pokemontcg.io/ex6/15_hires.png,Rare Holo,11.340000,54.090000,Pokémon
ex6-16,Tauros,https://images.pokemontcg.io/ex6/16_hires.png,Rare Holo,8.530000,10.830000,Pokémon
ex6-17,Victreebel,https://images.pokemontcg.io/ex6/17_hires.png,Rare Holo,12.690000,9.460000,Pokémon
