id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy3-1,Bellsprout,https://images.pokemontcg.io/xy3/1_hires.png,Common,0.050000,0.170000,Pokémon
xy3-2,Weepinbell,https://images.pokemontcg.io/xy3/2_hires.png,Uncommon,0.180000,0.280000,Pokémon
xy3-3,Victreebel,https://images.pokemontcg.io/xy3/3_hires.png,Rare Holo,0.720000,0.790000,Pokémon
xy3-4,Heracross-EX,https://images.pokemontcg.io/xy3/4_hires.png,Rare Holo EX,7.400000,3.960000,Pokémon
xy3-5,M Heracross-EX,https://images.pokemontcg.io/xy3/5_hires.png,Rare Holo EX,15,19.710000,Pokémon
xy3-6,Shroomish,https://images.pokemontcg.io/xy3/6_hires.png,Common,0.090000,0.190000,Pokémon
xy3-7,Leafeon,https://images.pokemontcg.io/xy3/7_hires.png,Rare,2.090000,2.260000,Pokémon
xy3-8,Shelmet,https://images.pokemontcg.io/xy3/8_hires.png,Common,4,0.190000,Pokémon
xy3-9,Accelgor,https://images.pokemontcg.io/xy3/9_hires.png,Uncommon,0.190000,0.290000,Pokémon
xy3-10,Magmar,https://images.pokemontcg.io/xy3/10_hires.png,Common,0.130000,0.140000,Pokémon
xy3-11,Magmortar,https://images.pokemontcg.io/xy3/11_hires.png,Rare,0,0.380000,Pokémon
xy3-12,Torchic,https://images.pokemontcg.io/xy3/12_hires.png,Common,0.100000,0.330000,Pokémon
xy3-13,Combusken,https://images.pokemontcg.io/xy3/13_hires.png,Uncommon,0.260000,0.340000,Pokémon
xy3-14,Blaziken,https://images.pokemontcg.io/xy3/14_hires.png,Rare Holo,17.450000,1.520000,Pokémon
xy3-15,Poliwag,https://images.pokemontcg.io/xy3/15_hires.png,Common,0.120000,0.160000,Pokémon
xy3-16,Poliwhirl,https://images.pokemontcg.io/xy3/16_hires.png,Uncommon,0.320000,0.430000,Pokémon
xy3-17,Poliwrath,https://images.pokemontcg.io/xy3/17_hires.png,Rare Holo,1.360000,0.750000,Pokémon
xy3-18,Politoed,https://images.pokemontcg.io/xy3/18_hires.png,Rare,0.670000,0.650000,Pokémon
xy3-19,Glaceon,https://images.pokemontcg.io/xy3/19_hires.png,Rare,3.070000,2.310000,Pokémon
xy3-20,Seismitoad-EX,https://images.pokemontcg.io/xy3/20_hires.png,Rare Holo EX,3.020000,4.200000,Pokémon
xy3-21,Cubchoo,https://images.pokemontcg.io/xy3/21_hires.png,Common,0.090000,0.170000,Pokémon
xy3-22,Beartic,https://images.pokemontcg.io/xy3/22_hires.png,Rare,0.540000,0.480000,Pokémon
xy3-23,Clauncher,https://images.pokemontcg.io/xy3/23_hires.png,Common,0.100000,0.170000,Pokémon
xy3-24,Clawitzer,https://images.pokemontcg.io/xy3/24_hires.png,Rare Holo,1.210000,0.540000,Pokémon
xy3-25,Amaura,https://images.pokemontcg.io/xy3/25_hires.png,Uncommon,0.570000,1.200000,Pokémon
xy3-26,Aurorus,https://images.pokemontcg.io/xy3/26_hires.png,Rare,12.400000,6.310000,Pokémon
xy3-27,Pikachu,https://images.pokemontcg.io/xy3/27_hires.png,Common,2.710000,2.170000,Pokémon
xy3-28,Raichu,https://images.pokemontcg.io/xy3/28_hires.png,Uncommon,1.420000,1.200000,Pokémon
xy3-29,Electabuzz,https://images.pokemontcg.io/xy3/29_hires.png,Common,0.110000,0.170000,Pokémon
xy3-30,Electivire,https://images.pokemontcg.io/xy3/30_hires.png,Rare,0.510000,0.430000,Pokémon
xy3-31,Plusle,https://images.pokemontcg.io/xy3/31_hires.png,Common,0.210000,0.280000,Pokémon
xy3-32,Minun,https://images.pokemontcg.io/xy3/32_hires.png,Common,0.220000,0.340000,Pokémon
xy3-33,Thundurus,https://images.pokemontcg.io/xy3/33_hires.png,Rare,0.350000,0.300000,Pokémon
xy3-34,Dedenne,https://images.pokemontcg.io/xy3/34_hires.png,Uncommon,0.190000,0.250000,Pokémon
xy3-35,Drowzee,https://images.pokemontcg.io/xy3/35_hires.png,Common,0.060000,0.130000,Pokémon
xy3-36,Hypno,https://images.pokemontcg.io/xy3/36_hires.png,Rare,0.540000,0.350000,Pokémon
xy3-37,Jynx,https://images.pokemontcg.io/xy3/37_hires.png,Rare,0.280000,0.410000,Pokémon
xy3-38,Skorupi,https://images.pokemontcg.io/xy3/38_hires.png,Common,0.080000,0.160000,Pokémon
xy3-39,Gothita,https://images.pokemontcg.io/xy3/39_hires.png,Common,0.110000,0.180000,Pokémon
xy3-40,Gothorita,https://images.pokemontcg.io/xy3/40_hires.png,Uncommon,0.200000,0.230000,Pokémon
xy3-41,Gothitelle,https://images.pokemontcg.io/xy3/41_hires.png,Rare,0.560000,0.460000,Pokémon
xy3-42,Golett,https://images.pokemontcg.io/xy3/42_hires.png,Common,0.080000,0.150000,Pokémon
xy3-43,Golurk,https://images.pokemontcg.io/xy3/43_hires.png,Rare,0.640000,0.270000,Pokémon
xy3-44,Machop,https://images.pokemontcg.io/xy3/44_hires.png,Common,0.110000,0.220000,Pokémon
xy3-45,Machoke,https://images.pokemontcg.io/xy3/45_hires.png,Uncommon,0.460000,0.260000,Pokémon
xy3-46,Machamp,https://images.pokemontcg.io/xy3/46_hires.png,Rare Holo,1.090000,0.990000,Pokémon
