id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh8-1,Caterpie,https://images.pokemontcg.io/swsh8/1_hires.png,Common,0.040000,0.070000,Pokémon
swsh8-2,Metapod,https://images.pokemontcg.io/swsh8/2_hires.png,Uncommon,0.050000,0.070000,Pokémon
swsh8-3,Butterfree,https://images.pokemontcg.io/swsh8/3_hires.png,Rare Holo,0.240000,0.200000,Pokémon
swsh8-4,Shroomish,https://images.pokemontcg.io/swsh8/4_hires.png,Common,0.040000,0.070000,Pokémon
swsh8-6,Breloom V,https://images.pokemontcg.io/swsh8/6_hires.png,Rare Holo V,0.910000,0.730000,Pokémon
swsh8-5,Breloom,https://images.pokemontcg.io/swsh8/5_hires.png,Uncommon,0.060000,0.080000,Pokémon
swsh8-7,Pansage,https://images.pokemontcg.io/swsh8/7_hires.png,Common,0.030000,0.050000,Pokémon
swsh8-8,Simisage,https://images.pokemontcg.io/swsh8/8_hires.png,Uncommon,0.040000,0.060000,Pokémon
swsh8-9,Sewaddle,https://images.pokemontcg.io/swsh8/9_hires.png,Common,0.040000,0.090000,Pokémon
swsh8-10,Swadloon,https://images.pokemontcg.io/swsh8/10_hires.png,Uncommon,0.080000,0.100000,Pokémon
swsh8-11,Leavanny,https://images.pokemontcg.io/swsh8/11_hires.png,Rare,0.150000,0.200000,Pokémon
swsh8-12,Maractus,https://images.pokemontcg.io/swsh8/12_hires.png,Rare,0.090000,0.090000,Pokémon
swsh8-13,Shelmet,https://images.pokemontcg.io/swsh8/13_hires.png,Common,0.030000,0.070000,Pokémon
swsh8-17,Trevenant,https://images.pokemontcg.io/swsh8/17_hires.png,Uncommon,0.050000,0.080000,Pokémon
swsh8-16,Phantump,https://images.pokemontcg.io/swsh8/16_hires.png,Common,0.030000,0.060000,Pokémon
swsh8-14,Accelgor,https://images.pokemontcg.io/swsh8/14_hires.png,Rare,0.080000,0.100000,Pokémon
