id,name,image,rarity,card_market_price,tcg_market_price,supertype
g1-1,Venusaur-EX,https://images.pokemontcg.io/g1/1_hires.png,Rare Holo EX,8.260000,5.480000,Pokémon
g1-2,M Venusaur-EX,https://images.pokemontcg.io/g1/2_hires.png,Rare Holo EX,14.840000,19.270000,Pokémon
g1-3,Caterpie,https://images.pokemontcg.io/g1/3_hires.png,Common,0.090000,0.200000,Pokémon
g1-4,Metapod,https://images.pokemontcg.io/g1/4_hires.png,Uncommon,0.260000,0.260000,Pokémon
g1-5,Butterfree,https://images.pokemontcg.io/g1/5_hires.png,Rare Holo,2,1.880000,Pokémon
g1-6,Paras,https://images.pokemontcg.io/g1/6_hires.png,Common,0.130000,0.210000,Pokémon
g1-7,Parasect,https://images.pokemontcg.io/g1/7_hires.png,Rare,0.360000,0.320000,Pokémon
g1-8,Tangela,https://images.pokemontcg.io/g1/8_hires.png,Common,0.070000,0.160000,Pokémon
g1-9,Pinsir,https://images.pokemontcg.io/g1/9_hires.png,Rare,0.390000,0.380000,Pokémon
g1-10,Leafeon-EX,https://images.pokemontcg.io/g1/10_hires.png,Rare Holo EX,16.310000,25.520000,Pokémon
g1-11,Charizard-EX,https://images.pokemontcg.io/g1/11_hires.png,Rare Holo EX,16.640000,19.060000,Pokémon
g1-12,M Charizard-EX,https://images.pokemontcg.io/g1/12_hires.png,Rare Holo EX,73.560000,133.800000,Pokémon
g1-13,Ninetales-EX,https://images.pokemontcg.io/g1/13_hires.png,Rare Holo EX,4.430000,3.840000,Pokémon
g1-14,Ponyta,https://images.pokemontcg.io/g1/14_hires.png,Common,0.110000,0.200000,Pokémon
g1-15,Rapidash,https://images.pokemontcg.io/g1/15_hires.png,Rare,0.470000,0.460000,Pokémon
g1-16,Magmar,https://images.pokemontcg.io/g1/16_hires.png,Common,0.150000,0.160000,Pokémon
g1-17,Blastoise-EX,https://images.pokemontcg.io/g1/17_hires.png,Rare Holo EX,6.840000,7.480000,Pokémon
g1-18,M Blastoise-EX,https://images.pokemontcg.io/g1/18_hires.png,Rare Holo EX,14.010000,27.150000,Pokémon
g1-19,Shellder,https://images.pokemontcg.io/g1/19_hires.png,Common,0.090000,0.120000,Pokémon
g1-20,Cloyster,https://images.pokemontcg.io/g1/20_hires.png,Uncommon,0.270000,0.250000,Pokémon
g1-21,Krabby,https://images.pokemontcg.io/g1/21_hires.png,Common,0.150000,0.150000,Pokémon
g1-22,Magikarp,https://images.pokemontcg.io/g1/22_hires.png,Common,0.250000,0.510000,Pokémon
