id,name,image,rarity,card_market_price,tcg_market_price,supertype
dp4-1,Blaziken,https://images.pokemontcg.io/dp4/1_hires.png,Rare Holo,5.320000,4.950000,Pokémon
dp4-2,Cresselia,https://images.pokemontcg.io/dp4/2_hires.png,Rare Holo,4.280000,7.670000,Pokémon
dp4-3,Darkrai,https://images.pokemontcg.io/dp4/3_hires.png,Rare Holo,6.380000,13,Pokémon
dp4-4,Darkrai,https://images.pokemontcg.io/dp4/4_hires.png,Rare Holo,3.760000,10.370000,Pokémon
dp4-5,Pachirisu,https://images.pokemontcg.io/dp4/5_hires.png,Rare Holo,2.940000,5.770000,Pokémon
dp4-6,Porygon-Z,https://images.pokemontcg.io/dp4/6_hires.png,Rare Holo,2.120000,5.310000,Pokémon
dp4-7,Rotom,https://images.pokemontcg.io/dp4/7_hires.png,Rare Holo,2.160000,5.180000,Pokémon
dp4-8,Sceptile,https://images.pokemontcg.io/dp4/8_hires.png,Rare Holo,4.730000,9.310000,Pokémon
dp4-9,Swampert,https://images.pokemontcg.io/dp4/9_hires.png,Rare Holo,6.240000,12.460000,Pokémon
dp4-10,Tangrowth,https://images.pokemontcg.io/dp4/10_hires.png,Rare Holo,2.630000,4.110000,Pokémon
dp4-11,Togekiss,https://images.pokemontcg.io/dp4/11_hires.png,Rare Holo,2.940000,14.750000,Pokémon
dp4-12,Altaria,https://images.pokemontcg.io/dp4/12_hires.png,Rare,0.640000,1.820000,Pokémon
dp4-13,Beedrill,https://images.pokemontcg.io/dp4/13_hires.png,Rare,0.350000,0.990000,Pokémon
dp4-14,Butterfree,https://images.pokemontcg.io/dp4/14_hires.png,Rare,1.100000,2.360000,Pokémon
dp4-15,Claydol,https://images.pokemontcg.io/dp4/15_hires.png,Rare,0.800000,4.180000,Pokémon
dp4-16,Dialga,https://images.pokemontcg.io/dp4/16_hires.png,Rare,1.870000,1.240000,Pokémon
dp4-17,Exploud,https://images.pokemontcg.io/dp4/17_hires.png,Rare,0.380000,0.620000,Pokémon
dp4-18,Houndoom,https://images.pokemontcg.io/dp4/18_hires.png,Rare,1.150000,1.580000,Pokémon
dp4-19,Hypno,https://images.pokemontcg.io/dp4/19_hires.png,Rare,0.780000,1.390000,Pokémon
dp4-20,Kingler,https://images.pokemontcg.io/dp4/20_hires.png,Rare,0.630000,1.530000,Pokémon
dp4-21,Lapras,https://images.pokemontcg.io/dp4/21_hires.png,Rare,2.160000,4.440000,Pokémon
dp4-22,Latias,https://images.pokemontcg.io/dp4/22_hires.png,Rare,1.690000,2.380000,Pokémon
dp4-23,Latios,https://images.pokemontcg.io/dp4/23_hires.png,Rare,2.580000,3.870000,Pokémon
dp4-24,Mawile,https://images.pokemontcg.io/dp4/24_hires.png,Rare,0.910000,1.520000,Pokémon
dp4-25,Milotic,https://images.pokemontcg.io/dp4/25_hires.png,Rare,2.020000,4.600000,Pokémon
dp4-26,Palkia,https://images.pokemontcg.io/dp4/26_hires.png,Rare,1.270000,1.840000,Pokémon
dp4-27,Primeape,https://images.pokemontcg.io/dp4/27_hires.png,Rare,0.380000,0.820000,Pokémon
dp4-28,Slowking,https://images.pokemontcg.io/dp4/28_hires.png,Rare,0.430000,1.330000,Pokémon
dp4-29,Unown [H],https://images.pokemontcg.io/dp4/29_hires.png,Rare,1.770000,5.590000,Pokémon
dp4-30,Wailord,https://images.pokemontcg.io/dp4/30_hires.png,Rare,0.980000,5.140000,Pokémon
dp4-31,Weezing,https://images.pokemontcg.io/dp4/31_hires.png,Rare,0.520000,1.310000,Pokémon
dp4-32,Wigglytuff,https://images.pokemontcg.io/dp4/32_hires.png,Rare,0.960000,1.620000,Pokémon
dp4-33,Arbok,https://images.pokemontcg.io/dp4/33_hires.png,Uncommon,0.220000,0.550000,Pokémon
dp4-34,Cacturne,https://images.pokemontcg.io/dp4/34_hires.png,Uncommon,0.150000,0.630000,Pokémon
dp4-35,Combusken,https://images.pokemontcg.io/dp4/35_hires.png,Uncommon,0.210000,0.620000,Pokémon
dp4-36,Delibird,https://images.pokemontcg.io/dp4/36_hires.png,Uncommon,0.150000,0.600000,Pokémon
dp4-37,Floatzel,https://images.pokemontcg.io/dp4/37_hires.png,Uncommon,0.270000,0.390000,Pokémon
dp4-38,Gorebyss,https://images.pokemontcg.io/dp4/38_hires.png,Uncommon,0.290000,0.310000,Pokémon
dp4-39,Granbull,https://images.pokemontcg.io/dp4/39_hires.png,Uncommon,0.160000,0.390000,Pokémon
dp4-40,Grovyle,https://images.pokemontcg.io/dp4/40_hires.png,Common,0.460000,0.660000,Pokémon
dp4-41,Hariyama,https://images.pokemontcg.io/dp4/41_hires.png,Uncommon,0.110000,0.290000,Pokémon
dp4-42,Huntail,https://images.pokemontcg.io/dp4/42_hires.png,Uncommon,0.150000,0.540000,Pokémon
dp4-43,Linoone,https://images.pokemontcg.io/dp4/43_hires.png,Uncommon,0.280000,0.590000,Pokémon
dp4-44,Loudred,https://images.pokemontcg.io/dp4/44_hires.png,Uncommon,0.140000,0.420000,Pokémon
dp4-45,Magcargo,https://images.pokemontcg.io/dp4/45_hires.png,Uncommon,0.120000,0.310000,Pokémon
dp4-46,Marshtomp,https://images.pokemontcg.io/dp4/46_hires.png,Uncommon,0.170000,1.070000,Pokémon
dp4-47,Metapod,https://images.pokemontcg.io/dp4/47_hires.png,Uncommon,0.340000,0.540000,Pokémon
dp4-48,Pelipper,https://images.pokemontcg.io/dp4/48_hires.png,Uncommon,0.380000,0.240000,Pokémon
dp4-49,Porygon2,https://images.pokemontcg.io/dp4/49_hires.png,Uncommon,0.600000,1.350000,Pokémon
dp4-50,Purugly,https://images.pokemontcg.io/dp4/50_hires.png,Uncommon,0.170000,0.320000,Pokémon
dp4-51,Relicanth,https://images.pokemontcg.io/dp4/51_hires.png,Uncommon,0.130000,0.410000,Pokémon
dp4-52,Seviper,https://images.pokemontcg.io/dp4/52_hires.png,Uncommon,0.180000,0.450000,Pokémon
dp4-53,Skarmory,https://images.pokemontcg.io/dp4/53_hires.png,Uncommon,0.180000,0.350000,Pokémon
dp4-54,Slowbro,https://images.pokemontcg.io/dp4/54_hires.png,Uncommon,0.170000,0.700000,Pokémon
dp4-55,Togetic,https://images.pokemontcg.io/dp4/55_hires.png,Uncommon,0.180000,0.930000,Pokémon
dp4-56,Unown [F],https://images.pokemontcg.io/dp4/56_hires.png,Uncommon,0.290000,0.680000,Pokémon
dp4-57,Unown [G],https://images.pokemontcg.io/dp4/57_hires.png,Uncommon,0.740000,4.700000,Pokémon
dp4-58,Wailmer,https://images.pokemontcg.io/dp4/58_hires.png,Uncommon,0.360000,0.400000,Pokémon
dp4-59,Zangoose,https://images.pokemontcg.io/dp4/59_hires.png,Uncommon,0.180000,0.380000,Pokémon
dp4-60,Baltoy,https://images.pokemontcg.io/dp4/60_hires.png,Common,0.840000,3.580000,Pokémon
dp4-61,Buizel,https://images.pokemontcg.io/dp4/61_hires.png,Common,0.310000,0.310000,Pokémon
dp4-62,Cacnea,https://images.pokemontcg.io/dp4/62_hires.png,Common,0.100000,0.250000,Pokémon
dp4-63,Caterpie,https://images.pokemontcg.io/dp4/63_hires.png,Common,0.130000,0.420000,Pokémon
dp4-64,Clamperl,https://images.pokemontcg.io/dp4/64_hires.png,Common,0.080000,0.270000,Pokémon
dp4-65,Drowzee,https://images.pokemontcg.io/dp4/65_hires.png,Common,0.140000,0.290000,Pokémon
