id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm2-1,Bellsprout,https://images.pokemontcg.io/sm2/1_hires.png,Common,0.060000,0.120000,Pokémon
sm2-2,Weepinbell,https://images.pokemontcg.io/sm2/2_hires.png,Uncommon,0.090000,0.120000,Pokémon
sm2-3,Victreebel,https://images.pokemontcg.io/sm2/3_hires.png,Rare,0.180000,0.280000,Pokémon
sm2-4,Petilil,https://images.pokemontcg.io/sm2/4_hires.png,Common,0.060000,0.090000,Pokémon
sm2-5,Lilligant,https://images.pokemontcg.io/sm2/5_hires.png,Rare,0.160000,0.260000,Pokémon
sm2-6,Phantump,https://images.pokemontcg.io/sm2/6_hires.png,Common,0.080000,0.140000,Pokémon
sm2-7,Trevenant,https://images.pokemontcg.io/sm2/7_hires.png,Rare,0.170000,0.170000,Pokémon
sm2-8,Wimpod,https://images.pokemontcg.io/sm2/8_hires.png,Common,0.090000,0.110000,Pokémon
sm2-9,Golisopod,https://images.pokemontcg.io/sm2/9_hires.png,Rare Holo,0.580000,0.410000,Pokémon
sm2-10,Victini,https://images.pokemontcg.io/sm2/10_hires.png,Rare Holo,0.760000,0.570000,Pokémon
sm2-11,Litwick,https://images.pokemontcg.io/sm2/11_hires.png,Common,0.050000,0.090000,Pokémon
sm2-12,Lampent,https://images.pokemontcg.io/sm2/12_hires.png,Uncommon,0.080000,0.110000,Pokémon
sm2-13,Chandelure,https://images.pokemontcg.io/sm2/13_hires.png,Rare Holo,0.330000,0.420000,Pokémon
sm2-14,Oricorio,https://images.pokemontcg.io/sm2/14_hires.png,Rare,0.240000,0.200000,Pokémon
sm2-15,Salandit,https://images.pokemontcg.io/sm2/15_hires.png,Common,0.100000,0.120000,Pokémon
sm2-16,Salazzle,https://images.pokemontcg.io/sm2/16_hires.png,Rare,0.180000,0.190000,Pokémon
sm2-17,Turtonator,https://images.pokemontcg.io/sm2/17_hires.png,Rare,0.170000,0.200000,Pokémon
sm2-18,Turtonator-GX,https://images.pokemontcg.io/sm2/18_hires.png,Rare Holo GX,1.870000,1.710000,Pokémon
sm2-19,Alolan Sandshrew,https://images.pokemontcg.io/sm2/19_hires.png,Common,0.400000,0.150000,Pokémon
sm2-19a,Alolan Sandshrew,https://images.pokemontcg.io/sm2/19a_hires.png,Common,2.830000,0,Pokémon
sm2-20,Alolan Sandslash,https://images.pokemontcg.io/sm2/20_hires.png,Rare,0.180000,0.200000,Pokémon
sm2-21,Alolan Vulpix,https://images.pokemontcg.io/sm2/21_hires.png,Common,3,0.380000,Pokémon
sm2-21a,Alolan Vulpix,https://images.pokemontcg.io/sm2/21a_hires.png,Common,2.100000,0,Pokémon
sm2-22,Alolan Ninetales-GX,https://images.pokemontcg.io/sm2/22_hires.png,Rare Holo GX,3.380000,3.250000,Pokémon
sm2-23,Tentacool,https://images.pokemontcg.io/sm2/23_hires.png,Common,0.110000,0.110000,Pokémon
sm2-24,Tentacruel,https://images.pokemontcg.io/sm2/24_hires.png,Uncommon,0.110000,0.150000,Pokémon
sm2-25,Politoed,https://images.pokemontcg.io/sm2/25_hires.png,Rare Holo,0.540000,0.980000,Pokémon
sm2-26,Delibird,https://images.pokemontcg.io/sm2/26_hires.png,Common,0.060000,0.090000,Pokémon
sm2-27,Carvanha,https://images.pokemontcg.io/sm2/27_hires.png,Common,0.060000,0.090000,Pokémon
sm2-28,Sharpedo,https://images.pokemontcg.io/sm2/28_hires.png,Rare,0.300000,0.230000,Pokémon
sm2-29,Wailmer,https://images.pokemontcg.io/sm2/29_hires.png,Common,0.080000,0.200000,Pokémon
sm2-30,Wailord,https://images.pokemontcg.io/sm2/30_hires.png,Rare,0.230000,0.360000,Pokémon
sm2-31,Snorunt,https://images.pokemontcg.io/sm2/31_hires.png,Common,0.100000,0.210000,Pokémon
sm2-32,Glalie,https://images.pokemontcg.io/sm2/32_hires.png,Uncommon,0.170000,0.100000,Pokémon
sm2-33,Vanillite,https://images.pokemontcg.io/sm2/33_hires.png,Common,0.060000,0.140000,Pokémon
sm2-34,Vanillish,https://images.pokemontcg.io/sm2/34_hires.png,Uncommon,0.070000,0.090000,Pokémon
sm2-35,Vanilluxe,https://images.pokemontcg.io/sm2/35_hires.png,Rare,0.180000,0.180000,Pokémon
sm2-36,Alomomola,https://images.pokemontcg.io/sm2/36_hires.png,Uncommon,0.110000,0.160000,Pokémon
sm2-37,Wishiwashi,https://images.pokemontcg.io/sm2/37_hires.png,Common,0.080000,0.090000,Pokémon
sm2-38,Wishiwashi-GX,https://images.pokemontcg.io/sm2/38_hires.png,Rare Holo GX,2.300000,1.820000,Pokémon
sm2-39,Mareanie,https://images.pokemontcg.io/sm2/39_hires.png,Uncommon,0.060000,0.160000,Pokémon
sm2-40,Alolan Geodude,https://images.pokemontcg.io/sm2/40_hires.png,Common,0.080000,0.120000,Pokémon
sm2-41,Alolan Graveler,https://images.pokemontcg.io/sm2/41_hires.png,Uncommon,0.100000,0.130000,Pokémon
sm2-42,Alolan Golem,https://images.pokemontcg.io/sm2/42_hires.png,Rare Holo,0.340000,0.520000,Pokémon
sm2-43,Helioptile,https://images.pokemontcg.io/sm2/43_hires.png,Common,0.060000,0.060000,Pokémon
sm2-44,Heliolisk,https://images.pokemontcg.io/sm2/44_hires.png,Rare,0.220000,0.200000,Pokémon
sm2-45,Vikavolt-GX,https://images.pokemontcg.io/sm2/45_hires.png,Rare Holo GX,2.240000,1.460000,Pokémon
sm2-46,Oricorio,https://images.pokemontcg.io/sm2/46_hires.png,Rare,0.240000,0.210000,Pokémon
sm2-47,Tapu Koko-GX,https://images.pokemontcg.io/sm2/47_hires.png,Rare Holo GX,3.450000,1.530000,Pokémon
sm2-48,Slowpoke,https://images.pokemontcg.io/sm2/48_hires.png,Common,0.110000,0.230000,Pokémon
sm2-49,Slowbro,https://images.pokemontcg.io/sm2/49_hires.png,Uncommon,0.120000,0.320000,Pokémon
sm2-50,Trubbish,https://images.pokemontcg.io/sm2/50_hires.png,Common,0.080000,0.240000,Pokémon
sm2-51,Garbodor,https://images.pokemontcg.io/sm2/51_hires.png,Rare,0.890000,0.270000,Pokémon
sm2-51a,Garbodor,https://images.pokemontcg.io/sm2/51a_hires.png,Rare,1.030000,0,Pokémon
sm2-52,Gothita,https://images.pokemontcg.io/sm2/52_hires.png,Common,0.070000,0.210000,Pokémon
sm2-53,Gothorita,https://images.pokemontcg.io/sm2/53_hires.png,Uncommon,0.060000,0.150000,Pokémon
sm2-54,Gothitelle,https://images.pokemontcg.io/sm2/54_hires.png,Rare,0.210000,0.300000,Pokémon
sm2-55,Oricorio,https://images.pokemontcg.io/sm2/55_hires.png,Rare,5,0.230000,Pokémon
sm2-56,Oricorio,https://images.pokemontcg.io/sm2/56_hires.png,Rare,0.270000,0.250000,Pokémon
sm2-57,Toxapex-GX,https://images.pokemontcg.io/sm2/57_hires.png,Rare Holo GX,1.590000,1.330000,Pokémon
sm2-58,Mimikyu,https://images.pokemontcg.io/sm2/58_hires.png,Rare Holo,1.130000,3.980000,Pokémon
sm2-59,Dhelmise,https://images.pokemontcg.io/sm2/59_hires.png,Rare Holo,0.330000,0.330000,Pokémon
sm2-60,Tapu Lele-GX,https://images.pokemontcg.io/sm2/60_hires.png,Rare Holo GX,5.490000,4.110000,Pokémon
sm2-60a,Tapu Lele-GX,https://images.pokemontcg.io/sm2/60a_hires.png,Rare Holo GX,4.580000,0,Pokémon
sm2-61,Lunala,https://images.pokemontcg.io/sm2/61_hires.png,Rare,0.480000,0.390000,Pokémon
sm2-62,Machop,https://images.pokemontcg.io/sm2/62_hires.png,Common,0.100000,0.110000,Pokémon
sm2-63,Machop,https://images.pokemontcg.io/sm2/63_hires.png,Common,0.100000,0.130000,Pokémon
sm2-64,Machoke,https://images.pokemontcg.io/sm2/64_hires.png,Uncommon,0.170000,0.190000,Pokémon
sm2-65,Machamp,https://images.pokemontcg.io/sm2/65_hires.png,Rare Holo,0.700000,0.410000,Pokémon
sm2-66,Sudowoodo,https://images.pokemontcg.io/sm2/66_hires.png,Uncommon,0.290000,0.140000,Pokémon
sm2-67,Gligar,https://images.pokemontcg.io/sm2/67_hires.png,Common,0.040000,0.120000,Pokémon
sm2-68,Gliscor,https://images.pokemontcg.io/sm2/68_hires.png,Uncommon,0.060000,0.110000,Pokémon
sm2-69,Nosepass,https://images.pokemontcg.io/sm2/69_hires.png,Common,0.100000,0.170000,Pokémon
sm2-70,Barboach,https://images.pokemontcg.io/sm2/70_hires.png,Common,0.070000,0.100000,Pokémon
sm2-71,Whiscash,https://images.pokemontcg.io/sm2/71_hires.png,Rare,0.200000,0.220000,Pokémon
sm2-72,Pancham,https://images.pokemontcg.io/sm2/72_hires.png,Common,0.050000,0.120000,Pokémon
sm2-73,Rockruff,https://images.pokemontcg.io/sm2/73_hires.png,Common,0.070000,0.150000,Pokémon
sm2-74,Lycanroc-GX,https://images.pokemontcg.io/sm2/74_hires.png,Rare Holo GX,3.730000,1.870000,Pokémon
sm2-75,Mudbray,https://images.pokemontcg.io/sm2/75_hires.png,Common,0.050000,0.110000,Pokémon
sm2-76,Mudsdale,https://images.pokemontcg.io/sm2/76_hires.png,Rare Holo,0.440000,0.310000,Pokémon
sm2-77,Minior,https://images.pokemontcg.io/sm2/77_hires.png,Rare Holo,0.360000,0.460000,Pokémon
sm2-78,Murkrow,https://images.pokemontcg.io/sm2/78_hires.png,Common,0.100000,0.120000,Pokémon
sm2-79,Honchkrow,https://images.pokemontcg.io/sm2/79_hires.png,Rare,0.160000,0.280000,Pokémon
sm2-80,Sableye,https://images.pokemontcg.io/sm2/80_hires.png,Uncommon,0.060000,0.180000,Pokémon
sm2-81,Absol,https://images.pokemontcg.io/sm2/81_hires.png,Rare Holo,0.470000,0.690000,Pokémon
sm2-82,Pangoro,https://images.pokemontcg.io/sm2/82_hires.png,Rare,0.280000,0.240000,Pokémon
sm2-83,Beldum,https://images.pokemontcg.io/sm2/83_hires.png,Common,0.060000,0.090000,Pokémon
sm2-84,Metang,https://images.pokemontcg.io/sm2/84_hires.png,Uncommon,0.090000,0.100000,Pokémon
sm2-85,Metagross-GX,https://images.pokemontcg.io/sm2/85_hires.png,Rare Holo GX,1.840000,2.090000,Pokémon
sm2-86,Probopass,https://images.pokemontcg.io/sm2/86_hires.png,Rare,0.120000,0.180000,Pokémon
sm2-87,Solgaleo,https://images.pokemontcg.io/sm2/87_hires.png,Rare,0.310000,0.420000,Pokémon
