id,name,image,rarity,card_market_price,tcg_market_price,supertype
gym2-1,Blaine's Arcanine,https://images.pokemontcg.io/gym2/1_hires.png,Rare Holo,50.340000,74.250000,Pokémon
gym2-2,Blaine's Charizard,https://images.pokemontcg.io/gym2/2_hires.png,Rare Holo,358.670000,524.920000,Pokémon
gym2-3,Brock's Ninetales,https://images.pokemontcg.io/gym2/3_hires.png,Rare Holo,39.990000,65.320000,Pokémon
gym2-4,Erika's Venusaur,https://images.pokemontcg.io/gym2/4_hires.png,Rare Holo,115.090000,133.090000,Pokémon
gym2-5,Giovanni's Gyarados,https://images.pokemontcg.io/gym2/5_hires.png,Rare Holo,89.270000,124.570000,Pokémon
gym2-6,Giovanni's Machamp,https://images.pokemontcg.io/gym2/6_hires.png,Rare Holo,114.120000,49.170000,Pokémon
gym2-7,Giovanni's Nidoking,https://images.pokemontcg.io/gym2/7_hires.png,Rare Holo,52.040000,54.380000,Pokémon
gym2-8,Giovanni's Persian,https://images.pokemontcg.io/gym2/8_hires.png,Rare Holo,27.500000,34.540000,Pokémon
gym2-9,Koga's Beedrill,https://images.pokemontcg.io/gym2/9_hires.png,Rare Holo,20.160000,23.890000,Pokémon
gym2-10,Koga's Ditto,https://images.pokemontcg.io/gym2/10_hires.png,Rare Holo,27.670000,38.350000,Pokémon
gym2-11,Lt. Surge's Raichu,https://images.pokemontcg.io/gym2/11_hires.png,Rare Holo,92.200000,56.330000,Pokémon
gym2-12,Misty's Golduck,https://images.pokemontcg.io/gym2/12_hires.png,Rare Holo,41.840000,51.870000,Pokémon
gym2-13,Misty's Gyarados,https://images.pokemontcg.io/gym2/13_hires.png,Rare Holo,136.830000,97.750000,Pokémon
gym2-14,Rocket's Mewtwo,https://images.pokemontcg.io/gym2/14_hires.png,Rare Holo,96.550000,166.060000,Pokémon
gym2-15,Rocket's Zapdos,https://images.pokemontcg.io/gym2/15_hires.png,Rare Holo,34.880000,64.940000,Pokémon
gym2-16,Sabrina's Alakazam,https://images.pokemontcg.io/gym2/16_hires.png,Rare Holo,49.480000,56.290000,Pokémon
gym2-17,Blaine,https://images.pokemontcg.io/gym2/17_hires.png,Rare Holo,41.170000,28.930000,Trainer
gym2-18,Giovanni,https://images.pokemontcg.io/gym2/18_hires.png,Rare Holo,42.660000,38.160000,Trainer
gym2-19,Koga,https://images.pokemontcg.io/gym2/19_hires.png,Rare Holo,31.790000,29.640000,Trainer
gym2-20,Sabrina,https://images.pokemontcg.io/gym2/20_hires.png,Rare Holo,44.880000,51.870000,Trainer
gym2-21,Blaine's Ninetales,https://images.pokemontcg.io/gym2/21_hires.png,Rare,10.300000,13.330000,Pokémon
gym2-22,Brock's Dugtrio,https://images.pokemontcg.io/gym2/22_hires.png,Rare,8.950000,7.260000,Pokémon
gym2-23,Giovanni's Nidoqueen,https://images.pokemontcg.io/gym2/23_hires.png,Rare,11.960000,10.660000,Pokémon
gym2-24,Giovanni's Pinsir,https://images.pokemontcg.io/gym2/24_hires.png,Rare,8.950000,8.620000,Pokémon
gym2-25,Koga's Arbok,https://images.pokemontcg.io/gym2/25_hires.png,Rare,8.200000,7.710000,Pokémon
gym2-26,Koga's Muk,https://images.pokemontcg.io/gym2/26_hires.png,Rare,8.340000,6.460000,Pokémon
gym2-27,Koga's Pidgeotto,https://images.pokemontcg.io/gym2/27_hires.png,Rare,8.020000,8.810000,Pokémon
gym2-28,Lt. Surge's Jolteon,https://images.pokemontcg.io/gym2/28_hires.png,Rare,13.540000,15.810000,Pokémon
gym2-29,Sabrina's Gengar,https://images.pokemontcg.io/gym2/29_hires.png,Rare,71.430000,69.670000,Pokémon
gym2-30,Sabrina's Golduck,https://images.pokemontcg.io/gym2/30_hires.png,Rare,9.230000,8.230000,Pokémon
