id,name,image,rarity,card_market_price,tcg_market_price,supertype
gym1-1,Blaine's Moltres,https://images.pokemontcg.io/gym1/1_hires.png,Rare Holo,52.990000,83.390000,Pokémon
gym1-2,Brock's Rhydon,https://images.pokemontcg.io/gym1/2_hires.png,Rare Holo,19.040000,24.940000,Pokémon
gym1-3,Erika's Clefable,https://images.pokemontcg.io/gym1/3_hires.png,Rare Holo,31.850000,29.560000,Pokémon
gym1-4,Erika's Dragonair,https://images.pokemontcg.io/gym1/4_hires.png,Rare Holo,41.110000,52.310000,Pokémon
gym1-5,Erika's Vileplume,https://images.pokemontcg.io/gym1/5_hires.png,Rare Holo,14.270000,15,Pokémon
gym1-6,Lt. Surge's Electabuzz,https://images.pokemontcg.io/gym1/6_hires.png,Rare Holo,36.510000,29.280000,Pokémon
gym1-7,Lt. Surge's Fearow,https://images.pokemontcg.io/gym1/7_hires.png,Rare Holo,23.320000,35.560000,Pokémon
gym1-8,Lt. Surge's Magneton,https://images.pokemontcg.io/gym1/8_hires.png,Rare Holo,17.890000,20.510000,Pokémon
gym1-9,Misty's Seadra,https://images.pokemontcg.io/gym1/9_hires.png,Rare Holo,25.950000,24.920000,Pokémon
gym1-10,Misty's Tentacruel,https://images.pokemontcg.io/gym1/10_hires.png,Rare Holo,17.160000,19.820000,Pokémon
gym1-11,Rocket's Hitmonchan,https://images.pokemontcg.io/gym1/11_hires.png,Rare Holo,34.210000,36.280000,Pokémon
gym1-12,Rocket's Moltres,https://images.pokemontcg.io/gym1/12_hires.png,Rare Holo,54.890000,66.740000,Pokémon
gym1-13,Rocket's Scyther,https://images.pokemontcg.io/gym1/13_hires.png,Rare Holo,70.330000,73.310000,Pokémon
gym1-14,Sabrina's Gengar,https://images.pokemontcg.io/gym1/14_hires.png,Rare Holo,143.800000,229.440000,Pokémon
gym1-15,Brock,https://images.pokemontcg.io/gym1/15_hires.png,Rare Holo,27.230000,24.830000,Trainer
gym1-16,Erika,https://images.pokemontcg.io/gym1/16_hires.png,Rare Holo,29.710000,31.830000,Trainer
gym1-17,Lt. Surge,https://images.pokemontcg.io/gym1/17_hires.png,Rare Holo,24.590000,31.380000,Trainer
gym1-18,Misty,https://images.pokemontcg.io/gym1/18_hires.png,Rare Holo,55.040000,57.190000,Trainer
gym1-19,The Rocket's Trap,https://images.pokemontcg.io/gym1/19_hires.png,Rare Holo,34.960000,20.880000,Trainer
gym1-20,Brock's Golem,https://images.pokemontcg.io/gym1/20_hires.png,Rare,11.450000,9.250000,Pokémon
gym1-21,Brock's Onix,https://images.pokemontcg.io/gym1/21_hires.png,Rare,5.120000,6.250000,Pokémon
