id,name,image,rarity,card_market_price,tcg_market_price,supertype
hgss1-1,Arcanine,https://images.pokemontcg.io/hgss1/1_hires.png,Rare Holo,8.130000,31.130000,Pokémon
hgss1-2,Azumarill,https://images.pokemontcg.io/hgss1/2_hires.png,Rare Holo,4.260000,3.540000,Pokémon
hgss1-3,Clefable,https://images.pokemontcg.io/hgss1/3_hires.png,Rare Holo,3.390000,4,Pokémon
hgss1-4,Gyarados,https://images.pokemontcg.io/hgss1/4_hires.png,Rare Holo,6.020000,13.760000,Pokémon
hgss1-5,Hitmontop,https://images.pokemontcg.io/hgss1/5_hires.png,Rare Holo,1.680000,3.030000,Pokémon
hgss1-6,Jumpluff,https://images.pokemontcg.io/hgss1/6_hires.png,Rare Holo,3.390000,5.320000,Pokémon
hgss1-7,Ninetales,https://images.pokemontcg.io/hgss1/7_hires.png,Rare Holo,11.550000,21.890000,Pokémon
hgss1-8,Noctowl,https://images.pokemontcg.io/hgss1/8_hires.png,Rare Holo,2.530000,4.210000,Pokémon
hgss1-9,Quagsire,https://images.pokemontcg.io/hgss1/9_hires.png,Rare Holo,4.010000,8.020000,Pokémon
hgss1-10,Raichu,https://images.pokemontcg.io/hgss1/10_hires.png,Rare Holo,5.710000,13.770000,Pokémon
hgss1-11,Shuckle,https://images.pokemontcg.io/hgss1/11_hires.png,Rare Holo,3.830000,7.710000,Pokémon
hgss1-12,Slowking,https://images.pokemontcg.io/hgss1/12_hires.png,Rare Holo,3.180000,10.900000,Pokémon
hgss1-13,Wobbuffet,https://images.pokemontcg.io/hgss1/13_hires.png,Rare Holo,4.730000,8.140000,Pokémon
hgss1-14,Ampharos,https://images.pokemontcg.io/hgss1/14_hires.png,Rare,1.650000,3.220000,Pokémon
hgss1-15,Ariados,https://images.pokemontcg.io/hgss1/15_hires.png,Rare,0.770000,0.760000,Pokémon
hgss1-16,Butterfree,https://images.pokemontcg.io/hgss1/16_hires.png,Rare,4.570000,5.010000,Pokémon
hgss1-17,Cleffa,https://images.pokemontcg.io/hgss1/17_hires.png,Rare,1.590000,3.590000,Pokémon
hgss1-18,Exeggutor,https://images.pokemontcg.io/hgss1/18_hires.png,Rare,0.600000,0.780000,Pokémon
hgss1-19,Farfetch'd,https://images.pokemontcg.io/hgss1/19_hires.png,Rare,1.040000,2.160000,Pokémon
hgss1-20,Feraligatr,https://images.pokemontcg.io/hgss1/20_hires.png,Rare,3.400000,3.080000,Pokémon
hgss1-21,Furret,https://images.pokemontcg.io/hgss1/21_hires.png,Rare,1.320000,3.740000,Pokémon
hgss1-22,Granbull,https://images.pokemontcg.io/hgss1/22_hires.png,Rare,0.790000,0.580000,Pokémon
hgss1-23,Hypno,https://images.pokemontcg.io/hgss1/23_hires.png,Rare,0.580000,1.240000,Pokémon
hgss1-24,Lapras,https://images.pokemontcg.io/hgss1/24_hires.png,Rare,1.410000,2.470000,Pokémon
hgss1-25,Ledian,https://images.pokemontcg.io/hgss1/25_hires.png,Rare,1.280000,3.510000,Pokémon
hgss1-26,Meganium,https://images.pokemontcg.io/hgss1/26_hires.png,Rare,2.540000,3.510000,Pokémon
hgss1-27,Persian,https://images.pokemontcg.io/hgss1/27_hires.png,Rare,0.790000,0.970000,Pokémon
hgss1-28,Pichu,https://images.pokemontcg.io/hgss1/28_hires.png,Rare,8.160000,7.340000,Pokémon
hgss1-29,Sandslash,https://images.pokemontcg.io/hgss1/29_hires.png,Rare,0.720000,1.030000,Pokémon
hgss1-30,Smoochum,https://images.pokemontcg.io/hgss1/30_hires.png,Rare,1.510000,4.190000,Pokémon
hgss1-31,Sunflora,https://images.pokemontcg.io/hgss1/31_hires.png,Rare,0.930000,5.010000,Pokémon
hgss1-32,Typhlosion,https://images.pokemontcg.io/hgss1/32_hires.png,Rare,3.870000,4.880000,Pokémon
hgss1-33,Tyrogue,https://images.pokemontcg.io/hgss1/33_hires.png,Rare,1.540000,2.160000,Pokémon
hgss1-34,Weezing,https://images.pokemontcg.io/hgss1/34_hires.png,Rare,0.700000,1.830000,Pokémon
hgss1-35,Bayleef,https://images.pokemontcg.io/hgss1/35_hires.png,Uncommon,0.730000,1.040000,Pokémon
hgss1-36,Blissey,https://images.pokemontcg.io/hgss1/36_hires.png,Uncommon,0.580000,1.130000,Pokémon
hgss1-37,Corsola,https://images.pokemontcg.io/hgss1/37_hires.png,Uncommon,0.580000,0.460000,Pokémon
hgss1-38,Croconaw,https://images.pokemontcg.io/hgss1/38_hires.png,Uncommon,0.530000,1.190000,Pokémon
hgss1-39,Delibird,https://images.pokemontcg.io/hgss1/39_hires.png,Uncommon,2.990000,1.150000,Pokémon
hgss1-40,Donphan,https://images.pokemontcg.io/hgss1/40_hires.png,Uncommon,0.390000,0.380000,Pokémon
hgss1-41,Dunsparce,https://images.pokemontcg.io/hgss1/41_hires.png,Uncommon,0.330000,0.530000,Pokémon
hgss1-42,Flaaffy,https://images.pokemontcg.io/hgss1/42_hires.png,Uncommon,0.240000,0.520000,Pokémon
hgss1-43,Heracross,https://images.pokemontcg.io/hgss1/43_hires.png,Uncommon,0.380000,1.890000,Pokémon
hgss1-44,Igglybuff,https://images.pokemontcg.io/hgss1/44_hires.png,Uncommon,1.530000,1.510000,Pokémon
hgss1-45,Mantine,https://images.pokemontcg.io/hgss1/45_hires.png,Uncommon,0.380000,0.380000,Pokémon
hgss1-46,Metapod,https://images.pokemontcg.io/hgss1/46_hires.png,Uncommon,0.350000,0.960000,Pokémon
hgss1-47,Miltank,https://images.pokemontcg.io/hgss1/47_hires.png,Uncommon,0.480000,0.770000,Pokémon
hgss1-48,Parasect,https://images.pokemontcg.io/hgss1/48_hires.png,Uncommon,0.310000,0.380000,Pokémon
hgss1-49,Quilava,https://images.pokemontcg.io/hgss1/49_hires.png,Uncommon,0.440000,1.040000,Pokémon
hgss1-50,Qwilfish,https://images.pokemontcg.io/hgss1/50_hires.png,Uncommon,0.260000,0.490000,Pokémon
hgss1-51,Skiploom,https://images.pokemontcg.io/hgss1/51_hires.png,Uncommon,0.300000,0.970000,Pokémon
hgss1-52,Slowbro,https://images.pokemontcg.io/hgss1/52_hires.png,Uncommon,0.300000,0.690000,Pokémon
hgss1-53,Starmie,https://images.pokemontcg.io/hgss1/53_hires.png,Uncommon,0.450000,0.540000,Pokémon
hgss1-54,Unown,https://images.pokemontcg.io/hgss1/54_hires.png,Uncommon,0.640000,0.680000,Pokémon
hgss1-55,Unown,https://images.pokemontcg.io/hgss1/55_hires.png,Uncommon,0.560000,0.960000,Pokémon
hgss1-56,Wigglytuff,https://images.pokemontcg.io/hgss1/56_hires.png,Uncommon,0.390000,0.500000,Pokémon
hgss1-57,Caterpie,https://images.pokemontcg.io/hgss1/57_hires.png,Common,0.160000,0.740000,Pokémon
hgss1-58,Chansey,https://images.pokemontcg.io/hgss1/58_hires.png,Common,0.250000,0.550000,Pokémon
hgss1-59,Chikorita,https://images.pokemontcg.io/hgss1/59_hires.png,Common,0.280000,0.500000,Pokémon
hgss1-60,Clefairy,https://images.pokemontcg.io/hgss1/60_hires.png,Common,0.230000,0.360000,Pokémon
hgss1-61,Cyndaquil,https://images.pokemontcg.io/hgss1/61_hires.png,Common,0.230000,1.110000,Pokémon
hgss1-62,Drowzee,https://images.pokemontcg.io/hgss1/62_hires.png,Common,0.170000,0.360000,Pokémon
hgss1-63,Exeggcute,https://images.pokemontcg.io/hgss1/63_hires.png,Common,0.130000,0.280000,Pokémon
hgss1-64,Girafarig,https://images.pokemontcg.io/hgss1/64_hires.png,Common,0.290000,0.500000,Pokémon
hgss1-65,Growlithe,https://images.pokemontcg.io/hgss1/65_hires.png,Common,0.220000,0.820000,Pokémon
hgss1-66,Hoothoot,https://images.pokemontcg.io/hgss1/66_hires.png,Common,0.230000,0.400000,Pokémon
hgss1-67,Hoppip,https://images.pokemontcg.io/hgss1/67_hires.png,Common,0.200000,0.440000,Pokémon
hgss1-68,Jigglypuff,https://images.pokemontcg.io/hgss1/68_hires.png,Common,0.260000,0.580000,Pokémon
hgss1-69,Jynx,https://images.pokemontcg.io/hgss1/69_hires.png,Common,0.190000,0.370000,Pokémon
hgss1-70,Koffing,https://images.pokemontcg.io/hgss1/70_hires.png,Common,0.220000,0.410000,Pokémon
hgss1-71,Ledyba,https://images.pokemontcg.io/hgss1/71_hires.png,Common,0.200000,0.550000,Pokémon
hgss1-72,Magikarp,https://images.pokemontcg.io/hgss1/72_hires.png,Common,0.600000,0.720000,Pokémon
