id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm115-1,Caterpie,https://images.pokemontcg.io/sm115/1_hires.png,Common,0.030000,0.090000,Pokémon
sm115-2,Metapod,https://images.pokemontcg.io/sm115/2_hires.png,Uncommon,0.050000,0.110000,Pokémon
sm115-3,Butterfree,https://images.pokemontcg.io/sm115/3_hires.png,Rare,0.180000,0.200000,Pokémon
sm115-4,Paras,https://images.pokemontcg.io/sm115/4_hires.png,Common,0.060000,0.080000,Pokémon
sm115-5,Scyther,https://images.pokemontcg.io/sm115/5_hires.png,Uncommon,0.060000,0.130000,Pokémon
sm115-6,Pinsir-GX,https://images.pokemontcg.io/sm115/6_hires.png,Rare Holo GX,1.260000,1.060000,Pokémon
sm115-7,Charmander,https://images.pokemontcg.io/sm115/7_hires.png,Common,0.080000,0.180000,Pokémon
sm115-8,Charmeleon,https://images.pokemontcg.io/sm115/8_hires.png,Uncommon,0.070000,0.140000,Pokémon
sm115-9,Charizard-GX,https://images.pokemontcg.io/sm115/9_hires.png,Rare Holo GX,10.950000,5.980000,Pokémon
sm115-10,Magmar,https://images.pokemontcg.io/sm115/10_hires.png,Uncommon,0.060000,0.100000,Pokémon
sm115-11,Psyduck,https://images.pokemontcg.io/sm115/11_hires.png,Common,0.090000,0.160000,Pokémon
sm115-12,Slowpoke,https://images.pokemontcg.io/sm115/12_hires.png,Common,0.060000,0.130000,Pokémon
sm115-13,Staryu,https://images.pokemontcg.io/sm115/13_hires.png,Common,0.060000,0.050000,Pokémon
sm115-14,Starmie-GX,https://images.pokemontcg.io/sm115/14_hires.png,Rare Holo GX,1.480000,1.430000,Pokémon
sm115-15,Magikarp,https://images.pokemontcg.io/sm115/15_hires.png,Common,0.090000,0.160000,Pokémon
sm115-16,Gyarados-GX,https://images.pokemontcg.io/sm115/16_hires.png,Rare Holo GX,2.730000,3.430000,Pokémon
sm115-17,Lapras,https://images.pokemontcg.io/sm115/17_hires.png,Rare,0.260000,0.240000,Pokémon
sm115-18,Vaporeon,https://images.pokemontcg.io/sm115/18_hires.png,Rare Holo,0.750000,0.630000,Pokémon
sm115-19,Pikachu,https://images.pokemontcg.io/sm115/19_hires.png,Common,0.330000,0.230000,Pokémon
sm115-20,Raichu-GX,https://images.pokemontcg.io/sm115/20_hires.png,Rare Holo GX,1.860000,1.580000,Pokémon
sm115-21,Voltorb,https://images.pokemontcg.io/sm115/21_hires.png,Common,0.040000,0.050000,Pokémon
sm115-22,Electrode,https://images.pokemontcg.io/sm115/22_hires.png,Rare,0.160000,0.160000,Pokémon
sm115-23,Jolteon,https://images.pokemontcg.io/sm115/23_hires.png,Rare,0.360000,0.380000,Pokémon
