id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex5-1,Banette,https://images.pokemontcg.io/ex5/1_hires.png,Rare Holo,6.050000,14.850000,Pokémon
ex5-2,Claydol,https://images.pokemontcg.io/ex5/2_hires.png,Rare Holo,5.050000,8.540000,Pokémon
ex5-3,Crobat,https://images.pokemontcg.io/ex5/3_hires.png,Rare Holo,3.260000,13.350000,Pokémon
ex5-4,Dark Celebi,https://images.pokemontcg.io/ex5/4_hires.png,Rare Holo,11.960000,26.740000,Pokémon
ex5-5,Electrode,https://images.pokemontcg.io/ex5/5_hires.png,Rare Holo,6.770000,11.540000,Pokémon
ex5-6,Exploud,https://images.pokemontcg.io/ex5/6_hires.png,Rare Holo,5,13.110000,Pokémon
ex5-7,Heracross,https://images.pokemontcg.io/ex5/7_hires.png,Rare Holo,6.860000,14.950000,Pokémon
ex5-8,Jirachi,https://images.pokemontcg.io/ex5/8_hires.png,Rare Holo,16.560000,19.100000,Pokémon
ex5-9,Machamp,https://images.pokemontcg.io/ex5/9_hires.png,Rare Holo,11.240000,17.930000,Pokémon
ex5-10,Medicham,https://images.pokemontcg.io/ex5/10_hires.png,Rare Holo,4.920000,8.090000,Pokémon
ex5-11,Metagross,https://images.pokemontcg.io/ex5/11_hires.png,Rare Holo,2.740000,23.010000,Pokémon
ex5-12,Milotic,https://images.pokemontcg.io/ex5/12_hires.png,Rare Holo,13.500000,42.950000,Pokémon
ex5-13,Pinsir,https://images.pokemontcg.io/ex5/13_hires.png,Rare Holo,4.380000,9.580000,Pokémon
ex5-14,Shiftry,https://images.pokemontcg.io/ex5/14_hires.png,Rare Holo,5.870000,7.240000,Pokémon
ex5-15,Walrein,https://images.pokemontcg.io/ex5/15_hires.png,Rare Holo,5.430000,8.770000,Pokémon
ex5-16,Bellossom,https://images.pokemontcg.io/ex5/16_hires.png,Rare,1.040000,1.950000,Pokémon
ex5-17,Chimecho,https://images.pokemontcg.io/ex5/17_hires.png,Rare,0.780000,1.410000,Pokémon
ex5-18,Gorebyss,https://images.pokemontcg.io/ex5/18_hires.png,Rare,1.230000,2.340000,Pokémon
ex5-19,Huntail,https://images.pokemontcg.io/ex5/19_hires.png,Rare,0.680000,0.670000,Pokémon
ex5-20,Masquerain,https://images.pokemontcg.io/ex5/20_hires.png,Rare,1.020000,0.940000,Pokémon
ex5-21,Metang,https://images.pokemontcg.io/ex5/21_hires.png,Rare,0.470000,1.090000,Pokémon
ex5-22,Ninetales,https://images.pokemontcg.io/ex5/22_hires.png,Rare,1.610000,2.540000,Pokémon
ex5-23,Rain Castform,https://images.pokemontcg.io/ex5/23_hires.png,Rare,1.370000,1.950000,Pokémon
ex5-24,Relicanth,https://images.pokemontcg.io/ex5/24_hires.png,Rare,0.720000,1.240000,Pokémon
ex5-25,Snow-cloud Castform,https://images.pokemontcg.io/ex5/25_hires.png,Rare,1.010000,1.950000,Pokémon
ex5-26,Sunny Castform,https://images.pokemontcg.io/ex5/26_hires.png,Rare,0.810000,1.350000,Pokémon
ex5-27,Tropius,https://images.pokemontcg.io/ex5/27_hires.png,Rare,0.830000,1.830000,Pokémon
ex5-28,Beldum,https://images.pokemontcg.io/ex5/28_hires.png,Uncommon,0.770000,0.670000,Pokémon
ex5-29,Beldum,https://images.pokemontcg.io/ex5/29_hires.png,Uncommon,1.470000,1.970000,Pokémon
ex5-30,Castform,https://images.pokemontcg.io/ex5/30_hires.png,Uncommon,1,1.700000,Pokémon
ex5-31,Claydol,https://images.pokemontcg.io/ex5/31_hires.png,Uncommon,0.720000,0.680000,Pokémon
ex5-32,Corsola,https://images.pokemontcg.io/ex5/32_hires.png,Uncommon,0.710000,0.870000,Pokémon
ex5-33,Dodrio,https://images.pokemontcg.io/ex5/33_hires.png,Uncommon,0.390000,0.380000,Pokémon
ex5-34,Glalie,https://images.pokemontcg.io/ex5/34_hires.png,Uncommon,0.540000,0.750000,Pokémon
ex5-35,Gloom,https://images.pokemontcg.io/ex5/35_hires.png,Uncommon,0.710000,1.090000,Pokémon
ex5-36,Golbat,https://images.pokemontcg.io/ex5/36_hires.png,Uncommon,0.700000,1.050000,Pokémon
ex5-37,Igglybuff,https://images.pokemontcg.io/ex5/37_hires.png,Uncommon,0.550000,1.550000,Pokémon
ex5-38,Lanturn,https://images.pokemontcg.io/ex5/38_hires.png,Uncommon,1.250000,0.810000,Pokémon
ex5-39,Loudred,https://images.pokemontcg.io/ex5/39_hires.png,Uncommon,0.530000,0.630000,Pokémon
ex5-40,Luvdisc,https://images.pokemontcg.io/ex5/40_hires.png,Uncommon,0.790000,2.230000,Pokémon
ex5-41,Machoke,https://images.pokemontcg.io/ex5/41_hires.png,Uncommon,28,0.740000,Pokémon
ex5-42,Medicham,https://images.pokemontcg.io/ex5/42_hires.png,Uncommon,0.870000,0.490000,Pokémon
ex5-43,Metang,https://images.pokemontcg.io/ex5/43_hires.png,Uncommon,0.120000,0.360000,Pokémon
ex5-44,Metang,https://images.pokemontcg.io/ex5/44_hires.png,Uncommon,0.800000,1.090000,Pokémon
ex5-45,Nuzleaf,https://images.pokemontcg.io/ex5/45_hires.png,Uncommon,0.610000,0.720000,Pokémon
ex5-46,Rhydon,https://images.pokemontcg.io/ex5/46_hires.png,Uncommon,0.940000,1.100000,Pokémon
ex5-47,Sealeo,https://images.pokemontcg.io/ex5/47_hires.png,Uncommon,0.630000,0.960000,Pokémon
ex5-48,Spinda,https://images.pokemontcg.io/ex5/48_hires.png,Uncommon,0.420000,1.740000,Pokémon
ex5-49,Starmie,https://images.pokemontcg.io/ex5/49_hires.png,Uncommon,0.450000,0.530000,Pokémon
ex5-50,Swalot,https://images.pokemontcg.io/ex5/50_hires.png,Uncommon,5.060000,3.440000,Pokémon
ex5-51,Tentacruel,https://images.pokemontcg.io/ex5/51_hires.png,Uncommon,0.510000,0.700000,Pokémon
