id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex13-1,Armaldo δ,https://images.pokemontcg.io/ex13/1_hires.png,Rare Holo,5.940000,10.880000,Pokémon
ex13-2,Cradily δ,https://images.pokemontcg.io/ex13/2_hires.png,Rare Holo,6.500000,9.390000,Pokémon
ex13-3,Deoxys δ,https://images.pokemontcg.io/ex13/3_hires.png,Rare Holo,7.330000,26.290000,Pokémon
ex13-4,Deoxys δ,https://images.pokemontcg.io/ex13/4_hires.png,Rare Holo,17.350000,20.550000,Pokémon
ex13-5,Deoxys δ,https://images.pokemontcg.io/ex13/5_hires.png,Rare Holo,9.980000,25.500000,Pokémon
ex13-6,Deoxys δ,https://images.pokemontcg.io/ex13/6_hires.png,Rare Holo,18.120000,24.710000,Pokémon
ex13-7,Flygon δ,https://images.pokemontcg.io/ex13/7_hires.png,Rare Holo,11.110000,24.530000,Pokémon
ex13-8,Gyarados δ,https://images.pokemontcg.io/ex13/8_hires.png,Rare Holo,37.680000,86.350000,Pokémon
ex13-9,Kabutops δ,https://images.pokemontcg.io/ex13/9_hires.png,Rare Holo,12.390000,22.410000,Pokémon
ex13-10,Kingdra δ,https://images.pokemontcg.io/ex13/10_hires.png,Rare Holo,15.670000,25.040000,Pokémon
ex13-11,Latias δ,https://images.pokemontcg.io/ex13/11_hires.png,Rare Holo,8.450000,41.720000,Pokémon
ex13-12,Latios δ,https://images.pokemontcg.io/ex13/12_hires.png,Rare Holo,11.550000,32.500000,Pokémon
ex13-13,Omastar δ,https://images.pokemontcg.io/ex13/13_hires.png,Rare Holo,6.770000,7.340000,Pokémon
ex13-14,Pidgeot δ,https://images.pokemontcg.io/ex13/14_hires.png,Rare Holo,8.850000,14.580000,Pokémon
ex13-15,Raichu δ,https://images.pokemontcg.io/ex13/15_hires.png,Rare Holo,14.430000,36.600000,Pokémon
ex13-16,Rayquaza δ,https://images.pokemontcg.io/ex13/16_hires.png,Rare Holo,44.990000,116.910000,Pokémon
ex13-17,Vileplume δ,https://images.pokemontcg.io/ex13/17_hires.png,Rare Holo,7.120000,8.210000,Pokémon
ex13-18,Absol,https://images.pokemontcg.io/ex13/18_hires.png,Rare,2.120000,4.360000,Pokémon
ex13-19,Bellossom δ,https://images.pokemontcg.io/ex13/19_hires.png,Rare,1.220000,2.790000,Pokémon
ex13-20,Blaziken,https://images.pokemontcg.io/ex13/20_hires.png,Rare,1.110000,2.740000,Pokémon
ex13-21,Latias δ,https://images.pokemontcg.io/ex13/21_hires.png,Rare,3.290000,4.990000,Pokémon
ex13-22,Latios δ,https://images.pokemontcg.io/ex13/22_hires.png,Rare,3.480000,5.140000,Pokémon
ex13-23,Mawile,https://images.pokemontcg.io/ex13/23_hires.png,Rare,2.160000,2.130000,Pokémon
ex13-24,Mewtwo δ,https://images.pokemontcg.io/ex13/24_hires.png,Rare,7.470000,17.440000,Pokémon
ex13-25,Nosepass,https://images.pokemontcg.io/ex13/25_hires.png,Rare,0.530000,0.660000,Pokémon
