id,name,image,rarity,card_market_price,tcg_market_price,supertype
hgss3-1,Bellossom,https://images.pokemontcg.io/hgss3/1_hires.png,Rare Holo,3.120000,2.080000,Pokémon
hgss3-2,Espeon,https://images.pokemontcg.io/hgss3/2_hires.png,Rare Holo,6.240000,2.080000,Pokémon
hgss3-3,Forretress,https://images.pokemontcg.io/hgss3/3_hires.png,Rare Holo,2.080000,2.080000,Pokémon
hgss3-4,Gliscor,https://images.pokemontcg.io/hgss3/4_hires.png,Rare Holo,2.630000,2.080000,Pokémon
hgss3-5,Houndoom,https://images.pokemontcg.io/hgss3/5_hires.png,Rare Holo,3.100000,2.080000,Pokémon
hgss3-6,Magcargo,https://images.pokemontcg.io/hgss3/6_hires.png,Rare Holo,1.260000,2.080000,Pokémon
hgss3-7,Scizor,https://images.pokemontcg.io/hgss3/7_hires.png,Rare Holo,12.690000,2.080000,Pokémon
hgss3-8,Smeargle,https://images.pokemontcg.io/hgss3/8_hires.png,Rare Holo,2.130000,2.080000,Pokémon
hgss3-9,Togekiss,https://images.pokemontcg.io/hgss3/9_hires.png,Rare Holo,2.100000,2.080000,Pokémon
hgss3-10,Umbreon,https://images.pokemontcg.io/hgss3/10_hires.png,Rare Holo,10.570000,2.080000,Pokémon
hgss3-11,Dodrio,https://images.pokemontcg.io/hgss3/11_hires.png,Rare,0.380000,2.080000,Pokémon
hgss3-12,Drifblim,https://images.pokemontcg.io/hgss3/12_hires.png,Rare,0.580000,2.080000,Pokémon
hgss3-13,Forretress,https://images.pokemontcg.io/hgss3/13_hires.png,Rare,0.710000,2.080000,Pokémon
hgss3-14,Hariyama,https://images.pokemontcg.io/hgss3/14_hires.png,Rare,2.560000,2.080000,Pokémon
hgss3-15,Honchkrow,https://images.pokemontcg.io/hgss3/15_hires.png,Rare,1.180000,2.080000,Pokémon
hgss3-16,Honchkrow,https://images.pokemontcg.io/hgss3/16_hires.png,Rare,0.720000,2.080000,Pokémon
hgss3-17,Leafeon,https://images.pokemontcg.io/hgss3/17_hires.png,Rare,8.380000,2.080000,Pokémon
hgss3-18,Metagross,https://images.pokemontcg.io/hgss3/18_hires.png,Rare,1.120000,2.080000,Pokémon
