id,name,image,rarity,card_market_price,tcg_market_price,supertype
hgss4-1,Aggron,https://images.pokemontcg.io/hgss4/1_hires.png,Rare Holo,2.120000,2.610000,Pokémon
hgss4-2,Altaria,https://images.pokemontcg.io/hgss4/2_hires.png,Rare Holo,4.270000,2.230000,Pokémon
hgss4-3,Celebi,https://images.pokemontcg.io/hgss4/3_hires.png,Rare Holo,3.460000,5.790000,Pokémon
hgss4-4,Drapion,https://images.pokemontcg.io/hgss4/4_hires.png,Rare Holo,1.810000,1.670000,Pokémon
hgss4-5,Mamoswine,https://images.pokemontcg.io/hgss4/5_hires.png,Rare Holo,1.320000,1.600000,Pokémon
hgss4-6,Nidoking,https://images.pokemontcg.io/hgss4/6_hires.png,Rare Holo,1.590000,3.130000,Pokémon
hgss4-7,Porygon-Z,https://images.pokemontcg.io/hgss4/7_hires.png,Rare Holo,2.640000,3.760000,Pokémon
hgss4-8,Rapidash,https://images.pokemontcg.io/hgss4/8_hires.png,Rare Holo,2.910000,7.750000,Pokémon
hgss4-9,Solrock,https://images.pokemontcg.io/hgss4/9_hires.png,Rare Holo,0.620000,1.260000,Pokémon
hgss4-10,Spiritomb,https://images.pokemontcg.io/hgss4/10_hires.png,Rare Holo,1.190000,2.500000,Pokémon
hgss4-11,Venomoth,https://images.pokemontcg.io/hgss4/11_hires.png,Rare Holo,1.460000,1.760000,Pokémon
hgss4-12,Victreebel,https://images.pokemontcg.io/hgss4/12_hires.png,Rare Holo,2.540000,2.720000,Pokémon
hgss4-13,Ambipom,https://images.pokemontcg.io/hgss4/13_hires.png,Rare,0.020000,0.600000,Pokémon
hgss4-14,Banette,https://images.pokemontcg.io/hgss4/14_hires.png,Rare,0.590000,0.740000,Pokémon
hgss4-15,Bronzong,https://images.pokemontcg.io/hgss4/15_hires.png,Rare,2.480000,2.060000,Pokémon
hgss4-16,Carnivine,https://images.pokemontcg.io/hgss4/16_hires.png,Rare,0.460000,0.550000,Pokémon
hgss4-17,Ditto,https://images.pokemontcg.io/hgss4/17_hires.png,Rare,2.800000,5.400000,Pokémon
hgss4-18,Dragonite,https://images.pokemontcg.io/hgss4/18_hires.png,Rare,3.550000,7.500000,Pokémon
hgss4-19,Dugtrio,https://images.pokemontcg.io/hgss4/19_hires.png,Rare,0.460000,0.660000,Pokémon
hgss4-20,Electivire,https://images.pokemontcg.io/hgss4/20_hires.png,Rare,4.190000,1,Pokémon
hgss4-21,Elekid,https://images.pokemontcg.io/hgss4/21_hires.png,Rare,3.060000,2.140000,Pokémon
hgss4-22,Golduck,https://images.pokemontcg.io/hgss4/22_hires.png,Rare,0.770000,1.420000,Pokémon
hgss4-23,Grumpig,https://images.pokemontcg.io/hgss4/23_hires.png,Rare,0.660000,0.410000,Pokémon
hgss4-24,Kricketune,https://images.pokemontcg.io/hgss4/24_hires.png,Rare,0.770000,0.810000,Pokémon
hgss4-25,Lunatone,https://images.pokemontcg.io/hgss4/25_hires.png,Rare,0.490000,0.350000,Pokémon
hgss4-26,Machamp,https://images.pokemontcg.io/hgss4/26_hires.png,Rare,0.640000,1.180000,Pokémon
hgss4-27,Magmortar,https://images.pokemontcg.io/hgss4/27_hires.png,Rare,1.680000,0.970000,Pokémon
hgss4-28,Nidoqueen,https://images.pokemontcg.io/hgss4/28_hires.png,Rare,1.480000,0.980000,Pokémon
hgss4-29,Pidgeot,https://images.pokemontcg.io/hgss4/29_hires.png,Rare,3.290000,2.270000,Pokémon
hgss4-30,Sharpedo,https://images.pokemontcg.io/hgss4/30_hires.png,Rare,0.830000,1.120000,Pokémon
hgss4-31,Wailord,https://images.pokemontcg.io/hgss4/31_hires.png,Rare,2.040000,1.310000,Pokémon
hgss4-32,Dragonair,https://images.pokemontcg.io/hgss4/32_hires.png,Uncommon,0.740000,0.950000,Pokémon
hgss4-33,Electabuzz,https://images.pokemontcg.io/hgss4/33_hires.png,Uncommon,0.520000,0.550000,Pokémon
hgss4-34,Electrode,https://images.pokemontcg.io/hgss4/34_hires.png,Uncommon,0.210000,0.270000,Pokémon
hgss4-35,Haunter,https://images.pokemontcg.io/hgss4/35_hires.png,Uncommon,2.300000,3.080000,Pokémon
