id,name,image,rarity,card_market_price,tcg_market_price,supertype
hgss2-1,Jirachi,https://images.pokemontcg.io/hgss2/1_hires.png,Rare Holo,7.740000,10.310000,Pokémon
hgss2-2,Magmortar,https://images.pokemontcg.io/hgss2/2_hires.png,Rare Holo,1.890000,2.230000,Pokémon
hgss2-3,Manaphy,https://images.pokemontcg.io/hgss2/3_hires.png,Rare Holo,3.640000,3.330000,Pokémon
hgss2-4,Metagross,https://images.pokemontcg.io/hgss2/4_hires.png,Rare Holo,4.340000,3.520000,Pokémon
hgss2-5,Mismagius,https://images.pokemontcg.io/hgss2/5_hires.png,Rare Holo,1.920000,3.310000,Pokémon
hgss2-6,Octillery,https://images.pokemontcg.io/hgss2/6_hires.png,Rare Holo,1.880000,1.960000,Pokémon
hgss2-7,Politoed,https://images.pokemontcg.io/hgss2/7_hires.png,Rare Holo,2.090000,6.050000,Pokémon
hgss2-8,Shaymin,https://images.pokemontcg.io/hgss2/8_hires.png,Rare Holo,2.650000,7.350000,Pokémon
hgss2-9,Sudowoodo,https://images.pokemontcg.io/hgss2/9_hires.png,Rare Holo,3.370000,3.600000,Pokémon
hgss2-10,Torterra,https://images.pokemontcg.io/hgss2/10_hires.png,Rare Holo,3.210000,7.350000,Pokémon
hgss2-11,Xatu,https://images.pokemontcg.io/hgss2/11_hires.png,Rare Holo,1.430000,1.810000,Pokémon
hgss2-12,Beedrill,https://images.pokemontcg.io/hgss2/12_hires.png,Rare,1,0.940000,Pokémon
hgss2-13,Blastoise,https://images.pokemontcg.io/hgss2/13_hires.png,Rare,4.290000,6.720000,Pokémon
hgss2-14,Crobat,https://images.pokemontcg.io/hgss2/14_hires.png,Rare,2.970000,0.920000,Pokémon
hgss2-15,Fearow,https://images.pokemontcg.io/hgss2/15_hires.png,Rare,0.600000,0.500000,Pokémon
hgss2-16,Floatzel,https://images.pokemontcg.io/hgss2/16_hires.png,Rare,0.880000,0.570000,Pokémon
hgss2-17,Kingdra,https://images.pokemontcg.io/hgss2/17_hires.png,Rare,1.130000,1.470000,Pokémon
hgss2-18,Lanturn,https://images.pokemontcg.io/hgss2/18_hires.png,Rare,1.110000,0.610000,Pokémon
hgss2-19,Lucario,https://images.pokemontcg.io/hgss2/19_hires.png,Rare,0.550000,1.750000,Pokémon
hgss2-20,Ninetales,https://images.pokemontcg.io/hgss2/20_hires.png,Rare,2.240000,2.750000,Pokémon
hgss2-21,Poliwrath,https://images.pokemontcg.io/hgss2/21_hires.png,Rare,1.010000,1.250000,Pokémon
hgss2-22,Primeape,https://images.pokemontcg.io/hgss2/22_hires.png,Rare,0.450000,0.900000,Pokémon
hgss2-23,Roserade,https://images.pokemontcg.io/hgss2/23_hires.png,Rare,0.400000,0.580000,Pokémon
hgss2-24,Steelix,https://images.pokemontcg.io/hgss2/24_hires.png,Rare,0.570000,1.350000,Pokémon
hgss2-25,Torkoal,https://images.pokemontcg.io/hgss2/25_hires.png,Rare,0.570000,0.590000,Pokémon
hgss2-26,Tyranitar,https://images.pokemontcg.io/hgss2/26_hires.png,Rare,1.540000,3.650000,Pokémon
hgss2-27,Ursaring,https://images.pokemontcg.io/hgss2/27_hires.png,Rare,0.640000,0.750000,Pokémon
hgss2-28,Cherrim,https://images.pokemontcg.io/hgss2/28_hires.png,Uncommon,0.180000,0.460000,Pokémon
hgss2-29,Dunsparce,https://images.pokemontcg.io/hgss2/29_hires.png,Uncommon,0.180000,0.350000,Pokémon
hgss2-30,Golbat,https://images.pokemontcg.io/hgss2/30_hires.png,Uncommon,0.340000,0.390000,Pokémon
hgss2-31,Grotle,https://images.pokemontcg.io/hgss2/31_hires.png,Uncommon,0.270000,0.370000,Pokémon
hgss2-32,Kakuna,https://images.pokemontcg.io/hgss2/32_hires.png,Uncommon,0.190000,0.380000,Pokémon
hgss2-33,Metang,https://images.pokemontcg.io/hgss2/33_hires.png,Uncommon,0.110000,0.310000,Pokémon
hgss2-34,Minun,https://images.pokemontcg.io/hgss2/34_hires.png,Uncommon,0.390000,0.460000,Pokémon
hgss2-35,Numel,https://images.pokemontcg.io/hgss2/35_hires.png,Uncommon,0.270000,0.240000,Pokémon
hgss2-36,Plusle,https://images.pokemontcg.io/hgss2/36_hires.png,Uncommon,0.320000,0.460000,Pokémon
hgss2-37,Poliwhirl,https://images.pokemontcg.io/hgss2/37_hires.png,Uncommon,0.570000,1.220000,Pokémon
hgss2-38,Pupitar,https://images.pokemontcg.io/hgss2/38_hires.png,Uncommon,0.160000,0.460000,Pokémon
hgss2-39,Pupitar,https://images.pokemontcg.io/hgss2/39_hires.png,Uncommon,0.260000,0.380000,Pokémon
hgss2-40,Seadra,https://images.pokemontcg.io/hgss2/40_hires.png,Uncommon,0.330000,0.500000,Pokémon
hgss2-41,Tauros,https://images.pokemontcg.io/hgss2/41_hires.png,Uncommon,0.430000,1.080000,Pokémon
hgss2-42,Wartortle,https://images.pokemontcg.io/hgss2/42_hires.png,Uncommon,0.560000,1.160000,Pokémon
hgss2-43,Aipom,https://images.pokemontcg.io/hgss2/43_hires.png,Common,0.160000,0.230000,Pokémon
hgss2-44,Beldum,https://images.pokemontcg.io/hgss2/44_hires.png,Common,0.100000,0.290000,Pokémon
hgss2-45,Buizel,https://images.pokemontcg.io/hgss2/45_hires.png,Common,0.180000,0.280000,Pokémon
hgss2-46,Carnivine,https://images.pokemontcg.io/hgss2/46_hires.png,Common,0.120000,0.240000,Pokémon
hgss2-47,Cherubi,https://images.pokemontcg.io/hgss2/47_hires.png,Common,0.090000,0.240000,Pokémon
hgss2-48,Chinchou,https://images.pokemontcg.io/hgss2/48_hires.png,Common,0.170000,0.280000,Pokémon
hgss2-49,Horsea,https://images.pokemontcg.io/hgss2/49_hires.png,Common,0.100000,0.390000,Pokémon
hgss2-50,Larvitar,https://images.pokemontcg.io/hgss2/50_hires.png,Common,0.170000,0.410000,Pokémon
hgss2-51,Larvitar,https://images.pokemontcg.io/hgss2/51_hires.png,Common,0.250000,0.310000,Pokémon
hgss2-52,Magmar,https://images.pokemontcg.io/hgss2/52_hires.png,Common,0.120000,0.370000,Pokémon
hgss2-53,Mankey,https://images.pokemontcg.io/hgss2/53_hires.png,Common,0.120000,0.330000,Pokémon
hgss2-54,Misdreavus,https://images.pokemontcg.io/hgss2/54_hires.png,Common,0.100000,0.290000,Pokémon
hgss2-55,Natu,https://images.pokemontcg.io/hgss2/55_hires.png,Common,0.130000,0.280000,Pokémon
hgss2-56,Onix,https://images.pokemontcg.io/hgss2/56_hires.png,Common,0.130000,0.260000,Pokémon
