id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv9-1,Caterpie,https://images.pokemontcg.io/sv9/1_hires.png,Common,0.030000,0.030000,Pokémon
sv9-2,Metapod,https://images.pokemontcg.io/sv9/2_hires.png,Common,0.040000,0.110000,Pokémon
sv9-3,Butterfree,https://images.pokemontcg.io/sv9/3_hires.png,Rare,0.050000,0.130000,Pokémon
sv9-4,Paras,https://images.pokemontcg.io/sv9/4_hires.png,Common,0.030000,0.040000,Pokémon
sv9-5,Parasect,https://images.pokemontcg.io/sv9/5_hires.png,Common,0.040000,0.050000,Pokémon
sv9-6,Petilil,https://images.pokemontcg.io/sv9/6_hires.png,Common,0.030000,0.050000,Pokémon
sv9-7,Lilligant,https://images.pokemontcg.io/sv9/7_hires.png,Common,0.050000,0.100000,Pokémon
sv9-8,Maractus,https://images.pokemontcg.io/sv9/8_hires.png,Uncommon,0.060000,0.090000,Pokémon
sv9-9,Karrablast,https://images.pokemontcg.io/sv9/9_hires.png,Common,0.030000,0.070000,Pokémon
sv9-10,Foongus,https://images.pokemontcg.io/sv9/10_hires.png,Common,0.030000,0.050000,Pokémon
sv9-11,Amoonguss ex,https://images.pokemontcg.io/sv9/11_hires.png,Double Rare,0.450000,0.560000,Pokémon
sv9-12,Shelmet,https://images.pokemontcg.io/sv9/12_hires.png,Common,0.030000,0.040000,Pokémon
sv9-13,Accelgor,https://images.pokemontcg.io/sv9/13_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv9-14,Durant,https://images.pokemontcg.io/sv9/14_hires.png,Common,0.030000,0.060000,Pokémon
sv9-15,Virizion,https://images.pokemontcg.io/sv9/15_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv9-16,Sprigatito,https://images.pokemontcg.io/sv9/16_hires.png,Common,0.030000,0.070000,Pokémon
sv9-17,Floragato,https://images.pokemontcg.io/sv9/17_hires.png,Common,0.040000,0.080000,Pokémon
sv9-18,Meowscarada,https://images.pokemontcg.io/sv9/18_hires.png,Rare,0.060000,0.170000,Pokémon
sv9-19,Nymble,https://images.pokemontcg.io/sv9/19_hires.png,Common,0.030000,0.030000,Pokémon
sv9-20,Magmar,https://images.pokemontcg.io/sv9/20_hires.png,Common,0.030000,0.050000,Pokémon
sv9-21,Magmortar,https://images.pokemontcg.io/sv9/21_hires.png,Rare,0.060000,0.160000,Pokémon
sv9-22,Torchic,https://images.pokemontcg.io/sv9/22_hires.png,Common,0.040000,0.080000,Pokémon
sv9-23,Combusken,https://images.pokemontcg.io/sv9/23_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv9-24,Blaziken ex,https://images.pokemontcg.io/sv9/24_hires.png,Double Rare,1.390000,1.600000,Pokémon
sv9-25,Torkoal,https://images.pokemontcg.io/sv9/25_hires.png,Common,0.030000,0.090000,Pokémon
sv9-26,N's Darumaka,https://images.pokemontcg.io/sv9/26_hires.png,Common,0.040000,0.080000,Pokémon
sv9-27,N's Darmanitan,https://images.pokemontcg.io/sv9/27_hires.png,Uncommon,0.040000,0.120000,Pokémon
sv9-28,Larvesta,https://images.pokemontcg.io/sv9/28_hires.png,Common,0.030000,0.060000,Pokémon
sv9-29,Volcarona,https://images.pokemontcg.io/sv9/29_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv9-30,Reshiram ex,https://images.pokemontcg.io/sv9/30_hires.png,Double Rare,0.760000,0.650000,Pokémon
sv9-31,Volcanion ex,https://images.pokemontcg.io/sv9/31_hires.png,Double Rare,0.700000,0.600000,Pokémon
sv9-32,Articuno,https://images.pokemontcg.io/sv9/32_hires.png,Uncommon,0.030000,0.100000,Pokémon
sv9-33,Remoraid,https://images.pokemontcg.io/sv9/33_hires.png,Common,0.030000,0.050000,Pokémon
sv9-34,Octillery,https://images.pokemontcg.io/sv9/34_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv9-35,Lotad,https://images.pokemontcg.io/sv9/35_hires.png,Common,0.030000,0.070000,Pokémon
sv9-36,Lombre,https://images.pokemontcg.io/sv9/36_hires.png,Common,0.040000,0.100000,Pokémon
sv9-37,Ludicolo,https://images.pokemontcg.io/sv9/37_hires.png,Rare,0.060000,0.130000,Pokémon
sv9-38,Wingull,https://images.pokemontcg.io/sv9/38_hires.png,Common,0.030000,0.050000,Pokémon
sv9-39,Pelipper,https://images.pokemontcg.io/sv9/39_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv9-40,Wailmer,https://images.pokemontcg.io/sv9/40_hires.png,Common,0.030000,0.070000,Pokémon
sv9-41,Wailord,https://images.pokemontcg.io/sv9/41_hires.png,Rare,0.060000,0.140000,Pokémon
sv9-42,Regice,https://images.pokemontcg.io/sv9/42_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv9-43,Veluza ex,https://images.pokemontcg.io/sv9/43_hires.png,Double Rare,0.440000,0.480000,Pokémon
sv9-44,Alolan Geodude,https://images.pokemontcg.io/sv9/44_hires.png,Common,0.030000,0.050000,Pokémon
sv9-45,Alolan Graveler,https://images.pokemontcg.io/sv9/45_hires.png,Common,0.040000,0.070000,Pokémon
sv9-46,Alolan Golem,https://images.pokemontcg.io/sv9/46_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv9-47,Iono's Voltorb,https://images.pokemontcg.io/sv9/47_hires.png,Common,0.070000,0.110000,Pokémon
sv9-48,Iono's Electrode,https://images.pokemontcg.io/sv9/48_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv9-49,N's Joltik,https://images.pokemontcg.io/sv9/49_hires.png,Common,0.030000,0.070000,Pokémon
sv9-50,Togedemaru,https://images.pokemontcg.io/sv9/50_hires.png,Common,0.030000,0.050000,Pokémon
sv9-51,Tapu Koko ex,https://images.pokemontcg.io/sv9/51_hires.png,Double Rare,0.530000,0.550000,Pokémon
sv9-52,Iono's Tadbulb,https://images.pokemontcg.io/sv9/52_hires.png,Common,0.060000,0.130000,Pokémon
sv9-53,Iono's Bellibolt ex,https://images.pokemontcg.io/sv9/53_hires.png,Double Rare,0.680000,0.580000,Pokémon
sv9-54,Iono's Wattrel,https://images.pokemontcg.io/sv9/54_hires.png,Common,0.060000,0.100000,Pokémon
sv9-55,Iono's Kilowattrel,https://images.pokemontcg.io/sv9/55_hires.png,Rare,0.080000,0.110000,Pokémon
sv9-56,Lillie's Clefairy ex,https://images.pokemontcg.io/sv9/56_hires.png,Double Rare,2.550000,2.690000,Pokémon
sv9-57,Alolan Marowak,https://images.pokemontcg.io/sv9/57_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv9-58,Mr. Mime,https://images.pokemontcg.io/sv9/58_hires.png,Common,0.030000,0.070000,Pokémon
sv9-59,Shuppet,https://images.pokemontcg.io/sv9/59_hires.png,Common,0.040000,0.090000,Pokémon
sv9-60,Banette,https://images.pokemontcg.io/sv9/60_hires.png,Uncommon,0.030000,0.100000,Pokémon
sv9-61,Beldum,https://images.pokemontcg.io/sv9/61_hires.png,Common,0.030000,0.050000,Pokémon
sv9-62,Metang,https://images.pokemontcg.io/sv9/62_hires.png,Common,0.040000,0.060000,Pokémon
sv9-63,Metagross,https://images.pokemontcg.io/sv9/63_hires.png,Rare,0.060000,0.120000,Pokémon
sv9-64,N's Sigilyph,https://images.pokemontcg.io/sv9/64_hires.png,Common,0.030000,0.060000,Pokémon
sv9-65,Oricorio,https://images.pokemontcg.io/sv9/65_hires.png,Common,0.030000,0.070000,Pokémon
sv9-66,Lillie's Cutiefly,https://images.pokemontcg.io/sv9/66_hires.png,Common,0.040000,0.080000,Pokémon
sv9-67,Lillie's Ribombee,https://images.pokemontcg.io/sv9/67_hires.png,Rare,0.060000,0.130000,Pokémon
sv9-68,Lillie's Comfey,https://images.pokemontcg.io/sv9/68_hires.png,Common,0.040000,0.070000,Pokémon
sv9-69,Mimikyu ex,https://images.pokemontcg.io/sv9/69_hires.png,Double Rare,0.660000,0.770000,Pokémon
sv9-70,Dhelmise,https://images.pokemontcg.io/sv9/70_hires.png,Common,0.040000,0.060000,Pokémon
sv9-71,Impidimp,https://images.pokemontcg.io/sv9/71_hires.png,Common,0.020000,0.050000,Pokémon
sv9-72,Morgrem,https://images.pokemontcg.io/sv9/72_hires.png,Common,0.040000,0.050000,Pokémon
sv9-73,Grimmsnarl,https://images.pokemontcg.io/sv9/73_hires.png,Uncommon,0.020000,0.070000,Pokémon
sv9-74,Milcery,https://images.pokemontcg.io/sv9/74_hires.png,Common,0.030000,0.060000,Pokémon
sv9-75,Alcremie ex,https://images.pokemontcg.io/sv9/75_hires.png,Double Rare,0.630000,0.670000,Pokémon
sv9-76,Cubone,https://images.pokemontcg.io/sv9/76_hires.png,Common,0.030000,0.050000,Pokémon
