id,name,image,rarity,card_market_price,tcg_market_price,supertype
base2-1,Clefable,https://images.pokemontcg.io/base2/1_hires.png,Rare Holo,99,25.610000,Pokémon
base2-2,Electrode,https://images.pokemontcg.io/base2/2_hires.png,Rare Holo,15.430000,21.500000,Pokémon
base2-3,Flareon,https://images.pokemontcg.io/base2/3_hires.png,Rare Holo,39.370000,64.970000,Pokémon
base2-4,Jolteon,https://images.pokemontcg.io/base2/4_hires.png,Rare Holo,52.580000,68.240000,Pokémon
base2-5,Kangaskhan,https://images.pokemontcg.io/base2/5_hires.png,Rare Holo,5.630000,11.130000,Pokémon
base2-6,Mr. Mime,https://images.pokemontcg.io/base2/6_hires.png,Rare Holo,17.190000,26.460000,Pokémon
base2-7,Nidoqueen,https://images.pokemontcg.io/base2/7_hires.png,Rare Holo,22.610000,23.610000,Pokémon
base2-8,Pidgeot,https://images.pokemontcg.io/base2/8_hires.png,Rare Holo,25.330000,30.630000,Pokémon
base2-9,Pinsir,https://images.pokemontcg.io/base2/9_hires.png,Rare Holo,19.250000,27.150000,Pokémon
base2-10,Scyther,https://images.pokemontcg.io/base2/10_hires.png,Rare Holo,25.670000,39.870000,Pokémon
base2-11,Snorlax,https://images.pokemontcg.io/base2/11_hires.png,Rare Holo,45.270000,73.400000,Pokémon
base2-12,Vaporeon,https://images.pokemontcg.io/base2/12_hires.png,Rare Holo,12.990000,25.190000,Pokémon
base2-13,Venomoth,https://images.pokemontcg.io/base2/13_hires.png,Rare Holo,16.050000,19.820000,Pokémon
base2-14,Victreebel,https://images.pokemontcg.io/base2/14_hires.png,Rare Holo,19.780000,23.640000,Pokémon
base2-15,Vileplume,https://images.pokemontcg.io/base2/15_hires.png,Rare Holo,15.750000,24.650000,Pokémon
base2-16,Wigglytuff,https://images.pokemontcg.io/base2/16_hires.png,Rare Holo,20.190000,33.440000,Pokémon
base2-17,Clefable,https://images.pokemontcg.io/base2/17_hires.png,Rare,3.770000,3.710000,Pokémon
base2-18,Electrode,https://images.pokemontcg.io/base2/18_hires.png,Rare,3.990000,4.990000,Pokémon
base2-19,Flareon,https://images.pokemontcg.io/base2/19_hires.png,Rare,8.070000,8.500000,Pokémon
base2-20,Jolteon,https://images.pokemontcg.io/base2/20_hires.png,Rare,9.400000,13.510000,Pokémon
base2-21,Kangaskhan,https://images.pokemontcg.io/base2/21_hires.png,Rare,4.800000,3.950000,Pokémon
base2-22,Mr. Mime,https://images.pokemontcg.io/base2/22_hires.png,Rare,4.900000,7.650000,Pokémon
base2-23,Nidoqueen,https://images.pokemontcg.io/base2/23_hires.png,Rare,4.630000,5.990000,Pokémon
base2-24,Pidgeot,https://images.pokemontcg.io/base2/24_hires.png,Rare,6.070000,4.680000,Pokémon
base2-25,Pinsir,https://images.pokemontcg.io/base2/25_hires.png,Rare,4.200000,3.900000,Pokémon
base2-26,Scyther,https://images.pokemontcg.io/base2/26_hires.png,Rare,7.350000,12.300000,Pokémon
base2-27,Snorlax,https://images.pokemontcg.io/base2/27_hires.png,Rare,8.080000,8.960000,Pokémon
base2-28,Vaporeon,https://images.pokemontcg.io/base2/28_hires.png,Rare,8.450000,7.070000,Pokémon
base2-29,Venomoth,https://images.pokemontcg.io/base2/29_hires.png,Rare,3.370000,3.120000,Pokémon
