id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex12-1,Aerodactyl,https://images.pokemontcg.io/ex12/1_hires.png,Rare Holo,7.450000,34.740000,Pokémon
ex12-2,Aggron,https://images.pokemontcg.io/ex12/2_hires.png,Rare Holo,4.260000,15.550000,Pokémon
ex12-3,Cradily,https://images.pokemontcg.io/ex12/3_hires.png,Rare Holo,3.340000,6.530000,Pokémon
ex12-4,Delcatty,https://images.pokemontcg.io/ex12/4_hires.png,Rare Holo,5.270000,8.100000,Pokémon
ex12-5,Gengar,https://images.pokemontcg.io/ex12/5_hires.png,Rare Holo,9.790000,61.660000,Pokémon
ex12-6,Golem,https://images.pokemontcg.io/ex12/6_hires.png,Rare Holo,0,6.850000,Pokémon
ex12-7,Kabutops,https://images.pokemontcg.io/ex12/7_hires.png,Rare Holo,8.440000,19.730000,Pokémon
ex12-8,Lapras,https://images.pokemontcg.io/ex12/8_hires.png,Rare Holo,8.650000,30.640000,Pokémon
ex12-9,Machamp,https://images.pokemontcg.io/ex12/9_hires.png,Rare Holo,6.070000,17.130000,Pokémon
ex12-10,Mew,https://images.pokemontcg.io/ex12/10_hires.png,Rare Holo,22,64.250000,Pokémon
ex12-11,Muk,https://images.pokemontcg.io/ex12/11_hires.png,Rare Holo,3.590000,8.210000,Pokémon
ex12-12,Shiftry,https://images.pokemontcg.io/ex12/12_hires.png,Rare Holo,3.400000,7.490000,Pokémon
ex12-13,Victreebel,https://images.pokemontcg.io/ex12/13_hires.png,Rare Holo,5.950000,11.330000,Pokémon
ex12-14,Wailord,https://images.pokemontcg.io/ex12/14_hires.png,Rare Holo,7.310000,15.680000,Pokémon
ex12-15,Absol,https://images.pokemontcg.io/ex12/15_hires.png,Rare,1.370000,3.150000,Pokémon
ex12-16,Girafarig,https://images.pokemontcg.io/ex12/16_hires.png,Rare,3.230000,2.670000,Pokémon
ex12-17,Gorebyss,https://images.pokemontcg.io/ex12/17_hires.png,Rare,0.360000,0.590000,Pokémon
ex12-18,Huntail,https://images.pokemontcg.io/ex12/18_hires.png,Rare,0.920000,1.090000,Pokémon
ex12-19,Lanturn,https://images.pokemontcg.io/ex12/19_hires.png,Rare,1.580000,0.740000,Pokémon
ex12-20,Lunatone,https://images.pokemontcg.io/ex12/20_hires.png,Rare,1.210000,1.950000,Pokémon
ex12-21,Magmar,https://images.pokemontcg.io/ex12/21_hires.png,Rare,3.880000,1.580000,Pokémon
