id,name,image,rarity,card_market_price,tcg_market_price,supertype
base6-1,Alakazam,https://images.pokemontcg.io/base6/1_hires.png,Rare Holo,9.500000,52.620000,Pokémon
base6-2,Articuno,https://images.pokemontcg.io/base6/2_hires.png,Rare Holo,14.600000,37.250000,Pokémon
base6-3,Charizard,https://images.pokemontcg.io/base6/3_hires.png,Rare Holo,218.750000,282.200000,Pokémon
base6-4,Dark Blastoise,https://images.pokemontcg.io/base6/4_hires.png,Rare Holo,22.600000,104.660000,Pokémon
base6-5,Dark Dragonite,https://images.pokemontcg.io/base6/5_hires.png,Rare Holo,54.720000,198,Pokémon
base6-6,Dark Persian,https://images.pokemontcg.io/base6/6_hires.png,Rare Holo,14.790000,38.040000,Pokémon
base6-7,Dark Raichu,https://images.pokemontcg.io/base6/7_hires.png,Rare Holo,23.320000,57.220000,Pokémon
base6-8,Dark Slowbro,https://images.pokemontcg.io/base6/8_hires.png,Rare Holo,5.630000,33.960000,Pokémon
base6-9,Dark Vaporeon,https://images.pokemontcg.io/base6/9_hires.png,Rare Holo,41.940000,88.860000,Pokémon
base6-10,Flareon,https://images.pokemontcg.io/base6/10_hires.png,Rare Holo,22,41.280000,Pokémon
base6-11,Gengar,https://images.pokemontcg.io/base6/11_hires.png,Rare Holo,28.950000,144.640000,Pokémon
base6-12,Gyarados,https://images.pokemontcg.io/base6/12_hires.png,Rare Holo,7.500000,48.480000,Pokémon
base6-13,Hitmonlee,https://images.pokemontcg.io/base6/13_hires.png,Rare Holo,8.190000,33.560000,Pokémon
base6-14,Jolteon,https://images.pokemontcg.io/base6/14_hires.png,Rare Holo,17.300000,54.670000,Pokémon
base6-15,Machamp,https://images.pokemontcg.io/base6/15_hires.png,Rare Holo,9.240000,41.760000,Pokémon
base6-16,Muk,https://images.pokemontcg.io/base6/16_hires.png,Rare Holo,4.230000,17.380000,Pokémon
base6-17,Ninetales,https://images.pokemontcg.io/base6/17_hires.png,Rare Holo,22.710000,45.280000,Pokémon
base6-18,Venusaur,https://images.pokemontcg.io/base6/18_hires.png,Rare Holo,33.240000,84.980000,Pokémon
base6-19,Zapdos,https://images.pokemontcg.io/base6/19_hires.png,Rare Holo,15.930000,34.320000,Pokémon
base6-20,Beedrill,https://images.pokemontcg.io/base6/20_hires.png,Rare,1.470000,4.050000,Pokémon
base6-21,Butterfree,https://images.pokemontcg.io/base6/21_hires.png,Rare,3.510000,4.370000,Pokémon
base6-22,Electrode,https://images.pokemontcg.io/base6/22_hires.png,Rare,2.060000,2.620000,Pokémon
base6-23,Exeggutor,https://images.pokemontcg.io/base6/23_hires.png,Rare,1.710000,3.590000,Pokémon
base6-24,Golem,https://images.pokemontcg.io/base6/24_hires.png,Rare,0,3.360000,Pokémon
base6-25,Hypno,https://images.pokemontcg.io/base6/25_hires.png,Rare,2.170000,4.950000,Pokémon
base6-26,Jynx,https://images.pokemontcg.io/base6/26_hires.png,Rare,1.360000,4.370000,Pokémon
base6-27,Kabutops,https://images.pokemontcg.io/base6/27_hires.png,Rare,2.900000,5.290000,Pokémon
base6-28,Magneton,https://images.pokemontcg.io/base6/28_hires.png,Rare,8.090000,2.520000,Pokémon
base6-29,Mewtwo,https://images.pokemontcg.io/base6/29_hires.png,Rare,17.530000,29.180000,Pokémon
base6-30,Moltres,https://images.pokemontcg.io/base6/30_hires.png,Rare,4.350000,9.380000,Pokémon
base6-31,Nidoking,https://images.pokemontcg.io/base6/31_hires.png,Rare,3.920000,9.690000,Pokémon
base6-32,Nidoqueen,https://images.pokemontcg.io/base6/32_hires.png,Rare,1.920000,5.820000,Pokémon
base6-33,Pidgeot,https://images.pokemontcg.io/base6/33_hires.png,Rare,5.610000,4.500000,Pokémon
base6-34,Pidgeotto,https://images.pokemontcg.io/base6/34_hires.png,Rare,2.180000,6.100000,Pokémon
base6-35,Rhydon,https://images.pokemontcg.io/base6/35_hires.png,Rare,7.640000,4.300000,Pokémon
base6-36,Arcanine,https://images.pokemontcg.io/base6/36_hires.png,Uncommon,1.400000,3.880000,Pokémon
