id,name,image,rarity,card_market_price,tcg_market_price,supertype
dp6-1,Deoxys Normal Forme,https://images.pokemontcg.io/dp6/1_hires.png,Rare Holo,6.010000,11.410000,Pokémon
dp6-2,Dragonite,https://images.pokemontcg.io/dp6/2_hires.png,Rare Holo,22.580000,39.970000,Pokémon
dp6-3,Froslass,https://images.pokemontcg.io/dp6/3_hires.png,Rare Holo,1.880000,6.650000,Pokémon
dp6-4,Giratina,https://images.pokemontcg.io/dp6/4_hires.png,Rare Holo,4.230000,19.630000,Pokémon
dp6-5,Gliscor,https://images.pokemontcg.io/dp6/5_hires.png,Rare Holo,1.230000,8.960000,Pokémon
dp6-6,Heatran,https://images.pokemontcg.io/dp6/6_hires.png,Rare Holo,3.250000,6.610000,Pokémon
dp6-7,Kingdra,https://images.pokemontcg.io/dp6/7_hires.png,Rare Holo,4.600000,6.860000,Pokémon
dp6-8,Luxray,https://images.pokemontcg.io/dp6/8_hires.png,Rare Holo,4.560000,9.510000,Pokémon
dp6-9,Mamoswine,https://images.pokemontcg.io/dp6/9_hires.png,Rare Holo,1.480000,5.740000,Pokémon
dp6-10,Metagross,https://images.pokemontcg.io/dp6/10_hires.png,Rare Holo,1.480000,9.850000,Pokémon
dp6-11,Mewtwo,https://images.pokemontcg.io/dp6/11_hires.png,Rare Holo,13.210000,45.800000,Pokémon
dp6-12,Politoed,https://images.pokemontcg.io/dp6/12_hires.png,Rare Holo,4.120000,14.010000,Pokémon
dp6-13,Probopass,https://images.pokemontcg.io/dp6/13_hires.png,Rare Holo,3.010000,2.060000,Pokémon
dp6-14,Rayquaza,https://images.pokemontcg.io/dp6/14_hires.png,Rare Holo,13.190000,52.440000,Pokémon
dp6-15,Regigigas,https://images.pokemontcg.io/dp6/15_hires.png,Rare Holo,3.320000,5.680000,Pokémon
dp6-16,Spiritomb,https://images.pokemontcg.io/dp6/16_hires.png,Rare Holo,2.570000,6.590000,Pokémon
dp6-17,Yanmega,https://images.pokemontcg.io/dp6/17_hires.png,Rare Holo,0.900000,4.480000,Pokémon
dp6-18,Armaldo,https://images.pokemontcg.io/dp6/18_hires.png,Rare,0.910000,1.960000,Pokémon
dp6-19,Azelf,https://images.pokemontcg.io/dp6/19_hires.png,Rare,1.880000,9.840000,Pokémon
dp6-20,Bellossom,https://images.pokemontcg.io/dp6/20_hires.png,Rare,1.080000,1.780000,Pokémon
dp6-21,Cradily,https://images.pokemontcg.io/dp6/21_hires.png,Rare,1.570000,2.940000,Pokémon
dp6-22,Crawdaunt,https://images.pokemontcg.io/dp6/22_hires.png,Rare,0.510000,1.310000,Pokémon
dp6-23,Delcatty,https://images.pokemontcg.io/dp6/23_hires.png,Rare,0.480000,1.420000,Pokémon
dp6-24,Deoxys Attack Forme,https://images.pokemontcg.io/dp6/24_hires.png,Rare,1.860000,4.170000,Pokémon
dp6-25,Deoxys Defense Forme,https://images.pokemontcg.io/dp6/25_hires.png,Rare,1.130000,4.130000,Pokémon
dp6-26,Deoxys Speed Forme,https://images.pokemontcg.io/dp6/26_hires.png,Rare,1.750000,5.090000,Pokémon
dp6-27,Ditto,https://images.pokemontcg.io/dp6/27_hires.png,Rare,4.730000,8.030000,Pokémon
dp6-28,Forretress,https://images.pokemontcg.io/dp6/28_hires.png,Rare,0.500000,1.990000,Pokémon
dp6-29,Groudon,https://images.pokemontcg.io/dp6/29_hires.png,Rare,1.520000,6.050000,Pokémon
dp6-30,Heatran,https://images.pokemontcg.io/dp6/30_hires.png,Rare,9,1.490000,Pokémon
dp6-31,Jirachi,https://images.pokemontcg.io/dp6/31_hires.png,Rare,1.250000,7.760000,Pokémon
dp6-32,Kyogre,https://images.pokemontcg.io/dp6/32_hires.png,Rare,3.610000,4.930000,Pokémon
dp6-33,Lopunny,https://images.pokemontcg.io/dp6/33_hires.png,Rare,0.980000,1.500000,Pokémon
dp6-34,Mesprit,https://images.pokemontcg.io/dp6/34_hires.png,Rare,3.360000,6.880000,Pokémon
dp6-35,Poliwrath,https://images.pokemontcg.io/dp6/35_hires.png,Rare,1.070000,1.340000,Pokémon
dp6-36,Regice,https://images.pokemontcg.io/dp6/36_hires.png,Rare,1.310000,5.620000,Pokémon
dp6-37,Regigigas,https://images.pokemontcg.io/dp6/37_hires.png,Rare,1.510000,1.650000,Pokémon
dp6-38,Regirock,https://images.pokemontcg.io/dp6/38_hires.png,Rare,1.830000,2.290000,Pokémon
dp6-39,Registeel,https://images.pokemontcg.io/dp6/39_hires.png,Rare,0.800000,1.440000,Pokémon
dp6-40,Shedinja,https://images.pokemontcg.io/dp6/40_hires.png,Rare,1.580000,2.310000,Pokémon
dp6-41,Torkoal,https://images.pokemontcg.io/dp6/41_hires.png,Rare,0.710000,1.880000,Pokémon
dp6-42,Unown [!],https://images.pokemontcg.io/dp6/42_hires.png,Rare,4.590000,11.780000,Pokémon
dp6-43,Uxie,https://images.pokemontcg.io/dp6/43_hires.png,Rare,5.740000,12.590000,Pokémon
dp6-44,Victreebel,https://images.pokemontcg.io/dp6/44_hires.png,Rare,1.020000,1.080000,Pokémon
dp6-45,Vileplume,https://images.pokemontcg.io/dp6/45_hires.png,Rare,1.160000,1.830000,Pokémon
dp6-46,Anorith,https://images.pokemontcg.io/dp6/46_hires.png,Uncommon,0.290000,0.510000,Pokémon
dp6-47,Camerupt,https://images.pokemontcg.io/dp6/47_hires.png,Uncommon,0.430000,0.350000,Pokémon
dp6-48,Castform,https://images.pokemontcg.io/dp6/48_hires.png,Uncommon,0.350000,1.360000,Pokémon
dp6-49,Castform Rain Form,https://images.pokemontcg.io/dp6/49_hires.png,Uncommon,0.560000,2.030000,Pokémon
dp6-50,Castform Snow-Cloud Form,https://images.pokemontcg.io/dp6/50_hires.png,Uncommon,0.490000,2.690000,Pokémon
dp6-51,Castform Sunny Form,https://images.pokemontcg.io/dp6/51_hires.png,Uncommon,0.660000,2,Pokémon
dp6-52,Dragonair,https://images.pokemontcg.io/dp6/52_hires.png,Uncommon,44,4.640000,Pokémon
dp6-53,Drifblim,https://images.pokemontcg.io/dp6/53_hires.png,Uncommon,0.250000,0.340000,Pokémon
dp6-54,Exeggutor,https://images.pokemontcg.io/dp6/54_hires.png,Uncommon,0.430000,0.290000,Pokémon
dp6-55,Gliscor,https://images.pokemontcg.io/dp6/55_hires.png,Uncommon,0.350000,0.470000,Pokémon
dp6-56,Grumpig,https://images.pokemontcg.io/dp6/56_hires.png,Uncommon,0.170000,0.440000,Pokémon
dp6-57,Houndoom,https://images.pokemontcg.io/dp6/57_hires.png,Uncommon,1.190000,1.480000,Pokémon
dp6-58,Lanturn,https://images.pokemontcg.io/dp6/58_hires.png,Uncommon,0.560000,0.950000,Pokémon
dp6-59,Lanturn,https://images.pokemontcg.io/dp6/59_hires.png,Uncommon,0.370000,0.820000,Pokémon
dp6-60,Ledian,https://images.pokemontcg.io/dp6/60_hires.png,Uncommon,0.180000,0.240000,Pokémon
dp6-61,Lucario,https://images.pokemontcg.io/dp6/61_hires.png,Uncommon,1.260000,2.560000,Pokémon
dp6-62,Luxio,https://images.pokemontcg.io/dp6/62_hires.png,Uncommon,0.290000,0.990000,Pokémon
dp6-63,Marowak,https://images.pokemontcg.io/dp6/63_hires.png,Uncommon,0.250000,0.450000,Pokémon
dp6-64,Metang,https://images.pokemontcg.io/dp6/64_hires.png,Uncommon,0.650000,0.700000,Pokémon
dp6-65,Metang,https://images.pokemontcg.io/dp6/65_hires.png,Uncommon,0.310000,0.420000,Pokémon
dp6-66,Mightyena,https://images.pokemontcg.io/dp6/66_hires.png,Uncommon,0.350000,0.860000,Pokémon
dp6-67,Ninjask,https://images.pokemontcg.io/dp6/67_hires.png,Uncommon,0.240000,0.750000,Pokémon
dp6-68,Persian,https://images.pokemontcg.io/dp6/68_hires.png,Uncommon,0.460000,0.400000,Pokémon
dp6-69,Piloswine,https://images.pokemontcg.io/dp6/69_hires.png,Uncommon,0.190000,0.300000,Pokémon
dp6-70,Seadra,https://images.pokemontcg.io/dp6/70_hires.png,Uncommon,0.390000,0,Pokémon
dp6-71,Starmie,https://images.pokemontcg.io/dp6/71_hires.png,Uncommon,0.260000,1.250000,Pokémon
dp6-72,Swalot,https://images.pokemontcg.io/dp6/72_hires.png,Uncommon,0.370000,1.390000,Pokémon
dp6-73,Swellow,https://images.pokemontcg.io/dp6/73_hires.png,Uncommon,0.290000,0.480000,Pokémon
dp6-74,Tauros,https://images.pokemontcg.io/dp6/74_hires.png,Uncommon,0.420000,0.550000,Pokémon
dp6-75,Tentacruel,https://images.pokemontcg.io/dp6/75_hires.png,Uncommon,0.510000,0.230000,Pokémon
dp6-76,Unown [J],https://images.pokemontcg.io/dp6/76_hires.png,Uncommon,0.410000,1.220000,Pokémon
dp6-77,Unown [R],https://images.pokemontcg.io/dp6/77_hires.png,Uncommon,1.770000,5.410000,Pokémon
dp6-78,Unown [U],https://images.pokemontcg.io/dp6/78_hires.png,Uncommon,0.430000,1.210000,Pokémon
dp6-79,Unown [V],https://images.pokemontcg.io/dp6/79_hires.png,Uncommon,0.450000,0.940000,Pokémon
dp6-80,Unown [W],https://images.pokemontcg.io/dp6/80_hires.png,Uncommon,0.670000,1.290000,Pokémon
dp6-81,Unown [Y],https://images.pokemontcg.io/dp6/81_hires.png,Uncommon,0.500000,1.060000,Pokémon
dp6-82,Unown [?],https://images.pokemontcg.io/dp6/82_hires.png,Uncommon,0.840000,2.860000,Pokémon
dp6-83,Beldum,https://images.pokemontcg.io/dp6/83_hires.png,Common,0.320000,0.480000,Pokémon
dp6-84,Beldum,https://images.pokemontcg.io/dp6/84_hires.png,Common,0.120000,0.250000,Pokémon
dp6-85,Bellsprout,https://images.pokemontcg.io/dp6/85_hires.png,Common,0.180000,0.540000,Pokémon
dp6-86,Buneary,https://images.pokemontcg.io/dp6/86_hires.png,Common,0.150000,0.290000,Pokémon
dp6-87,Chinchou,https://images.pokemontcg.io/dp6/87_hires.png,Common,0.190000,0.390000,Pokémon
dp6-88,Chinchou,https://images.pokemontcg.io/dp6/88_hires.png,Common,0.320000,0.390000,Pokémon
dp6-89,Corphish,https://images.pokemontcg.io/dp6/89_hires.png,Common,0.130000,0.330000,Pokémon
dp6-90,Cubone,https://images.pokemontcg.io/dp6/90_hires.png,Common,0.130000,0.700000,Pokémon
dp6-91,Dratini,https://images.pokemontcg.io/dp6/91_hires.png,Common,0.600000,1.540000,Pokémon
dp6-92,Drifloon,https://images.pokemontcg.io/dp6/92_hires.png,Common,0.220000,0.340000,Pokémon
dp6-93,Exeggcute,https://images.pokemontcg.io/dp6/93_hires.png,Common,0.150000,0.320000,Pokémon
dp6-94,Gligar,https://images.pokemontcg.io/dp6/94_hires.png,Common,0.170000,0.250000,Pokémon
dp6-95,Gligar,https://images.pokemontcg.io/dp6/95_hires.png,Common,0.280000,0.380000,Pokémon
dp6-96,Gloom,https://images.pokemontcg.io/dp6/96_hires.png,Common,0.230000,0.910000,Pokémon
dp6-97,Gloom,https://images.pokemontcg.io/dp6/97_hires.png,Common,0.330000,0.540000,Pokémon
dp6-98,Gulpin,https://images.pokemontcg.io/dp6/98_hires.png,Common,0.140000,0.280000,Pokémon
dp6-99,Hitmonchan,https://images.pokemontcg.io/dp6/99_hires.png,Common,0.310000,0.910000,Pokémon
dp6-100,Hitmonlee,https://images.pokemontcg.io/dp6/100_hires.png,Common,0.370000,0.490000,Pokémon
dp6-101,Hitmontop,https://images.pokemontcg.io/dp6/101_hires.png,Common,0.380000,0.570000,Pokémon
dp6-102,Horsea,https://images.pokemontcg.io/dp6/102_hires.png,Common,0.160000,0.470000,Pokémon
dp6-103,Houndour,https://images.pokemontcg.io/dp6/103_hires.png,Common,0.270000,0.460000,Pokémon
dp6-104,Ledyba,https://images.pokemontcg.io/dp6/104_hires.png,Common,0.100000,0.240000,Pokémon
dp6-105,Lileep,https://images.pokemontcg.io/dp6/105_hires.png,Common,0.380000,0.620000,Pokémon
dp6-106,Meowth,https://images.pokemontcg.io/dp6/106_hires.png,Common,0.110000,0.390000,Pokémon
dp6-107,Misdreavus,https://images.pokemontcg.io/dp6/107_hires.png,Common,0.280000,0.360000,Pokémon
dp6-108,Nincada,https://images.pokemontcg.io/dp6/108_hires.png,Common,0.160000,0.230000,Pokémon
dp6-109,Nosepass,https://images.pokemontcg.io/dp6/109_hires.png,Common,0.100000,0.220000,Pokémon
dp6-110,Numel,https://images.pokemontcg.io/dp6/110_hires.png,Common,0.170000,0.270000,Pokémon
dp6-111,Oddish,https://images.pokemontcg.io/dp6/111_hires.png,Common,0.260000,2.190000,Pokémon
dp6-112,Oddish,https://images.pokemontcg.io/dp6/112_hires.png,Common,0.540000,1.660000,Pokémon
dp6-113,Pineco,https://images.pokemontcg.io/dp6/113_hires.png,Common,0.100000,0.240000,Pokémon
dp6-114,Poliwag,https://images.pokemontcg.io/dp6/114_hires.png,Common,0.290000,0.500000,Pokémon
dp6-115,Poliwhirl,https://images.pokemontcg.io/dp6/115_hires.png,Common,0.310000,0.890000,Pokémon
