id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh11-1,Oddish,https://images.pokemontcg.io/swsh11/1_hires.png,Common,0.030000,0.080000,Pokémon
swsh11-2,Gloom,https://images.pokemontcg.io/swsh11/2_hires.png,Uncommon,0.030000,0.100000,Pokémon
swsh11-3,Vileplume,https://images.pokemontcg.io/swsh11/3_hires.png,Rare Holo,0.220000,0.270000,Pokémon
swsh11-4,Paras,https://images.pokemontcg.io/swsh11/4_hires.png,Common,0.030000,0.040000,Pokémon
swsh11-5,Parasect,https://images.pokemontcg.io/swsh11/5_hires.png,Rare,0.060000,0.110000,Pokémon
swsh11-6,Wurmple,https://images.pokemontcg.io/swsh11/6_hires.png,Common,0.030000,0.060000,Pokémon
swsh11-7,Silcoon,https://images.pokemontcg.io/swsh11/7_hires.png,Uncommon,0.040000,0.100000,Pokémon
swsh11-8,Beautifly,https://images.pokemontcg.io/swsh11/8_hires.png,Rare Holo,0.250000,0.250000,Pokémon
swsh11-9,Cascoon,https://images.pokemontcg.io/swsh11/9_hires.png,Uncommon,0.040000,0.080000,Pokémon
swsh11-10,Dustox,https://images.pokemontcg.io/swsh11/10_hires.png,Rare,0.080000,0.120000,Pokémon
swsh11-11,Seedot,https://images.pokemontcg.io/swsh11/11_hires.png,Common,0.050000,0.110000,Pokémon
swsh11-12,Nuzleaf,https://images.pokemontcg.io/swsh11/12_hires.png,Uncommon,0.030000,0.080000,Pokémon
swsh11-13,Shiftry,https://images.pokemontcg.io/swsh11/13_hires.png,Rare Holo,0.140000,0.170000,Pokémon
swsh11-14,Roselia,https://images.pokemontcg.io/swsh11/14_hires.png,Common,0.030000,0.040000,Pokémon
swsh11-15,Roserade,https://images.pokemontcg.io/swsh11/15_hires.png,Uncommon,0.030000,0.070000,Pokémon
swsh11-16,Phantump,https://images.pokemontcg.io/swsh11/16_hires.png,Common,0.020000,0.040000,Pokémon
swsh11-17,Trevenant,https://images.pokemontcg.io/swsh11/17_hires.png,Rare Holo,0.170000,0.150000,Pokémon
swsh11-18,Blipbug,https://images.pokemontcg.io/swsh11/18_hires.png,Common,0.030000,0.080000,Pokémon
swsh11-19,Dottler,https://images.pokemontcg.io/swsh11/19_hires.png,Uncommon,0.030000,0.060000,Pokémon
swsh11-20,Orbeetle,https://images.pokemontcg.io/swsh11/20_hires.png,Rare Holo,0.180000,0.180000,Pokémon
swsh11-21,Slugma,https://images.pokemontcg.io/swsh11/21_hires.png,Common,0.020000,0.070000,Pokémon
swsh11-22,Magcargo,https://images.pokemontcg.io/swsh11/22_hires.png,Rare,0.070000,0.130000,Pokémon
swsh11-23,Torkoal,https://images.pokemontcg.io/swsh11/23_hires.png,Uncommon,0.030000,0.080000,Pokémon
swsh11-24,Litwick,https://images.pokemontcg.io/swsh11/24_hires.png,Common,0.030000,0.100000,Pokémon
swsh11-25,Lampent,https://images.pokemontcg.io/swsh11/25_hires.png,Uncommon,0.020000,0.040000,Pokémon
swsh11-26,Chandelure,https://images.pokemontcg.io/swsh11/26_hires.png,Rare Holo,0.160000,0.220000,Pokémon
swsh11-27,Delphox V,https://images.pokemontcg.io/swsh11/27_hires.png,Rare Holo V,0.600000,0.550000,Pokémon
swsh11-28,Litleo,https://images.pokemontcg.io/swsh11/28_hires.png,Common,0.030000,0.050000,Pokémon
swsh11-29,Pyroar,https://images.pokemontcg.io/swsh11/29_hires.png,Rare Holo,0.240000,0.220000,Pokémon
swsh11-30,Poliwag,https://images.pokemontcg.io/swsh11/30_hires.png,Common,0.030000,0.090000,Pokémon
swsh11-31,Poliwhirl,https://images.pokemontcg.io/swsh11/31_hires.png,Uncommon,0.040000,0.090000,Pokémon
swsh11-32,Politoed,https://images.pokemontcg.io/swsh11/32_hires.png,Rare,0.130000,0.240000,Pokémon
