id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm8-1,Tangela,https://images.pokemontcg.io/sm8/1_hires.png,Common,0.130000,0.180000,Pokémon
sm8-2,Tangrowth,https://images.pokemontcg.io/sm8/2_hires.png,Rare,0.460000,0.280000,Pokémon
sm8-3,Scyther,https://images.pokemontcg.io/sm8/3_hires.png,Common,0.140000,0.210000,Pokémon
sm8-4,Pinsir,https://images.pokemontcg.io/sm8/4_hires.png,Uncommon,0.110000,0.130000,Pokémon
sm8-5,Chikorita,https://images.pokemontcg.io/sm8/5_hires.png,Common,0.150000,0.310000,Pokémon
sm8-6,Chikorita,https://images.pokemontcg.io/sm8/6_hires.png,Common,0.130000,0.220000,Pokémon
sm8-7,Bayleef,https://images.pokemontcg.io/sm8/7_hires.png,Uncommon,0.310000,0.760000,Pokémon
sm8-8,Meganium,https://images.pokemontcg.io/sm8/8_hires.png,Rare Holo,4.660000,4.710000,Pokémon
sm8-9,Spinarak,https://images.pokemontcg.io/sm8/9_hires.png,Common,0.140000,0.110000,Pokémon
sm8-10,Ariados,https://images.pokemontcg.io/sm8/10_hires.png,Uncommon,0.150000,0.140000,Pokémon
sm8-11,Hoppip,https://images.pokemontcg.io/sm8/11_hires.png,Common,0.090000,0.130000,Pokémon
sm8-12,Hoppip,https://images.pokemontcg.io/sm8/12_hires.png,Common,0.110000,0.140000,Pokémon
sm8-13,Skiploom,https://images.pokemontcg.io/sm8/13_hires.png,Uncommon,0.090000,0.190000,Pokémon
sm8-14,Jumpluff,https://images.pokemontcg.io/sm8/14_hires.png,Rare Holo,0.850000,0.830000,Pokémon
sm8-15,Pineco,https://images.pokemontcg.io/sm8/15_hires.png,Common,0.090000,0.110000,Pokémon
sm8-16,Shuckle,https://images.pokemontcg.io/sm8/16_hires.png,Uncommon,0.180000,0.280000,Pokémon
sm8-17,Shuckle-GX,https://images.pokemontcg.io/sm8/17_hires.png,Rare Holo GX,2.860000,3.990000,Pokémon
sm8-18,Heracross,https://images.pokemontcg.io/sm8/18_hires.png,Uncommon,0.110000,0.170000,Pokémon
sm8-19,Celebi ◇,https://images.pokemontcg.io/sm8/19_hires.png,Rare Prism Star,2.940000,3.460000,Pokémon
sm8-20,Treecko,https://images.pokemontcg.io/sm8/20_hires.png,Common,0.260000,0.370000,Pokémon
sm8-21,Grovyle,https://images.pokemontcg.io/sm8/21_hires.png,Uncommon,0.230000,0.460000,Pokémon
sm8-22,Sceptile-GX,https://images.pokemontcg.io/sm8/22_hires.png,Rare Holo GX,5.720000,4.480000,Pokémon
sm8-23,Wurmple,https://images.pokemontcg.io/sm8/23_hires.png,Common,0.080000,0.120000,Pokémon
sm8-24,Wurmple,https://images.pokemontcg.io/sm8/24_hires.png,Common,0.100000,0.180000,Pokémon
sm8-25,Silcoon,https://images.pokemontcg.io/sm8/25_hires.png,Uncommon,0.180000,0.170000,Pokémon
sm8-26,Beautifly,https://images.pokemontcg.io/sm8/26_hires.png,Rare,0.540000,0.500000,Pokémon
sm8-27,Cascoon,https://images.pokemontcg.io/sm8/27_hires.png,Uncommon,0.190000,0.180000,Pokémon
sm8-28,Dustox,https://images.pokemontcg.io/sm8/28_hires.png,Rare,0.600000,0.450000,Pokémon
sm8-29,Nincada,https://images.pokemontcg.io/sm8/29_hires.png,Common,0.100000,0.120000,Pokémon
sm8-30,Ninjask,https://images.pokemontcg.io/sm8/30_hires.png,Uncommon,0.190000,0.220000,Pokémon
sm8-31,Combee,https://images.pokemontcg.io/sm8/31_hires.png,Common,0.080000,0.120000,Pokémon
sm8-32,Vespiquen,https://images.pokemontcg.io/sm8/32_hires.png,Uncommon,0.140000,0.150000,Pokémon
sm8-33,Shaymin,https://images.pokemontcg.io/sm8/33_hires.png,Rare Holo,2.680000,1.590000,Pokémon
sm8-34,Virizion-GX,https://images.pokemontcg.io/sm8/34_hires.png,Rare Holo GX,2.290000,1.930000,Pokémon
sm8-35,Skiddo,https://images.pokemontcg.io/sm8/35_hires.png,Common,0.090000,0.120000,Pokémon
sm8-36,Gogoat,https://images.pokemontcg.io/sm8/36_hires.png,Uncommon,0.160000,0.210000,Pokémon
sm8-37,Tapu Bulu,https://images.pokemontcg.io/sm8/37_hires.png,Rare Holo,0.980000,0.750000,Pokémon
sm8-38,Moltres,https://images.pokemontcg.io/sm8/38_hires.png,Rare,0.710000,0.480000,Pokémon
sm8-39,Cyndaquil,https://images.pokemontcg.io/sm8/39_hires.png,Common,0.140000,0.240000,Pokémon
sm8-40,Cyndaquil,https://images.pokemontcg.io/sm8/40_hires.png,Common,0.100000,0.190000,Pokémon
sm8-41,Quilava,https://images.pokemontcg.io/sm8/41_hires.png,Uncommon,0.190000,0.350000,Pokémon
sm8-42,Typhlosion,https://images.pokemontcg.io/sm8/42_hires.png,Rare Holo,5.670000,8.940000,Pokémon
sm8-43,Slugma,https://images.pokemontcg.io/sm8/43_hires.png,Common,0.060000,0.100000,Pokémon
sm8-44,Magcargo-GX,https://images.pokemontcg.io/sm8/44_hires.png,Rare Holo GX,0.250000,1.530000,Pokémon
sm8-45,Houndour,https://images.pokemontcg.io/sm8/45_hires.png,Common,0.080000,0.160000,Pokémon
sm8-46,Houndoom,https://images.pokemontcg.io/sm8/46_hires.png,Rare,0.570000,0.430000,Pokémon
