id,name,image,rarity,card_market_price,tcg_market_price,supertype
mcd11-1,Snivy,https://images.pokemontcg.io/mcd11/1_hires.png,,1.770000,4.330000,Pokémon
mcd11-2,Maractus,https://images.pokemontcg.io/mcd11/2_hires.png,,2.360000,5.350000,Pokémon
mcd11-3,Tepig,https://images.pokemontcg.io/mcd11/3_hires.png,,0.840000,4.900000,Pokémon
mcd11-4,Oshawott,https://images.pokemontcg.io/mcd11/4_hires.png,,1.160000,4.690000,Pokémon
mcd11-5,Alomomola,https://images.pokemontcg.io/mcd11/5_hires.png,,0.730000,3.550000,Pokémon
mcd11-6,Blitzle,https://images.pokemontcg.io/mcd11/6_hires.png,,1.340000,3.590000,Pokémon
mcd11-7,Munna,https://images.pokemontcg.io/mcd11/7_hires.png,,0.760000,3.370000,Pokémon
mcd11-8,Sandile,https://images.pokemontcg.io/mcd11/8_hires.png,,1.050000,2.870000,Pokémon
mcd11-9,Zorua,https://images.pokemontcg.io/mcd11/9_hires.png,,1.760000,6.050000,Pokémon
mcd11-10,Klink,https://images.pokemontcg.io/mcd11/10_hires.png,,1.140000,2.680000,Pokémon
mcd11-11,Pidove,https://images.pokemontcg.io/mcd11/11_hires.png,,1.700000,2.710000,Pokémon
mcd11-12,Audino,https://images.pokemontcg.io/mcd11/12_hires.png,,0.900000,2.480000,Pokémon
",DefaulT,",,,,0,0,
