id,name,image,rarity,card_market_price,tcg_market_price,supertype
dp2-1,Aggron,https://images.pokemontcg.io/dp2/1_hires.png,Rare Holo,3.200000,3.140000,Pokémon
dp2-2,Alakazam,https://images.pokemontcg.io/dp2/2_hires.png,Rare Holo,10.620000,20.560000,Pokémon
dp2-3,Ambipom,https://images.pokemontcg.io/dp2/3_hires.png,Rare Holo,2.420000,1.980000,Pokémon
dp2-4,Azelf,https://images.pokemontcg.io/dp2/4_hires.png,Rare Holo,5.060000,5.250000,Pokémon
dp2-5,Blissey,https://images.pokemontcg.io/dp2/5_hires.png,Rare Holo,2.780000,4.490000,Pokémon
dp2-6,Bronzong,https://images.pokemontcg.io/dp2/6_hires.png,Rare Holo,2.440000,2.880000,Pokémon
dp2-7,Celebi,https://images.pokemontcg.io/dp2/7_hires.png,Rare Holo,9.300000,11.450000,Pokémon
dp2-8,Feraligatr,https://images.pokemontcg.io/dp2/8_hires.png,Rare Holo,4.510000,7.390000,Pokémon
dp2-9,Garchomp,https://images.pokemontcg.io/dp2/9_hires.png,Rare Holo,5.800000,14,Pokémon
dp2-10,Honchkrow,https://images.pokemontcg.io/dp2/10_hires.png,Rare Holo,2.270000,3,Pokémon
dp2-11,Lumineon,https://images.pokemontcg.io/dp2/11_hires.png,Rare Holo,3.990000,2.610000,Pokémon
dp2-12,Magmortar,https://images.pokemontcg.io/dp2/12_hires.png,Rare Holo,2.310000,2.520000,Pokémon
dp2-13,Meganium,https://images.pokemontcg.io/dp2/13_hires.png,Rare Holo,5.800000,6.610000,Pokémon
dp2-14,Mesprit,https://images.pokemontcg.io/dp2/14_hires.png,Rare Holo,5.540000,6.560000,Pokémon
dp2-15,Raichu,https://images.pokemontcg.io/dp2/15_hires.png,Rare Holo,5.530000,8.620000,Pokémon
dp2-16,Typhlosion,https://images.pokemontcg.io/dp2/16_hires.png,Rare Holo,14.970000,14.300000,Pokémon
dp2-17,Tyranitar,https://images.pokemontcg.io/dp2/17_hires.png,Rare Holo,7.170000,15.330000,Pokémon
dp2-18,Uxie,https://images.pokemontcg.io/dp2/18_hires.png,Rare Holo,7.220000,5.970000,Pokémon
dp2-19,Abomasnow,https://images.pokemontcg.io/dp2/19_hires.png,Rare,1.050000,0.540000,Pokémon
dp2-20,Ariados,https://images.pokemontcg.io/dp2/20_hires.png,Rare,0.310000,0.450000,Pokémon
dp2-21,Bastiodon,https://images.pokemontcg.io/dp2/21_hires.png,Rare,0.580000,0.680000,Pokémon
dp2-22,Chimecho,https://images.pokemontcg.io/dp2/22_hires.png,Rare,0.740000,0.860000,Pokémon
dp2-23,Crobat,https://images.pokemontcg.io/dp2/23_hires.png,Rare,1.520000,2.920000,Pokémon
dp2-24,Exeggutor,https://images.pokemontcg.io/dp2/24_hires.png,Rare,0.810000,0.900000,Pokémon
dp2-25,Glalie,https://images.pokemontcg.io/dp2/25_hires.png,Rare,0.460000,0.840000,Pokémon
dp2-26,Gyarados,https://images.pokemontcg.io/dp2/26_hires.png,Rare,2.320000,4.680000,Pokémon
dp2-27,Kricketune,https://images.pokemontcg.io/dp2/27_hires.png,Rare,0.330000,0.530000,Pokémon
dp2-28,Manectric,https://images.pokemontcg.io/dp2/28_hires.png,Rare,2.750000,1.440000,Pokémon
dp2-29,Mantine,https://images.pokemontcg.io/dp2/29_hires.png,Rare,0.430000,0.870000,Pokémon
dp2-30,Mr. Mime,https://images.pokemontcg.io/dp2/30_hires.png,Rare,2.340000,1.600000,Pokémon
dp2-31,Nidoqueen,https://images.pokemontcg.io/dp2/31_hires.png,Rare,0.900000,1.180000,Pokémon
dp2-32,Ninetales,https://images.pokemontcg.io/dp2/32_hires.png,Rare,2.680000,4.200000,Pokémon
dp2-33,Rampardos,https://images.pokemontcg.io/dp2/33_hires.png,Rare,0.940000,1.800000,Pokémon
dp2-34,Slaking,https://images.pokemontcg.io/dp2/34_hires.png,Rare,0.530000,0.790000,Pokémon
dp2-35,Sudowoodo,https://images.pokemontcg.io/dp2/35_hires.png,Rare,2.230000,0.860000,Pokémon
dp2-36,Toxicroak,https://images.pokemontcg.io/dp2/36_hires.png,Rare,0.940000,0.780000,Pokémon
dp2-37,Unown [I],https://images.pokemontcg.io/dp2/37_hires.png,Rare,0.970000,0.770000,Pokémon
dp2-38,Ursaring,https://images.pokemontcg.io/dp2/38_hires.png,Rare,1.880000,1.190000,Pokémon
dp2-39,Walrein,https://images.pokemontcg.io/dp2/39_hires.png,Rare,0.310000,0.500000,Pokémon
dp2-40,Whiscash,https://images.pokemontcg.io/dp2/40_hires.png,Rare,0.850000,0.740000,Pokémon
dp2-41,Bayleef,https://images.pokemontcg.io/dp2/41_hires.png,Uncommon,0.720000,0.680000,Pokémon
dp2-42,Chingling,https://images.pokemontcg.io/dp2/42_hires.png,Uncommon,0.680000,7.320000,Pokémon
dp2-43,Cranidos,https://images.pokemontcg.io/dp2/43_hires.png,Uncommon,0.140000,0.260000,Pokémon
dp2-44,Croconaw,https://images.pokemontcg.io/dp2/44_hires.png,Uncommon,0.570000,1.100000,Pokémon
dp2-45,Dewgong,https://images.pokemontcg.io/dp2/45_hires.png,Uncommon,0.470000,0.340000,Pokémon
dp2-46,Dodrio,https://images.pokemontcg.io/dp2/46_hires.png,Uncommon,0.200000,0.220000,Pokémon
dp2-47,Dunsparce,https://images.pokemontcg.io/dp2/47_hires.png,Uncommon,0.550000,0.430000,Pokémon
dp2-48,Gabite,https://images.pokemontcg.io/dp2/48_hires.png,Uncommon,0.360000,0.470000,Pokémon
dp2-49,Girafarig,https://images.pokemontcg.io/dp2/49_hires.png,Uncommon,0.420000,0.360000,Pokémon
dp2-50,Golbat,https://images.pokemontcg.io/dp2/50_hires.png,Uncommon,0.350000,0.260000,Pokémon
dp2-51,Graveler,https://images.pokemontcg.io/dp2/51_hires.png,Uncommon,0.120000,0.320000,Pokémon
dp2-52,Happiny,https://images.pokemontcg.io/dp2/52_hires.png,Uncommon,0.650000,1.430000,Pokémon
dp2-53,Lairon,https://images.pokemontcg.io/dp2/53_hires.png,Uncommon,0.360000,0.470000,Pokémon
dp2-54,Magmar,https://images.pokemontcg.io/dp2/54_hires.png,Uncommon,0.280000,0.330000,Pokémon
dp2-55,Masquerain,https://images.pokemontcg.io/dp2/55_hires.png,Uncommon,0.150000,0.260000,Pokémon
dp2-56,Nidorina,https://images.pokemontcg.io/dp2/56_hires.png,Uncommon,0.290000,0.320000,Pokémon
dp2-57,Octillery,https://images.pokemontcg.io/dp2/57_hires.png,Uncommon,0.490000,0.350000,Pokémon
dp2-58,Parasect,https://images.pokemontcg.io/dp2/58_hires.png,Uncommon,0.240000,0.240000,Pokémon
dp2-59,Pupitar,https://images.pokemontcg.io/dp2/59_hires.png,Uncommon,0.280000,0.330000,Pokémon
dp2-60,Quilava,https://images.pokemontcg.io/dp2/60_hires.png,Uncommon,0.550000,0.840000,Pokémon
dp2-61,Sandslash,https://images.pokemontcg.io/dp2/61_hires.png,Uncommon,0.220000,0.340000,Pokémon
dp2-62,Sealeo,https://images.pokemontcg.io/dp2/62_hires.png,Uncommon,0.200000,0.210000,Pokémon
dp2-63,Shieldon,https://images.pokemontcg.io/dp2/63_hires.png,Uncommon,0.160000,0.260000,Pokémon
dp2-64,Tropius,https://images.pokemontcg.io/dp2/64_hires.png,Uncommon,0.380000,0.300000,Pokémon
dp2-65,Unown [E],https://images.pokemontcg.io/dp2/65_hires.png,Uncommon,0.340000,0.600000,Pokémon
dp2-66,Unown [M],https://images.pokemontcg.io/dp2/66_hires.png,Uncommon,1.190000,0.640000,Pokémon
dp2-67,Unown [T],https://images.pokemontcg.io/dp2/67_hires.png,Uncommon,0.630000,0.460000,Pokémon
dp2-68,Vigoroth,https://images.pokemontcg.io/dp2/68_hires.png,Uncommon,0.250000,0.310000,Pokémon
dp2-69,Abra,https://images.pokemontcg.io/dp2/69_hires.png,Common,0.400000,1.600000,Pokémon
dp2-70,Aipom,https://images.pokemontcg.io/dp2/70_hires.png,Common,0.190000,0.270000,Pokémon
dp2-71,Aron,https://images.pokemontcg.io/dp2/71_hires.png,Common,0.260000,0.860000,Pokémon
dp2-72,Barboach,https://images.pokemontcg.io/dp2/72_hires.png,Common,0.130000,0.350000,Pokémon
dp2-73,Bidoof,https://images.pokemontcg.io/dp2/73_hires.png,Common,0.860000,0.370000,Pokémon
dp2-74,Bronzor,https://images.pokemontcg.io/dp2/74_hires.png,Common,0.070000,0.170000,Pokémon
dp2-75,Buizel,https://images.pokemontcg.io/dp2/75_hires.png,Common,0.170000,0.270000,Pokémon
dp2-76,Chansey,https://images.pokemontcg.io/dp2/76_hires.png,Common,0.190000,0.340000,Pokémon
dp2-77,Chikorita,https://images.pokemontcg.io/dp2/77_hires.png,Common,0.400000,0.480000,Pokémon
dp2-78,Croagunk,https://images.pokemontcg.io/dp2/78_hires.png,Common,0.150000,0.250000,Pokémon
dp2-79,Cyndaquil,https://images.pokemontcg.io/dp2/79_hires.png,Common,0.300000,0.570000,Pokémon
dp2-80,Doduo,https://images.pokemontcg.io/dp2/80_hires.png,Common,0.080000,0.260000,Pokémon
dp2-81,Electrike,https://images.pokemontcg.io/dp2/81_hires.png,Common,0.090000,0.200000,Pokémon
dp2-82,Exeggcute,https://images.pokemontcg.io/dp2/82_hires.png,Common,0.100000,0.290000,Pokémon
dp2-83,Finneon,https://images.pokemontcg.io/dp2/83_hires.png,Common,0.150000,0.220000,Pokémon
dp2-84,Geodude,https://images.pokemontcg.io/dp2/84_hires.png,Common,0.090000,0.220000,Pokémon
dp2-85,Gible,https://images.pokemontcg.io/dp2/85_hires.png,Common,0.170000,0.380000,Pokémon
dp2-86,Kricketot,https://images.pokemontcg.io/dp2/86_hires.png,Common,0.400000,0.260000,Pokémon
dp2-87,Larvitar,https://images.pokemontcg.io/dp2/87_hires.png,Common,0.090000,0.360000,Pokémon
dp2-88,Magby,https://images.pokemontcg.io/dp2/88_hires.png,Common,0.320000,0.310000,Pokémon
dp2-89,Magikarp,https://images.pokemontcg.io/dp2/89_hires.png,Common,0.470000,0.850000,Pokémon
dp2-90,Murkrow,https://images.pokemontcg.io/dp2/90_hires.png,Common,0.160000,0.360000,Pokémon
dp2-91,Nidoran ♀,https://images.pokemontcg.io/dp2/91_hires.png,Common,0.210000,0.270000,Pokémon
dp2-92,Paras,https://images.pokemontcg.io/dp2/92_hires.png,Common,0.130000,0.260000,Pokémon
dp2-93,Pichu,https://images.pokemontcg.io/dp2/93_hires.png,Common,1.460000,6.060000,Pokémon
dp2-94,Pikachu,https://images.pokemontcg.io/dp2/94_hires.png,Common,1.610000,4.770000,Pokémon
dp2-95,Remoraid,https://images.pokemontcg.io/dp2/95_hires.png,Common,0.160000,0.280000,Pokémon
dp2-96,Sandshrew,https://images.pokemontcg.io/dp2/96_hires.png,Common,0.080000,0.650000,Pokémon
dp2-97,Seel,https://images.pokemontcg.io/dp2/97_hires.png,Common,0.090000,0.300000,Pokémon
dp2-98,Shinx,https://images.pokemontcg.io/dp2/98_hires.png,Common,1.910000,0.410000,Pokémon
dp2-99,Slakoth,https://images.pokemontcg.io/dp2/99_hires.png,Common,0.280000,0.940000,Pokémon
dp2-100,Snorunt,https://images.pokemontcg.io/dp2/100_hires.png,Common,0.230000,0.290000,Pokémon
dp2-101,Snover,https://images.pokemontcg.io/dp2/101_hires.png,Common,0.140000,0.290000,Pokémon
dp2-102,Spheal,https://images.pokemontcg.io/dp2/102_hires.png,Common,0.180000,0.470000,Pokémon
dp2-103,Spinarak,https://images.pokemontcg.io/dp2/103_hires.png,Common,0.070000,0.210000,Pokémon
dp2-104,Surskit,https://images.pokemontcg.io/dp2/104_hires.png,Common,0.090000,0.240000,Pokémon
dp2-105,Teddiursa,https://images.pokemontcg.io/dp2/105_hires.png,Common,0.670000,3.900000,Pokémon
dp2-106,Totodile,https://images.pokemontcg.io/dp2/106_hires.png,Common,0.170000,0.360000,Pokémon
dp2-107,Vulpix,https://images.pokemontcg.io/dp2/107_hires.png,Common,0.330000,0.450000,Pokémon
dp2-108,Zubat,https://images.pokemontcg.io/dp2/108_hires.png,Common,0.280000,0.370000,Pokémon
dp2-109,Bebe's Search,https://images.pokemontcg.io/dp2/109_hires.png,Uncommon,0.130000,0.390000,Trainer
dp2-110,Dusk Ball,https://images.pokemontcg.io/dp2/110_hires.png,Uncommon,0.180000,0.210000,Trainer
dp2-111,Fossil Excavator,https://images.pokemontcg.io/dp2/111_hires.png,Uncommon,0.110000,0.290000,Trainer
dp2-112,Lake Boundary,https://images.pokemontcg.io/dp2/112_hires.png,Uncommon,0.230000,0.350000,Trainer
dp2-113,Night Maintenance,https://images.pokemontcg.io/dp2/113_hires.png,Uncommon,0.260000,0.670000,Trainer
dp2-114,Quick Ball,https://images.pokemontcg.io/dp2/114_hires.png,Uncommon,0.190000,0.440000,Trainer
dp2-115,Team Galactic's Wager,https://images.pokemontcg.io/dp2/115_hires.png,Uncommon,0.770000,0.430000,Trainer
dp2-116,Armor Fossil,https://images.pokemontcg.io/dp2/116_hires.png,Common,0.090000,0.200000,Trainer
dp2-117,Skull Fossil,https://images.pokemontcg.io/dp2/117_hires.png,Common,0.100000,0.250000,Trainer
dp2-118,Multi Energy,https://images.pokemontcg.io/dp2/118_hires.png,Rare,0.490000,1.860000,Energy
dp2-119,Darkness Energy,https://images.pokemontcg.io/dp2/119_hires.png,Uncommon,0.580000,0.590000,Energy
dp2-120,Metal Energy,https://images.pokemontcg.io/dp2/120_hires.png,Uncommon,0.390000,0.620000,Energy
dp2-121,Electivire LV.X,https://images.pokemontcg.io/dp2/121_hires.png,Rare Holo LV.X,25.740000,27.260000,Pokémon
dp2-122,Lucario LV.X,https://images.pokemontcg.io/dp2/122_hires.png,Rare Holo LV.X,20.700000,59.340000,Pokémon
dp2-123,Magmortar LV.X,https://images.pokemontcg.io/dp2/123_hires.png,Rare Holo LV.X,17.780000,38.570000,Pokémon
dp2-124,Time-Space Distortion,https://images.pokemontcg.io/dp2/124_hires.png,Rare Secret,21.160000,48.680000,Trainer
",DefaulT,",,,,0,0,
