id,name,image,rarity,card_market_price,tcg_market_price,supertype
neo4-1,Dark Ampharos,https://images.pokemontcg.io/neo4/1_hires.png,Rare Holo,42.220000,57.660000,Pokémon
neo4-2,Dark Crobat,https://images.pokemontcg.io/neo4/2_hires.png,Rare Holo,56.830000,83.880000,Pokémon
neo4-3,Dark Donphan,https://images.pokemontcg.io/neo4/3_hires.png,Rare Holo,46.130000,44.690000,Pokémon
neo4-4,Dark Espeon,https://images.pokemontcg.io/neo4/4_hires.png,Rare Holo,155.440000,240.020000,Pokémon
neo4-5,Dark Feraligatr,https://images.pokemontcg.io/neo4/5_hires.png,Rare Holo,191.760000,149.280000,Pokémon
neo4-6,Dark Gengar,https://images.pokemontcg.io/neo4/6_hires.png,Rare Holo,135.420000,286.950000,Pokémon
neo4-7,Dark Houndoom,https://images.pokemontcg.io/neo4/7_hires.png,Rare Holo,61.680000,38.990000,Pokémon
neo4-8,Dark Porygon2,https://images.pokemontcg.io/neo4/8_hires.png,Rare Holo,32.150000,61.420000,Pokémon
neo4-9,Dark Scizor,https://images.pokemontcg.io/neo4/9_hires.png,Rare Holo,42,176.460000,Pokémon
neo4-10,Dark Typhlosion,https://images.pokemontcg.io/neo4/10_hires.png,Rare Holo,19.920000,51.970000,Pokémon
neo4-11,Dark Tyranitar,https://images.pokemontcg.io/neo4/11_hires.png,Rare Holo,130.580000,150,Pokémon
neo4-12,Light Arcanine,https://images.pokemontcg.io/neo4/12_hires.png,Rare Holo,106.250000,249,Pokémon
neo4-13,Light Azumarill,https://images.pokemontcg.io/neo4/13_hires.png,Rare Holo,12.330000,16.670000,Pokémon
neo4-14,Light Dragonite,https://images.pokemontcg.io/neo4/14_hires.png,Rare Holo,90.450000,327.510000,Pokémon
neo4-15,Light Togetic,https://images.pokemontcg.io/neo4/15_hires.png,Rare Holo,31.380000,55.830000,Pokémon
neo4-16,Miracle Energy,https://images.pokemontcg.io/neo4/16_hires.png,Rare Holo,43.210000,23.020000,Energy
neo4-17,Dark Ariados,https://images.pokemontcg.io/neo4/17_hires.png,Rare,6.930000,4.860000,Pokémon
neo4-18,Dark Magcargo,https://images.pokemontcg.io/neo4/18_hires.png,Rare,3.820000,2.630000,Pokémon
neo4-19,Dark Omastar,https://images.pokemontcg.io/neo4/19_hires.png,Rare,9.830000,10.200000,Pokémon
neo4-20,Dark Slowking,https://images.pokemontcg.io/neo4/20_hires.png,Rare,9.230000,19.350000,Pokémon
neo4-21,Dark Ursaring,https://images.pokemontcg.io/neo4/21_hires.png,Rare,7.300000,11.360000,Pokémon
