id,name,image,rarity,card_market_price,tcg_market_price,supertype
neo2-1,Espeon,https://images.pokemontcg.io/neo2/1_hires.png,Rare Holo,114.700000,220.370000,Pokémon
neo2-2,Forretress,https://images.pokemontcg.io/neo2/2_hires.png,Rare Holo,14.240000,19.260000,Pokémon
neo2-3,Hitmontop,https://images.pokemontcg.io/neo2/3_hires.png,Rare Holo,5.360000,11.340000,Pokémon
neo2-4,Houndoom,https://images.pokemontcg.io/neo2/4_hires.png,Rare Holo,24.270000,67.660000,Pokémon
neo2-5,Houndour,https://images.pokemontcg.io/neo2/5_hires.png,Rare Holo,24.070000,61.560000,Pokémon
neo2-6,Kabutops,https://images.pokemontcg.io/neo2/6_hires.png,Rare Holo,17.730000,48.080000,Pokémon
neo2-7,Magnemite,https://images.pokemontcg.io/neo2/7_hires.png,Rare Holo,13.160000,17.970000,Pokémon
neo2-8,Politoed,https://images.pokemontcg.io/neo2/8_hires.png,Rare Holo,32.910000,34.320000,Pokémon
neo2-9,Poliwrath,https://images.pokemontcg.io/neo2/9_hires.png,Rare Holo,16.720000,19.240000,Pokémon
neo2-10,Scizor,https://images.pokemontcg.io/neo2/10_hires.png,Rare Holo,18.680000,42.330000,Pokémon
neo2-11,Smeargle,https://images.pokemontcg.io/neo2/11_hires.png,Rare Holo,23.330000,38.460000,Pokémon
neo2-12,Tyranitar,https://images.pokemontcg.io/neo2/12_hires.png,Rare Holo,54.790000,121.970000,Pokémon
neo2-13,Umbreon,https://images.pokemontcg.io/neo2/13_hires.png,Rare Holo,279.930000,342.580000,Pokémon
neo2-14,Unown [A],https://images.pokemontcg.io/neo2/14_hires.png,Rare Holo,7.280000,10.730000,Pokémon
neo2-15,Ursaring,https://images.pokemontcg.io/neo2/15_hires.png,Rare Holo,12.840000,30.900000,Pokémon
neo2-16,Wobbuffet,https://images.pokemontcg.io/neo2/16_hires.png,Rare Holo,12.290000,23.020000,Pokémon
neo2-17,Yanma,https://images.pokemontcg.io/neo2/17_hires.png,Rare Holo,12.880000,22.630000,Pokémon
