id,name,image,rarity,card_market_price,tcg_market_price,supertype
neo1-1,Ampharos,https://images.pokemontcg.io/neo1/1_hires.png,Rare Holo,17.250000,21.830000,Pokémon
neo1-2,Azumarill,https://images.pokemontcg.io/neo1/2_hires.png,Rare Holo,17.880000,17.460000,Pokémon
neo1-3,Bellossom,https://images.pokemontcg.io/neo1/3_hires.png,Rare Holo,13.270000,18.110000,Pokémon
neo1-4,Feraligatr,https://images.pokemontcg.io/neo1/4_hires.png,Rare Holo,44.780000,66.010000,Pokémon
neo1-5,Feraligatr,https://images.pokemontcg.io/neo1/5_hires.png,Rare Holo,45.920000,69.040000,Pokémon
neo1-6,Heracross,https://images.pokemontcg.io/neo1/6_hires.png,Rare Holo,19.620000,43.350000,Pokémon
neo1-7,Jumpluff,https://images.pokemontcg.io/neo1/7_hires.png,Rare Holo,4.670000,8.300000,Pokémon
neo1-8,Kingdra,https://images.pokemontcg.io/neo1/8_hires.png,Rare Holo,7.180000,11.490000,Pokémon
neo1-9,Lugia,https://images.pokemontcg.io/neo1/9_hires.png,Rare Holo,168.720000,440.480000,Pokémon
neo1-10,Meganium,https://images.pokemontcg.io/neo1/10_hires.png,Rare Holo,40.260000,43.850000,Pokémon
neo1-11,Meganium,https://images.pokemontcg.io/neo1/11_hires.png,Rare Holo,44.340000,59.320000,Pokémon
neo1-12,Pichu,https://images.pokemontcg.io/neo1/12_hires.png,Rare Holo,34.050000,67.810000,Pokémon
neo1-13,Skarmory,https://images.pokemontcg.io/neo1/13_hires.png,Rare Holo,9.180000,19.690000,Pokémon
neo1-14,Slowking,https://images.pokemontcg.io/neo1/14_hires.png,Rare Holo,20.320000,37.010000,Pokémon
neo1-15,Steelix,https://images.pokemontcg.io/neo1/15_hires.png,Rare Holo,42.720000,32.020000,Pokémon
neo1-16,Togetic,https://images.pokemontcg.io/neo1/16_hires.png,Rare Holo,21.120000,26.300000,Pokémon
neo1-17,Typhlosion,https://images.pokemontcg.io/neo1/17_hires.png,Rare Holo,77.440000,157.670000,Pokémon
neo1-18,Typhlosion,https://images.pokemontcg.io/neo1/18_hires.png,Rare Holo,54.520000,102.710000,Pokémon
neo1-19,Metal Energy,https://images.pokemontcg.io/neo1/19_hires.png,Rare Holo,7.090000,12.880000,Energy
neo1-20,Cleffa,https://images.pokemontcg.io/neo1/20_hires.png,Rare,5.080000,8.460000,Pokémon
neo1-21,Donphan,https://images.pokemontcg.io/neo1/21_hires.png,Rare,2.790000,2.540000,Pokémon
neo1-22,Elekid,https://images.pokemontcg.io/neo1/22_hires.png,Rare,1.870000,2.620000,Pokémon
neo1-23,Magby,https://images.pokemontcg.io/neo1/23_hires.png,Rare,2.670000,2.290000,Pokémon
neo1-24,Murkrow,https://images.pokemontcg.io/neo1/24_hires.png,Rare,2.190000,4.040000,Pokémon
neo1-25,Sneasel,https://images.pokemontcg.io/neo1/25_hires.png,Rare,2.260000,4.300000,Pokémon
