id,name,image,rarity,card_market_price,tcg_market_price,supertype
np-1,Kyogre ex,https://images.pokemontcg.io/np/1_hires.png,Promo,58.710000,10.610000,Pokémon
np-2,Groudon ex,https://images.pokemontcg.io/np/2_hires.png,Promo,51.250000,12.090000,Pokémon
np-3,Treecko,https://images.pokemontcg.io/np/3_hires.png,Promo,5.880000,12.480000,Pokémon
np-4,Grovyle,https://images.pokemontcg.io/np/4_hires.png,Promo,0,99.960000,Pokémon
np-5,Mudkip,https://images.pokemontcg.io/np/5_hires.png,Promo,357.500000,0,Pokémon
np-6,Torchic,https://images.pokemontcg.io/np/6_hires.png,Promo,699.990000,238.900000,Pokémon
np-7,Treecko,https://images.pokemontcg.io/np/7_hires.png,Promo,9.500000,417.300000,Pokémon
np-8,Torchic,https://images.pokemontcg.io/np/8_hires.png,Promo,7.330000,14.240000,Pokémon
np-9,Combusken,https://images.pokemontcg.io/np/9_hires.png,Promo,262.450000,27.750000,Pokémon
np-10,Mudkip,https://images.pokemontcg.io/np/10_hires.png,Promo,13.750000,16.300000,Pokémon
np-11,Marshtomp,https://images.pokemontcg.io/np/11_hires.png,Promo,110,47.990000,Pokémon
np-12,Pikachu,https://images.pokemontcg.io/np/12_hires.png,Promo,73.840000,47.060000,Pokémon
np-13,Meowth,https://images.pokemontcg.io/np/13_hires.png,Promo,12.750000,8.530000,Pokémon
np-14,Latias,https://images.pokemontcg.io/np/14_hires.png,Promo,11.750000,10.990000,Pokémon
np-15,Latios,https://images.pokemontcg.io/np/15_hires.png,Promo,6.470000,8.880000,Pokémon
np-16,Treecko,https://images.pokemontcg.io/np/16_hires.png,Promo,11.310000,9.310000,Pokémon
np-17,Torchic,https://images.pokemontcg.io/np/17_hires.png,Promo,10.800000,8.770000,Pokémon
np-18,Mudkip,https://images.pokemontcg.io/np/18_hires.png,Promo,13.890000,12.410000,Pokémon
np-19,Whismur,https://images.pokemontcg.io/np/19_hires.png,Promo,2.640000,3.560000,Pokémon
np-20,Ludicolo,https://images.pokemontcg.io/np/20_hires.png,Promo,96.980000,9.290000,Pokémon
np-21,Jirachi,https://images.pokemontcg.io/np/21_hires.png,Promo,29.900000,12.660000,Pokémon
np-22,Beldum,https://images.pokemontcg.io/np/22_hires.png,Promo,29.500000,2.300000,Pokémon
np-23,Metang,https://images.pokemontcg.io/np/23_hires.png,Promo,150,0,Pokémon
np-24,Chimecho,https://images.pokemontcg.io/np/24_hires.png,Promo,24.900000,5.190000,Pokémon
np-25,Flygon,https://images.pokemontcg.io/np/25_hires.png,Promo,47.400000,30.940000,Pokémon
np-26,Tropical Wind,https://images.pokemontcg.io/np/26_hires.png,Promo,79.990000,38.870000,Trainer
np-27,Tropical Tidal Wave,https://images.pokemontcg.io/np/27_hires.png,Promo,461.900000,0,Trainer
np-28,Championship Arena,https://images.pokemontcg.io/np/28_hires.png,Promo,0,0,Trainer
np-29,Celebi,https://images.pokemontcg.io/np/29_hires.png,Promo,17.500000,17.850000,Pokémon
np-30,Suicune,https://images.pokemontcg.io/np/30_hires.png,Promo,12.280000,16.380000,Pokémon
np-31,Moltres ex,https://images.pokemontcg.io/np/31_hires.png,Promo,39.560000,25.990000,Pokémon
np-32,Articuno ex,https://images.pokemontcg.io/np/32_hires.png,Promo,16.890000,149.620000,Pokémon
np-33,Zapdos ex,https://images.pokemontcg.io/np/33_hires.png,Promo,19.750000,107.460000,Pokémon
np-34,Typhlosion,https://images.pokemontcg.io/np/34_hires.png,Promo,6.490000,20.140000,Pokémon
np-35,Pikachu δ,https://images.pokemontcg.io/np/35_hires.png,Promo,153.990000,48.990000,Pokémon
np-36,Tropical Tidal Wave,https://images.pokemontcg.io/np/36_hires.png,Promo,150,0,Trainer
np-37,Kyogre ex,https://images.pokemontcg.io/np/37_hires.png,Promo,27.440000,47.860000,Pokémon
np-38,Groudon ex,https://images.pokemontcg.io/np/38_hires.png,Promo,22.690000,41.360000,Pokémon
np-39,Rayquaza ex,https://images.pokemontcg.io/np/39_hires.png,Promo,61.190000,121.100000,Pokémon
np-40,Mew,https://images.pokemontcg.io/np/40_hires.png,Promo,52.050000,27.420000,Pokémon
",DefaulT,",,,,0,0,
