id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw3-1,Sewaddle,https://images.pokemontcg.io/bw3/1_hires.png,Common,0.080000,0.230000,Pokémon
bw3-2,Swadloon,https://images.pokemontcg.io/bw3/2_hires.png,Uncommon,0.210000,0.280000,Pokémon
bw3-3,Leavanny,https://images.pokemontcg.io/bw3/3_hires.png,Rare Holo,0.810000,1.210000,Pokémon
bw3-4,Petilil,https://images.pokemontcg.io/bw3/4_hires.png,Common,0.110000,0.250000,Pokémon
bw3-5,Lilligant,https://images.pokemontcg.io/bw3/5_hires.png,Rare,0.360000,0.940000,Pokémon
bw3-6,Dwebble,https://images.pokemontcg.io/bw3/6_hires.png,Common,0.110000,0.320000,Pokémon
bw3-7,Crustle,https://images.pokemontcg.io/bw3/7_hires.png,Uncommon,0.250000,0.560000,Pokémon
bw3-8,Karrablast,https://images.pokemontcg.io/bw3/8_hires.png,Common,0.120000,0.190000,Pokémon
bw3-9,Foongus,https://images.pokemontcg.io/bw3/9_hires.png,Common,0.090000,0.230000,Pokémon
bw3-10,Amoonguss,https://images.pokemontcg.io/bw3/10_hires.png,Uncommon,0.290000,0.520000,Pokémon
bw3-11,Shelmet,https://images.pokemontcg.io/bw3/11_hires.png,Common,0.130000,0.220000,Pokémon
bw3-12,Accelgor,https://images.pokemontcg.io/bw3/12_hires.png,Rare,2.450000,0.630000,Pokémon
bw3-13,Virizion,https://images.pokemontcg.io/bw3/13_hires.png,Rare Holo,1.970000,1.190000,Pokémon
bw3-14,Victini,https://images.pokemontcg.io/bw3/14_hires.png,Rare Holo,2.820000,3.670000,Pokémon
bw3-15,Victini,https://images.pokemontcg.io/bw3/15_hires.png,Rare Holo,2.180000,2.110000,Pokémon
bw3-16,Pansear,https://images.pokemontcg.io/bw3/16_hires.png,Common,0.100000,0.170000,Pokémon
bw3-17,Simisear,https://images.pokemontcg.io/bw3/17_hires.png,Uncommon,0.120000,0.190000,Pokémon
bw3-18,Heatmor,https://images.pokemontcg.io/bw3/18_hires.png,Uncommon,0.260000,0.330000,Pokémon
bw3-19,Larvesta,https://images.pokemontcg.io/bw3/19_hires.png,Common,0.190000,0.310000,Pokémon
bw3-20,Larvesta,https://images.pokemontcg.io/bw3/20_hires.png,Common,0.090000,0.230000,Pokémon
bw3-21,Volcarona,https://images.pokemontcg.io/bw3/21_hires.png,Rare,0.680000,0.980000,Pokémon
bw3-22,Tympole,https://images.pokemontcg.io/bw3/22_hires.png,Common,0.090000,0.220000,Pokémon
bw3-23,Palpitoad,https://images.pokemontcg.io/bw3/23_hires.png,Uncommon,0.200000,0.480000,Pokémon
bw3-24,Seismitoad,https://images.pokemontcg.io/bw3/24_hires.png,Rare,0.650000,0.840000,Pokémon
bw3-25,Tirtouga,https://images.pokemontcg.io/bw3/25_hires.png,Uncommon,0.520000,1.890000,Pokémon
bw3-26,Carracosta,https://images.pokemontcg.io/bw3/26_hires.png,Rare,0.920000,3.430000,Pokémon
bw3-27,Vanillite,https://images.pokemontcg.io/bw3/27_hires.png,Common,0.100000,0.260000,Pokémon
bw3-28,Vanillish,https://images.pokemontcg.io/bw3/28_hires.png,Uncommon,0.190000,0.510000,Pokémon
bw3-29,Vanilluxe,https://images.pokemontcg.io/bw3/29_hires.png,Rare,0.200000,1.180000,Pokémon
bw3-30,Frillish,https://images.pokemontcg.io/bw3/30_hires.png,Common,0.170000,0.450000,Pokémon
bw3-31,Jellicent,https://images.pokemontcg.io/bw3/31_hires.png,Rare,1.450000,2.230000,Pokémon
bw3-32,Cryogonal,https://images.pokemontcg.io/bw3/32_hires.png,Uncommon,1.950000,0.300000,Pokémon
bw3-33,Cryogonal,https://images.pokemontcg.io/bw3/33_hires.png,Rare,0.680000,1.090000,Pokémon
bw3-34,Kyurem,https://images.pokemontcg.io/bw3/34_hires.png,Rare Holo,1.920000,4.080000,Pokémon
bw3-35,Blitzle,https://images.pokemontcg.io/bw3/35_hires.png,Common,0.330000,2.450000,Pokémon
