id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv3-6,Surskit,https://images.pokemontcg.io/sv3/6_hires.png,Common,0.030000,0.060000,Pokémon
sv3-2,Gloom,https://images.pokemontcg.io/sv3/2_hires.png,Common,0.050000,0.090000,Pokémon
sv3-1,Oddish,https://images.pokemontcg.io/sv3/1_hires.png,Common,0.030000,0.050000,Pokémon
sv3-11,Phantump,https://images.pokemontcg.io/sv3/11_hires.png,Common,0.030000,0.050000,Pokémon
sv3-17,Steenee,https://images.pokemontcg.io/sv3/17_hires.png,Common,0.050000,0.090000,Pokémon
sv3-27,Charmeleon,https://images.pokemontcg.io/sv3/27_hires.png,Uncommon,0.440000,0.090000,Pokémon
sv3-32,Camerupt,https://images.pokemontcg.io/sv3/32_hires.png,Uncommon,0.040000,0.100000,Pokémon
sv3-33,Victini ex,https://images.pokemontcg.io/sv3/33_hires.png,Double Rare,1.290000,0.690000,Pokémon
sv3-35,Darmanitan,https://images.pokemontcg.io/sv3/35_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv3-4,Scyther,https://images.pokemontcg.io/sv3/4_hires.png,Common,0.050000,0.100000,Pokémon
sv3-9,Foongus,https://images.pokemontcg.io/sv3/9_hires.png,Common,0.030000,0.060000,Pokémon
sv3-24,Capsakid,https://images.pokemontcg.io/sv3/24_hires.png,Common,0.040000,0.090000,Pokémon
sv3-25,Scovillain,https://images.pokemontcg.io/sv3/25_hires.png,Rare,0.050000,0.060000,Pokémon
sv3-31,Numel,https://images.pokemontcg.io/sv3/31_hires.png,Common,0.030000,0.060000,Pokémon
sv3-34,Darumaka,https://images.pokemontcg.io/sv3/34_hires.png,Common,0.030000,0.050000,Pokémon
sv3-8,Combee,https://images.pokemontcg.io/sv3/8_hires.png,Common,0.040000,0.060000,Pokémon
sv3-3,Bellossom,https://images.pokemontcg.io/sv3/3_hires.png,Uncommon,0.090000,0.100000,Pokémon
sv3-5,Shuckle,https://images.pokemontcg.io/sv3/5_hires.png,Common,0.050000,0.110000,Pokémon
sv3-7,Masquerain,https://images.pokemontcg.io/sv3/7_hires.png,Uncommon,0.030000,0.030000,Pokémon
sv3-10,Amoonguss,https://images.pokemontcg.io/sv3/10_hires.png,Uncommon,0.050000,0.110000,Pokémon
sv3-12,Trevenant,https://images.pokemontcg.io/sv3/12_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv3-15,Decidueye ex,https://images.pokemontcg.io/sv3/15_hires.png,Double Rare,0.780000,0.750000,Pokémon
sv3-16,Bounsweet,https://images.pokemontcg.io/sv3/16_hires.png,Common,0.030000,0.030000,Pokémon
sv3-18,Tsareena,https://images.pokemontcg.io/sv3/18_hires.png,Uncommon,0.060000,0.080000,Pokémon
sv3-19,Smoliv,https://images.pokemontcg.io/sv3/19_hires.png,Common,0.040000,0.060000,Pokémon
sv3-20,Dolliv,https://images.pokemontcg.io/sv3/20_hires.png,Common,0.040000,0.070000,Pokémon
sv3-22,Toedscruel ex,https://images.pokemontcg.io/sv3/22_hires.png,Double Rare,1.020000,0.660000,Pokémon
sv3-28,Vulpix,https://images.pokemontcg.io/sv3/28_hires.png,Common,0.030000,0.070000,Pokémon
sv3-13,Rowlet,https://images.pokemontcg.io/sv3/13_hires.png,Common,0.040000,0.070000,Pokémon
sv3-14,Dartrix,https://images.pokemontcg.io/sv3/14_hires.png,Uncommon,0.050000,0.090000,Pokémon
sv3-21,Arboliva,https://images.pokemontcg.io/sv3/21_hires.png,Uncommon,0.060000,0.100000,Pokémon
sv3-23,Capsakid,https://images.pokemontcg.io/sv3/23_hires.png,Common,0.050000,0.050000,Pokémon
sv3-26,Charmander,https://images.pokemontcg.io/sv3/26_hires.png,Common,0.490000,0.090000,Pokémon
sv3-29,Ninetales,https://images.pokemontcg.io/sv3/29_hires.png,Uncommon,0.050000,0.100000,Pokémon
sv3-30,Entei,https://images.pokemontcg.io/sv3/30_hires.png,Rare,0.060000,0.110000,Pokémon
sv3-36,Litwick,https://images.pokemontcg.io/sv3/36_hires.png,Common,0.030000,0.130000,Pokémon
sv3-42,Eiscue ex,https://images.pokemontcg.io/sv3/42_hires.png,Double Rare,1.050000,0.720000,Pokémon
sv3-45,Lapras,https://images.pokemontcg.io/sv3/45_hires.png,Uncommon,0.040000,0.120000,Pokémon
sv3-48,Buizel,https://images.pokemontcg.io/sv3/48_hires.png,Common,0.030000,0.040000,Pokémon
sv3-54,Beartic,https://images.pokemontcg.io/sv3/54_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv3-58,Wiglett,https://images.pokemontcg.io/sv3/58_hires.png,Common,0.030000,0.050000,Pokémon
sv3-60,Finizen,https://images.pokemontcg.io/sv3/60_hires.png,Common,0.040000,0.120000,Pokémon
sv3-62,Palafin,https://images.pokemontcg.io/sv3/62_hires.png,Rare,0.190000,0.070000,Pokémon
sv3-64,Magneton,https://images.pokemontcg.io/sv3/64_hires.png,Common,0.040000,0.080000,Pokémon
sv3-65,Magnezone,https://images.pokemontcg.io/sv3/65_hires.png,Uncommon,0.060000,0.120000,Pokémon
sv3-70,Thundurus,https://images.pokemontcg.io/sv3/70_hires.png,Rare,0.050000,0.080000,Pokémon
sv3-71,Toxel,https://images.pokemontcg.io/sv3/71_hires.png,Common,0.040000,0.050000,Pokémon
sv3-74,Tadbulb,https://images.pokemontcg.io/sv3/74_hires.png,Common,0.040000,0.090000,Pokémon
sv3-82,Clefable ex,https://images.pokemontcg.io/sv3/82_hires.png,Double Rare,1.480000,0.850000,Pokémon
sv3-86,Espeon,https://images.pokemontcg.io/sv3/86_hires.png,Uncommon,16.210000,0.170000,Pokémon
sv3-88,Granbull,https://images.pokemontcg.io/sv3/88_hires.png,Uncommon,0.040000,0.050000,Pokémon
sv3-94,Baltoy,https://images.pokemontcg.io/sv3/94_hires.png,Common,0.030000,0.040000,Pokémon
sv3-95,Claydol,https://images.pokemontcg.io/sv3/95_hires.png,Rare,0.100000,0.070000,Pokémon
sv3-96,Vespiquen ex,https://images.pokemontcg.io/sv3/96_hires.png,Double Rare,1.100000,0.640000,Pokémon
sv3-97,Sinistea,https://images.pokemontcg.io/sv3/97_hires.png,Common,0.060000,0.110000,Pokémon
sv3-103,Diglett,https://images.pokemontcg.io/sv3/103_hires.png,Common,0.050000,0.120000,Pokémon
sv3-108,Barboach,https://images.pokemontcg.io/sv3/108_hires.png,Common,0.050000,0.080000,Pokémon
sv3-109,Whiscash,https://images.pokemontcg.io/sv3/109_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv3-114,Crabrawler,https://images.pokemontcg.io/sv3/114_hires.png,Common,0.030000,0.060000,Pokémon
sv3-115,Crabominable,https://images.pokemontcg.io/sv3/115_hires.png,Uncommon,0.030000,0.030000,Pokémon
sv3-116,Rockruff,https://images.pokemontcg.io/sv3/116_hires.png,Common,0.040000,0.090000,Pokémon
sv3-117,Lycanroc,https://images.pokemontcg.io/sv3/117_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv3-121,Glimmet,https://images.pokemontcg.io/sv3/121_hires.png,Common,0.040000,0.070000,Pokémon
sv3-127,Paldean Wooper,https://images.pokemontcg.io/sv3/127_hires.png,Common,0.050000,0.100000,Pokémon
sv3-129,Paldean Clodsire,https://images.pokemontcg.io/sv3/129_hires.png,Uncommon,0.100000,0.110000,Pokémon
sv3-39,Heatmor,https://images.pokemontcg.io/sv3/39_hires.png,Common,0.030000,0.070000,Pokémon
sv3-49,Floatzel,https://images.pokemontcg.io/sv3/49_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv3-50,Tympole,https://images.pokemontcg.io/sv3/50_hires.png,Common,0.030000,0.050000,Pokémon
sv3-53,Cubchoo,https://images.pokemontcg.io/sv3/53_hires.png,Common,0.040000,0.070000,Pokémon
sv3-55,Cryogonal,https://images.pokemontcg.io/sv3/55_hires.png,Common,0.030000,0.050000,Pokémon
sv3-63,Magnemite,https://images.pokemontcg.io/sv3/63_hires.png,Common,0.030000,0.050000,Pokémon
sv3-66,Tyranitar ex,https://images.pokemontcg.io/sv3/66_hires.png,Double Rare,1.490000,0.850000,Pokémon
sv3-67,Tynamo,https://images.pokemontcg.io/sv3/67_hires.png,Common,0.030000,0.040000,Pokémon
sv3-68,Eelektrik,https://images.pokemontcg.io/sv3/68_hires.png,Common,0.040000,0.060000,Pokémon
sv3-69,Eelektross,https://images.pokemontcg.io/sv3/69_hires.png,Uncommon,0.060000,0.100000,Pokémon
sv3-76,Tadbulb,https://images.pokemontcg.io/sv3/76_hires.png,Common,0.040000,0.060000,Pokémon
sv3-80,Cleffa,https://images.pokemontcg.io/sv3/80_hires.png,Common,0.340000,0.400000,Pokémon
sv3-81,Clefairy,https://images.pokemontcg.io/sv3/81_hires.png,Common,0.050000,0.110000,Pokémon
sv3-83,Togepi,https://images.pokemontcg.io/sv3/83_hires.png,Common,0.040000,0.120000,Pokémon
sv3-85,Togekiss,https://images.pokemontcg.io/sv3/85_hires.png,Rare,0.060000,0.090000,Pokémon
sv3-87,Snubbull,https://images.pokemontcg.io/sv3/87_hires.png,Common,0.040000,0.060000,Pokémon
sv3-92,Lunatone,https://images.pokemontcg.io/sv3/92_hires.png,Uncommon,0.040000,0.090000,Pokémon
sv3-100,Greavard,https://images.pokemontcg.io/sv3/100_hires.png,Common,0.040000,0.060000,Pokémon
sv3-105,Larvitar,https://images.pokemontcg.io/sv3/105_hires.png,Common,0.030000,0.070000,Pokémon
sv3-106,Pupitar,https://images.pokemontcg.io/sv3/106_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv3-119,Toedscruel,https://images.pokemontcg.io/sv3/119_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv3-124,Koraidon ex,https://images.pokemontcg.io/sv3/124_hires.png,Double Rare,0.990000,0.630000,Pokémon
sv3-37,Lampent,https://images.pokemontcg.io/sv3/37_hires.png,Common,0.050000,0.170000,Pokémon
sv3-41,Volcarona,https://images.pokemontcg.io/sv3/41_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv3-44,Armarouge,https://images.pokemontcg.io/sv3/44_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv3-47,Sharpedo,https://images.pokemontcg.io/sv3/47_hires.png,Uncommon,0.050000,0.070000,Pokémon
sv3-52,Seismitoad,https://images.pokemontcg.io/sv3/52_hires.png,Uncommon,0.060000,0.140000,Pokémon
sv3-72,Toxtricity,https://images.pokemontcg.io/sv3/72_hires.png,Rare,0.050000,0.100000,Pokémon
sv3-77,Bellibolt,https://images.pokemontcg.io/sv3/77_hires.png,Uncommon,0.060000,0.070000,Pokémon
sv3-89,Mawile,https://images.pokemontcg.io/sv3/89_hires.png,Common,0.050000,0.070000,Pokémon
sv3-90,Spoink,https://images.pokemontcg.io/sv3/90_hires.png,Common,0.040000,0.070000,Pokémon
sv3-99,Greavard,https://images.pokemontcg.io/sv3/99_hires.png,Common,0.040000,0.120000,Pokémon
sv3-107,Nosepass,https://images.pokemontcg.io/sv3/107_hires.png,Common,0.040000,0.050000,Pokémon
sv3-110,Bonsly,https://images.pokemontcg.io/sv3/110_hires.png,Common,0.040000,0.110000,Pokémon
sv3-111,Drilbur,https://images.pokemontcg.io/sv3/111_hires.png,Common,0.040000,0.070000,Pokémon
sv3-112,Stunfisk,https://images.pokemontcg.io/sv3/112_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv3-120,Klawf ex,https://images.pokemontcg.io/sv3/120_hires.png,Double Rare,1.120000,0.580000,Pokémon
sv3-128,Paldean Clodsire,https://images.pokemontcg.io/sv3/128_hires.png,Uncommon,0.060000,0.240000,Pokémon
sv3-38,Chandelure,https://images.pokemontcg.io/sv3/38_hires.png,Uncommon,0.060000,0.110000,Pokémon
sv3-40,Larvesta,https://images.pokemontcg.io/sv3/40_hires.png,Common,0.030000,0.070000,Pokémon
sv3-43,Charcadet,https://images.pokemontcg.io/sv3/43_hires.png,Common,0.030000,0.040000,Pokémon
sv3-46,Carvanha,https://images.pokemontcg.io/sv3/46_hires.png,Common,0.030000,0.040000,Pokémon
sv3-51,Palpitoad,https://images.pokemontcg.io/sv3/51_hires.png,Common,0.060000,0.070000,Pokémon
sv3-56,Froakie,https://images.pokemontcg.io/sv3/56_hires.png,Common,0.050000,0.070000,Pokémon
sv3-57,Frogadier,https://images.pokemontcg.io/sv3/57_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv3-59,Wugtrio,https://images.pokemontcg.io/sv3/59_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv3-61,Finizen,https://images.pokemontcg.io/sv3/61_hires.png,Common,0.040000,0.080000,Pokémon
sv3-73,Pawmot ex,https://images.pokemontcg.io/sv3/73_hires.png,Double Rare,0.700000,0.540000,Pokémon
sv3-75,Tadbulb,https://images.pokemontcg.io/sv3/75_hires.png,Common,0.040000,0.180000,Pokémon
sv3-78,Bellibolt,https://images.pokemontcg.io/sv3/78_hires.png,Uncommon,0.070000,0.100000,Pokémon
