id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv2-1,Hoppip,https://images.pokemontcg.io/sv2/1_hires.png,Common,0.030000,0.050000,Pokémon
sv2-2,Skiploom,https://images.pokemontcg.io/sv2/2_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv2-4,Pineco,https://images.pokemontcg.io/sv2/4_hires.png,Common,0.030000,0.030000,Pokémon
sv2-3,Jumpluff,https://images.pokemontcg.io/sv2/3_hires.png,Rare,0.090000,0.090000,Pokémon
sv2-7,Tropius,https://images.pokemontcg.io/sv2/7_hires.png,Common,0.030000,0.070000,Pokémon
sv2-5,Forretress ex,https://images.pokemontcg.io/sv2/5_hires.png,Double Rare,0.680000,0.480000,Pokémon
sv2-6,Heracross,https://images.pokemontcg.io/sv2/6_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv2-12,Sprigatito,https://images.pokemontcg.io/sv2/12_hires.png,Common,0.040000,0.120000,Pokémon
sv2-13,Sprigatito,https://images.pokemontcg.io/sv2/13_hires.png,Common,0.050000,0.120000,Pokémon
sv2-14,Floragato,https://images.pokemontcg.io/sv2/14_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv2-18,Spidops,https://images.pokemontcg.io/sv2/18_hires.png,Uncommon,0.040000,0.050000,Pokémon
sv2-15,Meowscarada ex,https://images.pokemontcg.io/sv2/15_hires.png,Double Rare,0.820000,0.600000,Pokémon
sv2-16,Tarountula,https://images.pokemontcg.io/sv2/16_hires.png,Common,0.070000,0.070000,Pokémon
sv2-17,Tarountula,https://images.pokemontcg.io/sv2/17_hires.png,Common,0.040000,0.050000,Pokémon
sv2-8,Combee,https://images.pokemontcg.io/sv2/8_hires.png,Common,0.030000,0.040000,Pokémon
sv2-9,Vespiquen,https://images.pokemontcg.io/sv2/9_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv2-10,Snover,https://images.pokemontcg.io/sv2/10_hires.png,Common,0.030000,0.030000,Pokémon
sv2-11,Abomasnow,https://images.pokemontcg.io/sv2/11_hires.png,Rare,0.070000,0.110000,Pokémon
sv2-20,Nymble,https://images.pokemontcg.io/sv2/20_hires.png,Common,0.040000,0.050000,Pokémon
sv2-21,Lokix,https://images.pokemontcg.io/sv2/21_hires.png,Rare,0.060000,0.070000,Pokémon
sv2-23,Bramblin,https://images.pokemontcg.io/sv2/23_hires.png,Common,0.050000,0.060000,Pokémon
sv2-19,Nymble,https://images.pokemontcg.io/sv2/19_hires.png,Common,0.030000,0.050000,Pokémon
sv2-24,Brambleghast,https://images.pokemontcg.io/sv2/24_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv2-25,Rellor,https://images.pokemontcg.io/sv2/25_hires.png,Common,0.030000,0.050000,Pokémon
sv2-26,Rellor,https://images.pokemontcg.io/sv2/26_hires.png,Common,0.040000,0.050000,Pokémon
sv2-22,Bramblin,https://images.pokemontcg.io/sv2/22_hires.png,Common,0.050000,0.060000,Pokémon
sv2-27,Wo-Chien ex,https://images.pokemontcg.io/sv2/27_hires.png,Double Rare,0.690000,0.490000,Pokémon
sv2-35,Fuecoco,https://images.pokemontcg.io/sv2/35_hires.png,Common,0.040000,0.110000,Pokémon
sv2-36,Crocalor,https://images.pokemontcg.io/sv2/36_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv2-39,Charcadet,https://images.pokemontcg.io/sv2/39_hires.png,Common,0.040000,0.040000,Pokémon
sv2-43,Gyarados,https://images.pokemontcg.io/sv2/43_hires.png,Rare,0.120000,0.200000,Pokémon
sv2-47,Luvdisc,https://images.pokemontcg.io/sv2/47_hires.png,Common,0.030000,0.060000,Pokémon
sv2-50,Quaxly,https://images.pokemontcg.io/sv2/50_hires.png,Common,0.040000,0.060000,Pokémon
sv2-51,Quaxwell,https://images.pokemontcg.io/sv2/51_hires.png,Uncommon,0.050000,0.060000,Pokémon
sv2-29,Fletchinder,https://images.pokemontcg.io/sv2/29_hires.png,Uncommon,0.040000,0.040000,Pokémon
sv2-31,Litleo,https://images.pokemontcg.io/sv2/31_hires.png,Common,0.020000,0.040000,Pokémon
sv2-32,Pyroar,https://images.pokemontcg.io/sv2/32_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv2-28,Paldean Tauros,https://images.pokemontcg.io/sv2/28_hires.png,Uncommon,0.070000,0.120000,Pokémon
sv2-37,Skeledirge ex,https://images.pokemontcg.io/sv2/37_hires.png,Double Rare,0.810000,0.520000,Pokémon
sv2-40,Chi-Yu ex,https://images.pokemontcg.io/sv2/40_hires.png,Double Rare,0.740000,0.520000,Pokémon
sv2-42,Magikarp,https://images.pokemontcg.io/sv2/42_hires.png,Common,0.040000,0.100000,Pokémon
sv2-44,Marill,https://images.pokemontcg.io/sv2/44_hires.png,Common,0.030000,0.050000,Pokémon
sv2-45,Azumarill,https://images.pokemontcg.io/sv2/45_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv2-46,Delibird,https://images.pokemontcg.io/sv2/46_hires.png,Common,0.030000,0.050000,Pokémon
sv2-52,Quaquaval ex,https://images.pokemontcg.io/sv2/52_hires.png,Double Rare,0.720000,0.560000,Pokémon
sv2-30,Talonflame,https://images.pokemontcg.io/sv2/30_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv2-33,Oricorio,https://images.pokemontcg.io/sv2/33_hires.png,Rare,0.090000,0.080000,Pokémon
sv2-34,Fuecoco,https://images.pokemontcg.io/sv2/34_hires.png,Common,0.840000,0.080000,Pokémon
sv2-38,Charcadet,https://images.pokemontcg.io/sv2/38_hires.png,Common,0.030000,0.070000,Pokémon
sv2-41,Paldean Tauros,https://images.pokemontcg.io/sv2/41_hires.png,Uncommon,0.070000,0.090000,Pokémon
sv2-48,Eiscue,https://images.pokemontcg.io/sv2/48_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv2-49,Quaxly,https://images.pokemontcg.io/sv2/49_hires.png,Common,0.040000,0.060000,Pokémon
sv2-54,Cetoddle,https://images.pokemontcg.io/sv2/54_hires.png,Common,0.040000,0.060000,Pokémon
sv2-56,Veluza,https://images.pokemontcg.io/sv2/56_hires.png,Rare,0.060000,0.060000,Pokémon
sv2-58,Frigibax,https://images.pokemontcg.io/sv2/58_hires.png,Common,0.050000,0.090000,Pokémon
sv2-65,Magnemite,https://images.pokemontcg.io/sv2/65_hires.png,Common,0.040000,0.060000,Pokémon
sv2-59,Arctibax,https://images.pokemontcg.io/sv2/59_hires.png,Uncommon,0.050000,0.110000,Pokémon
sv2-63,Pikachu ex,https://images.pokemontcg.io/sv2/63_hires.png,Double Rare,1.240000,1.700000,Pokémon
sv2-53,Cetoddle,https://images.pokemontcg.io/sv2/53_hires.png,Common,0.040000,0.040000,Pokémon
