id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv4pt5-1,Pineco,https://images.pokemontcg.io/sv4pt5/1_hires.png,Common,0.020000,0.030000,Pokémon
sv4pt5-2,Forretress ex,https://images.pokemontcg.io/sv4pt5/2_hires.png,Double Rare,0.480000,0.500000,Pokémon
sv4pt5-9,Magmar,https://images.pokemontcg.io/sv4pt5/9_hires.png,Common,0.040000,0.050000,Pokémon
sv4pt5-3,Maractus,https://images.pokemontcg.io/sv4pt5/3_hires.png,Common,0.030000,0.040000,Pokémon
sv4pt5-10,Magmortar,https://images.pokemontcg.io/sv4pt5/10_hires.png,Rare,0.050000,0.110000,Pokémon
sv4pt5-13,Heat Rotom,https://images.pokemontcg.io/sv4pt5/13_hires.png,Rare,0.040000,0.080000,Pokémon
sv4pt5-16,Lapras,https://images.pokemontcg.io/sv4pt5/16_hires.png,Common,0.020000,0.080000,Pokémon
sv4pt5-18,Pikachu,https://images.pokemontcg.io/sv4pt5/18_hires.png,Common,0.040000,0.130000,Pokémon
sv4pt5-12,Camerupt,https://images.pokemontcg.io/sv4pt5/12_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv4pt5-14,Charcadet,https://images.pokemontcg.io/sv4pt5/14_hires.png,Common,0.020000,0.040000,Pokémon
sv4pt5-22,Kilowattrel,https://images.pokemontcg.io/sv4pt5/22_hires.png,Uncommon,0.020000,0.030000,Pokémon
sv4pt5-23,Exeggcute,https://images.pokemontcg.io/sv4pt5/23_hires.png,Common,0.020000,0.030000,Pokémon
sv4pt5-25,Natu,https://images.pokemontcg.io/sv4pt5/25_hires.png,Common,0.030000,0.090000,Pokémon
sv4pt5-4,Toedscool,https://images.pokemontcg.io/sv4pt5/4_hires.png,Common,0.030000,0.050000,Pokémon
sv4pt5-5,Toedscruel ex,https://images.pokemontcg.io/sv4pt5/5_hires.png,Double Rare,0.710000,0.520000,Pokémon
sv4pt5-6,Espathra ex,https://images.pokemontcg.io/sv4pt5/6_hires.png,Double Rare,0.510000,0.440000,Pokémon
sv4pt5-7,Charmander,https://images.pokemontcg.io/sv4pt5/7_hires.png,Common,0.070000,0.090000,Pokémon
sv4pt5-17,Frigibax,https://images.pokemontcg.io/sv4pt5/17_hires.png,Common,0.030000,0.070000,Pokémon
sv4pt5-19,Raichu,https://images.pokemontcg.io/sv4pt5/19_hires.png,Rare,0.060000,0.110000,Pokémon
sv4pt5-20,Chinchou,https://images.pokemontcg.io/sv4pt5/20_hires.png,Common,0.020000,0.040000,Pokémon
sv4pt5-8,Charmeleon,https://images.pokemontcg.io/sv4pt5/8_hires.png,Uncommon,0.050000,0.100000,Pokémon
sv4pt5-11,Numel,https://images.pokemontcg.io/sv4pt5/11_hires.png,Common,0.020000,0.040000,Pokémon
sv4pt5-15,Armarouge,https://images.pokemontcg.io/sv4pt5/15_hires.png,Rare,0.060000,0.140000,Pokémon
sv4pt5-21,Lanturn,https://images.pokemontcg.io/sv4pt5/21_hires.png,Uncommon,0.020000,0.060000,Pokémon
sv4pt5-24,Exeggutor,https://images.pokemontcg.io/sv4pt5/24_hires.png,Rare,0.050000,0.130000,Pokémon
sv4pt5-26,Xatu,https://images.pokemontcg.io/sv4pt5/26_hires.png,Rare,0.060000,0.120000,Pokémon
sv4pt5-29,Gardevoir ex,https://images.pokemontcg.io/sv4pt5/29_hires.png,Double Rare,0.960000,0.720000,Pokémon
sv4pt5-30,Chimecho,https://images.pokemontcg.io/sv4pt5/30_hires.png,Common,0.020000,0.040000,Pokémon
sv4pt5-43,Houndstone,https://images.pokemontcg.io/sv4pt5/43_hires.png,Rare,0.050000,0.070000,Pokémon
sv4pt5-47,Annihilape,https://images.pokemontcg.io/sv4pt5/47_hires.png,Rare,0.050000,0.080000,Pokémon
sv4pt5-60,Scraggy,https://images.pokemontcg.io/sv4pt5/60_hires.png,Common,0.030000,0.050000,Pokémon
sv4pt5-32,Woobat,https://images.pokemontcg.io/sv4pt5/32_hires.png,Common,0.020000,0.030000,Pokémon
sv4pt5-71,Lechonk,https://images.pokemontcg.io/sv4pt5/71_hires.png,Common,0.020000,0.050000,Pokémon
sv4pt5-79,Electric Generator,https://images.pokemontcg.io/sv4pt5/79_hires.png,Uncommon,0.050000,0.080000,Trainer
sv4pt5-33,Swoobat,https://images.pokemontcg.io/sv4pt5/33_hires.png,Uncommon,0.020000,0.060000,Pokémon
sv4pt5-84,Nest Ball,https://images.pokemontcg.io/sv4pt5/84_hires.png,Uncommon,0.160000,0.290000,Trainer
sv4pt5-36,Dedenne,https://images.pokemontcg.io/sv4pt5/36_hires.png,Common,0.030000,0.060000,Pokémon
sv4pt5-85,Paldean Student,https://images.pokemontcg.io/sv4pt5/85_hires.png,Common,0.020000,0.070000,Trainer
sv4pt5-38,Fidough,https://images.pokemontcg.io/sv4pt5/38_hires.png,Common,0.030000,0.070000,Pokémon
sv4pt5-86,Paldean Student,https://images.pokemontcg.io/sv4pt5/86_hires.png,Common,0.030000,0.030000,Trainer
sv4pt5-39,Dachsbun,https://images.pokemontcg.io/sv4pt5/39_hires.png,Uncommon,0.030000,0.100000,Pokémon
sv4pt5-90,Technical Machine: Crisis Punch,https://images.pokemontcg.io/sv4pt5/90_hires.png,Uncommon,0.030000,0.050000,Trainer
sv4pt5-41,Flittle,https://images.pokemontcg.io/sv4pt5/41_hires.png,Common,0.020000,0.080000,Pokémon
sv4pt5-91,Ultra Ball,https://images.pokemontcg.io/sv4pt5/91_hires.png,Uncommon,0.130000,0.150000,Trainer
sv4pt5-44,Gimmighoul,https://images.pokemontcg.io/sv4pt5/44_hires.png,Common,0.030000,0.050000,Pokémon
sv4pt5-95,Scyther,https://images.pokemontcg.io/sv4pt5/95_hires.png,Shiny Rare,5.490000,5.480000,Pokémon
sv4pt5-50,Barboach,https://images.pokemontcg.io/sv4pt5/50_hires.png,Common,0.030000,0.030000,Pokémon
sv4pt5-99,Pineco,https://images.pokemontcg.io/sv4pt5/99_hires.png,Shiny Rare,2.610000,1.750000,Pokémon
sv4pt5-51,Clobbopus,https://images.pokemontcg.io/sv4pt5/51_hires.png,Common,0.020000,0.040000,Pokémon
sv4pt5-100,Snover,https://images.pokemontcg.io/sv4pt5/100_hires.png,Shiny Rare,2.750000,1.590000,Pokémon
sv4pt5-52,Grapploct,https://images.pokemontcg.io/sv4pt5/52_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv4pt5-101,Abomasnow,https://images.pokemontcg.io/sv4pt5/101_hires.png,Shiny Rare,2.360000,1.590000,Pokémon
sv4pt5-58,Paldean Wooper,https://images.pokemontcg.io/sv4pt5/58_hires.png,Common,0.030000,0.070000,Pokémon
sv4pt5-64,Varoom,https://images.pokemontcg.io/sv4pt5/64_hires.png,Common,0.030000,0.030000,Pokémon
sv4pt5-70,Cyclizar,https://images.pokemontcg.io/sv4pt5/70_hires.png,Rare,0.040000,0.060000,Pokémon
sv4pt5-72,Oinkologne,https://images.pokemontcg.io/sv4pt5/72_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv4pt5-73,Tandemaus,https://images.pokemontcg.io/sv4pt5/73_hires.png,Common,0.030000,0.080000,Pokémon
sv4pt5-78,Clive,https://images.pokemontcg.io/sv4pt5/78_hires.png,Uncommon,0.020000,0.040000,Trainer
sv4pt5-82,Nemona,https://images.pokemontcg.io/sv4pt5/82_hires.png,Common,0.060000,0.060000,Trainer
sv4pt5-87,Professor's Research,https://images.pokemontcg.io/sv4pt5/87_hires.png,Rare,0.100000,0.110000,Trainer
sv4pt5-88,Professor's Research,https://images.pokemontcg.io/sv4pt5/88_hires.png,Rare,0.110000,0.110000,Trainer
sv4pt5-89,Rare Candy,https://images.pokemontcg.io/sv4pt5/89_hires.png,Common,0.100000,0.140000,Trainer
sv4pt5-93,Gloom,https://images.pokemontcg.io/sv4pt5/93_hires.png,Shiny Rare,3.910000,2.960000,Pokémon
sv4pt5-102,Smoliv,https://images.pokemontcg.io/sv4pt5/102_hires.png,Shiny Rare,2.970000,3.080000,Pokémon
sv4pt5-27,Ralts,https://images.pokemontcg.io/sv4pt5/27_hires.png,Common,0.070000,0.100000,Pokémon
sv4pt5-31,Mime Jr.,https://images.pokemontcg.io/sv4pt5/31_hires.png,Common,0.030000,0.080000,Pokémon
sv4pt5-34,Cottonee,https://images.pokemontcg.io/sv4pt5/34_hires.png,Common,0.020000,0.050000,Pokémon
sv4pt5-40,Ceruledge,https://images.pokemontcg.io/sv4pt5/40_hires.png,Rare,0.060000,0.130000,Pokémon
sv4pt5-46,Primeape,https://images.pokemontcg.io/sv4pt5/46_hires.png,Uncommon,0.030000,0.030000,Pokémon
sv4pt5-49,Donphan,https://images.pokemontcg.io/sv4pt5/49_hires.png,Uncommon,0.020000,0.040000,Pokémon
