id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv4-1,Surskit,https://images.pokemontcg.io/sv4/1_hires.png,Common,0.030000,0.040000,Pokémon
sv4-2,Masquerain,https://images.pokemontcg.io/sv4/2_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv4-3,Froslass ex,https://images.pokemontcg.io/sv4/3_hires.png,Double Rare,0.780000,0.580000,Pokémon
sv4-4,Pansage,https://images.pokemontcg.io/sv4/4_hires.png,Common,0.030000,0.030000,Pokémon
sv4-5,Simisage,https://images.pokemontcg.io/sv4/5_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv4-6,Dwebble,https://images.pokemontcg.io/sv4/6_hires.png,Common,0.020000,0.040000,Pokémon
sv4-7,Crustle,https://images.pokemontcg.io/sv4/7_hires.png,Common,0.040000,0.050000,Pokémon
sv4-8,Bounsweet,https://images.pokemontcg.io/sv4/8_hires.png,Common,0.030000,0.050000,Pokémon
sv4-9,Steenee,https://images.pokemontcg.io/sv4/9_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv4-10,Blipbug,https://images.pokemontcg.io/sv4/10_hires.png,Common,0.020000,0.040000,Pokémon
sv4-11,Dottler,https://images.pokemontcg.io/sv4/11_hires.png,Common,0.030000,0.050000,Pokémon
sv4-12,Orbeetle,https://images.pokemontcg.io/sv4/12_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv4-13,Nymble,https://images.pokemontcg.io/sv4/13_hires.png,Common,0.030000,0.050000,Pokémon
sv4-14,Nymble,https://images.pokemontcg.io/sv4/14_hires.png,Common,0.030000,0.040000,Pokémon
sv4-15,Toedscool,https://images.pokemontcg.io/sv4/15_hires.png,Common,0.050000,0.070000,Pokémon
sv4-16,Toedscool,https://images.pokemontcg.io/sv4/16_hires.png,Common,0.110000,0.080000,Pokémon
sv4-17,Toedscruel,https://images.pokemontcg.io/sv4/17_hires.png,Uncommon,0.080000,0.070000,Pokémon
sv4-18,Wo-Chien,https://images.pokemontcg.io/sv4/18_hires.png,Rare,0.070000,0.080000,Pokémon
sv4-19,Magby,https://images.pokemontcg.io/sv4/19_hires.png,Common,0.040000,0.080000,Pokémon
sv4-20,Pansear,https://images.pokemontcg.io/sv4/20_hires.png,Common,0.020000,0.040000,Pokémon
sv4-21,Simisear,https://images.pokemontcg.io/sv4/21_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv4-22,Volcanion,https://images.pokemontcg.io/sv4/22_hires.png,Rare,0.050000,0.090000,Pokémon
sv4-23,Fuecoco,https://images.pokemontcg.io/sv4/23_hires.png,Common,0.040000,0.050000,Pokémon
sv4-24,Crocalor,https://images.pokemontcg.io/sv4/24_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv4-25,Charcadet,https://images.pokemontcg.io/sv4/25_hires.png,Common,0.030000,0.090000,Pokémon
sv4-26,Charcadet,https://images.pokemontcg.io/sv4/26_hires.png,Common,0.070000,0.090000,Pokémon
sv4-27,Armarouge ex,https://images.pokemontcg.io/sv4/27_hires.png,Double Rare,0.740000,0.660000,Pokémon
sv4-28,Iron Moth,https://images.pokemontcg.io/sv4/28_hires.png,Rare,0,0.100000,Pokémon
sv4-29,Chi-Yu,https://images.pokemontcg.io/sv4/29_hires.png,Rare,0.140000,0.120000,Pokémon
sv4-30,Horsea,https://images.pokemontcg.io/sv4/30_hires.png,Common,0.040000,0.060000,Pokémon
sv4-31,Seadra,https://images.pokemontcg.io/sv4/31_hires.png,Common,0.050000,0.070000,Pokémon
sv4-32,Kingdra,https://images.pokemontcg.io/sv4/32_hires.png,Rare,0.080000,0.150000,Pokémon
sv4-33,Remoraid,https://images.pokemontcg.io/sv4/33_hires.png,Common,0.030000,0.050000,Pokémon
sv4-34,Octillery,https://images.pokemontcg.io/sv4/34_hires.png,Common,0.040000,0.090000,Pokémon
sv4-35,Feebas,https://images.pokemontcg.io/sv4/35_hires.png,Common,0.030000,0.060000,Pokémon
sv4-36,Milotic,https://images.pokemontcg.io/sv4/36_hires.png,Rare,0.070000,0.100000,Pokémon
sv4-37,Snorunt,https://images.pokemontcg.io/sv4/37_hires.png,Common,0.060000,0.100000,Pokémon
sv4-38,Garchomp ex,https://images.pokemontcg.io/sv4/38_hires.png,Double Rare,1.290000,0.940000,Pokémon
sv4-39,Mantyke,https://images.pokemontcg.io/sv4/39_hires.png,Common,0.040000,0.100000,Pokémon
sv4-40,Palkia,https://images.pokemontcg.io/sv4/40_hires.png,Rare,0.060000,0.140000,Pokémon
sv4-41,Panpour,https://images.pokemontcg.io/sv4/41_hires.png,Common,0.030000,0.050000,Pokémon
sv4-42,Simipour,https://images.pokemontcg.io/sv4/42_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv4-43,Vanillite,https://images.pokemontcg.io/sv4/43_hires.png,Common,0.030000,0.060000,Pokémon
sv4-44,Vanillish,https://images.pokemontcg.io/sv4/44_hires.png,Common,0.030000,0.070000,Pokémon
sv4-45,Vanilluxe,https://images.pokemontcg.io/sv4/45_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv4-46,Tsareena ex,https://images.pokemontcg.io/sv4/46_hires.png,Double Rare,0.890000,0.620000,Pokémon
sv4-47,Wimpod,https://images.pokemontcg.io/sv4/47_hires.png,Common,0.030000,0.060000,Pokémon
sv4-48,Wimpod,https://images.pokemontcg.io/sv4/48_hires.png,Common,0.030000,0.080000,Pokémon
sv4-49,Golisopod,https://images.pokemontcg.io/sv4/49_hires.png,Rare,0.170000,0.110000,Pokémon
sv4-50,Golisopod ex,https://images.pokemontcg.io/sv4/50_hires.png,Double Rare,0.620000,0.480000,Pokémon
sv4-51,Wiglett,https://images.pokemontcg.io/sv4/51_hires.png,Common,0.030000,0.080000,Pokémon
sv4-52,Wiglett,https://images.pokemontcg.io/sv4/52_hires.png,Common,0.040000,0.100000,Pokémon
sv4-53,Wugtrio,https://images.pokemontcg.io/sv4/53_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv4-54,Veluza,https://images.pokemontcg.io/sv4/54_hires.png,Uncommon,0.030000,0.030000,Pokémon
sv4-55,Dondozo,https://images.pokemontcg.io/sv4/55_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv4-56,Iron Bundle,https://images.pokemontcg.io/sv4/56_hires.png,Uncommon,0.080000,0.150000,Pokémon
sv4-57,Chien-Pao,https://images.pokemontcg.io/sv4/57_hires.png,Rare,0.070000,0.140000,Pokémon
sv4-58,Mewtwo ex,https://images.pokemontcg.io/sv4/58_hires.png,Double Rare,2.220000,1.690000,Pokémon
sv4-59,Elekid,https://images.pokemontcg.io/sv4/59_hires.png,Common,0.040000,0.090000,Pokémon
sv4-60,Plusle,https://images.pokemontcg.io/sv4/60_hires.png,Common,0.040000,0.090000,Pokémon
sv4-61,Minun,https://images.pokemontcg.io/sv4/61_hires.png,Common,0.030000,0.090000,Pokémon
sv4-62,Blitzle,https://images.pokemontcg.io/sv4/62_hires.png,Common,0.030000,0.070000,Pokémon
sv4-63,Zebstrika,https://images.pokemontcg.io/sv4/63_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv4-64,Joltik,https://images.pokemontcg.io/sv4/64_hires.png,Common,0.030000,0.080000,Pokémon
sv4-65,Galvantula,https://images.pokemontcg.io/sv4/65_hires.png,Common,0.040000,0.070000,Pokémon
sv4-66,Zekrom,https://images.pokemontcg.io/sv4/66_hires.png,Rare,0.070000,0.100000,Pokémon
sv4-67,Oricorio,https://images.pokemontcg.io/sv4/67_hires.png,Common,0.020000,0.070000,Pokémon
sv4-68,Tapu Koko ex,https://images.pokemontcg.io/sv4/68_hires.png,Double Rare,0.830000,0.590000,Pokémon
sv4-69,Toxel,https://images.pokemontcg.io/sv4/69_hires.png,Common,0.030000,0.080000,Pokémon
sv4-70,Iron Hands ex,https://images.pokemontcg.io/sv4/70_hires.png,Double Rare,1.620000,1.360000,Pokémon
sv4-71,Natu,https://images.pokemontcg.io/sv4/71_hires.png,Common,0.030000,0.060000,Pokémon
sv4-72,Xatu,https://images.pokemontcg.io/sv4/72_hires.png,Rare,0.070000,0.100000,Pokémon
